EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRANEBJERG, DENMARK (STAID: 113)
Blended and updated with sources:833 6711 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   113,   833,18731201,-9999,    9
   113,   833,18731202,-9999,    9
   113,   833,18731203,-9999,    9
   113,   833,18731204,-9999,    9
   113,   833,18731205,-9999,    9
   113,   833,18731206,-9999,    9
   113,   833,18731207,-9999,    9
   113,   833,18731208,-9999,    9
   113,   833,18731209,-9999,    9
   113,   833,18731210,-9999,    9
   113,   833,18731211,-9999,    9
   113,   833,18731212,-9999,    9
   113,   833,18731213,-9999,    9
   113,   833,18731214,-9999,    9
   113,   833,18731215,-9999,    9
   113,   833,18731216,-9999,    9
   113,   833,18731217,-9999,    9
   113,   833,18731218,-9999,    9
   113,   833,18731219,-9999,    9
   113,   833,18731220,-9999,    9
   113,   833,18731221,-9999,    9
   113,   833,18731222,-9999,    9
   113,   833,18731223,-9999,    9
   113,   833,18731224,-9999,    9
   113,   833,18731225,-9999,    9
   113,   833,18731226,-9999,    9
   113,   833,18731227,-9999,    9
   113,   833,18731228,-9999,    9
   113,   833,18731229,-9999,    9
   113,   833,18731230,-9999,    9
   113,   833,18731231,    4,    0
   113,   833,18740101,   30,    0
   113,   833,18740102,   30,    0
   113,   833,18740103,   32,    0
   113,   833,18740104,   16,    0
   113,   833,18740105,   30,    0
   113,   833,18740106,   23,    0
   113,   833,18740107,   18,    1
   113,   833,18740108,    7,    0
   113,   833,18740109,    2,    0
   113,   833,18740110,    7,    1
   113,   833,18740111,   14,    0
   113,   833,18740112,    2,    0
   113,   833,18740113,   24,    0
   113,   833,18740114,   26,    0
   113,   833,18740115,   31,    0
   113,   833,18740116,   35,    0
   113,   833,18740117,   18,    1
   113,   833,18740118,   22,    0
   113,   833,18740119,   23,    0
   113,   833,18740120,   32,    0
   113,   833,18740121,   38,    0
   113,   833,18740122,   36,    1
   113,   833,18740123,   24,    0
   113,   833,18740124,   16,    1
   113,   833,18740125,   24,    0
   113,   833,18740126,   12,    0
   113,   833,18740127,   13,    0
   113,   833,18740128,   15,    0
   113,   833,18740129,   19,    0
   113,   833,18740130,   31,    1
   113,   833,18740131,    8,    0
   113,   833,18740201,   20,    0
   113,   833,18740202,   19,    0
   113,   833,18740203,   24,    0
   113,   833,18740204,   30,    0
   113,   833,18740205,   30,    0
   113,   833,18740206,   20,    0
   113,   833,18740207,   -3,    1
   113,   833,18740208,  -42,    0
   113,   833,18740209,  -44,    1
   113,   833,18740210,  -28,    0
   113,   833,18740211,  -30,    0
   113,   833,18740212,   -2,    0
   113,   833,18740213,    0,    0
   113,   833,18740214,   24,    0
   113,   833,18740215,   33,    0
   113,   833,18740216,   32,    0
   113,   833,18740217,   28,    1
   113,   833,18740218,   14,    0
   113,   833,18740219,   16,    0
   113,   833,18740220,    8,    0
   113,   833,18740221,    6,    0
   113,   833,18740222,   -4,    0
   113,   833,18740223,    0,    0
   113,   833,18740224,    7,    0
   113,   833,18740225,    4,    0
   113,   833,18740226,    6,    0
   113,   833,18740227,   10,    0
   113,   833,18740228,    8,    1
   113,   833,18740301,   -2,    0
   113,   833,18740302,   -2,    0
   113,   833,18740303,   -6,    0
   113,   833,18740304,   -8,    0
   113,   833,18740305,    6,    0
   113,   833,18740306,   22,    0
   113,   833,18740307,   30,    0
   113,   833,18740308,   27,    0
   113,   833,18740309,   12,    1
   113,   833,18740310,   -8,    1
   113,   833,18740311,  -22,    0
   113,   833,18740312,  -15,    0
   113,   833,18740313,   -8,    0
   113,   833,18740314,   -2,    0
   113,   833,18740315,    8,    0
   113,   833,18740316,   24,    0
   113,   833,18740317,   44,    0
   113,   833,18740318,   37,    0
   113,   833,18740319,   24,    0
   113,   833,18740320,   21,    0
   113,   833,18740321,   24,    0
   113,   833,18740322,   42,    0
   113,   833,18740323,   60,    0
   113,   833,18740324,   40,    0
   113,   833,18740325,   52,    0
   113,   833,18740326,   36,    0
   113,   833,18740327,   36,    0
   113,   833,18740328,   58,    0
   113,   833,18740329,   46,    0
   113,   833,18740330,   58,    0
   113,   833,18740331,   56,    0
   113,   833,18740401,   70,    0
   113,   833,18740402,   68,    0
   113,   833,18740403,   79,    0
   113,   833,18740404,   70,    0
   113,   833,18740405,   69,    0
   113,   833,18740406,   76,    0
   113,   833,18740407,   68,    0
   113,   833,18740408,   67,    0
   113,   833,18740409,   76,    0
   113,   833,18740410,   69,    0
   113,   833,18740411,   62,    0
   113,   833,18740412,   64,    0
   113,   833,18740413,   70,    0
   113,   833,18740414,   66,    0
   113,   833,18740415,   56,    0
   113,   833,18740416,   51,    0
   113,   833,18740417,   56,    0
   113,   833,18740418,   52,    0
   113,   833,18740419,   86,    0
   113,   833,18740420,  100,    0
   113,   833,18740421,  128,    0
   113,   833,18740422,  115,    0
   113,   833,18740423,  100,    0
   113,   833,18740424,   77,    0
   113,   833,18740425,   99,    0
   113,   833,18740426,   68,    0
   113,   833,18740427,   52,    0
   113,   833,18740428,   67,    0
   113,   833,18740429,   64,    0
   113,   833,18740430,   64,    0
   113,   833,18740501,   54,    0
   113,   833,18740502,   48,    0
   113,   833,18740503,   44,    0
   113,   833,18740504,   57,    0
   113,   833,18740505,   60,    0
   113,   833,18740506,   72,    0
