EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAMMER ODDE FYR-1, DENMARK (STAID: 117)
Blended and updated with sources:830 835 836 906193 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   117,   836,18740401,   52,    0
   117,   836,18740402,   57,    0
   117,   836,18740403,   86,    0
   117,   836,18740404,   66,    0
   117,   836,18740405,   78,    0
   117,   836,18740406,   56,    0
   117,   836,18740407,   48,    0
   117,   836,18740408,   38,    0
   117,   836,18740409,   69,    0
   117,   836,18740410,   36,    0
   117,   836,18740411,   43,    0
   117,   836,18740412,   35,    0
   117,   836,18740413,   32,    0
   117,   836,18740414,   36,    0
   117,   836,18740415,   36,    0
   117,   836,18740416,   45,    0
   117,   836,18740417,   55,    0
   117,   836,18740418,   52,    0
   117,   836,18740419,   52,    0
   117,   836,18740420,   51,    0
   117,   836,18740421,   89,    0
   117,   836,18740422,  127,    0
   117,   836,18740423,-9999,    9
   117,   836,18740424,-9999,    9
   117,   836,18740425,-9999,    9
   117,   836,18740426,-9999,    9
   117,   836,18740427,-9999,    9
   117,   836,18740428,-9999,    9
   117,   836,18740429,-9999,    9
   117,   836,18740430,-9999,    9
   117,   836,18740501,-9999,    9
   117,   836,18740502,-9999,    9
   117,   836,18740503,-9999,    9
   117,   836,18740504,-9999,    9
   117,   836,18740505,-9999,    9
   117,   836,18740506,-9999,    9
   117,   836,18740507,-9999,    9
   117,   836,18740508,-9999,    9
   117,   836,18740509,-9999,    9
   117,   836,18740510,-9999,    9
   117,   836,18740511,-9999,    9
   117,   836,18740512,-9999,    9
   117,   836,18740513,-9999,    9
   117,   836,18740514,-9999,    9
   117,   836,18740515,   55,    0
   117,   836,18740516,   60,    0
