EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIRR, IRELAND (STAID: 120)
Blended and updated with sources:448 16142 903965 903966 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   120,   448,19540101,-9999,    9
   120,   448,19540102,-9999,    9
   120,   448,19540103,-9999,    9
   120,   448,19540104,-9999,    9
   120,   448,19540105,-9999,    9
   120,   448,19540106,-9999,    9
   120,   448,19540107,-9999,    9
   120,   448,19540108,-9999,    9
   120,   448,19540109,-9999,    9
   120,   448,19540110,-9999,    9
   120,   448,19540111,-9999,    9
   120,   448,19540112,-9999,    9
   120,   448,19540113,-9999,    9
   120,   448,19540114,-9999,    9
   120,   448,19540115,-9999,    9
   120,   448,19540116,-9999,    9
   120,   448,19540117,-9999,    9
   120,   448,19540118,-9999,    9
   120,   448,19540119,-9999,    9
   120,   448,19540120,-9999,    9
   120,   448,19540121,-9999,    9
   120,   448,19540122,-9999,    9
   120,   448,19540123,-9999,    9
   120,   448,19540124,-9999,    9
   120,   448,19540125,-9999,    9
   120,   448,19540126,-9999,    9
   120,   448,19540127,-9999,    9
   120,   448,19540128,-9999,    9
   120,   448,19540129,-9999,    9
   120,   448,19540130,-9999,    9
   120,   448,19540131,-9999,    9
   120,   448,19540201,-9999,    9
   120,   448,19540202,-9999,    9
   120,   448,19540203,-9999,    9
   120,   448,19540204,-9999,    9
   120,   448,19540205,-9999,    9
   120,   448,19540206,-9999,    9
   120,   448,19540207,-9999,    9
   120,   448,19540208,-9999,    9
   120,   448,19540209,-9999,    9
   120,   448,19540210,-9999,    9
   120,   448,19540211,-9999,    9
   120,   448,19540212,-9999,    9
   120,   448,19540213,-9999,    9
   120,   448,19540214,-9999,    9
   120,   448,19540215,-9999,    9
   120,   448,19540216,-9999,    9
   120,   448,19540217,-9999,    9
   120,   448,19540218,-9999,    9
   120,   448,19540219,-9999,    9
   120,   448,19540220,-9999,    9
   120,   448,19540221,-9999,    9
   120,   448,19540222,-9999,    9
   120,   448,19540223,-9999,    9
   120,   448,19540224,-9999,    9
   120,   448,19540225,-9999,    9
   120,   448,19540226,-9999,    9
   120,   448,19540227,-9999,    9
   120,   448,19540228,-9999,    9
   120,   448,19540301,-9999,    9
   120,   448,19540302,-9999,    9
   120,   448,19540303,-9999,    9
   120,   448,19540304,-9999,    9
   120,   448,19540305,-9999,    9
   120,   448,19540306,-9999,    9
   120,   448,19540307,-9999,    9
   120,   448,19540308,-9999,    9
   120,   448,19540309,-9999,    9
   120,   448,19540310,-9999,    9
   120,   448,19540311,-9999,    9
   120,   448,19540312,-9999,    9
   120,   448,19540313,-9999,    9
   120,   448,19540314,-9999,    9
   120,   448,19540315,-9999,    9
   120,   448,19540316,-9999,    9
   120,   448,19540317,-9999,    9
   120,   448,19540318,-9999,    9
   120,   448,19540319,-9999,    9
   120,   448,19540320,-9999,    9
   120,   448,19540321,-9999,    9
   120,   448,19540322,-9999,    9
   120,   448,19540323,-9999,    9
   120,   448,19540324,-9999,    9
   120,   448,19540325,-9999,    9
   120,   448,19540326,-9999,    9
   120,   448,19540327,-9999,    9
   120,   448,19540328,-9999,    9
   120,   448,19540329,-9999,    9
   120,   448,19540330,-9999,    9
   120,   448,19540331,-9999,    9
   120,   448,19540401,-9999,    9
   120,   448,19540402,-9999,    9
   120,   448,19540403,-9999,    9
   120,   448,19540404,-9999,    9
   120,   448,19540405,-9999,    9
   120,   448,19540406,-9999,    9
   120,   448,19540407,-9999,    9
   120,   448,19540408,-9999,    9
   120,   448,19540409,-9999,    9
   120,   448,19540410,-9999,    9
   120,   448,19540411,-9999,    9
   120,   448,19540412,-9999,    9
   120,   448,19540413,-9999,    9
   120,   448,19540414,-9999,    9
   120,   448,19540415,-9999,    9
   120,   448,19540416,-9999,    9
   120,   448,19540417,-9999,    9
   120,   448,19540418,-9999,    9
   120,   448,19540419,-9999,    9
   120,   448,19540420,-9999,    9
   120,   448,19540421,-9999,    9
   120,   448,19540422,-9999,    9
   120,   448,19540423,-9999,    9
   120,   448,19540424,-9999,    9
   120,   448,19540425,-9999,    9
   120,   448,19540426,-9999,    9
   120,   448,19540427,-9999,    9
   120,   448,19540428,-9999,    9
   120,   448,19540429,-9999,    9
   120,   448,19540430,-9999,    9
   120,   448,19540501,-9999,    9
   120,   448,19540502,-9999,    9
   120,   448,19540503,-9999,    9
   120,   448,19540504,-9999,    9
   120,   448,19540505,-9999,    9
   120,   448,19540506,-9999,    9
   120,   448,19540507,-9999,    9
   120,   448,19540508,-9999,    9
   120,   448,19540509,-9999,    9
   120,   448,19540510,-9999,    9
   120,   448,19540511,-9999,    9
   120,   448,19540512,-9999,    9
   120,   448,19540513,-9999,    9
   120,   448,19540514,-9999,    9
   120,   448,19540515,-9999,    9
   120,   448,19540516,-9999,    9
   120,   448,19540517,-9999,    9
   120,   448,19540518,-9999,    9
   120,   448,19540519,-9999,    9
   120,   448,19540520,-9999,    9
   120,   448,19540521,-9999,    9
   120,   448,19540522,-9999,    9
   120,   448,19540523,-9999,    9
   120,   448,19540524,-9999,    9
   120,   448,19540525,-9999,    9
   120,   448,19540526,-9999,    9
   120,   448,19540527,-9999,    9
   120,   448,19540528,-9999,    9
   120,   448,19540529,-9999,    9
   120,   448,19540530,-9999,    9
   120,   448,19540531,-9999,    9
   120,   448,19540601,-9999,    9
   120,   448,19540602,-9999,    9
   120,   448,19540603,-9999,    9
   120,   448,19540604,-9999,    9
   120,   448,19540605,-9999,    9
   120,   448,19540606,-9999,    9
   120,   448,19540607,-9999,    9
   120,   448,19540608,-9999,    9
   120,   448,19540609,-9999,    9
   120,   448,19540610,-9999,    9
   120,   448,19540611,-9999,    9
   120,   448,19540612,-9999,    9
   120,   448,19540613,-9999,    9
   120,   448,19540614,-9999,    9
   120,   448,19540615,-9999,    9
   120,   448,19540616,-9999,    9
   120,   448,19540617,-9999,    9
   120,   448,19540618,-9999,    9
   120,   448,19540619,-9999,    9
   120,   448,19540620,-9999,    9
   120,   448,19540621,-9999,    9
   120,   448,19540622,-9999,    9
   120,   448,19540623,-9999,    9
   120,   448,19540624,-9999,    9
   120,   448,19540625,-9999,    9
   120,   448,19540626,-9999,    9
   120,   448,19540627,-9999,    9
   120,   448,19540628,-9999,    9
   120,   448,19540629,-9999,    9
   120,   448,19540630,-9999,    9
   120,   448,19540701,-9999,    9
   120,   448,19540702,-9999,    9
   120,   448,19540703,-9999,    9
   120,   448,19540704,-9999,    9
   120,   448,19540705,-9999,    9
   120,   448,19540706,-9999,    9
   120,   448,19540707,-9999,    9
   120,   448,19540708,-9999,    9
   120,   448,19540709,-9999,    9
   120,   448,19540710,-9999,    9
   120,   448,19540711,-9999,    9
   120,   448,19540712,-9999,    9
   120,   448,19540713,-9999,    9
   120,   448,19540714,-9999,    9
   120,   448,19540715,-9999,    9
   120,   448,19540716,-9999,    9
   120,   448,19540717,-9999,    9
   120,   448,19540718,-9999,    9
   120,   448,19540719,-9999,    9
   120,   448,19540720,-9999,    9
   120,   448,19540721,-9999,    9
   120,   448,19540722,-9999,    9
   120,   448,19540723,-9999,    9
   120,   448,19540724,-9999,    9
   120,   448,19540725,-9999,    9
   120,   448,19540726,-9999,    9
   120,   448,19540727,-9999,    9
   120,   448,19540728,-9999,    9
   120,   448,19540729,-9999,    9
   120,   448,19540730,-9999,    9
   120,   448,19540731,-9999,    9
   120,   448,19540801,-9999,    9
   120,   448,19540802,-9999,    9
   120,   448,19540803,-9999,    9
