EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DUBLIN PHOENIX PARK, IRELAND (STAID: 121)
Blended and updated with sources:452 7565 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   121,   452,18810101,   52,    0
   121,   452,18810102,   73,    0
   121,   452,18810103,   29,    0
   121,   452,18810104,   59,    0
   121,   452,18810105,   59,    0
   121,   452,18810106,   45,    0
   121,   452,18810107,   22,    0
   121,   452,18810108,   11,    0
   121,   452,18810109,  -30,    0
   121,   452,18810110,  -19,    0
   121,   452,18810111,   -3,    0
   121,   452,18810112,  -30,    0
   121,   452,18810113,  -52,    0
   121,   452,18810114,  -49,    0
   121,   452,18810115,  -63,    0
   121,   452,18810116,  -65,    0
   121,   452,18810117,  -61,    0
   121,   452,18810118,   -3,    0
   121,   452,18810119,  -46,    0
   121,   452,18810120,  -57,    0
   121,   452,18810121,  -29,    0
   121,   452,18810122,  -59,    0
   121,   452,18810123,  -22,    0
   121,   452,18810124,  -12,    0
   121,   452,18810125,  -69,    0
   121,   452,18810126,  -52,    0
   121,   452,18810127,   61,    0
   121,   452,18810128,   32,    0
   121,   452,18810129,   42,    0
   121,   452,18810130,   46,    0
   121,   452,18810131,   47,    0
   121,   452,18810201,   35,    0
   121,   452,18810202,   58,    0
   121,   452,18810203,   93,    0
   121,   452,18810204,   67,    0
   121,   452,18810205,   33,    0
   121,   452,18810206,   11,    0
   121,   452,18810207,   73,    0
   121,   452,18810208,   63,    0
   121,   452,18810209,   73,    0
   121,   452,18810210,   76,    0
   121,   452,18810211,   24,    0
   121,   452,18810212,    5,    0
   121,   452,18810213,   73,    0
   121,   452,18810214,   72,    0
   121,   452,18810215,   50,    0
   121,   452,18810216,   48,    0
   121,   452,18810217,   36,    0
   121,   452,18810218,   56,    0
   121,   452,18810219,   42,    0
   121,   452,18810220,   38,    0
   121,   452,18810221,   19,    0
   121,   452,18810222,   29,    0
   121,   452,18810223,   23,    0
   121,   452,18810224,   17,    0
   121,   452,18810225,   25,    0
   121,   452,18810226,   16,    0
   121,   452,18810227,    9,    0
   121,   452,18810228,  -12,    0
   121,   452,18810301,    4,    0
   121,   452,18810302,   24,    0
   121,   452,18810303,   26,    0
   121,   452,18810304,   38,    0
   121,   452,18810305,   89,    0
   121,   452,18810306,   88,    0
   121,   452,18810307,   70,    0
   121,   452,18810308,   58,    0
   121,   452,18810309,   90,    0
   121,   452,18810310,  117,    0
   121,   452,18810311,   93,    0
   121,   452,18810312,   89,    0
   121,   452,18810313,   90,    0
   121,   452,18810314,   64,    0
   121,   452,18810315,   59,    0
   121,   452,18810316,   58,    0
   121,   452,18810317,  101,    0
   121,   452,18810318,   97,    0
   121,   452,18810319,  102,    0
   121,   452,18810320,   54,    0
   121,   452,18810321,   16,    0
   121,   452,18810322,   38,    0
   121,   452,18810323,   46,    0
   121,   452,18810324,   46,    0
   121,   452,18810325,   25,    0
   121,   452,18810326,   12,    0
   121,   452,18810327,   20,    0
   121,   452,18810328,   12,    0
   121,   452,18810329,   18,    0
   121,   452,18810330,   27,    0
   121,   452,18810331,   23,    0
   121,   452,18810401,   31,    0
   121,   452,18810402,   31,    0
   121,   452,18810403,   30,    0
   121,   452,18810404,   41,    0
   121,   452,18810405,   50,    0
   121,   452,18810406,   39,    0
   121,   452,18810407,   52,    0
   121,   452,18810408,   40,    0
   121,   452,18810409,   35,    0
   121,   452,18810410,   80,    0
   121,   452,18810411,   92,    0
   121,   452,18810412,   96,    0
   121,   452,18810413,  103,    0
   121,   452,18810414,  100,    0
   121,   452,18810415,   79,    0
   121,   452,18810416,   38,    0
   121,   452,18810417,   60,    0
   121,   452,18810418,   84,    0
   121,   452,18810419,   45,    0
   121,   452,18810420,   34,    0
   121,   452,18810421,   49,    0
   121,   452,18810422,   82,    0
   121,   452,18810423,   58,    0
   121,   452,18810424,  103,    0
   121,   452,18810425,   99,    0
   121,   452,18810426,   87,    0
   121,   452,18810427,   82,    0
   121,   452,18810428,  107,    0
   121,   452,18810429,  121,    0
   121,   452,18810430,   90,    0
   121,   452,18810501,   88,    0
   121,   452,18810502,   83,    0
   121,   452,18810503,   57,    0
   121,   452,18810504,   96,    0
   121,   452,18810505,  104,    0
   121,   452,18810506,  120,    0
   121,   452,18810507,  112,    0
   121,   452,18810508,  112,    0
   121,   452,18810509,   91,    0
   121,   452,18810510,   69,    0
   121,   452,18810511,   81,    0
   121,   452,18810512,  126,    0
   121,   452,18810513,  102,    0
   121,   452,18810514,  107,    0
   121,   452,18810515,  113,    0
   121,   452,18810516,   88,    0
   121,   452,18810517,   94,    0
   121,   452,18810518,  120,    0
   121,   452,18810519,  110,    0
   121,   452,18810520,  111,    0
   121,   452,18810521,   85,    0
   121,   452,18810522,  121,    0
   121,   452,18810523,  115,    0
   121,   452,18810524,  128,    0
   121,   452,18810525,   93,    0
   121,   452,18810526,  130,    0
   121,   452,18810527,  141,    0
   121,   452,18810528,  136,    0
   121,   452,18810529,  145,    0
   121,   452,18810530,  135,    0
   121,   452,18810531,  109,    0
   121,   452,18810601,  153,    0
   121,   452,18810602,  168,    0
   121,   452,18810603,  143,    0
   121,   452,18810604,  163,    0
   121,   452,18810605,  116,    0
   121,   452,18810606,   75,    0
   121,   452,18810607,   71,    0
   121,   452,18810608,   66,    0
   121,   452,18810609,   71,    0
   121,   452,18810610,  109,    0
   121,   452,18810611,  101,    0
   121,   452,18810612,  128,    0
   121,   452,18810613,  115,    0
   121,   452,18810614,  109,    0
   121,   452,18810615,  144,    0
   121,   452,18810616,  135,    0
   121,   452,18810617,  136,    0
   121,   452,18810618,  148,    0
   121,   452,18810619,  130,    0
   121,   452,18810620,  130,    0
   121,   452,18810621,  143,    0
   121,   452,18810622,  136,    0
   121,   452,18810623,  124,    0
   121,   452,18810624,  130,    0
   121,   452,18810625,  148,    0
   121,   452,18810626,  139,    0
   121,   452,18810627,  136,    0
   121,   452,18810628,  122,    0
   121,   452,18810629,  142,    0
   121,   452,18810630,  144,    0
   121,   452,18810701,  155,    0
   121,   452,18810702,  130,    0
   121,   452,18810703,  168,    0
   121,   452,18810704,  208,    0
   121,   452,18810705,  213,    0
   121,   452,18810706,  139,    0
   121,   452,18810707,  118,    0
   121,   452,18810708,  132,    0
   121,   452,18810709,  129,    0
   121,   452,18810710,  153,    0
   121,   452,18810711,  168,    0
   121,   452,18810712,  147,    0
   121,   452,18810713,  180,    0
   121,   452,18810714,  190,    0
   121,   452,18810715,  169,    0
   121,   452,18810716,  151,    0
   121,   452,18810717,  175,    0
   121,   452,18810718,  181,    0
   121,   452,18810719,  157,    0
   121,   452,18810720,  140,    0
   121,   452,18810721,  110,    0
   121,   452,18810722,  157,    0
   121,   452,18810723,  152,    0
   121,   452,18810724,  142,    0
   121,   452,18810725,  130,    0
   121,   452,18810726,  117,    0
   121,   452,18810727,  124,    0
   121,   452,18810728,  115,    0
   121,   452,18810729,  155,    0
   121,   452,18810730,  152,    0
   121,   452,18810731,  146,    0
   121,   452,18810801,  126,    0
   121,   452,18810802,  126,    0
   121,   452,18810803,  176,    0
   121,   452,18810804,  191,    0
   121,   452,18810805,  164,    0
   121,   452,18810806,  153,    0
   121,   452,18810807,  176,    0
   121,   452,18810808,  158,    0
   121,   452,18810809,  135,    0
   121,   452,18810810,  142,    0
   121,   452,18810811,  123,    0
   121,   452,18810812,  130,    0
   121,   452,18810813,  110,    0
   121,   452,18810814,  131,    0
   121,   452,18810815,  124,    0
   121,   452,18810816,  131,    0
   121,   452,18810817,  139,    0
   121,   452,18810818,  128,    0
   121,   452,18810819,  105,    0
   121,   452,18810820,  130,    0
   121,   452,18810821,  100,    0
   121,   452,18810822,  121,    0
   121,   452,18810823,  118,    0
   121,   452,18810824,  121,    0
   121,   452,18810825,  118,    0
   121,   452,18810826,  121,    0
   121,   452,18810827,  108,    0
   121,   452,18810828,  115,    0
   121,   452,18810829,  156,    0
   121,   452,18810830,  123,    0
   121,   452,18810831,   99,    0
   121,   452,18810901,   86,    0
   121,   452,18810902,   80,    0
   121,   452,18810903,   98,    0
   121,   452,18810904,  132,    0
   121,   452,18810905,  130,    0
   121,   452,18810906,  134,    0
   121,   452,18810907,  132,    0
   121,   452,18810908,  113,    0
   121,   452,18810909,  131,    0
   121,   452,18810910,  118,    0
   121,   452,18810911,  105,    0
   121,   452,18810912,  102,    0
   121,   452,18810913,  107,    0
   121,   452,18810914,  125,    0
   121,   452,18810915,  107,    0
   121,   452,18810916,  111,    0
   121,   452,18810917,   89,    0
   121,   452,18810918,  116,    0
   121,   452,18810919,  103,    0
   121,   452,18810920,  156,    0
   121,   452,18810921,  125,    0
   121,   452,18810922,  107,    0
   121,   452,18810923,   93,    0
   121,   452,18810924,  147,    0
   121,   452,18810925,  118,    0
   121,   452,18810926,  132,    0
   121,   452,18810927,  135,    0
   121,   452,18810928,  134,    0
   121,   452,18810929,  108,    0
   121,   452,18810930,  153,    0
   121,   452,18811001,  123,    0
   121,   452,18811002,  100,    0
   121,   452,18811003,   90,    0
   121,   452,18811004,   89,    0
   121,   452,18811005,   65,    0
   121,   452,18811006,   74,    0
   121,   452,18811007,   86,    0
   121,   452,18811008,  114,    0
   121,   452,18811009,   83,    0
   121,   452,18811010,   91,    0
   121,   452,18811011,  119,    0
   121,   452,18811012,  101,    0
   121,   452,18811013,   94,    0
   121,   452,18811014,   92,    0
   121,   452,18811015,   43,    0
   121,   452,18811016,   41,    0
   121,   452,18811017,   72,    0
   121,   452,18811018,   88,    0
   121,   452,18811019,   89,    0
   121,   452,18811020,   88,    0
   121,   452,18811021,   84,    0
   121,   452,18811022,   88,    0
   121,   452,18811023,  106,    0
   121,   452,18811024,   95,    0
   121,   452,18811025,   91,    0
   121,   452,18811026,   77,    0
   121,   452,18811027,   63,    0
   121,   452,18811028,   59,    0
   121,   452,18811029,   42,    0
   121,   452,18811030,   30,    0
   121,   452,18811031,   18,    0
   121,   452,18811101,   66,    0
   121,   452,18811102,   52,    0
   121,   452,18811103,   91,    0
   121,   452,18811104,  112,    0
   121,   452,18811105,  123,    0
   121,   452,18811106,  102,    0
   121,   452,18811107,   73,    0
   121,   452,18811108,  145,    0
   121,   452,18811109,   99,    0
   121,   452,18811110,   97,    0
   121,   452,18811111,  139,    0
   121,   452,18811112,  127,    0
   121,   452,18811113,  136,    0
   121,   452,18811114,  136,    0
   121,   452,18811115,  104,    0
   121,   452,18811116,  103,    0
   121,   452,18811117,   77,    0
   121,   452,18811118,   69,    0
   121,   452,18811119,  127,    0
   121,   452,18811120,   99,    0
   121,   452,18811121,  107,    0
   121,   452,18811122,   93,    0
   121,   452,18811123,   39,    0
   121,   452,18811124,   87,    0
   121,   452,18811125,   61,    0
   121,   452,18811126,   61,    0
   121,   452,18811127,   67,    0
   121,   452,18811128,   76,    0
   121,   452,18811129,   49,    0
   121,   452,18811130,   96,    0
   121,   452,18811201,   61,    0
   121,   452,18811202,  107,    0
   121,   452,18811203,   52,    0
   121,   452,18811204,   26,    0
   121,   452,18811205,   65,    0
   121,   452,18811206,   80,    0
   121,   452,18811207,   55,    0
   121,   452,18811208,   32,    0
   121,   452,18811209,    1,    0
   121,   452,18811210,   -3,    0
   121,   452,18811211,  -31,    0
   121,   452,18811212,  -13,    0
   121,   452,18811213,    4,    0
   121,   452,18811214,   42,    0
   121,   452,18811215,    6,    0
   121,   452,18811216,   18,    0
   121,   452,18811217,   42,    0
   121,   452,18811218,   27,    0
   121,   452,18811219,   35,    0
   121,   452,18811220,   37,    0
   121,   452,18811221,   26,    0
   121,   452,18811222,   -8,    0
   121,   452,18811223,    2,    0
   121,   452,18811224,   75,    0
   121,   452,18811225,   89,    0
   121,   452,18811226,   78,    0
   121,   452,18811227,   76,    0
   121,   452,18811228,   84,    0
   121,   452,18811229,  103,    0
   121,   452,18811230,   74,    0
   121,   452,18811231,   50,    0
   121,   452,18820101,   54,    0
   121,   452,18820102,   83,    0
   121,   452,18820103,   63,    0
   121,   452,18820104,   45,    0
   121,   452,18820105,   84,    0
   121,   452,18820106,   71,    0
   121,   452,18820107,   33,    0
   121,   452,18820108,   71,    0
   121,   452,18820109,   47,    0
   121,   452,18820110,   64,    0
   121,   452,18820111,   80,    0
   121,   452,18820112,   88,    0
   121,   452,18820113,   91,    0
   121,   452,18820114,  105,    0
