EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALENTIA OBSERVATORY, IRELAND (STAID: 123)
Blended and updated with sources:460 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   123,   460,19390101,-9999,    9
   123,   460,19390102,-9999,    9
   123,   460,19390103,-9999,    9
   123,   460,19390104,-9999,    9
   123,   460,19390105,-9999,    9
   123,   460,19390106,-9999,    9
   123,   460,19390107,-9999,    9
   123,   460,19390108,-9999,    9
   123,   460,19390109,-9999,    9
   123,   460,19390110,-9999,    9
   123,   460,19390111,-9999,    9
   123,   460,19390112,-9999,    9
   123,   460,19390113,-9999,    9
   123,   460,19390114,-9999,    9
   123,   460,19390115,-9999,    9
   123,   460,19390116,-9999,    9
   123,   460,19390117,-9999,    9
   123,   460,19390118,-9999,    9
   123,   460,19390119,-9999,    9
   123,   460,19390120,-9999,    9
   123,   460,19390121,-9999,    9
   123,   460,19390122,-9999,    9
   123,   460,19390123,-9999,    9
   123,   460,19390124,-9999,    9
   123,   460,19390125,-9999,    9
   123,   460,19390126,-9999,    9
   123,   460,19390127,-9999,    9
   123,   460,19390128,-9999,    9
   123,   460,19390129,-9999,    9
   123,   460,19390130,-9999,    9
   123,   460,19390131,-9999,    9
   123,   460,19390201,-9999,    9
   123,   460,19390202,-9999,    9
   123,   460,19390203,-9999,    9
   123,   460,19390204,-9999,    9
   123,   460,19390205,-9999,    9
   123,   460,19390206,-9999,    9
   123,   460,19390207,-9999,    9
   123,   460,19390208,-9999,    9
   123,   460,19390209,-9999,    9
   123,   460,19390210,-9999,    9
   123,   460,19390211,-9999,    9
   123,   460,19390212,-9999,    9
   123,   460,19390213,-9999,    9
   123,   460,19390214,-9999,    9
   123,   460,19390215,-9999,    9
   123,   460,19390216,-9999,    9
   123,   460,19390217,-9999,    9
   123,   460,19390218,-9999,    9
   123,   460,19390219,-9999,    9
   123,   460,19390220,-9999,    9
   123,   460,19390221,-9999,    9
   123,   460,19390222,-9999,    9
   123,   460,19390223,-9999,    9
   123,   460,19390224,-9999,    9
   123,   460,19390225,-9999,    9
   123,   460,19390226,-9999,    9
   123,   460,19390227,-9999,    9
   123,   460,19390228,-9999,    9
   123,   460,19390301,-9999,    9
   123,   460,19390302,-9999,    9
   123,   460,19390303,-9999,    9
   123,   460,19390304,-9999,    9
   123,   460,19390305,-9999,    9
   123,   460,19390306,-9999,    9
   123,   460,19390307,-9999,    9
   123,   460,19390308,-9999,    9
   123,   460,19390309,-9999,    9
   123,   460,19390310,-9999,    9
   123,   460,19390311,-9999,    9
   123,   460,19390312,-9999,    9
   123,   460,19390313,-9999,    9
   123,   460,19390314,-9999,    9
   123,   460,19390315,-9999,    9
   123,   460,19390316,-9999,    9
   123,   460,19390317,-9999,    9
   123,   460,19390318,-9999,    9
   123,   460,19390319,-9999,    9
   123,   460,19390320,-9999,    9
   123,   460,19390321,-9999,    9
   123,   460,19390322,-9999,    9
   123,   460,19390323,-9999,    9
   123,   460,19390324,-9999,    9
   123,   460,19390325,-9999,    9
   123,   460,19390326,-9999,    9
   123,   460,19390327,-9999,    9
   123,   460,19390328,-9999,    9
   123,   460,19390329,-9999,    9
   123,   460,19390330,-9999,    9
   123,   460,19390331,-9999,    9
   123,   460,19390401,-9999,    9
   123,   460,19390402,-9999,    9
   123,   460,19390403,-9999,    9
   123,   460,19390404,-9999,    9
   123,   460,19390405,-9999,    9
   123,   460,19390406,-9999,    9
   123,   460,19390407,-9999,    9
   123,   460,19390408,-9999,    9
   123,   460,19390409,-9999,    9
   123,   460,19390410,-9999,    9
   123,   460,19390411,-9999,    9
   123,   460,19390412,-9999,    9
   123,   460,19390413,-9999,    9
   123,   460,19390414,-9999,    9
   123,   460,19390415,-9999,    9
   123,   460,19390416,-9999,    9
   123,   460,19390417,-9999,    9
   123,   460,19390418,-9999,    9
   123,   460,19390419,-9999,    9
   123,   460,19390420,-9999,    9
   123,   460,19390421,-9999,    9
   123,   460,19390422,-9999,    9
   123,   460,19390423,-9999,    9
   123,   460,19390424,-9999,    9
   123,   460,19390425,-9999,    9
   123,   460,19390426,-9999,    9
   123,   460,19390427,-9999,    9
   123,   460,19390428,-9999,    9
   123,   460,19390429,-9999,    9
   123,   460,19390430,-9999,    9
   123,   460,19390501,-9999,    9
   123,   460,19390502,-9999,    9
   123,   460,19390503,-9999,    9
   123,   460,19390504,-9999,    9
   123,   460,19390505,-9999,    9
   123,   460,19390506,-9999,    9
   123,   460,19390507,-9999,    9
   123,   460,19390508,-9999,    9
   123,   460,19390509,-9999,    9
   123,   460,19390510,-9999,    9
   123,   460,19390511,-9999,    9
   123,   460,19390512,-9999,    9
   123,   460,19390513,-9999,    9
   123,   460,19390514,-9999,    9
   123,   460,19390515,-9999,    9
   123,   460,19390516,-9999,    9
   123,   460,19390517,-9999,    9
   123,   460,19390518,-9999,    9
   123,   460,19390519,-9999,    9
   123,   460,19390520,-9999,    9
   123,   460,19390521,-9999,    9
   123,   460,19390522,-9999,    9
   123,   460,19390523,-9999,    9
   123,   460,19390524,-9999,    9
   123,   460,19390525,-9999,    9
   123,   460,19390526,-9999,    9
   123,   460,19390527,-9999,    9
   123,   460,19390528,-9999,    9
   123,   460,19390529,-9999,    9
   123,   460,19390530,-9999,    9
   123,   460,19390531,-9999,    9
   123,   460,19390601,-9999,    9
   123,   460,19390602,-9999,    9
   123,   460,19390603,-9999,    9
   123,   460,19390604,-9999,    9
   123,   460,19390605,-9999,    9
   123,   460,19390606,-9999,    9
   123,   460,19390607,-9999,    9
   123,   460,19390608,-9999,    9
   123,   460,19390609,-9999,    9
   123,   460,19390610,-9999,    9
   123,   460,19390611,-9999,    9
   123,   460,19390612,-9999,    9
   123,   460,19390613,-9999,    9
   123,   460,19390614,-9999,    9
   123,   460,19390615,-9999,    9
   123,   460,19390616,-9999,    9
   123,   460,19390617,-9999,    9
   123,   460,19390618,-9999,    9
   123,   460,19390619,-9999,    9
   123,   460,19390620,-9999,    9
   123,   460,19390621,-9999,    9
   123,   460,19390622,-9999,    9
   123,   460,19390623,-9999,    9
   123,   460,19390624,-9999,    9
   123,   460,19390625,-9999,    9
   123,   460,19390626,-9999,    9
   123,   460,19390627,-9999,    9
   123,   460,19390628,-9999,    9
   123,   460,19390629,-9999,    9
   123,   460,19390630,-9999,    9
   123,   460,19390701,-9999,    9
   123,   460,19390702,-9999,    9
   123,   460,19390703,-9999,    9
   123,   460,19390704,-9999,    9
   123,   460,19390705,-9999,    9
   123,   460,19390706,-9999,    9
   123,   460,19390707,-9999,    9
   123,   460,19390708,-9999,    9
   123,   460,19390709,-9999,    9
   123,   460,19390710,-9999,    9
   123,   460,19390711,-9999,    9
   123,   460,19390712,-9999,    9
   123,   460,19390713,-9999,    9
   123,   460,19390714,-9999,    9
   123,   460,19390715,-9999,    9
   123,   460,19390716,-9999,    9
   123,   460,19390717,-9999,    9
   123,   460,19390718,-9999,    9
   123,   460,19390719,-9999,    9
   123,   460,19390720,-9999,    9
   123,   460,19390721,-9999,    9
   123,   460,19390722,-9999,    9
   123,   460,19390723,-9999,    9
   123,   460,19390724,-9999,    9
   123,   460,19390725,-9999,    9
   123,   460,19390726,-9999,    9
   123,   460,19390727,-9999,    9
   123,   460,19390728,-9999,    9
   123,   460,19390729,-9999,    9
   123,   460,19390730,-9999,    9
   123,   460,19390731,-9999,    9
   123,   460,19390801,-9999,    9
   123,   460,19390802,-9999,    9
   123,   460,19390803,-9999,    9
   123,   460,19390804,-9999,    9
   123,   460,19390805,-9999,    9
   123,   460,19390806,-9999,    9
   123,   460,19390807,-9999,    9
   123,   460,19390808,-9999,    9
   123,   460,19390809,-9999,    9
   123,   460,19390810,-9999,    9
   123,   460,19390811,-9999,    9
   123,   460,19390812,-9999,    9
   123,   460,19390813,-9999,    9
   123,   460,19390814,-9999,    9
   123,   460,19390815,-9999,    9
   123,   460,19390816,-9999,    9
   123,   460,19390817,-9999,    9
   123,   460,19390818,-9999,    9
   123,   460,19390819,-9999,    9
   123,   460,19390820,-9999,    9
   123,   460,19390821,-9999,    9
   123,   460,19390822,-9999,    9
   123,   460,19390823,-9999,    9
   123,   460,19390824,-9999,    9
   123,   460,19390825,-9999,    9
   123,   460,19390826,-9999,    9
   123,   460,19390827,-9999,    9
   123,   460,19390828,-9999,    9
   123,   460,19390829,-9999,    9
   123,   460,19390830,-9999,    9
   123,   460,19390831,-9999,    9
   123,   460,19390901,-9999,    9
   123,   460,19390902,-9999,    9
   123,   460,19390903,-9999,    9
   123,   460,19390904,-9999,    9
   123,   460,19390905,-9999,    9
   123,   460,19390906,-9999,    9
   123,   460,19390907,-9999,    9
   123,   460,19390908,-9999,    9
   123,   460,19390909,-9999,    9
   123,   460,19390910,-9999,    9
   123,   460,19390911,-9999,    9
   123,   460,19390912,-9999,    9
   123,   460,19390913,-9999,    9
   123,   460,19390914,-9999,    9
   123,   460,19390915,-9999,    9
   123,   460,19390916,-9999,    9
   123,   460,19390917,-9999,    9
   123,   460,19390918,-9999,    9
   123,   460,19390919,-9999,    9
   123,   460,19390920,-9999,    9
   123,   460,19390921,-9999,    9
   123,   460,19390922,-9999,    9
   123,   460,19390923,-9999,    9
   123,   460,19390924,-9999,    9
   123,   460,19390925,-9999,    9
   123,   460,19390926,-9999,    9
   123,   460,19390927,-9999,    9
   123,   460,19390928,-9999,    9
   123,   460,19390929,-9999,    9
   123,   460,19390930,-9999,    9
   123,   460,19391001,  110,    0
   123,   460,19391002,  116,    0
   123,   460,19391003,  108,    0
   123,   460,19391004,  109,    0
   123,   460,19391005,  131,    0
   123,   460,19391006,  111,    0
   123,   460,19391007,   94,    0
   123,   460,19391008,   96,    0
   123,   460,19391009,  118,    0
   123,   460,19391010,  124,    0
   123,   460,19391011,  133,    0
   123,   460,19391012,  127,    0
   123,   460,19391013,  134,    0
   123,   460,19391014,   99,    0
   123,   460,19391015,   86,    0
   123,   460,19391016,   72,    0
   123,   460,19391017,   70,    0
   123,   460,19391018,   71,    0
   123,   460,19391019,   68,    0
   123,   460,19391020,   81,    0
   123,   460,19391021,   96,    0
   123,   460,19391022,  120,    0
   123,   460,19391023,  119,    0
   123,   460,19391024,  118,    0
   123,   460,19391025,  116,    0
   123,   460,19391026,  112,    0
   123,   460,19391027,   64,    0
   123,   460,19391028,   59,    0
   123,   460,19391029,   43,    0
   123,   460,19391030,   63,    0
   123,   460,19391031,   76,    0
   123,   460,19391101,   89,    0
   123,   460,19391102,  110,    0
   123,   460,19391103,  114,    0
   123,   460,19391104,  101,    0
   123,   460,19391105,   91,    0
   123,   460,19391106,  100,    0
   123,   460,19391107,  109,    0
   123,   460,19391108,  109,    0
   123,   460,19391109,  110,    0
   123,   460,19391110,   89,    0
   123,   460,19391111,  114,    0
   123,   460,19391112,   85,    0
   123,   460,19391113,  100,    0
   123,   460,19391114,  122,    0
   123,   460,19391115,  115,    0
   123,   460,19391116,  114,    0
   123,   460,19391117,  132,    0
   123,   460,19391118,  128,    0
   123,   460,19391119,  106,    0
   123,   460,19391120,   91,    0
   123,   460,19391121,   86,    0
   123,   460,19391122,  111,    0
   123,   460,19391123,   78,    0
   123,   460,19391124,   83,    0
   123,   460,19391125,   87,    0
   123,   460,19391126,   96,    0
   123,   460,19391127,   90,    0
   123,   460,19391128,  102,    0
   123,   460,19391129,  112,    0
   123,   460,19391130,  119,    0
   123,   460,19391201,  118,    0
   123,   460,19391202,   89,    0
   123,   460,19391203,   90,    0
   123,   460,19391204,   64,    0
   123,   460,19391205,   79,    0
   123,   460,19391206,   60,    0
   123,   460,19391207,   71,    0
   123,   460,19391208,  101,    0
   123,   460,19391209,   97,    0
   123,   460,19391210,   93,    0
   123,   460,19391211,   85,    0
   123,   460,19391212,   54,    0
   123,   460,19391213,   58,    0
   123,   460,19391214,   71,    0
   123,   460,19391215,   38,    0
   123,   460,19391216,   33,    0
   123,   460,19391217,   20,    0
   123,   460,19391218,   17,    0
   123,   460,19391219,   15,    0
   123,   460,19391220,   28,    0
   123,   460,19391221,   33,    0
   123,   460,19391222,   42,    0
   123,   460,19391223,   14,    0
   123,   460,19391224,   14,    0
   123,   460,19391225,   20,    0
   123,   460,19391226,   36,    0
   123,   460,19391227,   31,    0
   123,   460,19391228,   59,    0
   123,   460,19391229,   58,    0
   123,   460,19391230,   65,    0
   123,   460,19391231,   91,    0
   123,   460,19400101,   84,    0
   123,   460,19400102,   77,    0
   123,   460,19400103,   51,    0
   123,   460,19400104,   63,    0
   123,   460,19400105,   95,    0
   123,   460,19400106,  108,    0
   123,   460,19400107,   97,    0
   123,   460,19400108,   90,    0
   123,   460,19400109,   94,    0
   123,   460,19400110,   94,    0
   123,   460,19400111,   82,    0
   123,   460,19400112,   38,    0
   123,   460,19400113,   24,    0
   123,   460,19400114,   18,    0
   123,   460,19400115,   33,    0
   123,   460,19400116,   38,    0
   123,   460,19400117,  -15,    0
   123,   460,19400118,   -6,    0
   123,   460,19400119,   -5,    0
   123,   460,19400120,    3,    0
   123,   460,19400121,   23,    0
   123,   460,19400122,   -1,    0
   123,   460,19400123,   19,    0
   123,   460,19400124,   75,    0
   123,   460,19400125,  102,    0
   123,   460,19400126,   99,    0
   123,   460,19400127,  102,    0
   123,   460,19400128,  112,    0
   123,   460,19400129,  103,    0
   123,   460,19400130,   49,    0
   123,   460,19400131,   60,    0
   123,   460,19400201,   81,    0
   123,   460,19400202,   78,    0
   123,   460,19400203,   96,    0
   123,   460,19400204,  104,    0
   123,   460,19400205,   80,    0
   123,   460,19400206,   77,    0
   123,   460,19400207,  100,    0
   123,   460,19400208,  104,    0
   123,   460,19400209,   71,    0
   123,   460,19400210,   66,    0
   123,   460,19400211,   57,    0
   123,   460,19400212,   32,    0
   123,   460,19400213,   30,    0
   123,   460,19400214,   11,    0
   123,   460,19400215,   31,    0
   123,   460,19400216,   62,    0
   123,   460,19400217,   80,    0
   123,   460,19400218,   82,    0
   123,   460,19400219,  105,    0
   123,   460,19400220,  115,    0
   123,   460,19400221,  115,    0
   123,   460,19400222,  117,    0
   123,   460,19400223,   81,    0
   123,   460,19400224,   86,    0
   123,   460,19400225,   81,    0
   123,   460,19400226,  110,    0
   123,   460,19400227,  115,    0
   123,   460,19400228,   70,    0
   123,   460,19400229,   47,    0
   123,   460,19400301,   45,    0
   123,   460,19400302,   58,    0
   123,   460,19400303,   52,    0
   123,   460,19400304,   52,    0
   123,   460,19400305,   41,    0
   123,   460,19400306,   53,    0
   123,   460,19400307,   59,    0
   123,   460,19400308,   86,    0
   123,   460,19400309,   98,    0
   123,   460,19400310,  109,    0
   123,   460,19400311,  108,    0
   123,   460,19400312,  110,    0
   123,   460,19400313,   71,    0
   123,   460,19400314,   48,    0
   123,   460,19400315,   57,    0
   123,   460,19400316,   88,    0
   123,   460,19400317,   97,    0
   123,   460,19400318,  120,    0
   123,   460,19400319,   69,    0
   123,   460,19400320,   79,    0
   123,   460,19400321,  104,    0
   123,   460,19400322,  111,    0
   123,   460,19400323,  105,    0
   123,   460,19400324,  107,    0
   123,   460,19400325,   99,    0
   123,   460,19400326,   89,    0
   123,   460,19400327,   78,    0
   123,   460,19400328,   77,    0
   123,   460,19400329,   86,    0
   123,   460,19400330,  103,    0
   123,   460,19400331,  109,    0
   123,   460,19400401,   84,    0
   123,   460,19400402,   74,    0
   123,   460,19400403,   77,    0
   123,   460,19400404,  105,    0
   123,   460,19400405,  104,    0
   123,   460,19400406,  111,    0
   123,   460,19400407,  100,    0
   123,   460,19400408,  102,    0
   123,   460,19400409,  100,    0
   123,   460,19400410,   97,    0
   123,   460,19400411,   94,    0
   123,   460,19400412,  100,    0
   123,   460,19400413,   99,    0
   123,   460,19400414,  101,    0
   123,   460,19400415,   74,    0
   123,   460,19400416,   48,    0
   123,   460,19400417,   54,    0
   123,   460,19400418,   40,    0
   123,   460,19400419,   41,    0
   123,   460,19400420,   71,    0
   123,   460,19400421,  111,    0
   123,   460,19400422,  144,    0
   123,   460,19400423,  124,    0
   123,   460,19400424,  120,    0
   123,   460,19400425,  126,    0
   123,   460,19400426,  123,    0
   123,   460,19400427,  127,    0
   123,   460,19400428,  108,    0
   123,   460,19400429,  112,    0
   123,   460,19400430,   89,    0
   123,   460,19400501,   98,    0
