EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DEN HELDER, NETHERLANDS (STAID: 160)
Blended and updated with sources:513 517 906235 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   160,   513,19060101,  -22,    0
   160,   513,19060102,  -19,    0
   160,   513,19060103,   -7,    0
   160,   513,19060104,   57,    0
   160,   513,19060105,   60,    0
   160,   513,19060106,   62,    0
   160,   513,19060107,   53,    0
   160,   513,19060108,   38,    0
   160,   513,19060109,   51,    0
   160,   513,19060110,   60,    0
   160,   513,19060111,   55,    0
   160,   513,19060112,   56,    0
   160,   513,19060113,   61,    0
   160,   513,19060114,   53,    0
   160,   513,19060115,   50,    0
   160,   513,19060116,   61,    0
   160,   513,19060117,   59,    0
   160,   513,19060118,   54,    0
   160,   513,19060119,   52,    0
   160,   513,19060120,   45,    0
   160,   513,19060121,   42,    0
   160,   513,19060122,   16,    0
   160,   513,19060123,   -6,    0
   160,   513,19060124,    6,    0
   160,   513,19060125,   20,    0
   160,   513,19060126,   55,    0
   160,   513,19060127,   63,    0
   160,   513,19060128,   64,    0
   160,   513,19060129,   63,    0
   160,   513,19060130,   58,    0
   160,   513,19060131,   46,    0
   160,   513,19060201,   51,    0
   160,   513,19060202,   53,    0
   160,   513,19060203,   35,    0
   160,   513,19060204,   30,    0
   160,   513,19060205,   12,    0
   160,   513,19060206,   -4,    0
   160,   513,19060207,   36,    0
   160,   513,19060208,   41,    0
   160,   513,19060209,   17,    0
   160,   513,19060210,   19,    0
   160,   513,19060211,   42,    0
   160,   513,19060212,   36,    0
   160,   513,19060213,    4,    0
   160,   513,19060214,    8,    0
   160,   513,19060215,   14,    0
   160,   513,19060216,   32,    0
   160,   513,19060217,   48,    0
   160,   513,19060218,   36,    0
   160,   513,19060219,   50,    0
   160,   513,19060220,   42,    0
   160,   513,19060221,   42,    0
   160,   513,19060222,   39,    0
   160,   513,19060223,    2,    0
   160,   513,19060224,   17,    0
   160,   513,19060225,   30,    0
   160,   513,19060226,   49,    0
   160,   513,19060227,   50,    0
   160,   513,19060228,   38,    0
   160,   513,19060301,   43,    0
   160,   513,19060302,   38,    0
   160,   513,19060303,   43,    0
   160,   513,19060304,   55,    0
   160,   513,19060305,   56,    0
   160,   513,19060306,   74,    0
   160,   513,19060307,   78,    0
   160,   513,19060308,   66,    0
   160,   513,19060309,   52,    0
   160,   513,19060310,   31,    0
   160,   513,19060311,   52,    0
   160,   513,19060312,   32,    0
   160,   513,19060313,    7,    0
   160,   513,19060314,   21,    0
   160,   513,19060315,   49,    0
   160,   513,19060316,   70,    0
   160,   513,19060317,   74,    0
   160,   513,19060318,   60,    0
   160,   513,19060319,   42,    0
   160,   513,19060320,   42,    0
   160,   513,19060321,   23,    0
   160,   513,19060322,    5,    0
   160,   513,19060323,    4,    0
   160,   513,19060324,   17,    0
   160,   513,19060325,   12,    0
   160,   513,19060326,   17,    0
   160,   513,19060327,   23,    0
   160,   513,19060328,   28,    0
   160,   513,19060329,   31,    0
   160,   513,19060330,   37,    0
   160,   513,19060331,   48,    0
   160,   513,19060401,   40,    0
   160,   513,19060402,   46,    0
   160,   513,19060403,   63,    0
