EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DE KOOY, NETHERLANDS (STAID: 161)
Blended and updated with sources:517 906235 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   161,   517,19060101,  -28,    0
   161,   517,19060102,  -25,    0
   161,   517,19060103,  -12,    0
   161,   517,19060104,   56,    0
   161,   517,19060105,   60,    0
   161,   517,19060106,   62,    0
   161,   517,19060107,   52,    0
   161,   517,19060108,   34,    0
   161,   517,19060109,   50,    0
   161,   517,19060110,   60,    0
   161,   517,19060111,   54,    0
   161,   517,19060112,   55,    0
   161,   517,19060113,   61,    0
   161,   517,19060114,   52,    0
   161,   517,19060115,   49,    0
   161,   517,19060116,   61,    0
   161,   517,19060117,   59,    0
   161,   517,19060118,   53,    0
   161,   517,19060119,   51,    0
   161,   517,19060120,   43,    0
   161,   517,19060121,   39,    0
   161,   517,19060122,   12,    0
   161,   517,19060123,  -11,    0
   161,   517,19060124,    2,    0
   161,   517,19060125,   16,    0
   161,   517,19060126,   54,    0
   161,   517,19060127,   63,    0
   161,   517,19060128,   64,    0
   161,   517,19060129,   63,    0
   161,   517,19060130,   58,    0
   161,   517,19060131,   44,    0
   161,   517,19060201,   51,    0
   161,   517,19060202,   53,    0
   161,   517,19060203,   33,    0
   161,   517,19060204,   27,    0
   161,   517,19060205,    9,    0
   161,   517,19060206,   -8,    0
   161,   517,19060207,   34,    0
   161,   517,19060208,   40,    0
   161,   517,19060209,   14,    0
   161,   517,19060210,   16,    0
   161,   517,19060211,   41,    0
   161,   517,19060212,   34,    0
   161,   517,19060213,    1,    0
   161,   517,19060214,    5,    0
   161,   517,19060215,   11,    0
   161,   517,19060216,   29,    0
   161,   517,19060217,   48,    0
   161,   517,19060218,   34,    0
   161,   517,19060219,   50,    0
   161,   517,19060220,   41,    0
   161,   517,19060221,   41,    0
   161,   517,19060222,   37,    0
   161,   517,19060223,   -2,    0
   161,   517,19060224,   14,    0
   161,   517,19060225,   27,    0
   161,   517,19060226,   49,    0
   161,   517,19060227,   50,    0
   161,   517,19060228,   36,    0
   161,   517,19060301,   41,    0
   161,   517,19060302,   36,    0
   161,   517,19060303,   41,    0
   161,   517,19060304,   54,    0
   161,   517,19060305,   56,    0
   161,   517,19060306,   74,    0
   161,   517,19060307,   78,    0
   161,   517,19060308,   66,    0
   161,   517,19060309,   51,    0
   161,   517,19060310,   29,    0
   161,   517,19060311,   51,    0
   161,   517,19060312,   30,    0
   161,   517,19060313,    2,    0
   161,   517,19060314,   18,    0
   161,   517,19060315,   48,    0
   161,   517,19060316,   70,    0
   161,   517,19060317,   74,    0
   161,   517,19060318,   60,    0
   161,   517,19060319,   40,    0
   161,   517,19060320,   40,    0
   161,   517,19060321,   20,    0
   161,   517,19060322,    0,    0
   161,   517,19060323,   -1,    0
   161,   517,19060324,   14,    0
   161,   517,19060325,    8,    0
   161,   517,19060326,   14,    0
   161,   517,19060327,   20,    0
   161,   517,19060328,   26,    0
   161,   517,19060329,   29,    0
   161,   517,19060330,   35,    0
   161,   517,19060331,   47,    0
   161,   517,19060401,   35,    0
   161,   517,19060402,   42,    0
   161,   517,19060403,   61,    0
   161,   517,19060404,   80,    0
   161,   517,19060405,   69,    0
   161,   517,19060406,   64,    0
   161,   517,19060407,   64,    0
   161,   517,19060408,   64,    0
   161,   517,19060409,   65,    0
   161,   517,19060410,   84,    0
   161,   517,19060411,  108,    0
   161,   517,19060412,  117,    0
   161,   517,19060413,  122,    0
   161,   517,19060414,   70,    0
   161,   517,19060415,   60,    0
   161,   517,19060416,   73,    0
   161,   517,19060417,   71,    0
   161,   517,19060418,   64,    0
   161,   517,19060419,   58,    0
   161,   517,19060420,   66,    0
   161,   517,19060421,   87,    0
   161,   517,19060422,   77,    0
   161,   517,19060423,   57,    0
   161,   517,19060424,   46,    0
   161,   517,19060425,   52,    0
   161,   517,19060426,   61,    0
   161,   517,19060427,   60,    0
   161,   517,19060428,   57,    0
   161,   517,19060429,   58,    0
   161,   517,19060430,   59,    0
   161,   517,19060501,   57,    0
   161,   517,19060502,   81,    0
   161,   517,19060503,  105,    0
   161,   517,19060504,  106,    0
   161,   517,19060505,   85,    0
   161,   517,19060506,  116,    0
   161,   517,19060507,  127,    0
   161,   517,19060508,  139,    0
   161,   517,19060509,  121,    0
   161,   517,19060510,   77,    0
   161,   517,19060511,  104,    0
   161,   517,19060512,  126,    0
   161,   517,19060513,  141,    0
   161,   517,19060514,  124,    0
   161,   517,19060515,   85,    0
   161,   517,19060516,   81,    0
   161,   517,19060517,   91,    0
   161,   517,19060518,  114,    0
   161,   517,19060519,   90,    0
   161,   517,19060520,   96,    0
   161,   517,19060521,   95,    0
   161,   517,19060522,  104,    0
   161,   517,19060523,  141,    0
   161,   517,19060524,  152,    0
   161,   517,19060525,  108,    0
   161,   517,19060526,  113,    0
   161,   517,19060527,  118,    0
   161,   517,19060528,  131,    0
   161,   517,19060529,  130,    0
   161,   517,19060530,  123,    0
   161,   517,19060531,  125,    0
   161,   517,19060601,  106,    0
   161,   517,19060602,  102,    0
   161,   517,19060603,   99,    0
   161,   517,19060604,   93,    0
   161,   517,19060605,   96,    0
   161,   517,19060606,  104,    0
   161,   517,19060607,  118,    0
   161,   517,19060608,  130,    0
   161,   517,19060609,  122,    0
   161,   517,19060610,  114,    0
   161,   517,19060611,  110,    0
   161,   517,19060612,  108,    0
   161,   517,19060613,  106,    0
   161,   517,19060614,  109,    0
   161,   517,19060615,  109,    0
   161,   517,19060616,  136,    0
   161,   517,19060617,  155,    0
   161,   517,19060618,  148,    0
   161,   517,19060619,  140,    0
   161,   517,19060620,  155,    0
   161,   517,19060621,  159,    0
   161,   517,19060622,  150,    0
   161,   517,19060623,  155,    0
   161,   517,19060624,  179,    0
   161,   517,19060625,  157,    0
   161,   517,19060626,  162,    0
   161,   517,19060627,  169,    0
   161,   517,19060628,  145,    0
   161,   517,19060629,  123,    0
   161,   517,19060630,  121,    0
   161,   517,19060701,  137,    0
   161,   517,19060702,  136,    0
   161,   517,19060703,  151,    0
   161,   517,19060704,  165,    0
   161,   517,19060705,  151,    0
   161,   517,19060706,  154,    0
   161,   517,19060707,  163,    0
   161,   517,19060708,  159,    0
   161,   517,19060709,  165,    0
   161,   517,19060710,  170,    0
   161,   517,19060711,  144,    0
   161,   517,19060712,  118,    0
   161,   517,19060713,  140,    0
   161,   517,19060714,  143,    0
   161,   517,19060715,  149,    0
   161,   517,19060716,  151,    0
   161,   517,19060717,  169,    0
   161,   517,19060718,  186,    0
   161,   517,19060719,  155,    0
   161,   517,19060720,  146,    0
   161,   517,19060721,  153,    0
   161,   517,19060722,  155,    0
   161,   517,19060723,  183,    0
   161,   517,19060724,  163,    0
   161,   517,19060725,  162,    0
   161,   517,19060726,  171,    0
   161,   517,19060727,  183,    0
   161,   517,19060728,  184,    0
   161,   517,19060729,  173,    0
   161,   517,19060730,  211,    0
   161,   517,19060731,  239,    0
   161,   517,19060801,  190,    0
   161,   517,19060802,  215,    0
   161,   517,19060803,  197,    0
   161,   517,19060804,  174,    0
   161,   517,19060805,  170,    0
   161,   517,19060806,  165,    0
   161,   517,19060807,  159,    0
   161,   517,19060808,  186,    0
   161,   517,19060809,  172,    0
   161,   517,19060810,  159,    0
   161,   517,19060811,  158,    0
   161,   517,19060812,  166,    0
   161,   517,19060813,  213,    0
   161,   517,19060814,  175,    0
   161,   517,19060815,  168,    0
   161,   517,19060816,  163,    0
   161,   517,19060817,  154,    0
   161,   517,19060818,  150,    0
   161,   517,19060819,  143,    0
   161,   517,19060820,  167,    0
   161,   517,19060821,  180,    0
   161,   517,19060822,  186,    0
   161,   517,19060823,  162,    0
   161,   517,19060824,  162,    0
   161,   517,19060825,  164,    0
   161,   517,19060826,  165,    0
   161,   517,19060827,  154,    0
   161,   517,19060828,  140,    0
   161,   517,19060829,  139,    0
   161,   517,19060830,  181,    0
   161,   517,19060831,  200,    0
   161,   517,19060901,  205,    0
   161,   517,19060902,  232,    0
   161,   517,19060903,  223,    0
   161,   517,19060904,  172,    0
   161,   517,19060905,  164,    0
   161,   517,19060906,  165,    0
   161,   517,19060907,  178,    0
   161,   517,19060908,  178,    0
   161,   517,19060909,  157,    0
   161,   517,19060910,  144,    0
   161,   517,19060911,  148,    0
   161,   517,19060912,  149,    0
   161,   517,19060913,  139,    0
   161,   517,19060914,  144,    0
   161,   517,19060915,  149,    0
   161,   517,19060916,  138,    0
   161,   517,19060917,  122,    0
   161,   517,19060918,  131,    0
   161,   517,19060919,  125,    0
   161,   517,19060920,  140,    0
   161,   517,19060921,  144,    0
   161,   517,19060922,  142,    0
   161,   517,19060923,  138,    0
   161,   517,19060924,  113,    0
   161,   517,19060925,  107,    0
   161,   517,19060926,  130,    0
   161,   517,19060927,  135,    0
   161,   517,19060928,  141,    0
   161,   517,19060929,  134,    0
   161,   517,19060930,  133,    0
   161,   517,19061001,  133,    0
   161,   517,19061002,  138,    0
   161,   517,19061003,  146,    0
   161,   517,19061004,  142,    0
   161,   517,19061005,  153,    0
   161,   517,19061006,  154,    0
   161,   517,19061007,  155,    0
   161,   517,19061008,  141,    0
   161,   517,19061009,  152,    0
   161,   517,19061010,  150,    0
   161,   517,19061011,  142,    0
   161,   517,19061012,  127,    0
   161,   517,19061013,  118,    0
   161,   517,19061014,  106,    0
   161,   517,19061015,  115,    0
   161,   517,19061016,  135,    0
   161,   517,19061017,  137,    0
   161,   517,19061018,  112,    0
   161,   517,19061019,  112,    0
   161,   517,19061020,  111,    0
   161,   517,19061021,  126,    0
   161,   517,19061022,  131,    0
   161,   517,19061023,  134,    0
   161,   517,19061024,  106,    0
   161,   517,19061025,  108,    0
   161,   517,19061026,   95,    0
   161,   517,19061027,   85,    0
   161,   517,19061028,   91,    0
   161,   517,19061029,   83,    0
   161,   517,19061030,   91,    0
   161,   517,19061031,   76,    0
   161,   517,19061101,   86,    0
   161,   517,19061102,   83,    0
   161,   517,19061103,   69,    0
   161,   517,19061104,   79,    0
   161,   517,19061105,   99,    0
   161,   517,19061106,   71,    0
   161,   517,19061107,   98,    0
   161,   517,19061108,   90,    0
   161,   517,19061109,   88,    0
   161,   517,19061110,   84,    0
   161,   517,19061111,   88,    0
   161,   517,19061112,   93,    0
   161,   517,19061113,   91,    0
   161,   517,19061114,   65,    0
   161,   517,19061115,   61,    0
   161,   517,19061116,   80,    0
   161,   517,19061117,  102,    0
   161,   517,19061118,   75,    0
   161,   517,19061119,   55,    0
   161,   517,19061120,   71,    0
   161,   517,19061121,   71,    0
   161,   517,19061122,  111,    0
   161,   517,19061123,   98,    0
   161,   517,19061124,   81,    0
   161,   517,19061125,   93,    0
   161,   517,19061126,  100,    0
   161,   517,19061127,  101,    0
   161,   517,19061128,  102,    0
   161,   517,19061129,  114,    0
   161,   517,19061130,  100,    0
   161,   517,19061201,   72,    0
   161,   517,19061202,   86,    0
   161,   517,19061203,  102,    0
   161,   517,19061204,   79,    0
   161,   517,19061205,   72,    0
   161,   517,19061206,   52,    0
   161,   517,19061207,    5,    0
   161,   517,19061208,   59,    0
   161,   517,19061209,   50,    0
   161,   517,19061210,   41,    0
   161,   517,19061211,   40,    0
   161,   517,19061212,   52,    0
   161,   517,19061213,   39,    0
   161,   517,19061214,   43,    0
   161,   517,19061215,   34,    0
   161,   517,19061216,   20,    0
   161,   517,19061217,    5,    0
   161,   517,19061218,   10,    0
   161,   517,19061219,  -12,    0
   161,   517,19061220,    1,    0
   161,   517,19061221,  -30,    0
   161,   517,19061222,  -36,    0
   161,   517,19061223,  -46,    0
   161,   517,19061224,   26,    0
   161,   517,19061225,   14,    0
   161,   517,19061226,  -18,    0
   161,   517,19061227,  -14,    0
   161,   517,19061228,   -8,    0
   161,   517,19061229,  -49,    0
   161,   517,19061230,  -33,    0
   161,   517,19061231,   -6,    0
   161,   517,19070101,   40,    0
   161,   517,19070102,   60,    0
   161,   517,19070103,   45,    0
   161,   517,19070104,   45,    0
   161,   517,19070105,   44,    0
   161,   517,19070106,   54,    0
   161,   517,19070107,   50,    0
   161,   517,19070108,   50,    0
   161,   517,19070109,   48,    0
   161,   517,19070110,   55,    0
   161,   517,19070111,   54,    0
   161,   517,19070112,   59,    0
   161,   517,19070113,   55,    0
   161,   517,19070114,   61,    0
   161,   517,19070115,   58,    0
   161,   517,19070116,   58,    0
   161,   517,19070117,   51,    0
   161,   517,19070118,   36,    0
   161,   517,19070119,   31,    0
   161,   517,19070120,    7,    0
   161,   517,19070121,   13,    0
   161,   517,19070122,  -80,    0
   161,   517,19070123, -101,    0
   161,   517,19070124,  -91,    0
   161,   517,19070125,  -21,    0
   161,   517,19070126,   -2,    0
   161,   517,19070127,    9,    0
   161,   517,19070128,   45,    0
   161,   517,19070129,   28,    0
   161,   517,19070130,   25,    0
   161,   517,19070131,    9,    0
   161,   517,19070201,   -9,    0
   161,   517,19070202,  -17,    0
