EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EELDE, NETHERLANDS (STAID: 164)
Blended and updated with sources:529 906280 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   164,   529,19060101,-9999,    9
   164,   529,19060102,-9999,    9
   164,   529,19060103,-9999,    9
   164,   529,19060104,-9999,    9
   164,   529,19060105,-9999,    9
   164,   529,19060106,-9999,    9
   164,   529,19060107,-9999,    9
   164,   529,19060108,-9999,    9
   164,   529,19060109,-9999,    9
   164,   529,19060110,-9999,    9
   164,   529,19060111,-9999,    9
   164,   529,19060112,-9999,    9
   164,   529,19060113,-9999,    9
   164,   529,19060114,-9999,    9
   164,   529,19060115,-9999,    9
   164,   529,19060116,-9999,    9
   164,   529,19060117,-9999,    9
   164,   529,19060118,-9999,    9
   164,   529,19060119,-9999,    9
   164,   529,19060120,-9999,    9
   164,   529,19060121,-9999,    9
   164,   529,19060122,-9999,    9
   164,   529,19060123,-9999,    9
   164,   529,19060124,-9999,    9
   164,   529,19060125,-9999,    9
   164,   529,19060126,-9999,    9
   164,   529,19060127,-9999,    9
   164,   529,19060128,-9999,    9
   164,   529,19060129,-9999,    9
   164,   529,19060130,-9999,    9
   164,   529,19060131,-9999,    9
   164,   529,19060201,-9999,    9
   164,   529,19060202,-9999,    9
   164,   529,19060203,-9999,    9
   164,   529,19060204,-9999,    9
   164,   529,19060205,-9999,    9
   164,   529,19060206,-9999,    9
   164,   529,19060207,-9999,    9
   164,   529,19060208,-9999,    9
   164,   529,19060209,-9999,    9
   164,   529,19060210,-9999,    9
   164,   529,19060211,-9999,    9
   164,   529,19060212,-9999,    9
   164,   529,19060213,-9999,    9
   164,   529,19060214,-9999,    9
   164,   529,19060215,-9999,    9
   164,   529,19060216,-9999,    9
   164,   529,19060217,-9999,    9
   164,   529,19060218,-9999,    9
   164,   529,19060219,-9999,    9
   164,   529,19060220,-9999,    9
   164,   529,19060221,-9999,    9
   164,   529,19060222,-9999,    9
   164,   529,19060223,-9999,    9
   164,   529,19060224,-9999,    9
   164,   529,19060225,-9999,    9
   164,   529,19060226,-9999,    9
   164,   529,19060227,-9999,    9
   164,   529,19060228,-9999,    9
   164,   529,19060301,   22,    0
   164,   529,19060302,   17,    0
   164,   529,19060303,   20,    0
   164,   529,19060304,   48,    0
   164,   529,19060305,   64,    0
   164,   529,19060306,   86,    0
   164,   529,19060307,   98,    0
   164,   529,19060308,   69,    0
   164,   529,19060309,   38,    0
   164,   529,19060310,   17,    0
   164,   529,19060311,   37,    0
   164,   529,19060312,   20,    0
   164,   529,19060313,  -17,    0
   164,   529,19060314,   -2,    0
   164,   529,19060315,   22,    0
   164,   529,19060316,   75,    0
   164,   529,19060317,   79,    0
   164,   529,19060318,   55,    0
   164,   529,19060319,   28,    0
   164,   529,19060320,   30,    0
   164,   529,19060321,    0,    0
   164,   529,19060322,   -7,    0
   164,   529,19060323,  -12,    0
   164,   529,19060324,   -3,    0
   164,   529,19060325,    2,    0
   164,   529,19060326,    8,    0
   164,   529,19060327,    9,    0
   164,   529,19060328,   12,    0
   164,   529,19060329,   17,    0
   164,   529,19060330,   20,    0
   164,   529,19060331,   49,    0
   164,   529,19060401,   37,    0
   164,   529,19060402,   47,    0
   164,   529,19060403,   54,    0
   164,   529,19060404,   65,    0
   164,   529,19060405,   60,    0
   164,   529,19060406,   67,    0
   164,   529,19060407,   60,    0
   164,   529,19060408,   59,    0
   164,   529,19060409,   71,    0
   164,   529,19060410,  109,    0
   164,   529,19060411,  137,    0
   164,   529,19060412,  139,    0
   164,   529,19060413,  131,    0
   164,   529,19060414,   79,    0
   164,   529,19060415,   59,    0
   164,   529,19060416,   73,    0
   164,   529,19060417,   91,    0
   164,   529,19060418,   64,    0
   164,   529,19060419,   55,    0
   164,   529,19060420,   60,    0
   164,   529,19060421,  101,    0
   164,   529,19060422,   76,    0
   164,   529,19060423,   45,    0
   164,   529,19060424,   23,    0
   164,   529,19060425,   40,    0
   164,   529,19060426,   45,    0
   164,   529,19060427,   52,    0
   164,   529,19060428,   35,    0
   164,   529,19060429,   59,    0
   164,   529,19060430,   54,    0
   164,   529,19060501,   51,    0
   164,   529,19060502,   70,    0
   164,   529,19060503,  101,    0
   164,   529,19060504,  127,    0
   164,   529,19060505,  124,    0
   164,   529,19060506,  140,    0
   164,   529,19060507,  158,    0
   164,   529,19060508,  183,    0
   164,   529,19060509,  159,    0
   164,   529,19060510,   82,    0
   164,   529,19060511,   96,    0
   164,   529,19060512,  148,    0
   164,   529,19060513,  157,    0
   164,   529,19060514,  134,    0
   164,   529,19060515,  106,    0
   164,   529,19060516,   82,    0
   164,   529,19060517,  101,    0
   164,   529,19060518,  104,    0
   164,   529,19060519,   95,    0
   164,   529,19060520,  102,    0
   164,   529,19060521,   86,    0
   164,   529,19060522,  106,    0
   164,   529,19060523,  133,    0
   164,   529,19060524,  157,    0
   164,   529,19060525,  127,    0
   164,   529,19060526,  119,    0
   164,   529,19060527,  137,    0
   164,   529,19060528,  150,    0
   164,   529,19060529,  142,    0
   164,   529,19060530,  117,    0
   164,   529,19060531,  131,    0
   164,   529,19060601,   93,    0
   164,   529,19060602,   96,    0
   164,   529,19060603,   98,    0
   164,   529,19060604,   88,    0
   164,   529,19060605,   90,    0
   164,   529,19060606,   99,    0
   164,   529,19060607,  116,    0
   164,   529,19060608,  127,    0
   164,   529,19060609,  120,    0
   164,   529,19060610,  106,    0
   164,   529,19060611,  119,    0
   164,   529,19060612,  111,    0
   164,   529,19060613,  103,    0
   164,   529,19060614,  104,    0
   164,   529,19060615,  111,    0
   164,   529,19060616,  157,    0
   164,   529,19060617,  184,    0
   164,   529,19060618,  181,    0
   164,   529,19060619,  160,    0
   164,   529,19060620,  160,    0
   164,   529,19060621,  166,    0
   164,   529,19060622,  158,    0
   164,   529,19060623,  150,    0
   164,   529,19060624,  163,    0
   164,   529,19060625,  169,    0
   164,   529,19060626,  167,    0
   164,   529,19060627,  181,    0
   164,   529,19060628,  161,    0
   164,   529,19060629,  119,    0
   164,   529,19060630,  103,    0
   164,   529,19060701,  115,    0
   164,   529,19060702,  125,    0
   164,   529,19060703,  156,    0
   164,   529,19060704,  170,    0
   164,   529,19060705,  156,    0
   164,   529,19060706,  148,    0
   164,   529,19060707,  150,    0
   164,   529,19060708,  178,    0
   164,   529,19060709,  155,    0
   164,   529,19060710,  155,    0
   164,   529,19060711,  144,    0
   164,   529,19060712,  105,    0
   164,   529,19060713,  124,    0
   164,   529,19060714,  141,    0
   164,   529,19060715,  151,    0
   164,   529,19060716,  139,    0
   164,   529,19060717,  161,    0
   164,   529,19060718,  194,    0
   164,   529,19060719,  159,    0
   164,   529,19060720,  122,    0
   164,   529,19060721,  126,    0
   164,   529,19060722,  155,    0
   164,   529,19060723,  192,    0
   164,   529,19060724,  174,    0
   164,   529,19060725,  148,    0
   164,   529,19060726,  158,    0
   164,   529,19060727,  172,    0
   164,   529,19060728,  196,    0
   164,   529,19060729,  193,    0
   164,   529,19060730,  219,    0
   164,   529,19060731,  230,    0
   164,   529,19060801,  208,    0
   164,   529,19060802,  201,    0
   164,   529,19060803,  190,    0
   164,   529,19060804,  163,    0
   164,   529,19060805,  148,    0
   164,   529,19060806,  146,    0
   164,   529,19060807,  147,    0
   164,   529,19060808,  166,    0
   164,   529,19060809,  158,    0
   164,   529,19060810,  150,    0
   164,   529,19060811,  141,    0
   164,   529,19060812,  149,    0
   164,   529,19060813,  200,    0
   164,   529,19060814,  188,    0
   164,   529,19060815,  156,    0
   164,   529,19060816,  144,    0
   164,   529,19060817,  127,    0
   164,   529,19060818,  128,    0
   164,   529,19060819,  128,    0
   164,   529,19060820,  150,    0
   164,   529,19060821,  170,    0
   164,   529,19060822,  191,    0
   164,   529,19060823,  149,    0
   164,   529,19060824,  143,    0
   164,   529,19060825,  149,    0
   164,   529,19060826,  146,    0
   164,   529,19060827,  138,    0
   164,   529,19060828,  120,    0
   164,   529,19060829,  135,    0
   164,   529,19060830,  172,    0
   164,   529,19060831,  195,    0
   164,   529,19060901,  219,    0
   164,   529,19060902,  221,    0
   164,   529,19060903,  208,    0
   164,   529,19060904,  199,    0
   164,   529,19060905,  158,    0
   164,   529,19060906,  139,    0
   164,   529,19060907,  150,    0
   164,   529,19060908,  168,    0
   164,   529,19060909,  130,    0
   164,   529,19060910,  117,    0
   164,   529,19060911,  127,    0
