EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEST SOUBURG, NETHERLANDS (STAID: 165)
Blended and updated with sources:533 537 906310 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   165,   537,19060101,  -11,    0
   165,   537,19060102,    1,    0
   165,   537,19060103,   26,    0
   165,   537,19060104,   63,    0
   165,   537,19060105,   69,    0
   165,   537,19060106,   71,    0
   165,   537,19060107,   54,    0
   165,   537,19060108,   53,    0
   165,   537,19060109,   54,    0
   165,   537,19060110,   58,    0
   165,   537,19060111,   47,    0
   165,   537,19060112,   56,    0
   165,   537,19060113,   73,    0
   165,   537,19060114,   59,    0
   165,   537,19060115,   48,    0
   165,   537,19060116,   62,    0
   165,   537,19060117,   63,    0
   165,   537,19060118,   62,    0
   165,   537,19060119,   50,    0
   165,   537,19060120,   44,    0
   165,   537,19060121,   50,    0
   165,   537,19060122,    9,    0
   165,   537,19060123,  -13,    0
   165,   537,19060124,   -9,    0
   165,   537,19060125,   12,    0
   165,   537,19060126,   45,    0
   165,   537,19060127,   55,    0
   165,   537,19060128,   61,    0
   165,   537,19060129,   63,    0
   165,   537,19060130,   56,    0
   165,   537,19060131,   50,    0
   165,   537,19060201,   48,    0
   165,   537,19060202,   55,    0
   165,   537,19060203,   37,    0
   165,   537,19060204,   26,    0
   165,   537,19060205,    3,    0
   165,   537,19060206,   -4,    0
   165,   537,19060207,   27,    0
   165,   537,19060208,   29,    0
   165,   537,19060209,   14,    0
   165,   537,19060210,   19,    0
   165,   537,19060211,   41,    0
   165,   537,19060212,   27,    0
   165,   537,19060213,   17,    0
   165,   537,19060214,   24,    0
   165,   537,19060215,   30,    0
   165,   537,19060216,   37,    0
   165,   537,19060217,   58,    0
   165,   537,19060218,   49,    0
   165,   537,19060219,   56,    0
   165,   537,19060220,   40,    0
   165,   537,19060221,   40,    0
   165,   537,19060222,   31,    0
   165,   537,19060223,   20,    0
   165,   537,19060224,   20,    0
   165,   537,19060225,   41,    0
