EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORD ODAL, NORWAY (STAID: 183)
Blended and updated with sources:9694 99441 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   183, 99441,20130101,-9999,    9
   183, 99441,20130102,-9999,    9
   183, 99441,20130103,-9999,    9
   183, 99441,20130104,  -35,    0
   183, 99441,20130105,  -27,    0
   183, 99441,20130106,   -8,    0
   183, 99441,20130107,    3,    0
   183, 99441,20130108,-9999,    9
   183, 99441,20130109,  -42,    0
   183, 99441,20130110,  -27,    0
   183, 99441,20130111,  -64,    0
   183, 99441,20130112, -136,    0
   183, 99441,20130113, -176,    0
   183, 99441,20130114, -162,    0
   183, 99441,20130115, -131,    0
   183, 99441,20130116, -115,    0
   183, 99441,20130117,  -92,    0
   183, 99441,20130118, -141,    0
   183, 99441,20130119,-9999,    9
   183, 99441,20130120,-9999,    9
   183, 99441,20130121,-9999,    9
   183, 99441,20130122, -206,    0
   183, 99441,20130123,-9999,    9
   183, 99441,20130124,-9999,    9
   183, 99441,20130125,-9999,    9
   183, 99441,20130126,-9999,    9
   183, 99441,20130127,-9999,    9
   183, 99441,20130128,-9999,    9
   183, 99441,20130129,    8,    0
   183, 99441,20130130,   20,    0
   183, 99441,20130131,  -11,    0
   183, 99441,20130201, -107,    0
   183, 99441,20130202, -124,    0
   183, 99441,20130203, -110,    0
   183, 99441,20130204,  -27,    0
   183, 99441,20130205,  -58,    0
   183, 99441,20130206,  -20,    0
   183, 99441,20130207,-9999,    9
   183, 99441,20130208,-9999,    9
   183, 99441,20130209,-9999,    9
   183, 99441,20130210,-9999,    9
   183, 99441,20130211,-9999,    9
   183, 99441,20130212,  -57,    0
   183, 99441,20130213,  -61,    0
   183, 99441,20130214,-9999,    9
   183, 99441,20130215,-9999,    9
   183, 99441,20130216,-9999,    9
   183, 99441,20130217,-9999,    9
   183, 99441,20130218,   -7,    0
   183, 99441,20130219,-9999,    9
   183, 99441,20130220,  -74,    0
   183, 99441,20130221, -164,    0
   183, 99441,20130222,  -83,    0
   183, 99441,20130223,-9999,    9
   183, 99441,20130224,-9999,    9
   183, 99441,20130225,-9999,    9
   183, 99441,20130226,-9999,    9
   183, 99441,20130227,  -82,    0
   183, 99441,20130228,  -52,    0
   183, 99441,20130301,    6,    0
   183, 99441,20130302,   23,    0
   183, 99441,20130303,-9999,    9
   183, 99441,20130304,-9999,    9
   183, 99441,20130305,-9999,    9
   183, 99441,20130306,  -16,    0
   183, 99441,20130307,  -68,    0
   183, 99441,20130308,  -90,    0
   183, 99441,20130309,  -71,    0
   183, 99441,20130310,-9999,    9
   183, 99441,20130311, -101,    0
   183, 99441,20130312,  -63,    0
   183, 99441,20130313,-9999,    9
   183, 99441,20130314,-9999,    9
   183, 99441,20130315,-9999,    9
   183, 99441,20130316,-9999,    9
   183, 99441,20130317,-9999,    9
   183, 99441,20130318,-9999,    9
   183, 99441,20130319,  -82,    0
   183, 99441,20130320,  -60,    0
   183, 99441,20130321,-9999,    9
   183, 99441,20130322,-9999,    9
   183, 99441,20130323,-9999,    9
   183, 99441,20130324,-9999,    9
   183, 99441,20130325,-9999,    9
   183, 99441,20130326,-9999,    9
   183, 99441,20130327,-9999,    9
   183, 99441,20130328,-9999,    9
   183, 99441,20130329,-9999,    9
   183, 99441,20130330,-9999,    9
   183, 99441,20130331,-9999,    9
   183, 99441,20130401,-9999,    9
   183, 99441,20130402,-9999,    9
   183, 99441,20130403,-9999,    9
   183, 99441,20130404,-9999,    9
   183, 99441,20130405,-9999,    9
   183, 99441,20130406,-9999,    9
   183, 99441,20130407,-9999,    9
   183, 99441,20130408,-9999,    9
   183, 99441,20130409,-9999,    9
   183, 99441,20130410,-9999,    9
   183, 99441,20130411,  -13,    0
   183, 99441,20130412,   22,    0
   183, 99441,20130413,   15,    0
   183, 99441,20130414,   34,    0
   183, 99441,20130415,-9999,    9
   183, 99441,20130416,-9999,    9
   183, 99441,20130417,   79,    0
   183, 99441,20130418,   66,    0
   183, 99441,20130419,-9999,    9
   183, 99441,20130420,-9999,    9
   183, 99441,20130421,-9999,    9
   183, 99441,20130422,-9999,    9
   183, 99441,20130423,-9999,    9
   183, 99441,20130424,   64,    0
   183, 99441,20130425,   72,    0
   183, 99441,20130426,   47,    0
   183, 99441,20130427,   42,    0
   183, 99441,20130428,-9999,    9
   183, 99441,20130429,-9999,    9
   183, 99441,20130430,-9999,    9
   183, 99441,20130501,   47,    0
   183, 99441,20130502,   61,    0
   183, 99441,20130503,   41,    0
   183, 99441,20130504,   54,    0
   183, 99441,20130505,  100,    0
   183, 99441,20130506,-9999,    9
   183, 99441,20130507,  143,    0
   183, 99441,20130508,  121,    0
   183, 99441,20130509,  121,    0
   183, 99441,20130510,-9999,    9
   183, 99441,20130511,-9999,    9
   183, 99441,20130512,-9999,    9
   183, 99441,20130513,   73,    0
   183, 99441,20130514,   74,    0
   183, 99441,20130515,   90,    0
   183, 99441,20130516,-9999,    9
   183, 99441,20130517,-9999,    9
   183, 99441,20130518,-9999,    9
   183, 99441,20130519,-9999,    9
   183, 99441,20130520,-9999,    9
   183, 99441,20130521,-9999,    9
   183, 99441,20130522,-9999,    9
   183, 99441,20130523,   94,    0
   183, 99441,20130524,  108,    0
   183, 99441,20130525,  157,    0
   183, 99441,20130526,  169,    0
   183, 99441,20130527,-9999,    9
   183, 99441,20130528,-9999,    9
   183, 99441,20130529,  177,    0
   183, 99441,20130530,-9999,    9
   183, 99441,20130531,  182,    0
   183, 99441,20130601,-9999,    9
   183, 99441,20130602,  157,    0
   183, 99441,20130603,  136,    0
   183, 99441,20130604,  111,    0
   183, 99441,20130605,  115,    0
   183, 99441,20130606,-9999,    9
   183, 99441,20130607,  139,    0
   183, 99441,20130608,  138,    0
   183, 99441,20130609,  121,    0
   183, 99441,20130610,-9999,    9
   183, 99441,20130611,-9999,    9
   183, 99441,20130612,-9999,    9
   183, 99441,20130613,  137,    0
   183, 99441,20130614,  160,    0
   183, 99441,20130615,-9999,    9
   183, 99441,20130616,  132,    0
   183, 99441,20130617,  152,    0
   183, 99441,20130618,-9999,    9
   183, 99441,20130619,-9999,    9
   183, 99441,20130620,-9999,    9
   183, 99441,20130621,-9999,    9
   183, 99441,20130622,-9999,    9
   183, 99441,20130623,-9999,    9
   183, 99441,20130624,-9999,    9
   183, 99441,20130625,-9999,    9
   183, 99441,20130626,-9999,    9
   183, 99441,20130627,-9999,    9
   183, 99441,20130628,-9999,    9
   183, 99441,20130629,-9999,    9
   183, 99441,20130630,-9999,    9
   183, 99441,20130701,-9999,    9
   183, 99441,20130702,-9999,    9
   183, 99441,20130703,-9999,    9
   183, 99441,20130704,-9999,    9
   183, 99441,20130705,-9999,    9
   183, 99441,20130706,  174,    0
   183, 99441,20130707,-9999,    9
   183, 99441,20130708,-9999,    9
   183, 99441,20130709,  182,    0
   183, 99441,20130710,  165,    0
   183, 99441,20130711,-9999,    9
   183, 99441,20130712,-9999,    9
   183, 99441,20130713,  189,    0
   183, 99441,20130714,  167,    0
   183, 99441,20130715,-9999,    9
   183, 99441,20130716,-9999,    9
   183, 99441,20130717,-9999,    9
   183, 99441,20130718,-9999,    9
   183, 99441,20130719,-9999,    9
   183, 99441,20130720,-9999,    9
   183, 99441,20130721,-9999,    9
   183, 99441,20130722,-9999,    9
   183, 99441,20130723,-9999,    9
   183, 99441,20130724,-9999,    9
   183, 99441,20130725,-9999,    9
   183, 99441,20130726,-9999,    9
   183, 99441,20130727,-9999,    9
   183, 99441,20130728,-9999,    9
   183, 99441,20130729,-9999,    9
   183, 99441,20130730,-9999,    9
   183, 99441,20130731,-9999,    9
   183, 99441,20130801,-9999,    9
   183, 99441,20130802,-9999,    9
   183, 99441,20130803,-9999,    9
   183, 99441,20130804,-9999,    9
   183, 99441,20130805,-9999,    9
   183, 99441,20130806,-9999,    9
   183, 99441,20130807,-9999,    9
   183, 99441,20130808,-9999,    9
   183, 99441,20130809,-9999,    9
   183, 99441,20130810,-9999,    9
   183, 99441,20130811,-9999,    9
   183, 99441,20130812,-9999,    9
   183, 99441,20130813,  139,    0
   183, 99441,20130814,-9999,    9
   183, 99441,20130815,-9999,    9
   183, 99441,20130816,-9999,    9
   183, 99441,20130817,  170,    0
   183, 99441,20130818,-9999,    9
   183, 99441,20130819,  149,    0
   183, 99441,20130820,  142,    0
   183, 99441,20130821,  136,    0
   183, 99441,20130822,  138,    0
   183, 99441,20130823,  136,    0
   183, 99441,20130824,  139,    0
   183, 99441,20130825,  143,    0
   183, 99441,20130826,  146,    0
   183, 99441,20130827,  154,    0
   183, 99441,20130828,  149,    0
   183, 99441,20130829,-9999,    9
   183, 99441,20130830,  144,    0
   183, 99441,20130831,  139,    0
   183, 99441,20130901,-9999,    9
   183, 99441,20130902,  118,    0
   183, 99441,20130903,  127,    0
   183, 99441,20130904,  150,    0
   183, 99441,20130905,  161,    0
   183, 99441,20130906,  162,    0
   183, 99441,20130907,  151,    0
   183, 99441,20130908,  139,    0
   183, 99441,20130909,-9999,    9
   183, 99441,20130910,  128,    0
   183, 99441,20130911,  136,    0
   183, 99441,20130912,-9999,    9
   183, 99441,20130913,  134,    0
   183, 99441,20130914,  133,    0
   183, 99441,20130915,  137,    0
   183, 99441,20130916,  100,    0
   183, 99441,20130917,   97,    0
   183, 99441,20130918,  103,    0
   183, 99441,20130919,-9999,    9
   183, 99441,20130920,-9999,    9
   183, 99441,20130921,-9999,    9
   183, 99441,20130922,-9999,    9
   183, 99441,20130923,-9999,    9
   183, 99441,20130924,-9999,    9
   183, 99441,20130925,   38,    0
   183, 99441,20130926,   25,    0
   183, 99441,20130927,-9999,    9
   183, 99441,20130928,-9999,    9
   183, 99441,20130929,-9999,    9
   183, 99441,20130930,-9999,    9
   183, 99441,20131001,-9999,    9
   183, 99441,20131002,   39,    0
   183, 99441,20131003,   64,    0
   183, 99441,20131004,   59,    0
   183, 99441,20131005,   86,    0
   183, 99441,20131006,   85,    0
   183, 99441,20131007,  135,    0
   183, 99441,20131008,  141,    0
   183, 99441,20131009,  119,    0
   183, 99441,20131010,   62,    0
   183, 99441,20131011,-9999,    9
   183, 99441,20131012,-9999,    9
