EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FAERDER FYR, NORWAY (STAID: 192)
Blended and updated with sources:598 901482 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   192,   598,18850101,-9999,    9
   192,   598,18850102,-9999,    9
   192,   598,18850103,-9999,    9
   192,   598,18850104,-9999,    9
   192,   598,18850105,-9999,    9
   192,   598,18850106,-9999,    9
   192,   598,18850107,-9999,    9
   192,   598,18850108,-9999,    9
   192,   598,18850109,-9999,    9
   192,   598,18850110,-9999,    9
   192,   598,18850111,-9999,    9
   192,   598,18850112,-9999,    9
   192,   598,18850113,-9999,    9
   192,   598,18850114,-9999,    9
   192,   598,18850115,-9999,    9
   192,   598,18850116,-9999,    9
   192,   598,18850117,-9999,    9
   192,   598,18850118,-9999,    9
   192,   598,18850119,-9999,    9
   192,   598,18850120,-9999,    9
   192,   598,18850121,-9999,    9
   192,   598,18850122,-9999,    9
   192,   598,18850123,-9999,    9
   192,   598,18850124,-9999,    9
   192,   598,18850125,-9999,    9
   192,   598,18850126,-9999,    9
   192,   598,18850127,-9999,    9
   192,   598,18850128,-9999,    9
   192,   598,18850129,-9999,    9
   192,   598,18850130,-9999,    9
   192,   598,18850131,-9999,    9
   192,   598,18850201,-9999,    9
   192,   598,18850202,-9999,    9
   192,   598,18850203,-9999,    9
   192,   598,18850204,-9999,    9
   192,   598,18850205,-9999,    9
   192,   598,18850206,-9999,    9
   192,   598,18850207,-9999,    9
   192,   598,18850208,-9999,    9
   192,   598,18850209,-9999,    9
   192,   598,18850210,-9999,    9
   192,   598,18850211,-9999,    9
   192,   598,18850212,-9999,    9
   192,   598,18850213,-9999,    9
   192,   598,18850214,-9999,    9
   192,   598,18850215,-9999,    9
   192,   598,18850216,-9999,    9
   192,   598,18850217,-9999,    9
   192,   598,18850218,-9999,    9
   192,   598,18850219,-9999,    9
   192,   598,18850220,-9999,    9
   192,   598,18850221,-9999,    9
   192,   598,18850222,-9999,    9
   192,   598,18850223,-9999,    9
   192,   598,18850224,-9999,    9
   192,   598,18850225,-9999,    9
   192,   598,18850226,-9999,    9
   192,   598,18850227,-9999,    9
   192,   598,18850228,-9999,    9
   192,   598,18850301,-9999,    9
   192,   598,18850302,-9999,    9
   192,   598,18850303,-9999,    9
   192,   598,18850304,-9999,    9
   192,   598,18850305,-9999,    9
   192,   598,18850306,-9999,    9
   192,   598,18850307,-9999,    9
   192,   598,18850308,-9999,    9
   192,   598,18850309,-9999,    9
   192,   598,18850310,-9999,    9
   192,   598,18850311,-9999,    9
   192,   598,18850312,-9999,    9
   192,   598,18850313,-9999,    9
   192,   598,18850314,-9999,    9
   192,   598,18850315,-9999,    9
   192,   598,18850316,-9999,    9
   192,   598,18850317,-9999,    9
   192,   598,18850318,-9999,    9
   192,   598,18850319,-9999,    9
   192,   598,18850320,-9999,    9
   192,   598,18850321,-9999,    9
   192,   598,18850322,-9999,    9
   192,   598,18850323,-9999,    9
   192,   598,18850324,-9999,    9
   192,   598,18850325,-9999,    9
   192,   598,18850326,-9999,    9
   192,   598,18850327,-9999,    9
   192,   598,18850328,-9999,    9
   192,   598,18850329,-9999,    9
   192,   598,18850330,-9999,    9
   192,   598,18850331,-9999,    9
   192,   598,18850401,-9999,    9
   192,   598,18850402,-9999,    9
   192,   598,18850403,-9999,    9
   192,   598,18850404,-9999,    9
   192,   598,18850405,-9999,    9
   192,   598,18850406,-9999,    9
   192,   598,18850407,-9999,    9
   192,   598,18850408,-9999,    9
   192,   598,18850409,-9999,    9
   192,   598,18850410,-9999,    9
   192,   598,18850411,-9999,    9
   192,   598,18850412,-9999,    9
   192,   598,18850413,-9999,    9
   192,   598,18850414,-9999,    9
   192,   598,18850415,-9999,    9
   192,   598,18850416,-9999,    9
   192,   598,18850417,-9999,    9
   192,   598,18850418,-9999,    9
   192,   598,18850419,-9999,    9
   192,   598,18850420,-9999,    9
   192,   598,18850421,-9999,    9
   192,   598,18850422,-9999,    9
   192,   598,18850423,-9999,    9
   192,   598,18850424,-9999,    9
   192,   598,18850425,-9999,    9
   192,   598,18850426,-9999,    9
   192,   598,18850427,-9999,    9
   192,   598,18850428,-9999,    9
   192,   598,18850429,-9999,    9
   192,   598,18850430,-9999,    9
   192,   598,18850501,-9999,    9
   192,   598,18850502,-9999,    9
   192,   598,18850503,-9999,    9
   192,   598,18850504,-9999,    9
   192,   598,18850505,-9999,    9
   192,   598,18850506,-9999,    9
   192,   598,18850507,-9999,    9
   192,   598,18850508,-9999,    9
   192,   598,18850509,-9999,    9
   192,   598,18850510,-9999,    9
   192,   598,18850511,-9999,    9
   192,   598,18850512,-9999,    9
   192,   598,18850513,-9999,    9
   192,   598,18850514,-9999,    9
   192,   598,18850515,-9999,    9
   192,   598,18850516,-9999,    9
   192,   598,18850517,-9999,    9
   192,   598,18850518,-9999,    9
   192,   598,18850519,-9999,    9
   192,   598,18850520,-9999,    9
   192,   598,18850521,-9999,    9
   192,   598,18850522,-9999,    9
   192,   598,18850523,-9999,    9
   192,   598,18850524,-9999,    9
   192,   598,18850525,-9999,    9
   192,   598,18850526,-9999,    9
   192,   598,18850527,-9999,    9
   192,   598,18850528,-9999,    9
   192,   598,18850529,-9999,    9
   192,   598,18850530,-9999,    9
   192,   598,18850531,-9999,    9
   192,   598,18850601,-9999,    9
   192,   598,18850602,-9999,    9
   192,   598,18850603,-9999,    9
   192,   598,18850604,-9999,    9
   192,   598,18850605,-9999,    9
   192,   598,18850606,-9999,    9
   192,   598,18850607,-9999,    9
   192,   598,18850608,-9999,    9
   192,   598,18850609,-9999,    9
   192,   598,18850610,-9999,    9
   192,   598,18850611,-9999,    9
   192,   598,18850612,-9999,    9
   192,   598,18850613,-9999,    9
   192,   598,18850614,-9999,    9
   192,   598,18850615,-9999,    9
   192,   598,18850616,-9999,    9
   192,   598,18850617,-9999,    9
   192,   598,18850618,-9999,    9
   192,   598,18850619,-9999,    9
   192,   598,18850620,-9999,    9
   192,   598,18850621,-9999,    9
   192,   598,18850622,-9999,    9
   192,   598,18850623,-9999,    9
   192,   598,18850624,-9999,    9
   192,   598,18850625,-9999,    9
   192,   598,18850626,-9999,    9
   192,   598,18850627,-9999,    9
   192,   598,18850628,-9999,    9
   192,   598,18850629,-9999,    9
   192,   598,18850630,-9999,    9
   192,   598,18850701,-9999,    9
   192,   598,18850702,-9999,    9
   192,   598,18850703,-9999,    9
   192,   598,18850704,-9999,    9
   192,   598,18850705,-9999,    9
   192,   598,18850706,-9999,    9
   192,   598,18850707,-9999,    9
   192,   598,18850708,-9999,    9
   192,   598,18850709,-9999,    9
   192,   598,18850710,-9999,    9
   192,   598,18850711,-9999,    9
   192,   598,18850712,-9999,    9
   192,   598,18850713,-9999,    9
   192,   598,18850714,-9999,    9
   192,   598,18850715,-9999,    9
   192,   598,18850716,-9999,    9
   192,   598,18850717,-9999,    9
   192,   598,18850718,-9999,    9
   192,   598,18850719,-9999,    9
   192,   598,18850720,-9999,    9
   192,   598,18850721,-9999,    9
   192,   598,18850722,-9999,    9
   192,   598,18850723,-9999,    9
   192,   598,18850724,-9999,    9
   192,   598,18850725,-9999,    9
   192,   598,18850726,-9999,    9
   192,   598,18850727,-9999,    9
   192,   598,18850728,-9999,    9
   192,   598,18850729,-9999,    9
   192,   598,18850730,-9999,    9
   192,   598,18850731,-9999,    9
   192,   598,18850801,-9999,    9
   192,   598,18850802,-9999,    9
   192,   598,18850803,-9999,    9
   192,   598,18850804,-9999,    9
   192,   598,18850805,-9999,    9
   192,   598,18850806,-9999,    9
   192,   598,18850807,-9999,    9
   192,   598,18850808,-9999,    9
   192,   598,18850809,-9999,    9
   192,   598,18850810,-9999,    9
   192,   598,18850811,-9999,    9
   192,   598,18850812,-9999,    9
   192,   598,18850813,-9999,    9
   192,   598,18850814,-9999,    9
   192,   598,18850815,-9999,    9
   192,   598,18850816,-9999,    9
   192,   598,18850817,-9999,    9
   192,   598,18850818,-9999,    9
   192,   598,18850819,-9999,    9
   192,   598,18850820,-9999,    9
   192,   598,18850821,-9999,    9
   192,   598,18850822,-9999,    9
   192,   598,18850823,-9999,    9
   192,   598,18850824,-9999,    9
   192,   598,18850825,-9999,    9
   192,   598,18850826,-9999,    9
