EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSLO BLINDERN, NORWAY (STAID: 193)
Blended and updated with sources:601 901492 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   193,   601,19370201,  -65,    0
   193,   601,19370202,  -49,    0
   193,   601,19370203,  -61,    0
   193,   601,19370204,  -37,    0
   193,   601,19370205,  -27,    0
   193,   601,19370206,  -12,    0
   193,   601,19370207,  -45,    0
   193,   601,19370208,  -90,    0
   193,   601,19370209,  -85,    0
   193,   601,19370210,  -31,    0
   193,   601,19370211,  -11,    0
   193,   601,19370212,  -11,    0
   193,   601,19370213,  -39,    0
   193,   601,19370214,  -63,    0
   193,   601,19370215,   -2,    0
   193,   601,19370216,  -37,    0
   193,   601,19370217,   -5,    0
   193,   601,19370218,  -38,    0
   193,   601,19370219,  -43,    0
   193,   601,19370220,  -29,    0
   193,   601,19370221,  -23,    0
   193,   601,19370222,  -24,    0
   193,   601,19370223,  -38,    0
   193,   601,19370224,  -31,    0
   193,   601,19370225,  -76,    0
   193,   601,19370226,  -74,    0
   193,   601,19370227,  -42,    0
   193,   601,19370228,   11,    0
   193,   601,19370301,   16,    0
   193,   601,19370302,   15,    0
   193,   601,19370303,    0,    0
   193,   601,19370304,  -15,    0
   193,   601,19370305,  -45,    0
   193,   601,19370306,  -49,    0
   193,   601,19370307,  -87,    0
   193,   601,19370308,  -91,    0
   193,   601,19370309,  -95,    0
   193,   601,19370310,  -87,    0
   193,   601,19370311, -139,    0
   193,   601,19370312, -121,    0
   193,   601,19370313,  -71,    0
   193,   601,19370314,  -58,    0
   193,   601,19370315,  -20,    0
   193,   601,19370316,   10,    0
   193,   601,19370317,   19,    0
   193,   601,19370318,  -13,    0
   193,   601,19370319,  -10,    0
   193,   601,19370320,   23,    0
   193,   601,19370321,   15,    0
   193,   601,19370322,   14,    0
   193,   601,19370323,   18,    0
   193,   601,19370324,    5,    0
   193,   601,19370325,    3,    0
   193,   601,19370326,   -5,    0
   193,   601,19370327,   11,    0
   193,   601,19370328,    7,    0
   193,   601,19370329,    7,    0
   193,   601,19370330,   13,    0
   193,   601,19370331,   -3,    0
   193,   601,19370401,   11,    0
   193,   601,19370402,   10,    0
   193,   601,19370403,   21,    0
   193,   601,19370404,   35,    0
   193,   601,19370405,   33,    0
   193,   601,19370406,   44,    0
   193,   601,19370407,   53,    0
   193,   601,19370408,   51,    0
   193,   601,19370409,   46,    0
   193,   601,19370410,   37,    0
   193,   601,19370411,   44,    0
   193,   601,19370412,   59,    0
   193,   601,19370413,   64,    0
   193,   601,19370414,   65,    0
   193,   601,19370415,   75,    0
   193,   601,19370416,   53,    0
   193,   601,19370417,   55,    0
   193,   601,19370418,   51,    0
   193,   601,19370419,   50,    0
   193,   601,19370420,   53,    0
   193,   601,19370421,   86,    0
   193,   601,19370422,   84,    0
   193,   601,19370423,   78,    0
   193,   601,19370424,   59,    0
   193,   601,19370425,   74,    0
   193,   601,19370426,   81,    0
   193,   601,19370427,   87,    0
   193,   601,19370428,   94,    0
   193,   601,19370429,  117,    0
   193,   601,19370430,  139,    0
   193,   601,19370501,  112,    0
   193,   601,19370502,  117,    0
   193,   601,19370503,  121,    0
   193,   601,19370504,  128,    0
   193,   601,19370505,  124,    0
   193,   601,19370506,  100,    0
   193,   601,19370507,   85,    0
   193,   601,19370508,  111,    0
   193,   601,19370509,   78,    0
   193,   601,19370510,   83,    0
   193,   601,19370511,   73,    0
   193,   601,19370512,  109,    0
   193,   601,19370513,  131,    0
   193,   601,19370514,  120,    0
   193,   601,19370515,  100,    0
   193,   601,19370516,   86,    0
   193,   601,19370517,   97,    0
   193,   601,19370518,  123,    0
   193,   601,19370519,  128,    0
   193,   601,19370520,  106,    0
   193,   601,19370521,  151,    0
   193,   601,19370522,  143,    0
   193,   601,19370523,  153,    0
   193,   601,19370524,  129,    0
   193,   601,19370525,  151,    0
   193,   601,19370526,  157,    0
   193,   601,19370527,  139,    0
   193,   601,19370528,  131,    0
   193,   601,19370529,  124,    0
   193,   601,19370530,  108,    0
   193,   601,19370531,  141,    0
   193,   601,19370601,  112,    0
   193,   601,19370602,  106,    0
   193,   601,19370603,  100,    0
   193,   601,19370604,  100,    0
   193,   601,19370605,   99,    0
   193,   601,19370606,  116,    0
   193,   601,19370607,  150,    0
   193,   601,19370608,  163,    0
   193,   601,19370609,  158,    0
   193,   601,19370610,  142,    0
   193,   601,19370611,  147,    0
   193,   601,19370612,  151,    0
   193,   601,19370613,  154,    0
   193,   601,19370614,  169,    0
   193,   601,19370615,  131,    0
   193,   601,19370616,  149,    0
   193,   601,19370617,  113,    0
   193,   601,19370618,  121,    0
   193,   601,19370619,  132,    0
   193,   601,19370620,  156,    0
   193,   601,19370621,  149,    0
   193,   601,19370622,  148,    0
   193,   601,19370623,  119,    0
   193,   601,19370624,  128,    0
   193,   601,19370625,  129,    0
   193,   601,19370626,  160,    0
   193,   601,19370627,  171,    0
   193,   601,19370628,  132,    0
   193,   601,19370629,  138,    0
   193,   601,19370630,  141,    0
   193,   601,19370701,  130,    0
   193,   601,19370702,  147,    0
   193,   601,19370703,  164,    0
   193,   601,19370704,  199,    0
   193,   601,19370705,  216,    0
   193,   601,19370706,  209,    0
   193,   601,19370707,  214,    0
   193,   601,19370708,  191,    0
   193,   601,19370709,  191,    0
   193,   601,19370710,  174,    0
   193,   601,19370711,  186,    0
   193,   601,19370712,  214,    0
   193,   601,19370713,  198,    0
   193,   601,19370714,  181,    0
   193,   601,19370715,  184,    0
   193,   601,19370716,  209,    0
   193,   601,19370717,  166,    0
   193,   601,19370718,  170,    0
   193,   601,19370719,  177,    0
   193,   601,19370720,  188,    0
   193,   601,19370721,  189,    0
   193,   601,19370722,  184,    0
   193,   601,19370723,  176,    0
   193,   601,19370724,  174,    0
   193,   601,19370725,  174,    0
   193,   601,19370726,  182,    0
   193,   601,19370727,  183,    0
   193,   601,19370728,  184,    0
   193,   601,19370729,  197,    0
   193,   601,19370730,  207,    0
   193,   601,19370731,  227,    0
   193,   601,19370801,  215,    0
   193,   601,19370802,  209,    0
   193,   601,19370803,  215,    0
   193,   601,19370804,  211,    0
   193,   601,19370805,  217,    0
   193,   601,19370806,  202,    0
   193,   601,19370807,  202,    0
   193,   601,19370808,  194,    0
   193,   601,19370809,  188,    0
   193,   601,19370810,  188,    0
   193,   601,19370811,  157,    0
   193,   601,19370812,  179,    0
   193,   601,19370813,  178,    0
   193,   601,19370814,  161,    0
   193,   601,19370815,  167,    0
   193,   601,19370816,  160,    0
   193,   601,19370817,  184,    0
   193,   601,19370818,  180,    0
   193,   601,19370819,  160,    0
   193,   601,19370820,  168,    0
   193,   601,19370821,  199,    0
   193,   601,19370822,  194,    0
   193,   601,19370823,  187,    0
   193,   601,19370824,  191,    0
   193,   601,19370825,  181,    0
   193,   601,19370826,  180,    0
   193,   601,19370827,  194,    0
   193,   601,19370828,  183,    0
   193,   601,19370829,  175,    0
   193,   601,19370830,  167,    0
   193,   601,19370831,  148,    0
   193,   601,19370901,  154,    0
   193,   601,19370902,  167,    0
   193,   601,19370903,  156,    0
   193,   601,19370904,  151,    0
   193,   601,19370905,  126,    0
   193,   601,19370906,  142,    0
   193,   601,19370907,  156,    0
   193,   601,19370908,  125,    0
   193,   601,19370909,  102,    0
   193,   601,19370910,  116,    0
   193,   601,19370911,  122,    0
   193,   601,19370912,  112,    0
   193,   601,19370913,   89,    0
   193,   601,19370914,   72,    0
   193,   601,19370915,   80,    0
   193,   601,19370916,   90,    0
   193,   601,19370917,  114,    0
   193,   601,19370918,  122,    0
   193,   601,19370919,  127,    0
   193,   601,19370920,  126,    0
   193,   601,19370921,  111,    0
   193,   601,19370922,  104,    0
   193,   601,19370923,  127,    0
   193,   601,19370924,  108,    0
   193,   601,19370925,  121,    0
   193,   601,19370926,   91,    0
   193,   601,19370927,   90,    0
   193,   601,19370928,  111,    0
   193,   601,19370929,   92,    0
   193,   601,19370930,  103,    0
   193,   601,19371001,  110,    0
   193,   601,19371002,   86,    0
   193,   601,19371003,   95,    0
   193,   601,19371004,   92,    0
   193,   601,19371005,  101,    0
   193,   601,19371006,   91,    0
   193,   601,19371007,   76,    0
   193,   601,19371008,   82,    0
   193,   601,19371009,   65,    0
   193,   601,19371010,   60,    0
   193,   601,19371011,   85,    0
   193,   601,19371012,   52,    0
   193,   601,19371013,   51,    0
   193,   601,19371014,   74,    0
   193,   601,19371015,   79,    0
   193,   601,19371016,   90,    0
   193,   601,19371017,   64,    0
   193,   601,19371018,  132,    0
   193,   601,19371019,   94,    0
   193,   601,19371020,   79,    0
   193,   601,19371021,   89,    0
   193,   601,19371022,   91,    0
   193,   601,19371023,   89,    0
   193,   601,19371024,   97,    0
   193,   601,19371025,   85,    0
   193,   601,19371026,   80,    0
   193,   601,19371027,  107,    0
   193,   601,19371028,   89,    0
   193,   601,19371029,   88,    0
   193,   601,19371030,   85,    0
   193,   601,19371031,   92,    0
   193,   601,19371101,   82,    0
   193,   601,19371102,   72,    0
   193,   601,19371103,   53,    0
   193,   601,19371104,   25,    0
   193,   601,19371105,   52,    0
   193,   601,19371106,    8,    0
   193,   601,19371107,   13,    0
   193,   601,19371108,   31,    0
   193,   601,19371109,   39,    0
   193,   601,19371110,   29,    0
   193,   601,19371111,   15,    0
   193,   601,19371112,    2,    0
   193,   601,19371113,  -13,    0
   193,   601,19371114,  -10,    0
   193,   601,19371115,  -38,    0
   193,   601,19371116,  -16,    0
   193,   601,19371117,  -24,    0
   193,   601,19371118,  -26,    0
   193,   601,19371119,  -22,    0
   193,   601,19371120,   11,    0
   193,   601,19371121,    9,    0
   193,   601,19371122,  -50,    0
   193,   601,19371123,  -51,    0
   193,   601,19371124,  -94,    0
   193,   601,19371125,   -3,    0
   193,   601,19371126,  -19,    0
   193,   601,19371127,    4,    0
   193,   601,19371128,  -17,    0
   193,   601,19371129,  -35,    0
   193,   601,19371130,  -15,    0
   193,   601,19371201,  -28,    0
   193,   601,19371202,  -50,    0
   193,   601,19371203,  -77,    0
   193,   601,19371204,  -94,    0
   193,   601,19371205, -112,    0
   193,   601,19371206,  -72,    0
   193,   601,19371207,  -52,    0
   193,   601,19371208,  -53,    0
   193,   601,19371209,  -64,    0
   193,   601,19371210,  -93,    0
   193,   601,19371211, -115,    0
