EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UTSIRA FYR, NORWAY (STAID: 194)
Blended and updated with sources:604 901403 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   194,   604,19000101,   58,    0
   194,   604,19000102,   35,    0
   194,   604,19000103,   25,    0
   194,   604,19000104,    8,    0
   194,   604,19000105,   -3,    0
   194,   604,19000106,   -3,    0
   194,   604,19000107,   12,    0
   194,   604,19000108,    2,    0
   194,   604,19000109,   27,    0
   194,   604,19000110,   28,    0
   194,   604,19000111,   11,    0
   194,   604,19000112,    9,    0
   194,   604,19000113,   14,    0
   194,   604,19000114,    7,    0
   194,   604,19000115,   -6,    0
   194,   604,19000116,   -6,    0
   194,   604,19000117,   15,    0
   194,   604,19000118,   16,    0
   194,   604,19000119,   34,    0
   194,   604,19000120,   46,    0
   194,   604,19000121,   25,    0
   194,   604,19000122,   54,    0
   194,   604,19000123,   45,    0
   194,   604,19000124,   31,    0
   194,   604,19000125,   41,    0
   194,   604,19000126,   43,    0
   194,   604,19000127,   20,    0
   194,   604,19000128,    6,    0
   194,   604,19000129,   10,    0
   194,   604,19000130,    2,    0
   194,   604,19000131,  -21,    0
   194,   604,19000201,  -27,    0
   194,   604,19000202,  -47,    0
   194,   604,19000203,  -31,    0
   194,   604,19000204,  -34,    0
   194,   604,19000205,  -36,    0
   194,   604,19000206,  -32,    0
   194,   604,19000207,  -44,    0
   194,   604,19000208,  -51,    0
   194,   604,19000209,  -26,    0
   194,   604,19000210,  -21,    0
   194,   604,19000211,  -23,    0
   194,   604,19000212,  -31,    0
   194,   604,19000213,  -23,    0
   194,   604,19000214,  -36,    0
   194,   604,19000215,  -63,    0
   194,   604,19000216,  -41,    0
   194,   604,19000217,  -55,    0
   194,   604,19000218,  -38,    0
   194,   604,19000219,  -37,    0
   194,   604,19000220,  -11,    0
   194,   604,19000221,    5,    0
   194,   604,19000222,    9,    0
   194,   604,19000223,  -12,    0
   194,   604,19000224,   23,    0
   194,   604,19000225,   26,    0
   194,   604,19000226,   25,    0
   194,   604,19000227,   30,    0
   194,   604,19000228,   11,    0
   194,   604,19000301,    8,    0
   194,   604,19000302,    9,    0
   194,   604,19000303,    5,    0
   194,   604,19000304,   16,    0
   194,   604,19000305,   15,    0
   194,   604,19000306,   17,    0
   194,   604,19000307,   22,    0
   194,   604,19000308,   32,    0
   194,   604,19000309,   33,    0
   194,   604,19000310,   40,    0
   194,   604,19000311,   36,    0
   194,   604,19000312,   36,    0
   194,   604,19000313,   13,    0
   194,   604,19000314,   16,    0
   194,   604,19000315,   30,    0
   194,   604,19000316,   16,    0
   194,   604,19000317,    9,    0
   194,   604,19000318,   13,    0
   194,   604,19000319,   15,    0
   194,   604,19000320,   37,    0
   194,   604,19000321,   19,    0
   194,   604,19000322,   40,    0
   194,   604,19000323,   34,    0
   194,   604,19000324,   27,    0
   194,   604,19000325,   26,    0
   194,   604,19000326,    6,    0
   194,   604,19000327,    2,    0
   194,   604,19000328,   16,    0
   194,   604,19000329,   16,    0
   194,   604,19000330,    8,    0
   194,   604,19000331,    9,    0
   194,   604,19000401,    7,    0
   194,   604,19000402,   11,    0
   194,   604,19000403,   -6,    0
   194,   604,19000404,   13,    0
   194,   604,19000405,   31,    0
   194,   604,19000406,   38,    0
   194,   604,19000407,   42,    0
   194,   604,19000408,   40,    0
   194,   604,19000409,   34,    0
   194,   604,19000410,   34,    0
   194,   604,19000411,   42,    0
   194,   604,19000412,   45,    0
   194,   604,19000413,   53,    0
   194,   604,19000414,   45,    0
   194,   604,19000415,   44,    0
   194,   604,19000416,   43,    0
   194,   604,19000417,   46,    0
   194,   604,19000418,   55,    0
   194,   604,19000419,   52,    0
   194,   604,19000420,   62,    0
   194,   604,19000421,   53,    0
   194,   604,19000422,   38,    0
   194,   604,19000423,   46,    0
   194,   604,19000424,   36,    0
   194,   604,19000425,   31,    0
   194,   604,19000426,   28,    0
   194,   604,19000427,   42,    0
   194,   604,19000428,   54,    0
   194,   604,19000429,   39,    0
   194,   604,19000430,   29,    0
   194,   604,19000501,   33,    0
   194,   604,19000502,   45,    0
   194,   604,19000503,   84,    0
   194,   604,19000504,   63,    0
   194,   604,19000505,   76,    0
   194,   604,19000506,  112,    0
   194,   604,19000507,  150,    0
   194,   604,19000508,   83,    0
   194,   604,19000509,   64,    0
   194,   604,19000510,   47,    0
   194,   604,19000511,   53,    0
   194,   604,19000512,   57,    0
   194,   604,19000513,   54,    0
   194,   604,19000514,   55,    0
   194,   604,19000515,   60,    0
   194,   604,19000516,   58,    0
   194,   604,19000517,   61,    0
   194,   604,19000518,   33,    0
   194,   604,19000519,   46,    0
