EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PORTO, PORTUGAL (STAID: 215)
Blended and updated with sources:867 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   215,   867,19410101,  118,    1
   215,   867,19410102,   73,    0
   215,   867,19410103,   42,    0
   215,   867,19410104,   48,    0
   215,   867,19410105,   26,    0
   215,   867,19410106,   22,    0
   215,   867,19410107,   40,    0
   215,   867,19410108,   38,    0
   215,   867,19410109,   36,    0
   215,   867,19410110,   32,    0
   215,   867,19410111,   -4,    0
   215,   867,19410112,   48,    0
   215,   867,19410113,   72,    0
   215,   867,19410114,   84,    0
   215,   867,19410115,   58,    0
   215,   867,19410116,   43,    0
   215,   867,19410117,   52,    0
   215,   867,19410118,   98,    0
   215,   867,19410119,  122,    0
   215,   867,19410120,  114,    0
   215,   867,19410121,   95,    0
   215,   867,19410122,  112,    0
   215,   867,19410123,  126,    0
   215,   867,19410124,  134,    0
   215,   867,19410125,  122,    0
   215,   867,19410126,  100,    0
   215,   867,19410127,  116,    0
   215,   867,19410128,  114,    0
   215,   867,19410129,  120,    0
   215,   867,19410130,  118,    0
   215,   867,19410131,  100,    0
   215,   867,19410201,  100,    0
   215,   867,19410202,   75,    0
   215,   867,19410203,   84,    0
   215,   867,19410204,   62,    0
   215,   867,19410205,   50,    0
   215,   867,19410206,   94,    0
   215,   867,19410207,   95,    0
   215,   867,19410208,   72,    0
   215,   867,19410209,   79,    0
   215,   867,19410210,  116,    0
   215,   867,19410211,  132,    1
   215,   867,19410212,  108,    0
   215,   867,19410213,   87,    0
   215,   867,19410214,   87,    0
   215,   867,19410215,   96,    0
   215,   867,19410216,   84,    0
   215,   867,19410217,   96,    0
   215,   867,19410218,  102,    0
   215,   867,19410219,   86,    0
   215,   867,19410220,   87,    0
   215,   867,19410221,   91,    0
   215,   867,19410222,  112,    0
   215,   867,19410223,  124,    0
