EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VARFU OMUL, ROMANIA (STAID: 226)
Blended and updated with sources:7491 915280 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   226,  7491,19610101,  -91,    0
   226,  7491,19610102,  -62,    0
   226,  7491,19610103,  -44,    0
   226,  7491,19610104,  -54,    0
   226,  7491,19610105,  -57,    0
   226,  7491,19610106,  -84,    0
   226,  7491,19610107,  -87,    0
   226,  7491,19610108, -104,    0
   226,  7491,19610109,  -92,    0
   226,  7491,19610110,  -70,    0
   226,  7491,19610111,  -90,    0
   226,  7491,19610112,  -75,    0
   226,  7491,19610113, -134,    0
   226,  7491,19610114, -130,    0
   226,  7491,19610115,  -69,    0
   226,  7491,19610116,  -79,    0
   226,  7491,19610117, -175,    0
   226,  7491,19610118, -268,    0
   226,  7491,19610119, -249,    0
   226,  7491,19610120, -240,    0
   226,  7491,19610121, -238,    0
   226,  7491,19610122, -194,    0
   226,  7491,19610123, -136,    0
   226,  7491,19610124, -100,    0
   226,  7491,19610125,  -76,    0
   226,  7491,19610126,  -97,    0
   226,  7491,19610127, -143,    0
   226,  7491,19610128, -120,    0
   226,  7491,19610129,  -82,    0
   226,  7491,19610130,  -83,    0
   226,  7491,19610131,  -65,    0
   226,  7491,19610201,  -54,    0
   226,  7491,19610202,  -63,    0
   226,  7491,19610203, -108,    0
   226,  7491,19610204, -133,    0
   226,  7491,19610205, -124,    0
   226,  7491,19610206, -163,    0
   226,  7491,19610207, -153,    0
   226,  7491,19610208, -120,    0
   226,  7491,19610209, -141,    0
   226,  7491,19610210, -137,    0
   226,  7491,19610211, -110,    0
   226,  7491,19610212, -109,    0
   226,  7491,19610213, -110,    0
   226,  7491,19610214, -137,    0
   226,  7491,19610215, -143,    0
   226,  7491,19610216,  -60,    0
   226,  7491,19610217,  -72,    0
   226,  7491,19610218,  -84,    0
   226,  7491,19610219,  -58,    0
   226,  7491,19610220,  -53,    0
   226,  7491,19610221,  -54,    0
   226,  7491,19610222,  -64,    0
   226,  7491,19610223,  -82,    0
   226,  7491,19610224,  -85,    0
   226,  7491,19610225,  -88,    0
   226,  7491,19610226, -106,    0
   226,  7491,19610227,  -91,    0
   226,  7491,19610228,  -72,    0
   226,  7491,19610301,  -54,    0
   226,  7491,19610302,  -93,    0
   226,  7491,19610303, -122,    0
   226,  7491,19610304, -115,    0
   226,  7491,19610305, -112,    0
   226,  7491,19610306, -105,    0
   226,  7491,19610307,  -85,    0
   226,  7491,19610308,  -75,    0
   226,  7491,19610309,  -74,    0
   226,  7491,19610310,  -41,    0
   226,  7491,19610311,  -18,    0
   226,  7491,19610312,  -39,    0
   226,  7491,19610313,  -43,    0
   226,  7491,19610314, -128,    0
   226,  7491,19610315,  -75,    0
   226,  7491,19610316,  -72,    0
   226,  7491,19610317,  -72,    0
   226,  7491,19610318,  -48,    0
   226,  7491,19610319,  -19,    0
   226,  7491,19610320,  -66,    0
   226,  7491,19610321, -120,    0
   226,  7491,19610322,  -80,    0
   226,  7491,19610323, -128,    0
   226,  7491,19610324, -107,    0
   226,  7491,19610325,  -84,    0
   226,  7491,19610326,  -68,    0
   226,  7491,19610327,  -64,    0
   226,  7491,19610328,  -92,    0
   226,  7491,19610329, -143,    0
   226,  7491,19610330,  -91,    0
   226,  7491,19610331,  -48,    0
   226,  7491,19610401,  -44,    0
   226,  7491,19610402,  -21,    0
   226,  7491,19610403,  -19,    0
   226,  7491,19610404,  -13,    0
   226,  7491,19610405,   -4,    0
   226,  7491,19610406,    6,    0
   226,  7491,19610407,   23,    0
   226,  7491,19610408,   22,    0
   226,  7491,19610409,    5,    0
   226,  7491,19610410,  -20,    0
   226,  7491,19610411,   -3,    0
   226,  7491,19610412,  -20,    0
   226,  7491,19610413,  -24,    0
   226,  7491,19610414,   10,    0
   226,  7491,19610415,   32,    0
   226,  7491,19610416,   25,    0
   226,  7491,19610417,   18,    0
   226,  7491,19610418,   30,    0
   226,  7491,19610419,   30,    0
   226,  7491,19610420,   -4,    0
   226,  7491,19610421,  -26,    0
   226,  7491,19610422,  -46,    0
   226,  7491,19610423,  -26,    0
   226,  7491,19610424,  -25,    0
   226,  7491,19610425,  -34,    0
   226,  7491,19610426,  -22,    0
   226,  7491,19610427,  -12,    0
   226,  7491,19610428,  -16,    0
   226,  7491,19610429,   -6,    0
   226,  7491,19610430,  -29,    0
   226,  7491,19610501,    1,    0
   226,  7491,19610502,  -10,    0
   226,  7491,19610503,  -12,    0
   226,  7491,19610504,   -7,    0
   226,  7491,19610505,   -8,    0
   226,  7491,19610506,    6,    0
   226,  7491,19610507,   40,    0
   226,  7491,19610508,    8,    0
   226,  7491,19610509,  -44,    0
   226,  7491,19610510,  -30,    0
   226,  7491,19610511,  -40,    0
   226,  7491,19610512,  -41,    0
   226,  7491,19610513,  -40,    0
   226,  7491,19610514,  -17,    0
   226,  7491,19610515,  -13,    0
   226,  7491,19610516,  -14,    0
   226,  7491,19610517,   -2,    0
   226,  7491,19610518,  -32,    0
   226,  7491,19610519,  -22,    0
   226,  7491,19610520,  -30,    0
   226,  7491,19610521,  -14,    0
   226,  7491,19610522,   -2,    0
   226,  7491,19610523,    4,    0
   226,  7491,19610524,    1,    0
   226,  7491,19610525,    5,    0
   226,  7491,19610526,   12,    0
   226,  7491,19610527,   22,    0
   226,  7491,19610528,   30,    0
   226,  7491,19610529,   41,    0
   226,  7491,19610530,   26,    0
   226,  7491,19610531,    4,    0
   226,  7491,19610601,   34,    0
   226,  7491,19610602,   50,    0
   226,  7491,19610603,   43,    0
   226,  7491,19610604,   19,    0
   226,  7491,19610605,   28,    0
   226,  7491,19610606,   44,    0
   226,  7491,19610607,   33,    0
   226,  7491,19610608,   32,    0
   226,  7491,19610609,   32,    0
   226,  7491,19610610,   39,    0
   226,  7491,19610611,   41,    0
   226,  7491,19610612,   34,    0
   226,  7491,19610613,   38,    0
   226,  7491,19610614,   47,    0
   226,  7491,19610615,   29,    0
   226,  7491,19610616,   36,    0
   226,  7491,19610617,   39,    0
   226,  7491,19610618,   47,    0
   226,  7491,19610619,   46,    0
   226,  7491,19610620,   71,    0
   226,  7491,19610621,   68,    0
   226,  7491,19610622,   66,    0
   226,  7491,19610623,   69,    0
   226,  7491,19610624,   50,    0
   226,  7491,19610625,   61,    0
   226,  7491,19610626,   95,    0
   226,  7491,19610627,  100,    0
   226,  7491,19610628,   92,    0
   226,  7491,19610629,   42,    0
   226,  7491,19610630,   -7,    0
   226,  7491,19610701,   18,    0
   226,  7491,19610702,   36,    0
   226,  7491,19610703,   64,    0
   226,  7491,19610704,   83,    0
   226,  7491,19610705,   70,    0
   226,  7491,19610706,   38,    0
   226,  7491,19610707,   24,    0
   226,  7491,19610708,   24,    0
   226,  7491,19610709,   28,    0
   226,  7491,19610710,    4,    0
   226,  7491,19610711,   16,    0
   226,  7491,19610712,   54,    0
   226,  7491,19610713,   77,    0
   226,  7491,19610714,   53,    0
   226,  7491,19610715,   66,    0
   226,  7491,19610716,   89,    0
   226,  7491,19610717,   72,    0
   226,  7491,19610718,   40,    0
   226,  7491,19610719,   18,    0
   226,  7491,19610720,   46,    0
   226,  7491,19610721,   32,    0
   226,  7491,19610722,   28,    0
   226,  7491,19610723,   43,    0
   226,  7491,19610724,   46,    0
   226,  7491,19610725,   31,    0
   226,  7491,19610726,   23,    0
   226,  7491,19610727,   52,    0
   226,  7491,19610728,   87,    0
   226,  7491,19610729,   96,    0
   226,  7491,19610730,   88,    0
   226,  7491,19610731,   56,    0
   226,  7491,19610801,   30,    0
   226,  7491,19610802,   60,    0
   226,  7491,19610803,   72,    0
   226,  7491,19610804,   76,    0
   226,  7491,19610805,   70,    0
   226,  7491,19610806,   72,    0
   226,  7491,19610807,  105,    0
   226,  7491,19610808,   99,    0
   226,  7491,19610809,  105,    0
   226,  7491,19610810,  112,    0
   226,  7491,19610811,  121,    0
   226,  7491,19610812,  124,    0
   226,  7491,19610813,  114,    0
   226,  7491,19610814,   76,    0
   226,  7491,19610815,   64,    0
   226,  7491,19610816,   53,    0
   226,  7491,19610817,   43,    0
   226,  7491,19610818,  -12,    0
   226,  7491,19610819,  -12,    0
   226,  7491,19610820,   35,    0
   226,  7491,19610821,   24,    0
   226,  7491,19610822,   56,    0
   226,  7491,19610823,   38,    0
   226,  7491,19610824,   -5,    0
   226,  7491,19610825,   -8,    0
   226,  7491,19610826,   22,    0
   226,  7491,19610827,   32,    0
   226,  7491,19610828,   47,    0
   226,  7491,19610829,   52,    0
   226,  7491,19610830,   22,    0
   226,  7491,19610831,    6,    0
   226,  7491,19610901,   -7,    0
   226,  7491,19610902,   12,    0
   226,  7491,19610903,   36,    0
   226,  7491,19610904,   52,    0
   226,  7491,19610905,   62,    0
   226,  7491,19610906,   74,    0
   226,  7491,19610907,   78,    0
   226,  7491,19610908,   66,    0
   226,  7491,19610909,   24,    0
   226,  7491,19610910,   -7,    0
   226,  7491,19610911,  -20,    0
   226,  7491,19610912,   -7,    0
