EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TORREVIEJA, SPAIN (STAID: 235)
Blended and updated with sources:724 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   235,   724,19270101,  100,    0
   235,   724,19270102,   90,    0
   235,   724,19270103,   85,    0
   235,   724,19270104,  105,    0
   235,   724,19270105,   90,    0
   235,   724,19270106,  110,    0
   235,   724,19270107,  100,    0
   235,   724,19270108,  110,    0
   235,   724,19270109,  120,    0
   235,   724,19270110,  105,    0
   235,   724,19270111,  130,    0
   235,   724,19270112,  130,    0
   235,   724,19270113,  130,    0
   235,   724,19270114,  105,    0
   235,   724,19270115,   85,    0
   235,   724,19270116,  100,    0
   235,   724,19270117,   90,    0
   235,   724,19270118,   90,    0
   235,   724,19270119,   65,    0
   235,   724,19270120,   50,    0
   235,   724,19270121,   75,    0
   235,   724,19270122,   95,    0
   235,   724,19270123,   85,    0
   235,   724,19270124,   85,    0
   235,   724,19270125,   95,    0
   235,   724,19270126,   95,    0
   235,   724,19270127,  110,    0
   235,   724,19270128,  105,    0
   235,   724,19270129,   90,    0
   235,   724,19270130,  110,    0
   235,   724,19270131,  100,    0
   235,   724,19270201,   90,    0
   235,   724,19270202,   95,    0
   235,   724,19270203,   80,    0
   235,   724,19270204,   85,    0
   235,   724,19270205,   80,    0
   235,   724,19270206,   85,    0
   235,   724,19270207,   85,    0
   235,   724,19270208,   80,    0
   235,   724,19270209,   60,    0
   235,   724,19270210,   80,    0
   235,   724,19270211,   70,    0
   235,   724,19270212,   85,    0
   235,   724,19270213,   95,    0
   235,   724,19270214,  100,    0
   235,   724,19270215,   90,    0
   235,   724,19270216,   75,    0
   235,   724,19270217,   75,    0
   235,   724,19270218,   90,    0
   235,   724,19270219,   90,    0
   235,   724,19270220,   75,    0
   235,   724,19270221,   85,    0
   235,   724,19270222,  105,    0
   235,   724,19270223,  100,    0
   235,   724,19270224,  130,    0
   235,   724,19270225,  135,    0
   235,   724,19270226,  130,    0
   235,   724,19270227,  125,    0
   235,   724,19270228,  145,    0
   235,   724,19270301,  135,    0
   235,   724,19270302,  160,    0
   235,   724,19270303,  165,    0
   235,   724,19270304,  145,    0
   235,   724,19270305,  120,    0
   235,   724,19270306,  130,    0
   235,   724,19270307,  175,    0
   235,   724,19270308,  160,    0
   235,   724,19270309,  155,    0
   235,   724,19270310,  135,    0
   235,   724,19270311,  125,    0
   235,   724,19270312,  115,    0
   235,   724,19270313,  110,    0
   235,   724,19270314,  105,    0
   235,   724,19270315,  110,    0
   235,   724,19270316,  120,    0
   235,   724,19270317,  110,    0
   235,   724,19270318,  105,    0
   235,   724,19270319,  110,    0
   235,   724,19270320,  115,    0
   235,   724,19270321,  125,    0
   235,   724,19270322,  145,    0
   235,   724,19270323,  170,    0
   235,   724,19270324,  190,    0
   235,   724,19270325,  185,    0
   235,   724,19270326,  190,    0
   235,   724,19270327,  140,    0
   235,   724,19270328,  135,    0
   235,   724,19270329,  165,    0
   235,   724,19270330,  155,    0
   235,   724,19270331,  170,    0
   235,   724,19270401,  190,    0
   235,   724,19270402,  135,    0
   235,   724,19270403,  145,    0
   235,   724,19270404,  140,    0
   235,   724,19270405,  180,    0
   235,   724,19270406,  190,    0
   235,   724,19270407,  195,    0
   235,   724,19270408,  175,    0
   235,   724,19270409,  140,    0
   235,   724,19270410,  135,    0
   235,   724,19270411,  140,    0
   235,   724,19270412,  125,    0
   235,   724,19270413,  115,    0
   235,   724,19270414,  130,    0
   235,   724,19270415,  190,    0
   235,   724,19270416,  150,    0
   235,   724,19270417,  135,    0
   235,   724,19270418,  125,    0
   235,   724,19270419,  125,    0
   235,   724,19270420,  135,    0
   235,   724,19270421,  145,    0
   235,   724,19270422,  145,    0
   235,   724,19270423,  150,    0
   235,   724,19270424,  200,    0
   235,   724,19270425,  150,    0
   235,   724,19270426,  150,    0
   235,   724,19270427,  150,    0
   235,   724,19270428,  160,    0
   235,   724,19270429,  170,    0
   235,   724,19270430,  200,    0
   235,   724,19270501,  160,    0
   235,   724,19270502,  165,    0
   235,   724,19270503,  175,    0
   235,   724,19270504,  180,    0
   235,   724,19270505,  155,    0
   235,   724,19270506,  160,    0
   235,   724,19270507,  160,    0
   235,   724,19270508,  175,    0
   235,   724,19270509,  175,    0
   235,   724,19270510,  170,    0
   235,   724,19270511,  180,    0
   235,   724,19270512,  190,    0
   235,   724,19270513,  175,    0
   235,   724,19270514,  170,    0
   235,   724,19270515,  175,    0
   235,   724,19270516,  180,    0
   235,   724,19270517,  185,    0
   235,   724,19270518,  195,    0
   235,   724,19270519,  195,    0
   235,   724,19270520,  195,    0
   235,   724,19270521,  225,    0
   235,   724,19270522,  200,    0
   235,   724,19270523,  225,    0
   235,   724,19270524,  195,    0
   235,   724,19270525,  215,    0
   235,   724,19270526,  220,    0
   235,   724,19270527,  200,    0
   235,   724,19270528,  200,    0
   235,   724,19270529,  210,    0
   235,   724,19270530,  210,    0
   235,   724,19270531,  200,    0
   235,   724,19270601,  210,    0
   235,   724,19270602,  190,    0
   235,   724,19270603,  190,    0
   235,   724,19270604,  205,    0
   235,   724,19270605,  200,    0
   235,   724,19270606,  200,    0
   235,   724,19270607,  200,    0
   235,   724,19270608,  225,    0
   235,   724,19270609,  205,    0
   235,   724,19270610,  220,    0
   235,   724,19270611,  230,    0
   235,   724,19270612,  240,    0
   235,   724,19270613,  225,    0
   235,   724,19270614,  230,    0
   235,   724,19270615,  200,    0
   235,   724,19270616,  220,    0
   235,   724,19270617,  255,    0
   235,   724,19270618,  225,    0
   235,   724,19270619,  225,    0
   235,   724,19270620,  225,    0
   235,   724,19270621,  215,    0
   235,   724,19270622,  215,    0
   235,   724,19270623,-9999,    9
   235,   724,19270624,-9999,    9
   235,   724,19270625,-9999,    9
   235,   724,19270626,-9999,    9
   235,   724,19270627,-9999,    9
   235,   724,19270628,  210,    0
   235,   724,19270629,  180,    0
   235,   724,19270630,  250,    0
   235,   724,19270701,  235,    0
   235,   724,19270702,  240,    0
   235,   724,19270703,  215,    0
   235,   724,19270704,  225,    0
   235,   724,19270705,  235,    0
   235,   724,19270706,  270,    0
   235,   724,19270707,  250,    0
   235,   724,19270708,  230,    0
   235,   724,19270709,  215,    0
   235,   724,19270710,  220,    0
   235,   724,19270711,  225,    0
   235,   724,19270712,  220,    0
   235,   724,19270713,  205,    0
   235,   724,19270714,  225,    0
   235,   724,19270715,  230,    0
   235,   724,19270716,  230,    0
   235,   724,19270717,  225,    0
   235,   724,19270718,  225,    0
   235,   724,19270719,  225,    0
   235,   724,19270720,  245,    0
   235,   724,19270721,  240,    0
   235,   724,19270722,  250,    0
   235,   724,19270723,  270,    0
   235,   724,19270724,  235,    0
   235,   724,19270725,  235,    0
   235,   724,19270726,  240,    0
   235,   724,19270727,  270,    0
   235,   724,19270728,  240,    0
   235,   724,19270729,  245,    0
   235,   724,19270730,  245,    0
   235,   724,19270731,  245,    0
   235,   724,19270801,  240,    0
   235,   724,19270802,  250,    0
   235,   724,19270803,  240,    0
   235,   724,19270804,  260,    0
   235,   724,19270805,  275,    0
   235,   724,19270806,  260,    0
   235,   724,19270807,  260,    0
   235,   724,19270808,  255,    0
   235,   724,19270809,  250,    0
   235,   724,19270810,  260,    0
   235,   724,19270811,  245,    0
   235,   724,19270812,  250,    0
   235,   724,19270813,  255,    0
   235,   724,19270814,  250,    0
   235,   724,19270815,  240,    0
   235,   724,19270816,  220,    0
   235,   724,19270817,  220,    0
   235,   724,19270818,  250,    0
   235,   724,19270819,  240,    0
   235,   724,19270820,  220,    0
   235,   724,19270821,  220,    0
   235,   724,19270822,  240,    0
   235,   724,19270823,  250,    0
   235,   724,19270824,  260,    0
   235,   724,19270825,  260,    0
   235,   724,19270826,  225,    0
   235,   724,19270827,  230,    0
   235,   724,19270828,  225,    0
   235,   724,19270829,  230,    0
   235,   724,19270830,  240,    0
   235,   724,19270831,  230,    0
   235,   724,19270901,  250,    0
   235,   724,19270902,  235,    0
   235,   724,19270903,  245,    0
   235,   724,19270904,  240,    0
   235,   724,19270905,  220,    0
   235,   724,19270906,  225,    0
   235,   724,19270907,  235,    0
   235,   724,19270908,  225,    0
   235,   724,19270909,  235,    0
   235,   724,19270910,  235,    0
   235,   724,19270911,  240,    0
   235,   724,19270912,  240,    0
   235,   724,19270913,  210,    0
   235,   724,19270914,  215,    0
   235,   724,19270915,  230,    0
   235,   724,19270916,  200,    0
   235,   724,19270917,  215,    0
   235,   724,19270918,  220,    0
   235,   724,19270919,  220,    0
   235,   724,19270920,  220,    0
   235,   724,19270921,  240,    0
   235,   724,19270922,  255,    0
   235,   724,19270923,  245,    0
   235,   724,19270924,  240,    0
   235,   724,19270925,  240,    0
   235,   724,19270926,  210,    0
   235,   724,19270927,  185,    0
   235,   724,19270928,  190,    0
   235,   724,19270929,  180,    0
   235,   724,19270930,  215,    0
   235,   724,19271001,  200,    0
   235,   724,19271002,  200,    0
   235,   724,19271003,  205,    0
   235,   724,19271004,  210,    0
   235,   724,19271005,  205,    0
   235,   724,19271006,  210,    0
   235,   724,19271007,  215,    0
   235,   724,19271008,  200,    0
   235,   724,19271009,  220,    0
   235,   724,19271010,  180,    0
   235,   724,19271011,  175,    0
   235,   724,19271012,  175,    0
   235,   724,19271013,  185,    0
   235,   724,19271014,  195,    0
   235,   724,19271015,  200,    0
   235,   724,19271016,  190,    0
   235,   724,19271017,  150,    0
   235,   724,19271018,  170,    0
   235,   724,19271019,  185,    0
   235,   724,19271020,  175,    0
   235,   724,19271021,  200,    0
   235,   724,19271022,  195,    0
   235,   724,19271023,  205,    0
   235,   724,19271024,  160,    0
   235,   724,19271025,  165,    0
   235,   724,19271026,  180,    0
   235,   724,19271027,  185,    0
   235,   724,19271028,  185,    0
   235,   724,19271029,  185,    0
   235,   724,19271030,  185,    0
   235,   724,19271031,  175,    0
   235,   724,19271101,  175,    0
   235,   724,19271102,  170,    0
   235,   724,19271103,  170,    0
   235,   724,19271104,  160,    0
