EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BASEL BINNINGEN, SWITZERLAND (STAID: 239)
Blended and updated with sources:737 906601 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   239,   737,19010101,    9,    0
   239,   737,19010102,  -26,    0
   239,   737,19010103,  -62,    0
   239,   737,19010104,  -95,    0
   239,   737,19010105, -100,    0
   239,   737,19010106, -106,    0
   239,   737,19010107,  -86,    0
   239,   737,19010108,  -47,    0
   239,   737,19010109,  -28,    0
   239,   737,19010110,  -16,    0
   239,   737,19010111,   14,    0
   239,   737,19010112,   16,    0
   239,   737,19010113,  -20,    0
   239,   737,19010114,  -39,    0
   239,   737,19010115,  -44,    0
   239,   737,19010116,  -42,    0
   239,   737,19010117,  -66,    0
   239,   737,19010118,  -35,    0
   239,   737,19010119,   -4,    0
   239,   737,19010120,   23,    0
   239,   737,19010121,   39,    0
   239,   737,19010122,   49,    0
   239,   737,19010123,   46,    0
   239,   737,19010124,   32,    0
   239,   737,19010125,   59,    0
   239,   737,19010126,   38,    0
   239,   737,19010127,   76,    0
   239,   737,19010128,   57,    0
   239,   737,19010129,    8,    0
   239,   737,19010130,  -12,    0
   239,   737,19010131,  -11,    0
   239,   737,19010201,   -9,    0
   239,   737,19010202,  -18,    0
   239,   737,19010203,   -6,    0
   239,   737,19010204,   20,    0
   239,   737,19010205,   19,    0
   239,   737,19010206,    4,    0
   239,   737,19010207,   -6,    0
   239,   737,19010208,  -25,    0
   239,   737,19010209,  -35,    0
   239,   737,19010210,  -20,    0
   239,   737,19010211,  -10,    0
   239,   737,19010212,  -62,    0
   239,   737,19010213,  -34,    0
   239,   737,19010214,  -88,    0
   239,   737,19010215, -106,    0
   239,   737,19010216,  -84,    0
   239,   737,19010217,  -35,    0
   239,   737,19010218,  -68,    0
   239,   737,19010219,  -66,    0
   239,   737,19010220,  -89,    0
   239,   737,19010221, -121,    0
   239,   737,19010222, -100,    0
   239,   737,19010223,  -59,    0
   239,   737,19010224,   -7,    0
   239,   737,19010225,   18,    0
   239,   737,19010226,   15,    0
   239,   737,19010227,   25,    0
   239,   737,19010228,   67,    0
   239,   737,19010301,   55,    0
   239,   737,19010302,   69,    0
   239,   737,19010303,   66,    0
   239,   737,19010304,   45,    0
   239,   737,19010305,   79,    0
   239,   737,19010306,   71,    0
   239,   737,19010307,   36,    0
   239,   737,19010308,   40,    0
   239,   737,19010309,   32,    0
   239,   737,19010310,   27,    0
   239,   737,19010311,   30,    0
   239,   737,19010312,   14,    0
   239,   737,19010313,   31,    0
   239,   737,19010314,   54,    0
   239,   737,19010315,   56,    0
   239,   737,19010316,   62,    0
   239,   737,19010317,   77,    0
   239,   737,19010318,   81,    0
   239,   737,19010319,   66,    0
   239,   737,19010320,   60,    0
   239,   737,19010321,   10,    0
   239,   737,19010322,    6,    0
   239,   737,19010323,   -1,    0
   239,   737,19010324,    2,    0
   239,   737,19010325,   17,    0
   239,   737,19010326,  -14,    0
   239,   737,19010327,   -6,    0
   239,   737,19010328,  -14,    0
   239,   737,19010329,  -14,    0
   239,   737,19010330,   42,    0
   239,   737,19010331,  116,    0
   239,   737,19010401,   84,    0
   239,   737,19010402,  105,    0
   239,   737,19010403,  126,    0
   239,   737,19010404,  139,    0
   239,   737,19010405,   65,    0
   239,   737,19010406,  102,    0
   239,   737,19010407,  139,    0
   239,   737,19010408,  128,    0
   239,   737,19010409,  106,    0
   239,   737,19010410,   86,    0
   239,   737,19010411,  112,    0
   239,   737,19010412,   60,    0
   239,   737,19010413,   37,    0
   239,   737,19010414,  102,    0
   239,   737,19010415,  105,    0
   239,   737,19010416,   51,    0
   239,   737,19010417,   47,    0
   239,   737,19010418,   52,    0
   239,   737,19010419,   73,    0
   239,   737,19010420,  104,    0
   239,   737,19010421,  149,    0
   239,   737,19010422,  141,    0
   239,   737,19010423,  136,    0
   239,   737,19010424,  129,    0
   239,   737,19010425,  125,    0
   239,   737,19010426,  111,    0
   239,   737,19010427,  106,    0
   239,   737,19010428,   92,    0
   239,   737,19010429,   88,    0
   239,   737,19010430,   75,    0
   239,   737,19010501,   91,    0
   239,   737,19010502,  114,    0
   239,   737,19010503,  110,    0
   239,   737,19010504,  119,    0
   239,   737,19010505,  124,    0
   239,   737,19010506,  121,    0
   239,   737,19010507,   98,    0
   239,   737,19010508,   89,    0
   239,   737,19010509,   92,    0
