EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SAENTIS, SWITZERLAND (STAID: 243)
Blended and updated with sources:753 906680 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   243,   753,19010101,  -96,    0
   243,   753,19010102, -129,    0
   243,   753,19010103, -195,    0
   243,   753,19010104, -208,    0
   243,   753,19010105, -212,    0
   243,   753,19010106, -138,    0
   243,   753,19010107, -116,    0
   243,   753,19010108,  -68,    0
   243,   753,19010109,  -39,    0
   243,   753,19010110,  -77,    0
   243,   753,19010111,  -80,    0
   243,   753,19010112,  -98,    0
   243,   753,19010113,  -74,    0
   243,   753,19010114,  -45,    0
   243,   753,19010115,  -51,    0
   243,   753,19010116,  -48,    0
   243,   753,19010117,  -27,    0
   243,   753,19010118,  -37,    0
   243,   753,19010119,  -28,    0
   243,   753,19010120,  -73,    0
   243,   753,19010121,  -84,    0
   243,   753,19010122,  -11,    0
   243,   753,19010123,   -4,    0
   243,   753,19010124,   -1,    0
   243,   753,19010125,  -61,    0
   243,   753,19010126, -114,    0
   243,   753,19010127,  -66,    0
   243,   753,19010128, -111,    0
   243,   753,19010129, -153,    0
   243,   753,19010130, -180,    0
   243,   753,19010131, -159,    0
   243,   753,19010201, -112,    0
   243,   753,19010202, -151,    0
   243,   753,19010203, -126,    0
   243,   753,19010204, -110,    0
   243,   753,19010205, -112,    0
   243,   753,19010206, -144,    0
   243,   753,19010207, -157,    0
   243,   753,19010208, -148,    0
   243,   753,19010209, -136,    0
   243,   753,19010210, -148,    0
   243,   753,19010211, -157,    0
   243,   753,19010212, -210,    0
   243,   753,19010213, -207,    0
   243,   753,19010214, -246,    0
   243,   753,19010215, -252,    0
   243,   753,19010216, -196,    0
   243,   753,19010217, -168,    0
   243,   753,19010218, -194,    0
   243,   753,19010219, -222,    0
   243,   753,19010220, -206,    0
   243,   753,19010221, -159,    0
   243,   753,19010222, -133,    0
   243,   753,19010223, -139,    0
   243,   753,19010224, -129,    0
   243,   753,19010225, -107,    0
   243,   753,19010226,  -59,    0
   243,   753,19010227,  -81,    0
   243,   753,19010228,  -76,    0
   243,   753,19010301,  -66,    0
   243,   753,19010302,  -73,    0
   243,   753,19010303,  -83,    0
   243,   753,19010304, -115,    0
   243,   753,19010305,  -72,    0
   243,   753,19010306,  -91,    0
   243,   753,19010307, -133,    0
   243,   753,19010308, -123,    0
   243,   753,19010309,  -81,    0
   243,   753,19010310,  -59,    0
   243,   753,19010311,  -82,    0
   243,   753,19010312, -111,    0
   243,   753,19010313,  -95,    0
   243,   753,19010314,  -77,    0
   243,   753,19010315,  -61,    0
   243,   753,19010316,  -64,    0
   243,   753,19010317,  -47,    0
   243,   753,19010318,  -47,    0
   243,   753,19010319,  -39,    0
   243,   753,19010320,  -35,    0
   243,   753,19010321, -115,    0
   243,   753,19010322, -162,    0
   243,   753,19010323, -180,    0
   243,   753,19010324, -165,    0
   243,   753,19010325, -110,    0
   243,   753,19010326, -137,    0
   243,   753,19010327, -185,    0
   243,   753,19010328, -185,    0
   243,   753,19010329, -181,    0
   243,   753,19010330, -104,    0
   243,   753,19010331,  -41,    0
   243,   753,19010401,  -34,    0
   243,   753,19010402,  -32,    0
   243,   753,19010403,  -11,    0
   243,   753,19010404,    3,    0
   243,   753,19010405,  -15,    0
   243,   753,19010406,  -16,    0
   243,   753,19010407,    2,    0
   243,   753,19010408,    8,    0
   243,   753,19010409,    9,    0
   243,   753,19010410,  -55,    0
   243,   753,19010411,  -55,    0
   243,   753,19010412,  -66,    0
   243,   753,19010413, -108,    0
   243,   753,19010414,  -60,    0
   243,   753,19010415,  -49,    0
   243,   753,19010416, -101,    0
   243,   753,19010417, -109,    0
   243,   753,19010418, -113,    0
   243,   753,19010419,  -67,    0
   243,   753,19010420,  -21,    0
   243,   753,19010421,    5,    0
   243,   753,19010422,    8,    0
   243,   753,19010423,   -8,    0
   243,   753,19010424,   -7,    0
   243,   753,19010425,  -15,    0
   243,   753,19010426,  -30,    0
   243,   753,19010427,  -20,    0
   243,   753,19010428,  -39,    0
   243,   753,19010429,  -42,    0
   243,   753,19010430,  -77,    0
   243,   753,19010501,  -63,    0
   243,   753,19010502,  -29,    0
   243,   753,19010503,  -33,    0
   243,   753,19010504,  -37,    0
   243,   753,19010505,  -15,    0
   243,   753,19010506,  -17,    0
   243,   753,19010507,  -46,    0
   243,   753,19010508,  -72,    0
   243,   753,19010509,  -59,    0
   243,   753,19010510,  -43,    0
   243,   753,19010511,  -43,    0
   243,   753,19010512,    2,    0
   243,   753,19010513,   15,    0
   243,   753,19010514,    2,    0
   243,   753,19010515,   -7,    0
   243,   753,19010516,  -25,    0
   243,   753,19010517,  -40,    0
   243,   753,19010518,   -9,    0
   243,   753,19010519,    3,    0
   243,   753,19010520,    3,    0
   243,   753,19010521,   23,    0
   243,   753,19010522,   25,    0
   243,   753,19010523,    1,    0
   243,   753,19010524,   20,    0
   243,   753,19010525,   29,    0
   243,   753,19010526,   25,    0
   243,   753,19010527,   35,    0
   243,   753,19010528,   51,    0
   243,   753,19010529,   54,    0
   243,   753,19010530,   60,    0
   243,   753,19010531,   80,    0
   243,   753,19010601,  105,    0
   243,   753,19010602,   91,    0
   243,   753,19010603,   61,    0
   243,   753,19010604,   37,    0
   243,   753,19010605,   44,    0
   243,   753,19010606,   50,    0
   243,   753,19010607,   51,    0
   243,   753,19010608,   71,    0
   243,   753,19010609,   47,    0
   243,   753,19010610,   37,    0
   243,   753,19010611,   32,    0
   243,   753,19010612,   33,    0
   243,   753,19010613,   15,    0
   243,   753,19010614,   25,    0
   243,   753,19010615,   -7,    0
   243,   753,19010616,  -47,    0
   243,   753,19010617,  -38,    0
   243,   753,19010618,  -53,    0
   243,   753,19010619,  -47,    0
   243,   753,19010620,   -1,    0
   243,   753,19010621,   19,    0
   243,   753,19010622,   64,    0
   243,   753,19010623,   75,    0
   243,   753,19010624,   51,    0
   243,   753,19010625,   30,    0
   243,   753,19010626,   41,    0
   243,   753,19010627,   55,    0
   243,   753,19010628,   77,    0
   243,   753,19010629,   74,    0
   243,   753,19010630,  103,    0
   243,   753,19010701,   35,    0
   243,   753,19010702,   31,    0
   243,   753,19010703,   15,    0
   243,   753,19010704,   11,    0
   243,   753,19010705,   26,    0
   243,   753,19010706,   19,    0
   243,   753,19010707,   39,    0
   243,   753,19010708,   57,    0
   243,   753,19010709,   70,    0
   243,   753,19010710,   58,    0
   243,   753,19010711,   38,    0
   243,   753,19010712,   56,    0
   243,   753,19010713,   77,    0
   243,   753,19010714,   67,    0
   243,   753,19010715,   60,    0
   243,   753,19010716,   50,    0
   243,   753,19010717,   77,    0
   243,   753,19010718,   77,    0
   243,   753,19010719,   80,    0
   243,   753,19010720,   57,    0
   243,   753,19010721,   73,    0
   243,   753,19010722,   69,    0
   243,   753,19010723,   18,    0
   243,   753,19010724,   38,    0
   243,   753,19010725,   28,    0
   243,   753,19010726,   25,    0
   243,   753,19010727,   53,    0
   243,   753,19010728,   72,    0
   243,   753,19010729,   64,    0
