EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ARMAGH, UNITED KINGDOM (STAID: 271)
Blended and updated with sources:46811 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   271, 46811,18440101,   -3,    0
   271, 46811,18440102,  -15,    0
   271, 46811,18440103,   34,    0
   271, 46811,18440104,   80,    0
   271, 46811,18440105,   83,    0
   271, 46811,18440106,   48,    0
   271, 46811,18440107,   28,    0
   271, 46811,18440108,   38,    0
   271, 46811,18440109,   68,    0
   271, 46811,18440110,   59,    0
   271, 46811,18440111,   66,    0
   271, 46811,18440112,   58,    0
   271, 46811,18440113,   30,    0
   271, 46811,18440114,   20,    0
   271, 46811,18440115,   20,    0
   271, 46811,18440116,   45,    0
   271, 46811,18440117,   63,    0
   271, 46811,18440118,   68,    0
   271, 46811,18440119,   63,    0
   271, 46811,18440120,   64,    0
   271, 46811,18440121,   46,    0
   271, 46811,18440122,   23,    0
   271, 46811,18440123,   15,    0
   271, 46811,18440124,   42,    0
   271, 46811,18440125,   69,    0
   271, 46811,18440126,   71,    0
   271, 46811,18440127,   82,    0
   271, 46811,18440128,   70,    0
   271, 46811,18440129,   84,    0
   271, 46811,18440130,   34,    0
   271, 46811,18440131,   28,    0
   271, 46811,18440201,   34,    0
   271, 46811,18440202,   20,    0
   271, 46811,18440203,   21,    0
   271, 46811,18440204,   31,    0
   271, 46811,18440205,   31,    0
   271, 46811,18440206,   32,    0
   271, 46811,18440207,   17,    0
   271, 46811,18440208,   17,    0
   271, 46811,18440209,   22,    0
   271, 46811,18440210,   20,    0
   271, 46811,18440211,   30,    0
   271, 46811,18440212,   53,    0
   271, 46811,18440213,   62,    0
   271, 46811,18440214,   80,    0
   271, 46811,18440215,   47,    0
   271, 46811,18440216,   56,    0
   271, 46811,18440217,   68,    0
   271, 46811,18440218,   69,    0
   271, 46811,18440219,   12,    0
   271, 46811,18440220,    8,    0
   271, 46811,18440221,  -17,    0
   271, 46811,18440222,  -13,    0
   271, 46811,18440223,    7,    0
   271, 46811,18440224,   17,    0
   271, 46811,18440225,   36,    0
   271, 46811,18440226,  -20,    0
   271, 46811,18440227,   20,    0
   271, 46811,18440228,   32,    0
   271, 46811,18440229,   44,    0
   271, 46811,18440301,   31,    0
   271, 46811,18440302,   39,    0
   271, 46811,18440303,   47,    0
   271, 46811,18440304,   22,    0
   271, 46811,18440305,    3,    0
   271, 46811,18440306,   22,    0
   271, 46811,18440307,   53,    0
   271, 46811,18440308,   88,    0
   271, 46811,18440309,   62,    0
   271, 46811,18440310,   71,    0
   271, 46811,18440311,   42,    0
   271, 46811,18440312,   34,    0
   271, 46811,18440313,   66,    0
   271, 46811,18440314,   45,    0
   271, 46811,18440315,   36,    0
   271, 46811,18440316,   19,    0
   271, 46811,18440317,   10,    0
   271, 46811,18440318,   48,    0
   271, 46811,18440319,   61,    0
   271, 46811,18440320,   51,    0
   271, 46811,18440321,   69,    0
   271, 46811,18440322,   50,    0
   271, 46811,18440323,   73,    0
   271, 46811,18440324,   70,    0
   271, 46811,18440325,   84,    0
   271, 46811,18440326,  100,    0
   271, 46811,18440327,   77,    0
   271, 46811,18440328,  101,    0
   271, 46811,18440329,   82,    0
   271, 46811,18440330,   80,    0
   271, 46811,18440331,  102,    0
   271, 46811,18440401,  115,    0
   271, 46811,18440402,   82,    0
   271, 46811,18440403,   73,    0
   271, 46811,18440404,   74,    0
   271, 46811,18440405,   75,    0
   271, 46811,18440406,   72,    0
   271, 46811,18440407,  111,    0
   271, 46811,18440408,  121,    0
   271, 46811,18440409,  116,    0
   271, 46811,18440410,  103,    0
   271, 46811,18440411,   87,    0
   271, 46811,18440412,  100,    0
   271, 46811,18440413,   99,    0
   271, 46811,18440414,  126,    0
   271, 46811,18440415,   99,    0
   271, 46811,18440416,  100,    0
   271, 46811,18440417,   99,    0
   271, 46811,18440418,  109,    0
   271, 46811,18440419,  136,    0
   271, 46811,18440420,  113,    0
   271, 46811,18440421,   89,    0
   271, 46811,18440422,   95,    0
