EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOERICH_1, LUXEMBOURG (STAID: 287)
Blended and updated with sources:121151 121291 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   287,121151,20050101,-9999,    9
   287,121151,20050102,   37,    0
   287,121151,20050103,   31,    0
   287,121151,20050104,   26,    0
   287,121151,20050105,   45,    0
   287,121151,20050106,-9999,    9
   287,121151,20050107,-9999,    9
   287,121151,20050108,-9999,    9
   287,121151,20050109,   55,    0
   287,121151,20050110,   81,    0
   287,121151,20050111,   78,    0
   287,121151,20050112,   64,    0
   287,121151,20050113,   17,    0
   287,121151,20050114,    0,    0
   287,121151,20050115,  -18,    0
   287,121151,20050116,  -42,    0
   287,121151,20050117,    6,    0
   287,121151,20050118,   38,    0
   287,121151,20050119,   21,    0
   287,121151,20050120,   79,    0
   287,121151,20050121,   51,    0
   287,121151,20050122,   11,    0
   287,121151,20050123,    7,    0
   287,121151,20050124,   -9,    0
   287,121151,20050125,  -29,    0
   287,121151,20050126,  -25,    0
   287,121151,20050127,  -32,    0
   287,121151,20050128,   -9,    0
   287,121151,20050129,  -36,    0
   287,121151,20050130,  -18,    0
   287,121151,20050131,   22,    0
   287,121151,20050201,   28,    0
   287,121151,20050202,   33,    0
   287,121151,20050203,   35,    0
   287,121151,20050204,   13,    0
   287,121151,20050205,  -14,    0
   287,121151,20050206,  -15,    0
   287,121151,20050207,   -8,    0
   287,121151,20050208,   -1,    0
   287,121151,20050209,   12,    0
   287,121151,20050210,   39,    0
   287,121151,20050211,   75,    0
   287,121151,20050212,   88,    0
   287,121151,20050213,   19,    0
   287,121151,20050214,   18,    0
   287,121151,20050215,    2,    0
   287,121151,20050216,  -11,    0
   287,121151,20050217,  -10,    0
   287,121151,20050218,  -14,    0
   287,121151,20050219,    8,    0
   287,121151,20050220,    5,    0
   287,121151,20050221,   -4,    0
   287,121151,20050222,  -18,    0
   287,121151,20050223,  -41,    0
   287,121151,20050224,  -49,    0
   287,121151,20050225,  -51,    0
   287,121151,20050226,  -31,    0
   287,121151,20050227,  -38,    0
   287,121151,20050228,  -87,    0
   287,121151,20050301,  -90,    0
   287,121151,20050302,  -40,    0
   287,121151,20050303,  -10,    0
   287,121151,20050304,  -22,    0
   287,121151,20050305,   -7,    0
   287,121151,20050306,  -27,    0
   287,121151,20050307,    4,    0
   287,121151,20050308,   24,    0
   287,121151,20050309,   22,    0
   287,121151,20050310,   18,    0
   287,121151,20050311,   28,    0
   287,121151,20050312,   25,    0
   287,121151,20050313,   23,    0
   287,121151,20050314,   29,    0
   287,121151,20050315,   38,    0
   287,121151,20050316,   80,    0
   287,121151,20050317,  103,    0
   287,121151,20050318,   98,    0
   287,121151,20050319,  103,    0
   287,121151,20050320,   93,    0
   287,121151,20050321,   80,    0
   287,121151,20050322,   99,    0
   287,121151,20050323,  116,    0
   287,121151,20050324,  104,    0
   287,121151,20050325,  104,    0
   287,121151,20050326,   95,    0
   287,121151,20050327,  106,    0
   287,121151,20050328,  105,    0
   287,121151,20050329,  105,    0
   287,121151,20050330,   97,    0
   287,121151,20050331,  101,    0
   287,121151,20050401,   85,    0
   287,121151,20050402,   76,    0
   287,121151,20050403,   93,    0
   287,121151,20050404,  104,    0
   287,121151,20050405,   91,    0
   287,121151,20050406,   85,    0
   287,121151,20050407,   94,    0
   287,121151,20050408,   63,    0
   287,121151,20050409,   45,    0
   287,121151,20050410,   57,    0
   287,121151,20050411,   77,    0
   287,121151,20050412,   93,    0
   287,121151,20050413,  103,    0
   287,121151,20050414,  107,    0
   287,121151,20050415,   89,    0
   287,121151,20050416,   87,    0
   287,121151,20050417,  113,    0
   287,121151,20050418,  110,    0
   287,121151,20050419,   88,    0
   287,121151,20050420,   73,    0
   287,121151,20050421,   67,    0
   287,121151,20050422,   72,    0
   287,121151,20050423,   85,    0
   287,121151,20050424,  120,    0
   287,121151,20050425,  106,    0
   287,121151,20050426,  115,    0
   287,121151,20050427,  109,    0
   287,121151,20050428,  109,    0
   287,121151,20050429,-9999,    9
   287,121151,20050430,  166,    0
   287,121151,20050501,  179,    0
   287,121151,20050502,  166,    0
   287,121151,20050503,  139,    0
   287,121151,20050504,-9999,    9
   287,121151,20050505,  113,    0
   287,121151,20050506,  106,    0
   287,121151,20050507,   75,    0
   287,121151,20050508,   72,    0
   287,121151,20050509,   69,    0
   287,121151,20050510,   70,    0
   287,121151,20050511,   72,    0
   287,121151,20050512,   96,    0
   287,121151,20050513,  109,    0
   287,121151,20050514,  107,    0
   287,121151,20050515,  105,    0
   287,121151,20050516,-9999,    9
   287,121151,20050517,   88,    0
   287,121151,20050518,   73,    0
   287,121151,20050519,-9999,    9
   287,121151,20050520,-9999,    9
   287,121151,20050521,  143,    0
   287,121151,20050522,  131,    0
   287,121151,20050523,  124,    0
   287,121151,20050524,  128,    0
   287,121151,20050525,-9999,    9
   287,121151,20050526,  191,    0
   287,121151,20050527,  209,    0
   287,121151,20050528,  215,    0
   287,121151,20050529,  204,    0
   287,121151,20050530,  128,    0
   287,121151,20050531,  118,    0
   287,121151,20050601,  136,    0
   287,121151,20050602,  157,    0
   287,121151,20050603,  170,    0
   287,121151,20050604,  134,    0
   287,121151,20050605,  118,    0
   287,121151,20050606,  124,    0
   287,121151,20050607,   88,    0
   287,121151,20050608,  105,    0
   287,121151,20050609,-9999,    9
   287,121151,20050610,-9999,    9
   287,121151,20050611,  116,    0
   287,121151,20050612,  108,    0
   287,121151,20050613,  128,    0
   287,121151,20050614,-9999,    9
   287,121151,20050615,-9999,    9
   287,121151,20050616,  187,    0
   287,121151,20050617,  199,    0
   287,121151,20050618,  206,    0
   287,121151,20050619,  200,    0
   287,121151,20050620,  213,    0
   287,121151,20050621,  226,    0
   287,121151,20050622,  210,    0
   287,121151,20050623,-9999,    9
   287,121151,20050624,-9999,    9
   287,121151,20050625,-9999,    9
   287,121151,20050626,-9999,    9
   287,121151,20050627,-9999,    9
   287,121151,20050628,  240,    0
   287,121151,20050629,  208,    0
   287,121151,20050630,  174,    0
   287,121151,20050701,  163,    0
   287,121151,20050702,  173,    0
   287,121151,20050703,  199,    0
   287,121151,20050704,-9999,    9
   287,121151,20050705,-9999,    9
   287,121151,20050706,-9999,    9
   287,121151,20050707,-9999,    9
   287,121151,20050708,  145,    0
   287,121151,20050709,  162,    0
   287,121151,20050710,  180,    0
   287,121151,20050711,  207,    0
   287,121151,20050712,  204,    0
   287,121151,20050713,  218,    0
   287,121151,20050714,  221,    0
   287,121151,20050715,  219,    0
   287,121151,20050716,  209,    0
   287,121151,20050717,  195,    0
   287,121151,20050718,  197,    0
   287,121151,20050719,  168,    0
   287,121151,20050720,  153,    0
   287,121151,20050721,  160,    0
   287,121151,20050722,  166,    0
   287,121151,20050723,  170,    0
   287,121151,20050724,  171,    0
   287,121151,20050725,  188,    0
