EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TASIILAQ, GREENLAND [DENMARK] (STAID: 299)
Blended and updated with sources:6708 47547 904360 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   299,  6708,18970901,-9999,    9
   299,  6708,18970902,-9999,    9
   299,  6708,18970903,-9999,    9
   299,  6708,18970904,-9999,    9
   299,  6708,18970905,-9999,    9
   299,  6708,18970906,-9999,    9
   299,  6708,18970907,-9999,    9
   299,  6708,18970908,-9999,    9
   299,  6708,18970909,-9999,    9
   299,  6708,18970910,-9999,    9
   299,  6708,18970911,-9999,    9
   299,  6708,18970912,-9999,    9
   299,  6708,18970913,-9999,    9
   299,  6708,18970914,-9999,    9
   299,  6708,18970915,-9999,    9
   299,  6708,18970916,-9999,    9
   299,  6708,18970917,-9999,    9
   299,  6708,18970918,-9999,    9
   299,  6708,18970919,-9999,    9
   299,  6708,18970920,-9999,    9
   299,  6708,18970921,-9999,    9
   299,  6708,18970922,-9999,    9
   299,  6708,18970923,-9999,    9
   299,  6708,18970924,-9999,    9
   299,  6708,18970925,-9999,    9
   299,  6708,18970926,-9999,    9
   299,  6708,18970927,-9999,    9
   299,  6708,18970928,-9999,    9
   299,  6708,18970929,-9999,    9
   299,  6708,18970930,   18,    0
   299,  6708,18971001,   32,    0
   299,  6708,18971002,   44,    0
   299,  6708,18971003,   46,    0
   299,  6708,18971004,   49,    0
   299,  6708,18971005,    9,    0
   299,  6708,18971006,   12,    0
   299,  6708,18971007,    8,    0
   299,  6708,18971008,   14,    0
   299,  6708,18971009,   20,    0
   299,  6708,18971010,    6,    0
   299,  6708,18971011,  -12,    0
   299,  6708,18971012,  -16,    0
   299,  6708,18971013,  -25,    0
   299,  6708,18971014,  -22,    0
   299,  6708,18971015,  -45,    0
   299,  6708,18971016,  -46,    0
   299,  6708,18971017,  -54,    0
   299,  6708,18971018,  -39,    0
   299,  6708,18971019,  -15,    0
   299,  6708,18971020,    6,    0
   299,  6708,18971021,   30,    0
   299,  6708,18971022,    8,    0
   299,  6708,18971023,   26,    0
   299,  6708,18971024,    3,    0
   299,  6708,18971025,   16,    0
   299,  6708,18971026,   11,    0
   299,  6708,18971027,   10,    0
   299,  6708,18971028,   -4,    0
   299,  6708,18971029,  -12,    0
   299,  6708,18971030,  -24,    0
   299,  6708,18971031,   16,    0
   299,  6708,18971101,   16,    0
   299,  6708,18971102,  -22,    0
   299,  6708,18971103,  -69,    0
   299,  6708,18971104,  -42,    0
   299,  6708,18971105,   -4,    0
   299,  6708,18971106,   30,    0
   299,  6708,18971107,   34,    0
   299,  6708,18971108,   10,    0
   299,  6708,18971109,   -9,    0
   299,  6708,18971110,  -51,    0
   299,  6708,18971111,  -72,    0
   299,  6708,18971112,  -96,    0
   299,  6708,18971113,  -81,    0
   299,  6708,18971114,  -52,    0
   299,  6708,18971115,  -18,    0
   299,  6708,18971116,    8,    0
   299,  6708,18971117,  -44,    0
   299,  6708,18971118,  -38,    0
   299,  6708,18971119,  -53,    0
   299,  6708,18971120,  -52,    0
   299,  6708,18971121,  -60,    0
   299,  6708,18971122,  -72,    0
   299,  6708,18971123,  -30,    0
   299,  6708,18971124,   -2,    0
   299,  6708,18971125,   14,    0
   299,  6708,18971126,  -22,    0
   299,  6708,18971127,  -42,    0
   299,  6708,18971128,  -44,    0
   299,  6708,18971129,  -30,    0
   299,  6708,18971130,  -96,    0
   299,  6708,18971201,  -67,    0
   299,  6708,18971202,  -50,    0
   299,  6708,18971203,  -80,    0
   299,  6708,18971204,  -80,    0
   299,  6708,18971205,  -40,    0
   299,  6708,18971206,  -66,    0
   299,  6708,18971207,  -56,    0
   299,  6708,18971208,  -80,    0
   299,  6708,18971209,  -70,    0
   299,  6708,18971210,  -99,    0
   299,  6708,18971211,  -77,    0
   299,  6708,18971212,  -50,    0
   299,  6708,18971213,  -60,    0
   299,  6708,18971214,  -53,    0
   299,  6708,18971215,  -18,    0
   299,  6708,18971216,  -26,    0
   299,  6708,18971217,  -18,    0
   299,  6708,18971218,    0,    0
   299,  6708,18971219,    9,    0
   299,  6708,18971220,  -14,    0
   299,  6708,18971221,    0,    0
   299,  6708,18971222,    9,    0
   299,  6708,18971223,   32,    0
   299,  6708,18971224,   47,    0
   299,  6708,18971225,    1,    0
   299,  6708,18971226,  -56,    0
   299,  6708,18971227,  -66,    0
   299,  6708,18971228,  -50,    0
   299,  6708,18971229,  -70,    0
   299,  6708,18971230, -124,    0
   299,  6708,18971231, -183,    0
   299,  6708,18980101, -146,    0
   299,  6708,18980102, -108,    0
   299,  6708,18980103,  -78,    0
   299,  6708,18980104,  -68,    0
   299,  6708,18980105,  -49,    0
   299,  6708,18980106,  -40,    0
   299,  6708,18980107,  -73,    0
   299,  6708,18980108,  -98,    0
   299,  6708,18980109,  -96,    0
   299,  6708,18980110,  -38,    0
   299,  6708,18980111,  -24,    0
   299,  6708,18980112,  -28,    0
   299,  6708,18980113,  -90,    0
   299,  6708,18980114,  -74,    0
   299,  6708,18980115,  -74,    0
   299,  6708,18980116,  -90,    0
   299,  6708,18980117, -146,    0
   299,  6708,18980118, -138,    0
   299,  6708,18980119, -120,    0
   299,  6708,18980120, -110,    0
   299,  6708,18980121, -120,    0
   299,  6708,18980122,  -88,    0
   299,  6708,18980123,  -96,    0
   299,  6708,18980124, -129,    0
   299,  6708,18980125, -187,    0
   299,  6708,18980126, -176,    0
   299,  6708,18980127, -120,    0
   299,  6708,18980128,  -95,    0
   299,  6708,18980129,  -62,    0
   299,  6708,18980130, -146,    0
   299,  6708,18980131, -141,    0
   299,  6708,18980201, -149,    0
   299,  6708,18980202, -153,    0
   299,  6708,18980203, -126,    0
   299,  6708,18980204,  -84,    0
   299,  6708,18980205,  -72,    0
   299,  6708,18980206,  -88,    0
   299,  6708,18980207, -117,    0
   299,  6708,18980208, -135,    0
   299,  6708,18980209, -126,    0
   299,  6708,18980210, -122,    0
   299,  6708,18980211, -120,    0
   299,  6708,18980212, -114,    0
   299,  6708,18980213, -142,    0
   299,  6708,18980214, -190,    0
   299,  6708,18980215, -146,    0
   299,  6708,18980216, -116,    0
   299,  6708,18980217,  -48,    0
   299,  6708,18980218,  -60,    0
   299,  6708,18980219,  -59,    0
   299,  6708,18980220,  -68,    0
   299,  6708,18980221,  -56,    0
   299,  6708,18980222,  -96,    0
   299,  6708,18980223,  -96,    0
   299,  6708,18980224,  -82,    0
   299,  6708,18980225,  -92,    0
   299,  6708,18980226, -129,    0
   299,  6708,18980227, -134,    0
   299,  6708,18980228,  -87,    0
   299,  6708,18980301,  -58,    0
   299,  6708,18980302,  -90,    0
   299,  6708,18980303,  -34,    0
   299,  6708,18980304,  -38,    0
   299,  6708,18980305,  -60,    0
   299,  6708,18980306,  -62,    0
   299,  6708,18980307,  -34,    0
   299,  6708,18980308, -108,    0
   299,  6708,18980309, -126,    0
   299,  6708,18980310, -110,    0
   299,  6708,18980311,  -74,    0
   299,  6708,18980312,  -81,    0
   299,  6708,18980313,  -94,    0
   299,  6708,18980314,  -92,    0
   299,  6708,18980315, -141,    0
   299,  6708,18980316, -111,    0
   299,  6708,18980317,  -92,    0
   299,  6708,18980318,  -57,    0
   299,  6708,18980319,  -87,    0
   299,  6708,18980320,  -63,    0
   299,  6708,18980321,  -14,    0
   299,  6708,18980322,  -20,    0
   299,  6708,18980323,  -10,    0
   299,  6708,18980324,   22,    0
   299,  6708,18980325,   31,    0
   299,  6708,18980326,   38,    0
   299,  6708,18980327,   48,    0
   299,  6708,18980328,    0,    0
   299,  6708,18980329,   -9,    0
   299,  6708,18980330,   -2,    0
   299,  6708,18980331,  -49,    0
   299,  6708,18980401,  -78,    0
   299,  6708,18980402,  -88,    0
   299,  6708,18980403,  -64,    0
   299,  6708,18980404,  -48,    0
   299,  6708,18980405,  -88,    0
   299,  6708,18980406,  -78,    0
   299,  6708,18980407,  -88,    0
   299,  6708,18980408,  -64,    0
   299,  6708,18980409,  -14,    0
   299,  6708,18980410,    3,    0
   299,  6708,18980411,   18,    0
   299,  6708,18980412,   29,    0
   299,  6708,18980413,   32,    0
   299,  6708,18980414,   14,    0
   299,  6708,18980415,  -18,    0
   299,  6708,18980416,   22,    0
   299,  6708,18980417,  -20,    0
   299,  6708,18980418,  -18,    0
   299,  6708,18980419,   -7,    0
   299,  6708,18980420,    4,    0
   299,  6708,18980421,   24,    0
   299,  6708,18980422,    2,    0
   299,  6708,18980423,   22,    0
   299,  6708,18980424,   26,    0
   299,  6708,18980425,   26,    0
   299,  6708,18980426,   31,    0
   299,  6708,18980427,   29,    0
   299,  6708,18980428,   32,    0
   299,  6708,18980429,   46,    0
   299,  6708,18980430,   50,    0
   299,  6708,18980501,   41,    0
   299,  6708,18980502,   24,    0
   299,  6708,18980503,    2,    0
   299,  6708,18980504,   -9,    0
   299,  6708,18980505,    6,    0
   299,  6708,18980506,   16,    0
   299,  6708,18980507,    5,    0
   299,  6708,18980508,    6,    0
   299,  6708,18980509,   16,    0
   299,  6708,18980510,    0,    0
   299,  6708,18980511,  -16,    0
   299,  6708,18980512,  -14,    0
   299,  6708,18980513,  -30,    0
   299,  6708,18980514,  -35,    0
   299,  6708,18980515,  -28,    0
   299,  6708,18980516,  -12,    0
   299,  6708,18980517,   10,    0
   299,  6708,18980518,   34,    0
   299,  6708,18980519,   34,    0
   299,  6708,18980520,   36,    0
   299,  6708,18980521,   25,    0
   299,  6708,18980522,   26,    0
   299,  6708,18980523,   37,    0
   299,  6708,18980524,   25,    0
   299,  6708,18980525,   60,    0
   299,  6708,18980526,   12,    0
   299,  6708,18980527,    9,    0
   299,  6708,18980528,    6,    0
   299,  6708,18980529,   18,    0
   299,  6708,18980530,   24,    0
   299,  6708,18980531,   39,    0
   299,  6708,18980601,   43,    0
   299,  6708,18980602,   40,    0
   299,  6708,18980603,   56,    0
   299,  6708,18980604,   60,    0
   299,  6708,18980605,   44,    0
   299,  6708,18980606,   63,    0
   299,  6708,18980607,   58,    0
   299,  6708,18980608,   48,    0
   299,  6708,18980609,   72,    0
   299,  6708,18980610,   56,    0
   299,  6708,18980611,   80,    0
   299,  6708,18980612,   91,    0
   299,  6708,18980613,  104,    0
   299,  6708,18980614,   86,    0
   299,  6708,18980615,   66,    0
   299,  6708,18980616,   41,    0
   299,  6708,18980617,   58,    0
   299,  6708,18980618,   70,    0
   299,  6708,18980619,   55,    0
   299,  6708,18980620,   42,    0
   299,  6708,18980621,   38,    0
   299,  6708,18980622,   31,    0
   299,  6708,18980623,   52,    0
   299,  6708,18980624,   84,    0
   299,  6708,18980625,   52,    0
   299,  6708,18980626,   46,    0
   299,  6708,18980627,   51,    0
   299,  6708,18980628,   40,    0
   299,  6708,18980629,   71,    0
   299,  6708,18980630,   72,    0
   299,  6708,18980701,   74,    0
   299,  6708,18980702,   74,    0
   299,  6708,18980703,   94,    0
   299,  6708,18980704,   52,    0
   299,  6708,18980705,   61,    0
   299,  6708,18980706,   66,    0
   299,  6708,18980707,   84,    0
   299,  6708,18980708,   54,    0
   299,  6708,18980709,   52,    0
   299,  6708,18980710,   66,    0
