EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SOUDA AIRPORT, GREECE (STAID: 327)
Blended and updated with sources:16390 55816 916746 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   327,916746,19960101,-9999,    9
   327, 55816,19960102,  135,    0
   327, 55816,19960103,  127,    0
   327, 55816,19960104,  106,    0
   327, 55816,19960105,  105,    0
   327, 55816,19960106,  108,    0
   327, 55816,19960107,   97,    0
   327, 55816,19960108,  122,    0
   327, 55816,19960109,  121,    0
   327, 55816,19960110,  115,    0
   327, 55816,19960111,  113,    0
   327, 55816,19960112,  115,    0
   327, 55816,19960113,  110,    0
   327, 55816,19960114,  122,    0
   327, 55816,19960115,   88,    0
   327, 55816,19960116,   61,    0
   327, 55816,19960117,   53,    0
   327, 55816,19960118,   58,    0
   327, 55816,19960119,   63,    0
   327, 55816,19960120,   91,    0
   327, 55816,19960121,  101,    0
   327, 55816,19960122,   97,    0
   327, 55816,19960123,   80,    0
   327, 55816,19960124,   93,    0
   327, 55816,19960125,  124,    0
   327, 55816,19960126,  155,    0
   327, 55816,19960127,  133,    0
   327, 55816,19960128,  126,    0
   327, 55816,19960129,  119,    0
   327, 55816,19960130,  139,    0
   327, 55816,19960131,  122,    0
   327, 55816,19960201,   71,    0
   327, 55816,19960202,   77,    0
   327, 55816,19960203,   98,    0
   327, 55816,19960204,  130,    0
   327, 55816,19960205,  160,    0
   327, 55816,19960206,  133,    0
   327, 55816,19960207,  140,    0
   327, 55816,19960208,  110,    0
   327, 55816,19960209,   98,    0
   327, 55816,19960210,   84,    0
   327, 55816,19960211,   92,    0
   327, 55816,19960212,  108,    0
   327, 55816,19960213,  113,    0
   327, 55816,19960214,  127,    0
   327, 55816,19960215,  132,    0
   327, 55816,19960216,  123,    0
   327, 55816,19960217,  107,    0
   327, 55816,19960218,  120,    0
   327, 55816,19960219,  112,    0
   327, 55816,19960220,  115,    0
   327, 55816,19960221,  160,    0
   327, 55816,19960222,  164,    0
   327, 55816,19960223,  114,    0
   327, 55816,19960224,  110,    0
   327, 55816,19960225,  100,    0
   327, 55816,19960226,   98,    0
   327, 55816,19960227,   89,    0
   327, 55816,19960228,   81,    0
   327, 55816,19960229,   87,    0
   327, 55816,19960301,   63,    0
   327, 55816,19960302,  117,    0
   327, 55816,19960303,   94,    0
   327, 55816,19960304,   95,    0
   327, 55816,19960305,   80,    0
   327, 55816,19960306,   63,    0
   327, 55816,19960307,   81,    0
   327, 55816,19960308,   81,    0
   327, 55816,19960309,   79,    0
   327, 55816,19960310,   82,    0
   327, 55816,19960311,   87,    0
   327, 55816,19960312,  131,    0
   327, 55816,19960313,  130,    0
   327, 55816,19960314,  130,    0
   327, 55816,19960315,  137,    0
   327, 55816,19960316,  135,    0
   327, 55816,19960317,  125,    0
   327, 55816,19960318,  120,    0
   327, 55816,19960319,  106,    0
   327, 55816,19960320,  115,    0
   327, 55816,19960321,  110,    0
   327, 55816,19960322,  106,    0
   327, 55816,19960323,   99,    0
   327, 55816,19960324,  100,    0
   327, 55816,19960325,  107,    0
   327, 55816,19960326,  134,    0
   327, 55816,19960327,  156,    0
   327, 55816,19960328,  157,    0
   327, 55816,19960329,  143,    0
   327, 55816,19960330,  139,    0
   327, 55816,19960331,  137,    0
   327, 55816,19960401,  141,    0
   327, 55816,19960402,  138,    0
   327, 55816,19960403,  171,    0
   327, 55816,19960404,  170,    0
   327, 55816,19960405,  132,    0
