EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ONA II, NORWAY (STAID: 329)
Blended and updated with sources:9721 9730 9739 901212 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   329,  9721,19110101,   28,    0
   329,  9721,19110102,   22,    0
   329,  9721,19110103,   26,    0
   329,  9721,19110104,    6,    0
   329,  9721,19110105,    4,    0
   329,  9721,19110106,   14,    0
   329,  9721,19110107,   53,    0
   329,  9721,19110108,   44,    0
   329,  9721,19110109,   40,    0
   329,  9721,19110110,   13,    0
   329,  9721,19110111,  -17,    0
   329,  9721,19110112,   12,    0
   329,  9721,19110113,    6,    0
   329,  9721,19110114,   50,    0
   329,  9721,19110115,   66,    0
   329,  9721,19110116,   28,    0
   329,  9721,19110117,   68,    0
   329,  9721,19110118,   61,    0
   329,  9721,19110119,   70,    0
   329,  9721,19110120,   60,    0
   329,  9721,19110121,   76,    0
   329,  9721,19110122,    2,    0
   329,  9721,19110123,   14,    0
   329,  9721,19110124,   54,    0
   329,  9721,19110125,   34,    0
   329,  9721,19110126,    5,    0
   329,  9721,19110127,    8,    0
   329,  9721,19110128,    4,    0
   329,  9721,19110129,   20,    0
   329,  9721,19110130,   49,    0
   329,  9721,19110131,   49,    0
   329,  9721,19110201,   47,    0
   329,  9721,19110202,   53,    0
   329,  9721,19110203,   55,    0
   329,  9721,19110204,   57,    0
   329,  9721,19110205,   51,    0
   329,  9721,19110206,   47,    0
   329,  9721,19110207,    0,    0
   329,  9721,19110208,   28,    0
   329,  9721,19110209,   32,    0
   329,  9721,19110210,   23,    0
   329,  9721,19110211,   36,    0
   329,  9721,19110212,   38,    0
   329,  9721,19110213,   67,    0
   329,  9721,19110214,   55,    0
   329,  9721,19110215,   28,    0
   329,  9721,19110216,   10,    0
   329,  9721,19110217,    6,    0
   329,  9721,19110218,    2,    0
   329,  9721,19110219,   16,    0
   329,  9721,19110220,   -4,    0
   329,  9721,19110221,   11,    0
   329,  9721,19110222,   45,    0
   329,  9721,19110223,   33,    0
   329,  9721,19110224,   18,    0
   329,  9721,19110225,   17,    0
   329,  9721,19110226,   24,    0
   329,  9721,19110227,   16,    0
   329,  9721,19110228,   59,    0
   329,  9721,19110301,   32,    0
   329,  9721,19110302,   12,    0
   329,  9721,19110303,   32,    0
   329,  9721,19110304,   36,    0
   329,  9721,19110305,   45,    0
   329,  9721,19110306,   30,    0
   329,  9721,19110307,   25,    0
   329,  9721,19110308,   19,    0
   329,  9721,19110309,   28,    0
   329,  9721,19110310,   52,    0
   329,  9721,19110311,   19,    0
   329,  9721,19110312,   24,    0
   329,  9721,19110313,   18,    0
   329,  9721,19110314,   20,    0
   329,  9721,19110315,   29,    0
   329,  9721,19110316,   22,    0
   329,  9721,19110317,   21,    0
   329,  9721,19110318,   23,    0
   329,  9721,19110319,   25,    0
   329,  9721,19110320,   17,    0
   329,  9721,19110321,   19,    0
   329,  9721,19110322,   23,    0
   329,  9721,19110323,   17,    0
   329,  9721,19110324,   18,    0
   329,  9721,19110325,   22,    0
   329,  9721,19110326,   43,    0
   329,  9721,19110327,   51,    0
   329,  9721,19110328,   50,    0
   329,  9721,19110329,   44,    0
   329,  9721,19110330,   43,    0
   329,  9721,19110331,   28,    0
   329,  9721,19110401,   39,    0
   329,  9721,19110402,    7,    0
   329,  9721,19110403,    6,    0
   329,  9721,19110404,  -14,    0
   329,  9721,19110405,   -1,    0
   329,  9721,19110406,   39,    0
   329,  9721,19110407,   47,    0
   329,  9721,19110408,   46,    0
   329,  9721,19110409,   31,    0
   329,  9721,19110410,   25,    0
   329,  9721,19110411,   48,    0
   329,  9721,19110412,   33,    0
   329,  9721,19110413,   44,    0
   329,  9721,19110414,   49,    0
   329,  9721,19110415,   23,    0
   329,  9721,19110416,   22,    0
   329,  9721,19110417,    2,    0
   329,  9721,19110418,   25,    0
   329,  9721,19110419,   65,    0
   329,  9721,19110420,   70,    0
   329,  9721,19110421,   69,    0
   329,  9721,19110422,   64,    0
   329,  9721,19110423,   49,    0
   329,  9721,19110424,   50,    0
   329,  9721,19110425,   46,    0
   329,  9721,19110426,   64,    0
   329,  9721,19110427,   68,    0
   329,  9721,19110428,   52,    0
   329,  9721,19110429,   54,    0
   329,  9721,19110430,   56,    0
   329,  9721,19110501,   61,    0
   329,  9721,19110502,   86,    0
   329,  9721,19110503,   91,    0
   329,  9721,19110504,   98,    0
   329,  9721,19110505,   76,    0
   329,  9721,19110506,   83,    0
   329,  9721,19110507,   89,    0
   329,  9721,19110508,   89,    0
   329,  9721,19110509,   73,    0
   329,  9721,19110510,   65,    0
   329,  9721,19110511,   88,    0
   329,  9721,19110512,  107,    0
   329,  9721,19110513,   83,    0
   329,  9721,19110514,  105,    0
   329,  9721,19110515,   75,    0
   329,  9721,19110516,  108,    0
   329,  9721,19110517,  100,    0
   329,  9721,19110518,   82,    0
   329,  9721,19110519,   64,    0
   329,  9721,19110520,   66,    0
   329,  9721,19110521,   89,    0
   329,  9721,19110522,   86,    0
   329,  9721,19110523,   90,    0
   329,  9721,19110524,  108,    0
   329,  9721,19110525,  145,    0
   329,  9721,19110526,  119,    0
   329,  9721,19110527,  126,    0
   329,  9721,19110528,  101,    0
   329,  9721,19110529,   96,    0
   329,  9721,19110530,  101,    0
   329,  9721,19110531,  105,    0
   329,  9721,19110601,  148,    0
   329,  9721,19110602,  150,    0
   329,  9721,19110603,  151,    0
   329,  9721,19110604,  165,    0
   329,  9721,19110605,  112,    0
   329,  9721,19110606,   92,    0
   329,  9721,19110607,   74,    0
   329,  9721,19110608,   72,    0
   329,  9721,19110609,   72,    0
   329,  9721,19110610,   68,    0
   329,  9721,19110611,   72,    0
   329,  9721,19110612,   75,    0
   329,  9721,19110613,   84,    0
   329,  9721,19110614,   80,    0
   329,  9721,19110615,   83,    0
   329,  9721,19110616,   98,    0
   329,  9721,19110617,   99,    0
   329,  9721,19110618,  117,    0
   329,  9721,19110619,  115,    0
   329,  9721,19110620,   95,    0
   329,  9721,19110621,   94,    0
   329,  9721,19110622,  105,    0
   329,  9721,19110623,  121,    0
   329,  9721,19110624,  118,    0
   329,  9721,19110625,  124,    0
   329,  9721,19110626,  128,    0
   329,  9721,19110627,  113,    0
   329,  9721,19110628,  108,    0
   329,  9721,19110629,  110,    0
   329,  9721,19110630,  122,    0
   329,  9721,19110701,  109,    0
   329,  9721,19110702,  110,    0
   329,  9721,19110703,   99,    0
   329,  9721,19110704,  111,    0
   329,  9721,19110705,  138,    0
   329,  9721,19110706,  124,    0
   329,  9721,19110707,  111,    0
   329,  9721,19110708,  108,    0
   329,  9721,19110709,  122,    0
   329,  9721,19110710,  113,    0
   329,  9721,19110711,  117,    0
   329,  9721,19110712,  126,    0
   329,  9721,19110713,  129,    0
   329,  9721,19110714,  109,    0
   329,  9721,19110715,  100,    0
   329,  9721,19110716,   96,    0
   329,  9721,19110717,   99,    0
   329,  9721,19110718,  111,    0
   329,  9721,19110719,  118,    0
   329,  9721,19110720,  122,    0
   329,  9721,19110721,  138,    0
   329,  9721,19110722,  143,    0
   329,  9721,19110723,  125,    0
   329,  9721,19110724,  142,    0
   329,  9721,19110725,  143,    0
   329,  9721,19110726,  147,    0
   329,  9721,19110727,  163,    0
   329,  9721,19110728,  161,    0
   329,  9721,19110729,  145,    0
   329,  9721,19110730,  155,    0
   329,  9721,19110731,  174,    0
   329,  9721,19110801,  182,    0
   329,  9721,19110802,  188,    0
   329,  9721,19110803,  178,    0
   329,  9721,19110804,  167,    0
   329,  9721,19110805,  169,    0
   329,  9721,19110806,  173,    0
   329,  9721,19110807,  166,    0
   329,  9721,19110808,  168,    0
   329,  9721,19110809,  174,    0
   329,  9721,19110810,  184,    0
   329,  9721,19110811,  141,    0
   329,  9721,19110812,  147,    0
   329,  9721,19110813,  142,    0
   329,  9721,19110814,  126,    0
   329,  9721,19110815,  107,    0
   329,  9721,19110816,  127,    0
   329,  9721,19110817,  110,    0
   329,  9721,19110818,  114,    0
   329,  9721,19110819,  104,    0
   329,  9721,19110820,  110,    0
   329,  9721,19110821,  115,    0
   329,  9721,19110822,  109,    0
   329,  9721,19110823,   97,    0
   329,  9721,19110824,  109,    0
   329,  9721,19110825,  136,    0
   329,  9721,19110826,  141,    0
   329,  9721,19110827,  140,    0
   329,  9721,19110828,  131,    0
   329,  9721,19110829,  140,    0
   329,  9721,19110830,  119,    0
   329,  9721,19110831,  131,    0
   329,  9721,19110901,  132,    0
   329,  9721,19110902,  128,    0
   329,  9721,19110903,  121,    0
   329,  9721,19110904,  111,    0
   329,  9721,19110905,  116,    0
   329,  9721,19110906,  122,    0
   329,  9721,19110907,  122,    0
   329,  9721,19110908,  110,    0
   329,  9721,19110909,  102,    0
   329,  9721,19110910,  108,    0
   329,  9721,19110911,  126,    0
   329,  9721,19110912,  129,    0
   329,  9721,19110913,  110,    0
   329,  9721,19110914,  102,    0
   329,  9721,19110915,   97,    0
   329,  9721,19110916,  100,    0
   329,  9721,19110917,  113,    0
   329,  9721,19110918,  108,    0
   329,  9721,19110919,  112,    0
   329,  9721,19110920,  119,    0
   329,  9721,19110921,  123,    0
   329,  9721,19110922,   94,    0
   329,  9721,19110923,  109,    0
