EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEBA, POLAND (STAID: 332)
Blended and updated with sources:6052 912120 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   332,  6052,19510101,  -50,    1
   332,  6052,19510102,  -10,    1
   332,  6052,19510103,   27,    1
   332,  6052,19510104,   17,    1
   332,  6052,19510105,   19,    1
   332,  6052,19510106,   42,    1
   332,  6052,19510107,   43,    1
   332,  6052,19510108,   41,    1
   332,  6052,19510109,   37,    1
   332,  6052,19510110,   36,    1
   332,  6052,19510111,   46,    1
   332,  6052,19510112,   66,    1
   332,  6052,19510113,   48,    1
   332,  6052,19510114,   40,    1
   332,  6052,19510115,   36,    1
   332,  6052,19510116,   37,    1
   332,  6052,19510117,   24,    1
   332,  6052,19510118,   38,    1
   332,  6052,19510119,   44,    1
   332,  6052,19510120,   35,    1
   332,  6052,19510121,   31,    1
   332,  6052,19510122,   17,    1
   332,  6052,19510123,  -12,    1
   332,  6052,19510124,  -31,    1
   332,  6052,19510125,  -50,    1
   332,  6052,19510126,  -53,    1
   332,  6052,19510127,  -27,    1
   332,  6052,19510128,  -19,    1
   332,  6052,19510129,   -5,    1
   332,  6052,19510130,  -18,    1
   332,  6052,19510131,  -32,    1
   332,  6052,19510201,  -22,    0
   332,  6052,19510202,  -28,    0
   332,  6052,19510203,  -32,    0
   332,  6052,19510204,  -34,    0
   332,  6052,19510205,    1,    0
   332,  6052,19510206,   65,    0
   332,  6052,19510207,   31,    0
   332,  6052,19510208,   45,    0
   332,  6052,19510209,   68,    0
   332,  6052,19510210,   40,    0
   332,  6052,19510211,   44,    0
   332,  6052,19510212,   46,    0
   332,  6052,19510213,   23,    0
   332,  6052,19510214,   25,    0
   332,  6052,19510215,    1,    0
   332,  6052,19510216,   -4,    0
   332,  6052,19510217,   12,    0
   332,  6052,19510218,   32,    0
   332,  6052,19510219,   76,    0
   332,  6052,19510220,   21,    0
   332,  6052,19510221,   46,    0
   332,  6052,19510222,   70,    0
   332,  6052,19510223,   84,    0
   332,  6052,19510224,   30,    0
   332,  6052,19510225,   39,    0
   332,  6052,19510226,   27,    0
   332,  6052,19510227,   20,    0
   332,  6052,19510228,    5,    0
   332,  6052,19510301,    6,    0
   332,  6052,19510302,   17,    0
   332,  6052,19510303,   -9,    0
   332,  6052,19510304,   -7,    0
   332,  6052,19510305,  -23,    0
   332,  6052,19510306,   11,    0
   332,  6052,19510307,   14,    0
   332,  6052,19510308,    1,    0
   332,  6052,19510309,    6,    0
   332,  6052,19510310,   -1,    0
   332,  6052,19510311,   -1,    0
   332,  6052,19510312,   25,    0
   332,  6052,19510313,   94,    0
   332,  6052,19510314,   87,    0
   332,  6052,19510315,   58,    0
   332,  6052,19510316,   41,    0
   332,  6052,19510317,   24,    0
   332,  6052,19510318,   50,    0
   332,  6052,19510319,   92,    0
   332,  6052,19510320,   20,    0
   332,  6052,19510321,   14,    0
   332,  6052,19510322,   48,    0
   332,  6052,19510323,   75,    0
   332,  6052,19510324,   56,    0
   332,  6052,19510325,   32,    0
   332,  6052,19510326,   68,    0
   332,  6052,19510327,   75,    0
   332,  6052,19510328,   47,    0
   332,  6052,19510329,   40,    0
   332,  6052,19510330,   48,    0
   332,  6052,19510331,   56,    0
   332,  6052,19510401,   89,    0
   332,  6052,19510402,  105,    0
   332,  6052,19510403,   92,    0
   332,  6052,19510404,   92,    0
   332,  6052,19510405,  111,    0
   332,  6052,19510406,   93,    0
   332,  6052,19510407,  189,    0
   332,  6052,19510408,  149,    0
   332,  6052,19510409,  147,    0
   332,  6052,19510410,  100,    0
   332,  6052,19510411,   64,    0
   332,  6052,19510412,   69,    0
   332,  6052,19510413,  148,    0
   332,  6052,19510414,  110,    1
   332,  6052,19510415,   67,    1
   332,  6052,19510416,  130,    1
   332,  6052,19510417,  110,    1
   332,  6052,19510418,   79,    1
   332,  6052,19510419,  116,    1
   332,  6052,19510420,   62,    1
   332,  6052,19510421,   60,    1
   332,  6052,19510422,   72,    1
   332,  6052,19510423,   82,    1
   332,  6052,19510424,  153,    1
   332,  6052,19510425,  183,    1
   332,  6052,19510426,  253,    1
   332,  6052,19510427,  255,    1
   332,  6052,19510428,  152,    1
   332,  6052,19510429,   96,    1
   332,  6052,19510430,  137,    1
   332,  6052,19510501,  107,    1
   332,  6052,19510502,  107,    1
   332,  6052,19510503,  130,    1
   332,  6052,19510504,  116,    1
   332,  6052,19510505,  114,    1
   332,  6052,19510506,   99,    1
   332,  6052,19510507,   92,    1
   332,  6052,19510508,  117,    1
   332,  6052,19510509,  105,    1
   332,  6052,19510510,   92,    1
   332,  6052,19510511,   68,    1
   332,  6052,19510512,  112,    1
   332,  6052,19510513,  113,    1
   332,  6052,19510514,  106,    1
   332,  6052,19510515,   95,    1
   332,  6052,19510516,   95,    1
   332,  6052,19510517,  103,    1
   332,  6052,19510518,  107,    1
