EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALUNG, SWEDEN (STAID: 341)
Blended and updated with sources:36449 36452 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   341, 36449,19160401,   -9,    0
   341, 36449,19160402,   53,    0
   341, 36449,19160403,   32,    0
   341, 36449,19160404,   32,    0
   341, 36449,19160405,   12,    0
   341, 36449,19160406,  -17,    0
   341, 36449,19160407,  -19,    0
   341, 36449,19160408,  -12,    0
   341, 36449,19160409,    9,    0
   341, 36449,19160410,    8,    0
   341, 36449,19160411,   11,    0
   341, 36449,19160412,   -7,    0
   341, 36449,19160413,    2,    0
   341, 36449,19160414,   15,    0
   341, 36449,19160415,   21,    0
   341, 36449,19160416,   20,    0
   341, 36449,19160417,   18,    0
   341, 36449,19160418,   -7,    0
   341, 36449,19160419,  -24,    0
   341, 36449,19160420,   -8,    0
   341, 36449,19160421,   10,    0
   341, 36449,19160422,   39,    0
   341, 36449,19160423,   22,    0
   341, 36449,19160424,   31,    0
   341, 36449,19160425,   69,    0
   341, 36449,19160426,   54,    0
   341, 36449,19160427,   59,    0
   341, 36449,19160428,   66,    0
   341, 36449,19160429,   63,    0
   341, 36449,19160430,   83,    0
   341, 36449,19160501,   36,    0
   341, 36449,19160502,    5,    0
   341, 36449,19160503,   53,    0
   341, 36449,19160504,   44,    0
   341, 36449,19160505,   47,    0
   341, 36449,19160506,   50,    0
   341, 36449,19160507,   77,    0
   341, 36449,19160508,  114,    0
   341, 36449,19160509,  111,    0
   341, 36449,19160510,   43,    0
   341, 36449,19160511,   10,    0
   341, 36449,19160512,   -8,    0
   341, 36449,19160513,   40,    0
   341, 36449,19160514,   56,    0
   341, 36449,19160515,   55,    0
   341, 36449,19160516,   58,    0
   341, 36449,19160517,   43,    0
   341, 36449,19160518,   55,    0
   341, 36449,19160519,   60,    0
   341, 36449,19160520,   78,    0
   341, 36449,19160521,   91,    0
   341, 36449,19160522,   83,    0
   341, 36449,19160523,   69,    0
   341, 36449,19160524,   83,    0
   341, 36449,19160525,   83,    0
   341, 36449,19160526,  111,    0
   341, 36449,19160527,  103,    0
   341, 36449,19160528,  115,    0
   341, 36449,19160529,  119,    0
   341, 36449,19160530,  127,    0
   341, 36449,19160531,  100,    0
   341, 36449,19160601,   94,    0
   341, 36449,19160602,   81,    0
   341, 36449,19160603,   82,    0
   341, 36449,19160604,   85,    0
   341, 36449,19160605,  112,    0
   341, 36449,19160606,  107,    0
   341, 36449,19160607,  104,    0
   341, 36449,19160608,   97,    0
   341, 36449,19160609,  121,    0
   341, 36449,19160610,   99,    0
   341, 36449,19160611,  124,    0
   341, 36449,19160612,  100,    0
   341, 36449,19160613,   69,    0
   341, 36449,19160614,   90,    0
   341, 36449,19160615,   61,    0
   341, 36449,19160616,   79,    0
   341, 36449,19160617,   96,    0
   341, 36449,19160618,  116,    0
   341, 36449,19160619,   91,    0
   341, 36449,19160620,   86,    0
   341, 36449,19160621,  116,    0
   341, 36449,19160622,  149,    0
   341, 36449,19160623,  165,    0
   341, 36449,19160624,  183,    0
   341, 36449,19160625,  174,    0
   341, 36449,19160626,  172,    0
   341, 36449,19160627,  170,    0
   341, 36449,19160628,  197,    0
   341, 36449,19160629,  145,    0
   341, 36449,19160630,  151,    0
   341, 36449,19160701,  170,    0
   341, 36449,19160702,  150,    0
   341, 36449,19160703,  150,    0
   341, 36449,19160704,  154,    0
   341, 36449,19160705,  177,    0
   341, 36449,19160706,  158,    0
   341, 36449,19160707,  151,    0
   341, 36449,19160708,  142,    0
   341, 36449,19160709,  166,    0
   341, 36449,19160710,  148,    0
   341, 36449,19160711,  158,    0
   341, 36449,19160712,  147,    0
   341, 36449,19160713,  139,    0
   341, 36449,19160714,  153,    0
   341, 36449,19160715,  142,    0
   341, 36449,19160716,  120,    0
   341, 36449,19160717,  149,    0
   341, 36449,19160718,  142,    0
   341, 36449,19160719,  157,    0
   341, 36449,19160720,  178,    0
   341, 36449,19160721,  178,    0
   341, 36449,19160722,  161,    0
   341, 36449,19160723,  175,    0
   341, 36449,19160724,  183,    0
   341, 36449,19160725,  195,    0
   341, 36449,19160726,  197,    0
   341, 36449,19160727,  194,    0
   341, 36449,19160728,  178,    0
   341, 36449,19160729,  163,    0
   341, 36449,19160730,  141,    0
   341, 36449,19160731,  134,    0
   341, 36449,19160801,  128,    0
   341, 36449,19160802,  144,    0
   341, 36449,19160803,   99,    0
   341, 36449,19160804,  116,    0
   341, 36449,19160805,  113,    0
   341, 36449,19160806,  131,    0
   341, 36449,19160807,  124,    0
   341, 36449,19160808,  112,    0
   341, 36449,19160809,  159,    0
   341, 36449,19160810,   99,    0
   341, 36449,19160811,  126,    0
   341, 36449,19160812,  112,    0
   341, 36449,19160813,  113,    0
   341, 36449,19160814,  147,    0
   341, 36449,19160815,  147,    0
   341, 36449,19160816,  158,    0
   341, 36449,19160817,  154,    0
   341, 36449,19160818,  135,    0
   341, 36449,19160819,  125,    0
   341, 36449,19160820,  109,    0
   341, 36449,19160821,   85,    0
   341, 36449,19160822,   96,    0
   341, 36449,19160823,  109,    0
   341, 36449,19160824,  117,    0
   341, 36449,19160825,   91,    0
   341, 36449,19160826,  110,    0
   341, 36449,19160827,   95,    0
   341, 36449,19160828,  114,    0
   341, 36449,19160829,  105,    0
   341, 36449,19160830,  123,    0
   341, 36449,19160831,  108,    0
   341, 36449,19160901,  120,    0
   341, 36449,19160902,  105,    0
   341, 36449,19160903,  106,    0
   341, 36449,19160904,  105,    0
   341, 36449,19160905,  105,    0
   341, 36449,19160906,  133,    0
   341, 36449,19160907,  121,    0
   341, 36449,19160908,   99,    0
   341, 36449,19160909,  128,    0
   341, 36449,19160910,   95,    0
   341, 36449,19160911,   91,    0
   341, 36449,19160912,  106,    0
   341, 36449,19160913,   73,    0
   341, 36449,19160914,   73,    0
   341, 36449,19160915,   27,    0
   341, 36449,19160916,   39,    0
   341, 36449,19160917,   39,    0
   341, 36449,19160918,   59,    0
   341, 36449,19160919,   80,    0
   341, 36449,19160920,   51,    0
   341, 36449,19160921,   33,    0
   341, 36449,19160922,   30,    0
   341, 36449,19160923,   84,    0
   341, 36449,19160924,  100,    0
   341, 36449,19160925,   72,    0
   341, 36449,19160926,   36,    0
   341, 36449,19160927,   32,    0
   341, 36449,19160928,   31,    0
   341, 36449,19160929,   13,    0
   341, 36449,19160930,    5,    0
   341, 36449,19161001,  -14,    0
   341, 36449,19161002,  -12,    0
   341, 36449,19161003,   14,    0
   341, 36449,19161004,   26,    0
   341, 36449,19161005,   10,    0
   341, 36449,19161006,   11,    0
   341, 36449,19161007,   16,    0
   341, 36449,19161008,    5,    0
   341, 36449,19161009,   24,    0
   341, 36449,19161010,   72,    0
   341, 36449,19161011,   55,    0
   341, 36449,19161012,   40,    0
   341, 36449,19161013,   46,    0
   341, 36449,19161014,   41,    0
   341, 36449,19161015,   76,    0
   341, 36449,19161016,   18,    0
   341, 36449,19161017,  -25,    0
   341, 36449,19161018,  -33,    0
   341, 36449,19161019,  -57,    0
   341, 36449,19161020,  -42,    0
   341, 36449,19161021,  -31,    0
   341, 36449,19161022,  -22,    0
   341, 36449,19161023,  -39,    0
   341, 36449,19161024,   17,    0
   341, 36449,19161025,   11,    0
   341, 36449,19161026,   36,    0
   341, 36449,19161027,   30,    0
   341, 36449,19161028,   33,    0
   341, 36449,19161029,   41,    0
   341, 36449,19161030,   50,    0
   341, 36449,19161031,   61,    0
   341, 36449,19161101,   56,    0
   341, 36449,19161102,   43,    0
   341, 36449,19161103,   10,    0
   341, 36449,19161104,   55,    0
   341, 36449,19161105,   65,    0
   341, 36449,19161106,   65,    0
   341, 36449,19161107,   45,    0
   341, 36449,19161108,   54,    0
   341, 36449,19161109,   65,    0
   341, 36449,19161110,   61,    0
   341, 36449,19161111,   56,    0
   341, 36449,19161112,   40,    0
   341, 36449,19161113,    8,    0
   341, 36449,19161114,   -9,    0
   341, 36449,19161115,  -66,    0
