EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AACHEN, GERMANY (STAID: 356)
Blended and updated with sources:2318 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   356,  2318,18910101,  -36,    0
   356,  2318,18910102,  -28,    0
   356,  2318,18910103,   -2,    0
   356,  2318,18910104,   18,    0
   356,  2318,18910105,  -25,    0
   356,  2318,18910106,  -58,    0
   356,  2318,18910107,  -58,    0
   356,  2318,18910108,  -50,    0
   356,  2318,18910109,  -78,    0
   356,  2318,18910110, -114,    0
   356,  2318,18910111,  -72,    0
   356,  2318,18910112,    2,    0
   356,  2318,18910113,    4,    0
   356,  2318,18910114,    4,    0
   356,  2318,18910115,  -38,    0
   356,  2318,18910116,  -78,    0
   356,  2318,18910117, -122,    0
   356,  2318,18910118,  -60,    0
   356,  2318,18910119,  -62,    0
   356,  2318,18910120,  -42,    0
   356,  2318,18910121,   -6,    0
   356,  2318,18910122,   -4,    0
   356,  2318,18910123,   30,    0
   356,  2318,18910124,   55,    0
   356,  2318,18910125,   30,    0
   356,  2318,18910126,   32,    0
   356,  2318,18910127,   48,    0
   356,  2318,18910128,   66,    0
   356,  2318,18910129,   55,    0
   356,  2318,18910130,   50,    0
   356,  2318,18910131,   52,    0
   356,  2318,18910201,   58,    0
   356,  2318,18910202,   24,    0
