EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAUWERSOOG, NETHERLANDS (STAID: 413)
Blended and updated with sources:2495 906277 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   413,  2495,19910301,-9999,    9
   413,  2495,19910302,-9999,    9
   413,  2495,19910303,-9999,    9
   413,  2495,19910304,-9999,    9
   413,  2495,19910305,-9999,    9
   413,  2495,19910306,-9999,    9
   413,  2495,19910307,-9999,    9
   413,  2495,19910308,-9999,    9
   413,  2495,19910309,-9999,    9
   413,  2495,19910310,-9999,    9
   413,  2495,19910311,-9999,    9
   413,  2495,19910312,-9999,    9
   413,  2495,19910313,-9999,    9
   413,  2495,19910314,-9999,    9
   413,  2495,19910315,-9999,    9
   413,  2495,19910316,-9999,    9
   413,  2495,19910317,-9999,    9
   413,  2495,19910318,-9999,    9
   413,  2495,19910319,  104,    0
   413,  2495,19910320,  102,    0
   413,  2495,19910321,   91,    0
   413,  2495,19910322,   65,    0
   413,  2495,19910323,   57,    0
   413,  2495,19910324,   56,    0
   413,  2495,19910325,   61,    0
   413,  2495,19910326,   64,    0
   413,  2495,19910327,   62,    0
   413,  2495,19910328,   69,    0
   413,  2495,19910329,   58,    0
   413,  2495,19910330,   60,    0
   413,  2495,19910331,   72,    0
   413,  2495,19910401,   89,    0
   413,  2495,19910402,   94,    0
   413,  2495,19910403,   87,    0
   413,  2495,19910404,   89,    0
   413,  2495,19910405,   87,    0
   413,  2495,19910406,   90,    0
   413,  2495,19910407,   87,    0
   413,  2495,19910408,   89,    0
   413,  2495,19910409,   95,    0
   413,  2495,19910410,  116,    0
   413,  2495,19910411,  135,    0
   413,  2495,19910412,  140,    0
   413,  2495,19910413,  117,    0
   413,  2495,19910414,  104,    0
   413,  2495,19910415,  101,    0
   413,  2495,19910416,   65,    0
   413,  2495,19910417,   63,    0
   413,  2495,19910418,   47,    0
   413,  2495,19910419,   42,    0
   413,  2495,19910420,   39,    0
   413,  2495,19910421,   49,    0
   413,  2495,19910422,   63,    0
   413,  2495,19910423,   68,    0
   413,  2495,19910424,   73,    0
   413,  2495,19910425,   82,    0
   413,  2495,19910426,   85,    0
   413,  2495,19910427,   68,    0
   413,  2495,19910428,   77,    0
   413,  2495,19910429,   78,    0
   413,  2495,19910430,   72,    0
   413,  2495,19910501,   78,    0
   413,  2495,19910502,   77,    0
   413,  2495,19910503,   77,    0
   413,  2495,19910504,   78,    0
   413,  2495,19910505,   77,    0
   413,  2495,19910506,   82,    0
   413,  2495,19910507,   85,    0
   413,  2495,19910508,   89,    0
   413,  2495,19910509,   86,    0
   413,  2495,19910510,   96,    0
   413,  2495,19910511,  102,    0
   413,  2495,19910512,  102,    0
   413,  2495,19910513,  122,    0
   413,  2495,19910514,   97,    0
   413,  2495,19910515,   84,    0
   413,  2495,19910516,   87,    0
   413,  2495,19910517,   91,    0
   413,  2495,19910518,   94,    0
   413,  2495,19910519,  111,    0
   413,  2495,19910520,  132,    0
   413,  2495,19910521,  139,    0
   413,  2495,19910522,  114,    0
   413,  2495,19910523,   97,    0
   413,  2495,19910524,  100,    0
   413,  2495,19910525,  104,    0
   413,  2495,19910526,  104,    0
   413,  2495,19910527,  103,    0
   413,  2495,19910528,  101,    0
   413,  2495,19910529,  109,    0
   413,  2495,19910530,  111,    0
   413,  2495,19910531,   98,    0
