EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BURGOS-VILLAFRIA, SPAIN (STAID: 414)
Blended and updated with sources:19904 908075 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   414, 19904,19430801,  214,    0
   414, 19904,19430802,  212,    0
   414, 19904,19430803,  185,    0
   414, 19904,19430804,  184,    0
   414, 19904,19430805,  174,    0
   414, 19904,19430806,  172,    0
   414, 19904,19430807,  165,    0
   414, 19904,19430808,  195,    0
   414, 19904,19430809,  210,    0
   414, 19904,19430810,  218,    0
   414, 19904,19430811,  205,    0
   414, 19904,19430812,  192,    0
   414, 19904,19430813,  187,    0
   414, 19904,19430814,  200,    0
   414, 19904,19430815,  220,    0
   414, 19904,19430816,  234,    0
   414, 19904,19430817,  282,    0
   414, 19904,19430818,  262,    0
   414, 19904,19430819,  256,    0
   414, 19904,19430820,  253,    0
   414, 19904,19430821,  187,    0
   414, 19904,19430822,  165,    0
   414, 19904,19430823,  170,    0
   414, 19904,19430824,  178,    0
   414, 19904,19430825,  176,    0
   414, 19904,19430826,  173,    0
   414, 19904,19430827,  164,    0
   414, 19904,19430828,  174,    0
   414, 19904,19430829,  213,    0
   414, 19904,19430830,  214,    0
   414, 19904,19430831,  192,    0
   414, 19904,19430901,  210,    0
   414, 19904,19430902,  186,    0
   414, 19904,19430903,  181,    0
   414, 19904,19430904,  191,    0
   414, 19904,19430905,  208,    0
   414, 19904,19430906,  184,    0
   414, 19904,19430907,  210,    0
   414, 19904,19430908,  182,    0
   414, 19904,19430909,  186,    0
   414, 19904,19430910,  181,    0
   414, 19904,19430911,  172,    0
   414, 19904,19430912,  150,    0
   414, 19904,19430913,  130,    0
   414, 19904,19430914,  145,    0
   414, 19904,19430915,  146,    0
   414, 19904,19430916,  128,    0
   414, 19904,19430917,  108,    0
   414, 19904,19430918,   97,    0
   414, 19904,19430919,  117,    0
   414, 19904,19430920,  138,    0
   414, 19904,19430921,  152,    0
   414, 19904,19430922,  120,    0
   414, 19904,19430923,  134,    0
   414, 19904,19430924,  148,    0
   414, 19904,19430925,  121,    0
   414, 19904,19430926,   96,    0
   414, 19904,19430927,   68,    0
   414, 19904,19430928,   63,    0
   414, 19904,19430929,   69,    0
   414, 19904,19430930,  112,    0
   414, 19904,19431001,  135,    0
   414, 19904,19431002,  130,    0
   414, 19904,19431003,  156,    0
   414, 19904,19431004,  137,    0
   414, 19904,19431005,  130,    0
   414, 19904,19431006,  125,    0
   414, 19904,19431007,  114,    0
   414, 19904,19431008,  125,    0
   414, 19904,19431009,  118,    0
   414, 19904,19431010,  123,    0
   414, 19904,19431011,  132,    0
   414, 19904,19431012,  138,    0
   414, 19904,19431013,  112,    0
   414, 19904,19431014,  126,    0
   414, 19904,19431015,  120,    0
   414, 19904,19431016,   96,    0
   414, 19904,19431017,   66,    0
   414, 19904,19431018,   63,    0
   414, 19904,19431019,  103,    0
   414, 19904,19431020,  132,    0
   414, 19904,19431021,  136,    0
   414, 19904,19431022,  136,    0
   414, 19904,19431023,   96,    0
   414, 19904,19431024,   76,    0
   414, 19904,19431025,   68,    0
   414, 19904,19431026,   70,    0
   414, 19904,19431027,   72,    0
   414, 19904,19431028,   75,    0
   414, 19904,19431029,   92,    0
   414, 19904,19431030,  109,    0
   414, 19904,19431031,   96,    0
   414, 19904,19431101,   85,    0
   414, 19904,19431102,   66,    0
   414, 19904,19431103,   50,    0
   414, 19904,19431104,   65,    0
   414, 19904,19431105,   86,    0
   414, 19904,19431106,   68,    0
   414, 19904,19431107,   67,    0
   414, 19904,19431108,   35,    0
   414, 19904,19431109,   52,    0
   414, 19904,19431110,   56,    0
   414, 19904,19431111,   54,    0
   414, 19904,19431112,   38,    0
   414, 19904,19431113,   49,    0
   414, 19904,19431114,   43,    0
   414, 19904,19431115,   21,    0
   414, 19904,19431116,    8,    0
   414, 19904,19431117,    8,    0
   414, 19904,19431118,  -26,    0
   414, 19904,19431119,  -16,    0
   414, 19904,19431120,  -14,    0
   414, 19904,19431121,    2,    0
   414, 19904,19431122,   32,    0
   414, 19904,19431123,   30,    0
   414, 19904,19431124,   40,    0
   414, 19904,19431125,   61,    0
   414, 19904,19431126,   84,    0
   414, 19904,19431127,   57,    0
   414, 19904,19431128,   73,    0
   414, 19904,19431129,   58,    0
   414, 19904,19431130,   52,    0
   414, 19904,19431201,   48,    0
   414, 19904,19431202,   12,    0
   414, 19904,19431203,   33,    0
   414, 19904,19431204,   18,    0
   414, 19904,19431205,   40,    0
   414, 19904,19431206,   45,    0
   414, 19904,19431207,   12,    0
   414, 19904,19431208,   10,    0
   414, 19904,19431209,  -22,    0
   414, 19904,19431210,   -2,    0
   414, 19904,19431211,    8,    0
   414, 19904,19431212,    1,    0
   414, 19904,19431213,  -16,    0
   414, 19904,19431214,    1,    0
   414, 19904,19431215,   23,    0
   414, 19904,19431216,   32,    0
   414, 19904,19431217,   13,    0
   414, 19904,19431218,   36,    0
   414, 19904,19431219,   52,    0
   414, 19904,19431220,   36,    0
   414, 19904,19431221,   42,    0
   414, 19904,19431222,   49,    0
   414, 19904,19431223,   40,    0
   414, 19904,19431224,   26,    0
   414, 19904,19431225,   19,    0
   414, 19904,19431226,  -13,    0
   414, 19904,19431227,  -10,    0
   414, 19904,19431228,    3,    0
   414, 19904,19431229,   15,    0
   414, 19904,19431230,    0,    0
   414, 19904,19431231,   18,    0
   414, 19904,19440101,   10,    0
   414, 19904,19440102,   20,    0
   414, 19904,19440103,   16,    0
   414, 19904,19440104,  -10,    0
   414, 19904,19440105,   10,    0
   414, 19904,19440106,    4,    0
   414, 19904,19440107,  -10,    0
   414, 19904,19440108,  -15,    0
   414, 19904,19440109,  -26,    0
   414, 19904,19440110,   -5,    0
   414, 19904,19440111,    6,    0
   414, 19904,19440112,  -17,    0
   414, 19904,19440113,    8,    0
   414, 19904,19440114,   15,    0
   414, 19904,19440115,   13,    0
   414, 19904,19440116,   18,    0
   414, 19904,19440117,   19,    0
   414, 19904,19440118,  -38,    0
   414, 19904,19440119,   -1,    0
   414, 19904,19440120,   -5,    0
   414, 19904,19440121,   34,    0
   414, 19904,19440122,   -9,    0
   414, 19904,19440123,    4,    0
   414, 19904,19440124,   60,    0
   414, 19904,19440125,   52,    0
   414, 19904,19440126,   35,    0
   414, 19904,19440127,   28,    0
   414, 19904,19440128,   60,    0
   414, 19904,19440129,   67,    0
   414, 19904,19440130,   72,    0
   414, 19904,19440131,   60,    0
   414, 19904,19440201,   48,    0
   414, 19904,19440202,   58,    0
   414, 19904,19440203,   47,    0
   414, 19904,19440204,   29,    0
   414, 19904,19440205,   41,    0
   414, 19904,19440206,   55,    0
   414, 19904,19440207,   37,    0
   414, 19904,19440208,   19,    0
   414, 19904,19440209,   25,    0
   414, 19904,19440210,   21,    0
   414, 19904,19440211,   -1,    0
   414, 19904,19440212,    8,    0
   414, 19904,19440213,   12,    0
   414, 19904,19440214,    4,    0
   414, 19904,19440215,   -2,    0
   414, 19904,19440216,    7,    0
   414, 19904,19440217,   19,    0
   414, 19904,19440218,   -9,    0
   414, 19904,19440219,  -45,    0
   414, 19904,19440220,  -44,    0
   414, 19904,19440221,  -33,    0
   414, 19904,19440222,  -35,    0
   414, 19904,19440223,  -67,    0
   414, 19904,19440224,  -52,    0
   414, 19904,19440225,  -22,    0
   414, 19904,19440226,   -4,    0
   414, 19904,19440227,    9,    0
   414, 19904,19440228,   -9,    0
   414, 19904,19440229,  -14,    0
   414, 19904,19440301,   16,    0
   414, 19904,19440302,   -2,    0
   414, 19904,19440303,   28,    0
   414, 19904,19440304,   26,    0
   414, 19904,19440305,    3,    0
   414, 19904,19440306,  -17,    0
   414, 19904,19440307,  -28,    0
   414, 19904,19440308,  -14,    0
   414, 19904,19440309,  -23,    0
   414, 19904,19440310,   10,    0
   414, 19904,19440311,   18,    0
   414, 19904,19440312,   36,    0
   414, 19904,19440313,   57,    0
   414, 19904,19440314,   50,    0
   414, 19904,19440315,   35,    0
   414, 19904,19440316,   65,    0
   414, 19904,19440317,   61,    0
   414, 19904,19440318,   60,    0
   414, 19904,19440319,   78,    0
   414, 19904,19440320,   90,    0
   414, 19904,19440321,   80,    0
   414, 19904,19440322,   75,    0
   414, 19904,19440323,   73,    0
   414, 19904,19440324,   79,    0
   414, 19904,19440325,   95,    0
   414, 19904,19440326,   99,    0
   414, 19904,19440327,  104,    0
   414, 19904,19440328,   99,    0
   414, 19904,19440329,  105,    0
   414, 19904,19440330,   82,    0
   414, 19904,19440331,  105,    0
   414, 19904,19440401,  112,    0
   414, 19904,19440402,  108,    0
   414, 19904,19440403,   55,    0
   414, 19904,19440404,  101,    0
   414, 19904,19440405,  101,    0
   414, 19904,19440406,  112,    0
   414, 19904,19440407,  107,    0
   414, 19904,19440408,  102,    0
   414, 19904,19440409,  113,    0
   414, 19904,19440410,   88,    0
   414, 19904,19440411,   92,    0
   414, 19904,19440412,   77,    0
   414, 19904,19440413,   66,    0
   414, 19904,19440414,   57,    0
   414, 19904,19440415,  102,    0
   414, 19904,19440416,   81,    0
   414, 19904,19440417,   64,    0
   414, 19904,19440418,   65,    0
   414, 19904,19440419,   80,    0
   414, 19904,19440420,  108,    0
   414, 19904,19440421,   80,    0
   414, 19904,19440422,   91,    0
   414, 19904,19440423,  134,    0
   414, 19904,19440424,  126,    0
   414, 19904,19440425,   83,    0
   414, 19904,19440426,   79,    0
   414, 19904,19440427,   76,    0
   414, 19904,19440428,   74,    0
   414, 19904,19440429,   78,    0
   414, 19904,19440430,  102,    0
   414, 19904,19440501,  124,    0
   414, 19904,19440502,  136,    0
   414, 19904,19440503,  154,    0
   414, 19904,19440504,  170,    0
   414, 19904,19440505,  142,    0
   414, 19904,19440506,   89,    0
   414, 19904,19440507,   65,    0
   414, 19904,19440508,   89,    0
   414, 19904,19440509,  104,    0
   414, 19904,19440510,   90,    0
   414, 19904,19440511,  134,    0
   414, 19904,19440512,  163,    0
   414, 19904,19440513,  123,    0
   414, 19904,19440514,  150,    0
   414, 19904,19440515,  134,    0
   414, 19904,19440516,   99,    0
   414, 19904,19440517,   74,    0
   414, 19904,19440518,   96,    0
   414, 19904,19440519,  103,    0
   414, 19904,19440520,  102,    0
   414, 19904,19440521,   74,    0
   414, 19904,19440522,   76,    0
   414, 19904,19440523,   80,    0
   414, 19904,19440524,   88,    0
   414, 19904,19440525,  104,    0
   414, 19904,19440526,  137,    0
   414, 19904,19440527,  145,    0
   414, 19904,19440528,  141,    0
   414, 19904,19440529,  160,    0
   414, 19904,19440530,  124,    0
   414, 19904,19440531,  165,    0
   414, 19904,19440601,  175,    0
   414, 19904,19440602,  140,    0
   414, 19904,19440603,  145,    0
   414, 19904,19440604,  180,    0
