EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SORIA, SPAIN (STAID: 424)
Blended and updated with sources:20516 908148 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   424, 20516,19431101,   76,    0
   424, 20516,19431102,   75,    0
   424, 20516,19431103,   58,    0
   424, 20516,19431104,   64,    0
   424, 20516,19431105,   94,    0
   424, 20516,19431106,   64,    0
   424, 20516,19431107,   64,    0
   424, 20516,19431108,   42,    0
   424, 20516,19431109,   60,    0
   424, 20516,19431110,   80,    0
   424, 20516,19431111,   76,    0
   424, 20516,19431112,   58,    0
   424, 20516,19431113,   68,    0
   424, 20516,19431114,   42,    0
   424, 20516,19431115,   12,    0
   424, 20516,19431116,   11,    0
   424, 20516,19431117,   12,    0
   424, 20516,19431118,  -15,    0
   424, 20516,19431119,  -16,    0
   424, 20516,19431120,   -5,    0
   424, 20516,19431121,  -14,    0
   424, 20516,19431122,   10,    0
   424, 20516,19431123,   32,    0
   424, 20516,19431124,   30,    0
   424, 20516,19431125,   65,    0
   424, 20516,19431126,   72,    0
   424, 20516,19431127,   72,    0
   424, 20516,19431128,   85,    0
   424, 20516,19431129,   45,    0
   424, 20516,19431130,   50,    0
   424, 20516,19431201,   52,    0
   424, 20516,19431202,   23,    0
   424, 20516,19431203,   38,    0
   424, 20516,19431204,   22,    0
   424, 20516,19431205,   25,    0
   424, 20516,19431206,   32,    0
   424, 20516,19431207,    6,    0
   424, 20516,19431208,   15,    0
   424, 20516,19431209,    9,    0
   424, 20516,19431210,    0,    0
   424, 20516,19431211,   14,    0
   424, 20516,19431212,   -5,    0
   424, 20516,19431213,  -15,    0
   424, 20516,19431214,    8,    0
   424, 20516,19431215,   16,    0
   424, 20516,19431216,   28,    0
   424, 20516,19431217,    8,    0
   424, 20516,19431218,   29,    0
   424, 20516,19431219,   68,    0
   424, 20516,19431220,   62,    0
   424, 20516,19431221,   45,    0
   424, 20516,19431222,   51,    0
   424, 20516,19431223,   46,    0
   424, 20516,19431224,   24,    0
   424, 20516,19431225,    9,    0
   424, 20516,19431226,    9,    0
   424, 20516,19431227,    6,    0
   424, 20516,19431228,   15,    0
   424, 20516,19431229,   47,    0
   424, 20516,19431230,   41,    0
   424, 20516,19431231,   18,    0
   424, 20516,19440101,   21,    0
   424, 20516,19440102,   55,    0
   424, 20516,19440103,   45,    0
   424, 20516,19440104,    2,    0
   424, 20516,19440105,   20,    0
   424, 20516,19440106,   10,    0
   424, 20516,19440107,   -2,    0
   424, 20516,19440108,  -12,    0
   424, 20516,19440109,   -2,    0
   424, 20516,19440110,   15,    0
   424, 20516,19440111,   32,    0
   424, 20516,19440112,   34,    0
   424, 20516,19440113,   41,    0
   424, 20516,19440114,   32,    0
   424, 20516,19440115,   38,    0
   424, 20516,19440116,   44,    0
   424, 20516,19440117,   38,    0
   424, 20516,19440118,   39,    0
   424, 20516,19440119,   40,    0
   424, 20516,19440120,   98,    0
   424, 20516,19440121,   54,    0
   424, 20516,19440122,   42,    0
   424, 20516,19440123,   22,    0
   424, 20516,19440124,   42,    0
   424, 20516,19440125,   77,    0
   424, 20516,19440126,   50,    0
   424, 20516,19440127,   73,    0
   424, 20516,19440128,   80,    0
   424, 20516,19440129,   90,    0
   424, 20516,19440130,   83,    0
   424, 20516,19440131,   70,    0
   424, 20516,19440201,   62,    0
   424, 20516,19440202,   66,    0
   424, 20516,19440203,   78,    0
   424, 20516,19440204,   48,    0
   424, 20516,19440205,   40,    0
   424, 20516,19440206,   53,    0
   424, 20516,19440207,   52,    0
   424, 20516,19440208,   58,    0
   424, 20516,19440209,   40,    0
   424, 20516,19440210,   40,    0
   424, 20516,19440211,  -10,    0
   424, 20516,19440212,   -2,    0
   424, 20516,19440213,   14,    0
   424, 20516,19440214,   -4,    0
   424, 20516,19440215,   -4,    0
   424, 20516,19440216,   42,    0
   424, 20516,19440217,   22,    0
   424, 20516,19440218,  -13,    0
   424, 20516,19440219,  -33,    0
   424, 20516,19440220,  -18,    0
   424, 20516,19440221,  -40,    0
   424, 20516,19440222,  -38,    0
   424, 20516,19440223,  -56,    0
   424, 20516,19440224,  -47,    0
   424, 20516,19440225,  -27,    0
   424, 20516,19440226,    1,    0
   424, 20516,19440227,   12,    0
   424, 20516,19440228,   -8,    0
   424, 20516,19440229,   -8,    0
   424, 20516,19440301,    6,    0
   424, 20516,19440302,    6,    0
   424, 20516,19440303,   34,    0
   424, 20516,19440304,   21,    0
   424, 20516,19440305,   -2,    0
   424, 20516,19440306,  -16,    0
   424, 20516,19440307,   -9,    0
   424, 20516,19440308,    5,    0
   424, 20516,19440309,    8,    0
   424, 20516,19440310,   12,    0
   424, 20516,19440311,   29,    0
   424, 20516,19440312,   30,    0
   424, 20516,19440313,   62,    0
   424, 20516,19440314,   64,    0
   424, 20516,19440315,   55,    0
   424, 20516,19440316,   73,    0
   424, 20516,19440317,   61,    0
   424, 20516,19440318,   86,    0
   424, 20516,19440319,   79,    0
   424, 20516,19440320,   95,    0
   424, 20516,19440321,  104,    0
   424, 20516,19440322,  110,    0
   424, 20516,19440323,   95,    0
   424, 20516,19440324,   94,    0
   424, 20516,19440325,  108,    0
   424, 20516,19440326,  120,    0
   424, 20516,19440327,  134,    0
   424, 20516,19440328,  124,    0
   424, 20516,19440329,  102,    0
   424, 20516,19440330,   85,    0
   424, 20516,19440331,   98,    0
   424, 20516,19440401,  135,    0
   424, 20516,19440402,  104,    0
   424, 20516,19440403,  107,    0
   424, 20516,19440404,  104,    0
   424, 20516,19440405,  129,    0
   424, 20516,19440406,  122,    0
   424, 20516,19440407,   93,    0
   424, 20516,19440408,  106,    0
   424, 20516,19440409,  108,    0
   424, 20516,19440410,   95,    0
   424, 20516,19440411,  108,    0
   424, 20516,19440412,   86,    0
   424, 20516,19440413,   70,    0
   424, 20516,19440414,   92,    0
   424, 20516,19440415,   88,    0
   424, 20516,19440416,   71,    0
   424, 20516,19440417,   71,    0
   424, 20516,19440418,   80,    0
   424, 20516,19440419,   90,    0
   424, 20516,19440420,  108,    0
   424, 20516,19440421,   76,    0
   424, 20516,19440422,   98,    0
   424, 20516,19440423,  132,    0
   424, 20516,19440424,  132,    0
   424, 20516,19440425,  118,    0
   424, 20516,19440426,   82,    0
   424, 20516,19440427,   81,    0
   424, 20516,19440428,   95,    0
   424, 20516,19440429,   97,    0
   424, 20516,19440430,  130,    0
   424, 20516,19440501,  142,    0
   424, 20516,19440502,  157,    0
   424, 20516,19440503,  164,    0
   424, 20516,19440504,  173,    0
   424, 20516,19440505,  158,    0
   424, 20516,19440506,  112,    0
   424, 20516,19440507,   77,    0
   424, 20516,19440508,  112,    0
   424, 20516,19440509,  123,    0
   424, 20516,19440510,  131,    0
   424, 20516,19440511,  152,    0
   424, 20516,19440512,  172,    0
   424, 20516,19440513,  176,    0
   424, 20516,19440514,  163,    0
   424, 20516,19440515,  161,    0
   424, 20516,19440516,  123,    0
   424, 20516,19440517,  118,    0
   424, 20516,19440518,  118,    0
   424, 20516,19440519,  120,    0
   424, 20516,19440520,   98,    0
   424, 20516,19440521,   69,    0
   424, 20516,19440522,   72,    0
   424, 20516,19440523,   90,    0
   424, 20516,19440524,   97,    0
   424, 20516,19440525,  118,    0
   424, 20516,19440526,  146,    0
   424, 20516,19440527,  163,    0
   424, 20516,19440528,  152,    0
   424, 20516,19440529,  140,    0
   424, 20516,19440530,  174,    0
   424, 20516,19440531,  178,    0
   424, 20516,19440601,  196,    0
   424, 20516,19440602,  183,    0
   424, 20516,19440603,  148,    0
   424, 20516,19440604,  175,    0
   424, 20516,19440605,  192,    0
   424, 20516,19440606,  169,    0
   424, 20516,19440607,  162,    0
   424, 20516,19440608,  161,    0
   424, 20516,19440609,  163,    0
   424, 20516,19440610,  150,    0
   424, 20516,19440611,  158,    0
   424, 20516,19440612,  194,    0
   424, 20516,19440613,  198,    0
   424, 20516,19440614,  212,    0
   424, 20516,19440615,  186,    0
   424, 20516,19440616,  178,    0
   424, 20516,19440617,  166,    0
   424, 20516,19440618,  133,    0
   424, 20516,19440619,  125,    0
   424, 20516,19440620,  106,    0
   424, 20516,19440621,  138,    0
   424, 20516,19440622,  147,    0
   424, 20516,19440623,  150,    0
   424, 20516,19440624,  153,    0
   424, 20516,19440625,  162,    0
   424, 20516,19440626,  165,    0
   424, 20516,19440627,  133,    0
   424, 20516,19440628,  160,    0
   424, 20516,19440629,  164,    0
   424, 20516,19440630,  176,    0
   424, 20516,19440701,  196,    0
   424, 20516,19440702,  213,    0
   424, 20516,19440703,  177,    0
   424, 20516,19440704,  165,    0
   424, 20516,19440705,  192,    0
   424, 20516,19440706,  182,    0
   424, 20516,19440707,  145,    0
   424, 20516,19440708,  131,    0
   424, 20516,19440709,  143,    0
   424, 20516,19440710,  180,    0
   424, 20516,19440711,  186,    0
   424, 20516,19440712,  195,    0
   424, 20516,19440713,  190,    0
   424, 20516,19440714,  190,    0
   424, 20516,19440715,  200,    0
   424, 20516,19440716,  210,    0
   424, 20516,19440717,  228,    0
   424, 20516,19440718,  203,    0
   424, 20516,19440719,  210,    0
   424, 20516,19440720,  211,    0
   424, 20516,19440721,  187,    0
   424, 20516,19440722,  170,    0
   424, 20516,19440723,  191,    0
   424, 20516,19440724,  205,    0
   424, 20516,19440725,  235,    0
   424, 20516,19440726,  252,    0
   424, 20516,19440727,  220,    0
   424, 20516,19440728,  204,    0
   424, 20516,19440729,  215,    0
   424, 20516,19440730,  218,    0
   424, 20516,19440731,  239,    0
   424, 20516,19440801,  254,    0
   424, 20516,19440802,  233,    0
   424, 20516,19440803,  208,    0
   424, 20516,19440804,  198,    0
   424, 20516,19440805,  194,    0
   424, 20516,19440806,  212,    0
   424, 20516,19440807,  210,    0
   424, 20516,19440808,  165,    0
   424, 20516,19440809,  165,    0
   424, 20516,19440810,  188,    0
   424, 20516,19440811,  221,    0
   424, 20516,19440812,  235,    0
   424, 20516,19440813,  251,    0
   424, 20516,19440814,  251,    0
   424, 20516,19440815,  212,    0
   424, 20516,19440816,  217,    0
   424, 20516,19440817,  214,    0
   424, 20516,19440818,  233,    0
   424, 20516,19440819,  228,    0
   424, 20516,19440820,  197,    0
   424, 20516,19440821,  148,    0
   424, 20516,19440822,  138,    0
   424, 20516,19440823,  150,    0
   424, 20516,19440824,  176,    0
   424, 20516,19440825,  200,    0
   424, 20516,19440826,  220,    0
   424, 20516,19440827,  208,    0
   424, 20516,19440828,  228,    0
   424, 20516,19440829,  248,    0
   424, 20516,19440830,  211,    0
   424, 20516,19440831,  218,    0
   424, 20516,19440901,  213,    0
   424, 20516,19440902,  147,    0
   424, 20516,19440903,  163,    0
   424, 20516,19440904,  172,    0
   424, 20516,19440905,  208,    0
   424, 20516,19440906,  193,    0
   424, 20516,19440907,  135,    0
   424, 20516,19440908,  136,    0
   424, 20516,19440909,  162,    0
   424, 20516,19440910,  175,    0
   424, 20516,19440911,  178,    0
   424, 20516,19440912,  150,    0
   424, 20516,19440913,  163,    0
   424, 20516,19440914,  185,    0
   424, 20516,19440915,  175,    0
   424, 20516,19440916,  152,    0
   424, 20516,19440917,  146,    0
   424, 20516,19440918,  135,    0
   424, 20516,19440919,  152,    0
   424, 20516,19440920,  165,    0
   424, 20516,19440921,  180,    0
   424, 20516,19440922,  158,    0
   424, 20516,19440923,  175,    0
   424, 20516,19440924,  169,    0
   424, 20516,19440925,  149,    0
   424, 20516,19440926,  158,    0
   424, 20516,19440927,  149,    0
   424, 20516,19440928,  106,    0
   424, 20516,19440929,  121,    0
   424, 20516,19440930,  149,    0
   424, 20516,19441001,  131,    0
   424, 20516,19441002,  110,    0
   424, 20516,19441003,   95,    0
   424, 20516,19441004,   85,    0
   424, 20516,19441005,   56,    0
   424, 20516,19441006,   52,    0
   424, 20516,19441007,   57,    0
   424, 20516,19441008,   63,    0
   424, 20516,19441009,   85,    0
   424, 20516,19441010,   79,    0
   424, 20516,19441011,   92,    0
   424, 20516,19441012,  114,    0
   424, 20516,19441013,   60,    0
   424, 20516,19441014,  103,    0
   424, 20516,19441015,  109,    0
   424, 20516,19441016,  109,    0
   424, 20516,19441017,  115,    0
   424, 20516,19441018,  130,    0
   424, 20516,19441019,  102,    0
   424, 20516,19441020,  105,    0
   424, 20516,19441021,   87,    0
   424, 20516,19441022,   85,    0
   424, 20516,19441023,   93,    0
   424, 20516,19441024,   70,    0
   424, 20516,19441025,   40,    0
   424, 20516,19441026,   72,    0
   424, 20516,19441027,   96,    0
   424, 20516,19441028,   56,    0
   424, 20516,19441029,   32,    0
   424, 20516,19441030,   28,    0
   424, 20516,19441031,    8,    0
   424, 20516,19441101,   43,    0
   424, 20516,19441102,   58,    0
   424, 20516,19441103,   47,    0
   424, 20516,19441104,   50,    0
   424, 20516,19441105,   52,    0
   424, 20516,19441106,   62,    0
   424, 20516,19441107,   72,    0
   424, 20516,19441108,   91,    0
   424, 20516,19441109,   79,    0
   424, 20516,19441110,   32,    0
   424, 20516,19441111,   43,    0
   424, 20516,19441112,   40,    0
   424, 20516,19441113,   62,    0
   424, 20516,19441114,   46,    0
   424, 20516,19441115,   60,    0
   424, 20516,19441116,   54,    0
   424, 20516,19441117,   58,    0
