EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BREST-GUIPAVAS, FRANCE (STAID: 434)
Blended and updated with sources:4485 907110 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   434,  4485,19450101,   34,    0
   434,  4485,19450102,   45,    0
   434,  4485,19450103,   69,    0
   434,  4485,19450104,   38,    0
   434,  4485,19450105,   42,    0
   434,  4485,19450106,   51,    0
   434,  4485,19450107,   62,    0
   434,  4485,19450108,   32,    0
   434,  4485,19450109,   28,    0
   434,  4485,19450110,   28,    0
   434,  4485,19450111,   10,    0
   434,  4485,19450112,   11,    0
   434,  4485,19450113,    1,    0
   434,  4485,19450114,   34,    0
   434,  4485,19450115,   28,    0
   434,  4485,19450116,   49,    0
   434,  4485,19450117,   64,    0
   434,  4485,19450118,   67,    0
   434,  4485,19450119,   50,    0
   434,  4485,19450120,   33,    0
   434,  4485,19450121,   15,    0
   434,  4485,19450122,  -10,    0
   434,  4485,19450123,   31,    0
   434,  4485,19450124,   15,    0
   434,  4485,19450125,  -16,    0
   434,  4485,19450126,    8,    0
   434,  4485,19450127,   39,    0
   434,  4485,19450128,    8,    0
   434,  4485,19450129,    4,    0
   434,  4485,19450130,   63,    0
   434,  4485,19450131,   99,    0
   434,  4485,19450201,   92,    0
   434,  4485,19450202,   87,    0
   434,  4485,19450203,   79,    0
   434,  4485,19450204,   92,    0
   434,  4485,19450205,  112,    0
   434,  4485,19450206,   96,    0
   434,  4485,19450207,  106,    0
   434,  4485,19450208,   90,    0
   434,  4485,19450209,   78,    0
   434,  4485,19450210,   69,    0
   434,  4485,19450211,   77,    0
   434,  4485,19450212,  102,    0
   434,  4485,19450213,  103,    0
   434,  4485,19450214,   61,    0
   434,  4485,19450215,   79,    0
   434,  4485,19450216,   81,    0
   434,  4485,19450217,   92,    0
   434,  4485,19450218,  108,    0
   434,  4485,19450219,  115,    0
   434,  4485,19450220,  112,    0
   434,  4485,19450221,   67,    0
   434,  4485,19450222,   73,    0
   434,  4485,19450223,   43,    0
   434,  4485,19450224,   66,    0
   434,  4485,19450225,   72,    0
   434,  4485,19450226,   81,    0
   434,  4485,19450227,   82,    0
   434,  4485,19450228,   87,    0
   434,  4485,19450301,   81,    0
   434,  4485,19450302,   56,    0
   434,  4485,19450303,   28,    0
   434,  4485,19450304,   38,    0
   434,  4485,19450305,   59,    0
   434,  4485,19450306,   63,    0
   434,  4485,19450307,   77,    0
   434,  4485,19450308,   66,    0
   434,  4485,19450309,   76,    0
   434,  4485,19450310,   76,    0
   434,  4485,19450311,   82,    0
   434,  4485,19450312,   82,    0
   434,  4485,19450313,   68,    0
   434,  4485,19450314,   80,    0
   434,  4485,19450315,   39,    0
   434,  4485,19450316,   78,    0
   434,  4485,19450317,   79,    0
   434,  4485,19450318,   56,    0
   434,  4485,19450319,   60,    0
   434,  4485,19450320,   92,    0
   434,  4485,19450321,   80,    0
   434,  4485,19450322,  128,    0
   434,  4485,19450323,  142,    0
   434,  4485,19450324,  123,    0
   434,  4485,19450325,   76,    0
   434,  4485,19450326,   92,    0
   434,  4485,19450327,   73,    0
   434,  4485,19450328,   96,    0
   434,  4485,19450329,  104,    0
   434,  4485,19450330,  104,    0
   434,  4485,19450331,  102,    0
   434,  4485,19450401,  110,    0
   434,  4485,19450402,  110,    0
   434,  4485,19450403,   87,    0
   434,  4485,19450404,   78,    0
   434,  4485,19450405,  109,    0
   434,  4485,19450406,   93,    0
   434,  4485,19450407,   93,    0
   434,  4485,19450408,   85,    0
   434,  4485,19450409,  101,    0
   434,  4485,19450410,   86,    0
   434,  4485,19450411,  140,    0
   434,  4485,19450412,  132,    0
   434,  4485,19450413,  140,    0
   434,  4485,19450414,  134,    0
   434,  4485,19450415,  156,    0
   434,  4485,19450416,  135,    0
   434,  4485,19450417,  155,    0
   434,  4485,19450418,  170,    0
   434,  4485,19450419,  194,    0
   434,  4485,19450420,  170,    0
   434,  4485,19450421,  127,    0
   434,  4485,19450422,   92,    0
   434,  4485,19450423,  119,    0
   434,  4485,19450424,  124,    0
   434,  4485,19450425,  110,    0
   434,  4485,19450426,  129,    0
   434,  4485,19450427,   91,    0
   434,  4485,19450428,   70,    0
   434,  4485,19450429,   72,    0
   434,  4485,19450430,   56,    0
   434,  4485,19450501,   43,    0
   434,  4485,19450502,   51,    0
   434,  4485,19450503,   63,    0
   434,  4485,19450504,   80,    0
   434,  4485,19450505,  108,    0
   434,  4485,19450506,  143,    0
   434,  4485,19450507,  157,    0
   434,  4485,19450508,  171,    0
   434,  4485,19450509,  147,    0
   434,  4485,19450510,  156,    0
   434,  4485,19450511,  183,    0
   434,  4485,19450512,  189,    0
   434,  4485,19450513,  148,    0
   434,  4485,19450514,  128,    0
   434,  4485,19450515,  152,    0
   434,  4485,19450516,  165,    0
   434,  4485,19450517,  132,    0
   434,  4485,19450518,  160,    0
   434,  4485,19450519,  157,    0
   434,  4485,19450520,  139,    0
   434,  4485,19450521,  125,    0
   434,  4485,19450522,  132,    0
   434,  4485,19450523,  110,    0
   434,  4485,19450524,  124,    0
   434,  4485,19450525,  107,    0
   434,  4485,19450526,  107,    0
   434,  4485,19450527,  115,    0
   434,  4485,19450528,  103,    0
   434,  4485,19450529,  106,    0
   434,  4485,19450530,  108,    0
   434,  4485,19450531,  138,    0
   434,  4485,19450601,  120,    0
   434,  4485,19450602,  135,    0
   434,  4485,19450603,  149,    0
   434,  4485,19450604,  135,    0
   434,  4485,19450605,  148,    0
   434,  4485,19450606,  156,    0
   434,  4485,19450607,  151,    0
   434,  4485,19450608,  130,    0
   434,  4485,19450609,  122,    0
   434,  4485,19450610,  132,    0
   434,  4485,19450611,  152,    0
   434,  4485,19450612,  140,    0
   434,  4485,19450613,  115,    0
   434,  4485,19450614,  118,    0
   434,  4485,19450615,  156,    0
   434,  4485,19450616,  123,    0
   434,  4485,19450617,  122,    0
   434,  4485,19450618,  158,    0
   434,  4485,19450619,  202,    0
   434,  4485,19450620,  169,    0
   434,  4485,19450621,  148,    0
   434,  4485,19450622,  173,    0
   434,  4485,19450623,  171,    0
   434,  4485,19450624,  158,    0
   434,  4485,19450625,  148,    0
   434,  4485,19450626,  147,    0
   434,  4485,19450627,  144,    0
   434,  4485,19450628,  136,    0
   434,  4485,19450629,  138,    0
   434,  4485,19450630,  130,    0
   434,  4485,19450701,  151,    0
   434,  4485,19450702,  140,    0
   434,  4485,19450703,  134,    0
   434,  4485,19450704,  167,    0
   434,  4485,19450705,  173,    0
   434,  4485,19450706,  162,    0
   434,  4485,19450707,  158,    0
   434,  4485,19450708,  144,    0
   434,  4485,19450709,  145,    0
   434,  4485,19450710,  144,    0
   434,  4485,19450711,  156,    0
   434,  4485,19450712,  185,    0
   434,  4485,19450713,  212,    0
   434,  4485,19450714,  193,    0
   434,  4485,19450715,  152,    0
   434,  4485,19450716,  152,    0
   434,  4485,19450717,  180,    0
   434,  4485,19450718,  190,    0
   434,  4485,19450719,  164,    0
