EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CABAUW, NETHERLANDS (STAID: 438)
Blended and updated with sources:2469 906348 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   438,  2469,19860401,-9999,    9
   438,  2469,19860402,-9999,    9
   438,  2469,19860403,-9999,    9
   438,  2469,19860404,-9999,    9
   438,  2469,19860405,-9999,    9
   438,  2469,19860406,-9999,    9
   438,  2469,19860407,-9999,    9
   438,  2469,19860408,-9999,    9
   438,  2469,19860409,-9999,    9
   438,  2469,19860410,-9999,    9
   438,  2469,19860411,-9999,    9
   438,  2469,19860412,-9999,    9
   438,  2469,19860413,-9999,    9
   438,  2469,19860414,-9999,    9
   438,  2469,19860415,-9999,    9
   438,  2469,19860416,-9999,    9
   438,  2469,19860417,-9999,    9
   438,  2469,19860418,-9999,    9
   438,  2469,19860419,-9999,    9
   438,  2469,19860420,-9999,    9
   438,  2469,19860421,-9999,    9
   438,  2469,19860422,-9999,    9
   438,  2469,19860423,-9999,    9
   438,  2469,19860424,-9999,    9
   438,  2469,19860425,-9999,    9
   438,  2469,19860426,-9999,    9
   438,  2469,19860427,-9999,    9
   438,  2469,19860428,-9999,    9
   438,  2469,19860429,-9999,    9
   438,  2469,19860430,-9999,    9
   438,  2469,19860501,-9999,    9
   438,  2469,19860502,-9999,    9
   438,  2469,19860503,-9999,    9
   438,  2469,19860504,-9999,    9
   438,  2469,19860505,-9999,    9
   438,  2469,19860506,-9999,    9
   438,  2469,19860507,-9999,    9
   438,  2469,19860508,-9999,    9
   438,  2469,19860509,-9999,    9
   438,  2469,19860510,-9999,    9
   438,  2469,19860511,-9999,    9
   438,  2469,19860512,-9999,    9
   438,  2469,19860513,-9999,    9
   438,  2469,19860514,-9999,    9
   438,  2469,19860515,-9999,    9
   438,  2469,19860516,-9999,    9
   438,  2469,19860517,-9999,    9
   438,  2469,19860518,-9999,    9
   438,  2469,19860519,-9999,    9
   438,  2469,19860520,-9999,    9
   438,  2469,19860521,-9999,    9
