EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VOLKEL, NETHERLANDS (STAID: 442)
Blended and updated with sources:2475 906375 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   442,  2475,19510301,-9999,    9
   442,  2475,19510302,   11,    0
   442,  2475,19510303,-9999,    9
   442,  2475,19510304,-9999,    9
   442,  2475,19510305,    5,    0
   442,  2475,19510306,   17,    0
   442,  2475,19510307,   31,    0
   442,  2475,19510308,   14,    0
   442,  2475,19510309,    1,    0
   442,  2475,19510310,-9999,    9
   442,  2475,19510311,-9999,    9
   442,  2475,19510312,-9999,    9
   442,  2475,19510313,   84,    0
   442,  2475,19510314,   75,    0
   442,  2475,19510315,   65,    0
   442,  2475,19510316,   77,    0
   442,  2475,19510317,-9999,    9
   442,  2475,19510318,-9999,    9
   442,  2475,19510319,   46,    0
   442,  2475,19510320,   19,    0
   442,  2475,19510321,   30,    0
   442,  2475,19510322,-9999,    9
   442,  2475,19510323,-9999,    9
   442,  2475,19510324,-9999,    9
   442,  2475,19510325,-9999,    9
   442,  2475,19510326,-9999,    9
   442,  2475,19510327,-9999,    9
   442,  2475,19510328,   19,    0
   442,  2475,19510329,   17,    0
   442,  2475,19510330,   29,    0
   442,  2475,19510331,   30,    0
   442,  2475,19510401,-9999,    9
   442,  2475,19510402,   65,    0
   442,  2475,19510403,-9999,    9
   442,  2475,19510404,   71,    0
   442,  2475,19510405,   71,    0
   442,  2475,19510406,   85,    0
   442,  2475,19510407,   97,    0
   442,  2475,19510408,-9999,    9
   442,  2475,19510409,   62,    0
   442,  2475,19510410,   51,    0
   442,  2475,19510411,   43,    0
   442,  2475,19510412,   64,    0
   442,  2475,19510413,   74,    0
   442,  2475,19510414,   44,    0
   442,  2475,19510415,-9999,    9
   442,  2475,19510416,   84,    0
   442,  2475,19510417,   54,    0
   442,  2475,19510418,   80,    0
   442,  2475,19510419,   88,    0
   442,  2475,19510420,   58,    0
   442,  2475,19510421,   48,    0
   442,  2475,19510422,-9999,    9
   442,  2475,19510423,   98,    0
   442,  2475,19510424,  123,    0
   442,  2475,19510425,  153,    0
   442,  2475,19510426,  127,    0
   442,  2475,19510427,   60,    0
   442,  2475,19510428,   40,    0
   442,  2475,19510429,-9999,    9
   442,  2475,19510430,-9999,    9
   442,  2475,19510501,   94,    0
   442,  2475,19510502,  120,    0
   442,  2475,19510503,-9999,    9
   442,  2475,19510504,  137,    0
   442,  2475,19510505,  115,    0
   442,  2475,19510506,-9999,    9
   442,  2475,19510507,  121,    0
   442,  2475,19510508,   90,    0
   442,  2475,19510509,   89,    0
   442,  2475,19510510,  114,    0
   442,  2475,19510511,  109,    0
   442,  2475,19510512,-9999,    9
   442,  2475,19510513,-9999,    9
   442,  2475,19510514,-9999,    9
   442,  2475,19510515,-9999,    9
   442,  2475,19510516,   80,    0
   442,  2475,19510517,  102,    0
   442,  2475,19510518,  128,    0
   442,  2475,19510519,  155,    0
   442,  2475,19510520,-9999,    9
   442,  2475,19510521,  113,    0
   442,  2475,19510522,  115,    0
   442,  2475,19510523,  144,    0
   442,  2475,19510524,  157,    0
   442,  2475,19510525,  131,    0
   442,  2475,19510526,  147,    0
   442,  2475,19510527,-9999,    9
   442,  2475,19510528,  124,    0
   442,  2475,19510529,  110,    0
   442,  2475,19510530,   99,    0
   442,  2475,19510531,  124,    0
   442,  2475,19510601,  143,    0
   442,  2475,19510602,  152,    0
   442,  2475,19510603,-9999,    9
   442,  2475,19510604,  149,    0
   442,  2475,19510605,  147,    0
   442,  2475,19510606,  154,    0
   442,  2475,19510607,  120,    0
   442,  2475,19510608,  146,    0
   442,  2475,19510609,  158,    0
   442,  2475,19510610,-9999,    9
   442,  2475,19510611,  155,    0
   442,  2475,19510612,  165,    0
   442,  2475,19510613,  157,    0
   442,  2475,19510614,  198,    0
   442,  2475,19510615,  167,    0
   442,  2475,19510616,  169,    0
   442,  2475,19510617,-9999,    9
   442,  2475,19510618,-9999,    9
   442,  2475,19510619,  142,    0
   442,  2475,19510620,  145,    0
   442,  2475,19510621,  183,    0
   442,  2475,19510622,  182,    0
   442,  2475,19510623,  177,    0
   442,  2475,19510624,-9999,    9
   442,  2475,19510625,  151,    0
   442,  2475,19510626,  123,    0
   442,  2475,19510627,  123,    0
   442,  2475,19510628,  129,    0
   442,  2475,19510629,  123,    0
   442,  2475,19510630,  118,    0
   442,  2475,19510701,-9999,    9
   442,  2475,19510702,  178,    0
   442,  2475,19510703,  186,    0
   442,  2475,19510704,  152,    0
   442,  2475,19510705,  128,    0
   442,  2475,19510706,  159,    0
   442,  2475,19510707,  179,    0
   442,  2475,19510708,-9999,    9
   442,  2475,19510709,  170,    0
   442,  2475,19510710,  205,    0
   442,  2475,19510711,  190,    0
   442,  2475,19510712,  165,    0
   442,  2475,19510713,  163,    0
   442,  2475,19510714,  144,    0
   442,  2475,19510715,-9999,    9
   442,  2475,19510716,  150,    0
   442,  2475,19510717,  177,    0
   442,  2475,19510718,  154,    0
   442,  2475,19510719,  159,    0
   442,  2475,19510720,  172,    0
   442,  2475,19510721,  157,    0
   442,  2475,19510722,-9999,    9
   442,  2475,19510723,  182,    0
   442,  2475,19510724,  152,    0
   442,  2475,19510725,  147,    0
   442,  2475,19510726,  158,    0
   442,  2475,19510727,  175,    0
   442,  2475,19510728,  204,    0
   442,  2475,19510729,-9999,    9
   442,  2475,19510730,  190,    0
   442,  2475,19510731,  219,    0
   442,  2475,19510801,  214,    0
   442,  2475,19510802,  205,    0
   442,  2475,19510803,  206,    0
   442,  2475,19510804,  191,    0
   442,  2475,19510805,-9999,    9
   442,  2475,19510806,  190,    0
   442,  2475,19510807,  185,    0
   442,  2475,19510808,  161,    0
   442,  2475,19510809,  155,    0
   442,  2475,19510810,  153,    0
   442,  2475,19510811,  152,    0
   442,  2475,19510812,-9999,    9
   442,  2475,19510813,  138,    0
   442,  2475,19510814,  135,    0
   442,  2475,19510815,  140,    0
   442,  2475,19510816,  135,    0
   442,  2475,19510817,  150,    0
   442,  2475,19510818,  167,    0
   442,  2475,19510819,-9999,    9
   442,  2475,19510820,  162,    0
   442,  2475,19510821,  160,    0
   442,  2475,19510822,  166,    0
   442,  2475,19510823,  168,    0
   442,  2475,19510824,  175,    0
   442,  2475,19510825,  158,    0
   442,  2475,19510826,-9999,    9
   442,  2475,19510827,  152,    0
   442,  2475,19510828,  169,    0
   442,  2475,19510829,  186,    0
   442,  2475,19510830,  192,    0
   442,  2475,19510831,  151,    0
   442,  2475,19510901,  148,    0
   442,  2475,19510902,-9999,    9
   442,  2475,19510903,  151,    0
   442,  2475,19510904,  173,    0
   442,  2475,19510905,  202,    0
