EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEINO, NETHERLANDS (STAID: 453)
Blended and updated with sources:2500 906278 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   453,  2500,19891001,-9999,    9
   453,  2500,19891002,-9999,    9
   453,  2500,19891003,-9999,    9
   453,  2500,19891004,-9999,    9
   453,  2500,19891005,-9999,    9
   453,  2500,19891006,-9999,    9
   453,  2500,19891007,-9999,    9
   453,  2500,19891008,-9999,    9
   453,  2500,19891009,-9999,    9
   453,  2500,19891010,-9999,    9
   453,  2500,19891011,-9999,    9
   453,  2500,19891012,-9999,    9
   453,  2500,19891013,-9999,    9
   453,  2500,19891014,-9999,    9
   453,  2500,19891015,-9999,    9
   453,  2500,19891016,-9999,    9
   453,  2500,19891017,-9999,    9
   453,  2500,19891018,-9999,    9
   453,  2500,19891019,  130,    0
   453,  2500,19891020,-9999,    9
   453,  2500,19891021,-9999,    9
   453,  2500,19891022,-9999,    9
   453,  2500,19891023,-9999,    9
   453,  2500,19891024,-9999,    9
   453,  2500,19891025,  117,    0
   453,  2500,19891026,  120,    0
   453,  2500,19891027,-9999,    9
   453,  2500,19891028,-9999,    9
   453,  2500,19891029,-9999,    9
   453,  2500,19891030,-9999,    9
   453,  2500,19891031,  103,    0
   453,  2500,19891101,  106,    0
   453,  2500,19891102,  122,    0
   453,  2500,19891103,   92,    0
   453,  2500,19891104,   86,    0
   453,  2500,19891105,   62,    0
   453,  2500,19891106,-9999,    9
   453,  2500,19891107,-9999,    9
   453,  2500,19891108,   81,    0
   453,  2500,19891109,   71,    0
   453,  2500,19891110,-9999,    9
   453,  2500,19891111,   82,    0
   453,  2500,19891112,-9999,    9
   453,  2500,19891113,-9999,    9
   453,  2500,19891114,-9999,    9
   453,  2500,19891115,-9999,    9
   453,  2500,19891116,-9999,    9
   453,  2500,19891117,-9999,    9
   453,  2500,19891118,    0,    0
   453,  2500,19891119,   -9,    0
   453,  2500,19891120,-9999,    9
   453,  2500,19891121,-9999,    9
   453,  2500,19891122,   22,    0
   453,  2500,19891123,   31,    0
   453,  2500,19891124,   31,    0
   453,  2500,19891125,-9999,    9
   453,  2500,19891126,-9999,    9
   453,  2500,19891127,-9999,    9
   453,  2500,19891128,   28,    0
   453,  2500,19891129,  -25,    0
   453,  2500,19891130,  -45,    0
   453,  2500,19891201,-9999,    9
   453,  2500,19891202,-9999,    9
   453,  2500,19891203,-9999,    9
   453,  2500,19891204,   -4,    0
   453,  2500,19891205,   36,    0
   453,  2500,19891206,   63,    0
   453,  2500,19891207,   59,    0
   453,  2500,19891208,   33,    0
   453,  2500,19891209,   27,    0
   453,  2500,19891210,  -22,    0
   453,  2500,19891211,-9999,    9
   453,  2500,19891212,   16,    0
   453,  2500,19891213,-9999,    9
   453,  2500,19891214,-9999,    9
   453,  2500,19891215,   52,    0
