EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUPSEL, NETHERLANDS (STAID: 454)
Blended and updated with sources:2505 906283 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   454,  2505,19891001,-9999,    9
   454,  2505,19891002,-9999,    9
   454,  2505,19891003,-9999,    9
   454,  2505,19891004,-9999,    9
   454,  2505,19891005,-9999,    9
   454,  2505,19891006,-9999,    9
   454,  2505,19891007,-9999,    9
   454,  2505,19891008,-9999,    9
   454,  2505,19891009,-9999,    9
   454,  2505,19891010,-9999,    9
   454,  2505,19891011,-9999,    9
   454,  2505,19891012,-9999,    9
   454,  2505,19891013,-9999,    9
   454,  2505,19891014,-9999,    9
   454,  2505,19891015,-9999,    9
   454,  2505,19891016,-9999,    9
   454,  2505,19891017,-9999,    9
   454,  2505,19891018,-9999,    9
   454,  2505,19891019,-9999,    9
   454,  2505,19891020,-9999,    9
   454,  2505,19891021,-9999,    9
   454,  2505,19891022,-9999,    9
   454,  2505,19891023,-9999,    9
   454,  2505,19891024,-9999,    9
   454,  2505,19891025,  116,    0
   454,  2505,19891026,  127,    0
   454,  2505,19891027,-9999,    9
   454,  2505,19891028,-9999,    9
   454,  2505,19891029,-9999,    9
   454,  2505,19891030,  130,    0
   454,  2505,19891031,  105,    0
   454,  2505,19891101,  112,    0
   454,  2505,19891102,  124,    0
   454,  2505,19891103,   91,    0
   454,  2505,19891104,   78,    0
   454,  2505,19891105,   64,    0
