EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VISBY, SWEDEN (STAID: 465)
Blended and updated with sources:35564 35579 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   465, 35564,18590801,  178,    0
   465, 35564,18590802,  172,    0
   465, 35564,18590803,  171,    0
   465, 35564,18590804,  173,    0
   465, 35564,18590805,  181,    0
   465, 35564,18590806,  172,    0
   465, 35564,18590807,  174,    0
   465, 35564,18590808,  165,    0
   465, 35564,18590809,  163,    0
   465, 35564,18590810,  161,    0
   465, 35564,18590811,  164,    0
   465, 35564,18590812,  173,    0
   465, 35564,18590813,  172,    0
   465, 35564,18590814,  173,    0
   465, 35564,18590815,  180,    0
   465, 35564,18590816,  184,    0
   465, 35564,18590817,  178,    0
   465, 35564,18590818,  190,    0
   465, 35564,18590819,  186,    0
   465, 35564,18590820,  201,    0
   465, 35564,18590821,  175,    0
   465, 35564,18590822,  168,    0
   465, 35564,18590823,  176,    0
   465, 35564,18590824,  175,    0
   465, 35564,18590825,  175,    0
   465, 35564,18590826,  203,    0
   465, 35564,18590827,  194,    0
   465, 35564,18590828,  190,    0
   465, 35564,18590829,  168,    0
   465, 35564,18590830,  172,    0
   465, 35564,18590831,  184,    0
   465, 35564,18590901,  141,    0
   465, 35564,18590902,  151,    0
   465, 35564,18590903,  157,    0
   465, 35564,18590904,  156,    0
   465, 35564,18590905,  139,    0
   465, 35564,18590906,  140,    0
   465, 35564,18590907,  143,    0
   465, 35564,18590908,  139,    0
   465, 35564,18590909,  142,    0
   465, 35564,18590910,  153,    0
   465, 35564,18590911,  137,    0
   465, 35564,18590912,  139,    0
   465, 35564,18590913,  134,    0
   465, 35564,18590914,  132,    0
   465, 35564,18590915,  111,    0
   465, 35564,18590916,   98,    0
   465, 35564,18590917,   98,    0
   465, 35564,18590918,   72,    0
   465, 35564,18590919,   97,    0
   465, 35564,18590920,  103,    0
   465, 35564,18590921,  120,    0
   465, 35564,18590922,  121,    0
   465, 35564,18590923,  109,    0
   465, 35564,18590924,  133,    0
   465, 35564,18590925,  145,    0
   465, 35564,18590926,  144,    0
   465, 35564,18590927,  129,    0
   465, 35564,18590928,  106,    0
   465, 35564,18590929,  120,    0
   465, 35564,18590930,  131,    0
   465, 35564,18591001,  118,    0
   465, 35564,18591002,  111,    0
   465, 35564,18591003,   99,    0
   465, 35564,18591004,  102,    0
   465, 35564,18591005,   99,    0
   465, 35564,18591006,  109,    0
   465, 35564,18591007,  108,    0
   465, 35564,18591008,  105,    0
   465, 35564,18591009,   90,    0
   465, 35564,18591010,   85,    0
   465, 35564,18591011,   82,    0
   465, 35564,18591012,   76,    0
   465, 35564,18591013,   66,    0
   465, 35564,18591014,   82,    0
   465, 35564,18591015,   80,    0
   465, 35564,18591016,   93,    0
   465, 35564,18591017,   90,    0
   465, 35564,18591018,   63,    0
   465, 35564,18591019,   54,    0
   465, 35564,18591020,   59,    0
   465, 35564,18591021,   50,    0
   465, 35564,18591022,   37,    0
   465, 35564,18591023,   45,    0
   465, 35564,18591024,   42,    0
   465, 35564,18591025,   57,    0
   465, 35564,18591026,   65,    0
   465, 35564,18591027,   81,    0
   465, 35564,18591028,   78,    0
   465, 35564,18591029,   70,    0
   465, 35564,18591030,   80,    0
   465, 35564,18591031,   47,    0
   465, 35564,18591101,   45,    0
   465, 35564,18591102,   60,    0
   465, 35564,18591103,   58,    0
   465, 35564,18591104,   45,    0
   465, 35564,18591105,   77,    0
   465, 35564,18591106,   91,    0
   465, 35564,18591107,   97,    0
   465, 35564,18591108,   72,    0
   465, 35564,18591109,   43,    0
   465, 35564,18591110,   21,    0
   465, 35564,18591111,   37,    0
   465, 35564,18591112,   43,    0
   465, 35564,18591113,   54,    0
   465, 35564,18591114,   38,    0
   465, 35564,18591115,   34,    0
   465, 35564,18591116,   22,    0
   465, 35564,18591117,   16,    0
   465, 35564,18591118,   17,    0
   465, 35564,18591119,   33,    0
   465, 35564,18591120,   41,    0
   465, 35564,18591121,   34,    0
   465, 35564,18591122,   44,    0
   465, 35564,18591123,   43,    0
   465, 35564,18591124,   27,    0
   465, 35564,18591125,   13,    0
   465, 35564,18591126,   16,    0
   465, 35564,18591127,   29,    0
   465, 35564,18591128,   48,    0
   465, 35564,18591129,   28,    0
   465, 35564,18591130,   17,    0
   465, 35564,18591201,  -10,    0
   465, 35564,18591202,  -21,    0
   465, 35564,18591203,  -12,    0
   465, 35564,18591204,  -38,    0
   465, 35564,18591205,   -5,    0
   465, 35564,18591206,   33,    0
   465, 35564,18591207,   33,    0
   465, 35564,18591208,   45,    0
   465, 35564,18591209,    5,    0
   465, 35564,18591210,   23,    0
   465, 35564,18591211,   13,    0
   465, 35564,18591212,   15,    0
   465, 35564,18591213,  -36,    0
   465, 35564,18591214,  -22,    0
   465, 35564,18591215,  -50,    0
   465, 35564,18591216,  -27,    0
   465, 35564,18591217,  -21,    0
   465, 35564,18591218,  -22,    0
   465, 35564,18591219,    3,    0
   465, 35564,18591220,  -17,    0
   465, 35564,18591221,  -21,    0
   465, 35564,18591222,   -3,    0
   465, 35564,18591223,   19,    0
   465, 35564,18591224,    4,    0
   465, 35564,18591225,   14,    0
   465, 35564,18591226,   23,    0
   465, 35564,18591227,   31,    0
   465, 35564,18591228,   26,    0
   465, 35564,18591229,   25,    0
   465, 35564,18591230,   23,    0
   465, 35564,18591231,   31,    0
   465, 35564,18600101,   24,    0
   465, 35564,18600102,   42,    0
   465, 35564,18600103,   40,    0
   465, 35564,18600104,   36,    0
   465, 35564,18600105,   39,    0
   465, 35564,18600106,   28,    0
   465, 35564,18600107,   23,    0
   465, 35564,18600108,   -2,    0
   465, 35564,18600109,   13,    0
   465, 35564,18600110,  -15,    0
   465, 35564,18600111,    3,    0
   465, 35564,18600112,   -2,    0
   465, 35564,18600113,   -3,    0
   465, 35564,18600114,  -20,    0
   465, 35564,18600115,  -30,    0
   465, 35564,18600116,  -15,    0
   465, 35564,18600117,   18,    0
   465, 35564,18600118,  -16,    0
   465, 35564,18600119,   -5,    0
   465, 35564,18600120,   -6,    0
   465, 35564,18600121,  -23,    0
   465, 35564,18600122,  -33,    0
   465, 35564,18600123,   -2,    0
   465, 35564,18600124,   14,    0
   465, 35564,18600125,   10,    0
   465, 35564,18600126,   13,    0
   465, 35564,18600127,   -5,    0
   465, 35564,18600128,    7,    0
   465, 35564,18600129,    0,    0
   465, 35564,18600130,    7,    0
   465, 35564,18600131,    4,    0
   465, 35564,18600201,   12,    0
   465, 35564,18600202,    9,    0
   465, 35564,18600203,    5,    0
   465, 35564,18600204,    6,    0
   465, 35564,18600205,   20,    0
   465, 35564,18600206,    4,    0
   465, 35564,18600207,  -28,    0
   465, 35564,18600208,  -37,    0
   465, 35564,18600209,  -55,    0
   465, 35564,18600210,  -47,    0
   465, 35564,18600211,  -40,    0
   465, 35564,18600212,  -62,    0
   465, 35564,18600213,  -53,    0
   465, 35564,18600214,  -14,    0
   465, 35564,18600215,    3,    0
   465, 35564,18600216,  -53,    0
   465, 35564,18600217,  -19,    0
   465, 35564,18600218,  -30,    0
   465, 35564,18600219,   -8,    0
   465, 35564,18600220,   -9,    0
   465, 35564,18600221,  -45,    0
   465, 35564,18600222,  -65,    0
   465, 35564,18600223,  -56,    0
   465, 35564,18600224,   -9,    0
   465, 35564,18600225,  -38,    0
   465, 35564,18600226,  -31,    0
   465, 35564,18600227,   -8,    0
   465, 35564,18600228,    9,    0
   465, 35564,18600229,    5,    0
   465, 35564,18600301,  -10,    0
   465, 35564,18600302,  -37,    0
   465, 35564,18600303,  -27,    0
   465, 35564,18600304,   -8,    0
   465, 35564,18600305,  -11,    0
   465, 35564,18600306,  -28,    0
   465, 35564,18600307,  -39,    0
   465, 35564,18600308,  -52,    0
   465, 35564,18600309,  -54,    0
   465, 35564,18600310,  -43,    0
   465, 35564,18600311,  -32,    0
   465, 35564,18600312,  -56,    0
   465, 35564,18600313,  -61,    0
   465, 35564,18600314,  -36,    0
   465, 35564,18600315,  -14,    0
   465, 35564,18600316,  -36,    0
   465, 35564,18600317,  -27,    0
   465, 35564,18600318,   12,    0
   465, 35564,18600319,   13,    0
   465, 35564,18600320,   20,    0
   465, 35564,18600321,   29,    0
   465, 35564,18600322,   13,    0
   465, 35564,18600323,   17,    0
   465, 35564,18600324,    8,    0
   465, 35564,18600325,   11,    0
   465, 35564,18600326,    3,    0
   465, 35564,18600327,    1,    0
   465, 35564,18600328,    3,    0
   465, 35564,18600329,   -2,    0
   465, 35564,18600330,   -7,    0
   465, 35564,18600331,    7,    0
   465, 35564,18600401,   28,    0
   465, 35564,18600402,   38,    0
   465, 35564,18600403,   36,    0
   465, 35564,18600404,    1,    0
   465, 35564,18600405,    9,    0
   465, 35564,18600406,   20,    0
   465, 35564,18600407,   55,    0
   465, 35564,18600408,   47,    0
   465, 35564,18600409,   61,    0
   465, 35564,18600410,   31,    0
   465, 35564,18600411,   31,    0
   465, 35564,18600412,   28,    0
   465, 35564,18600413,   26,    0
   465, 35564,18600414,   48,    0
   465, 35564,18600415,   34,    0
   465, 35564,18600416,   37,    0
   465, 35564,18600417,   38,    0
   465, 35564,18600418,   55,    0
   465, 35564,18600419,   23,    0
   465, 35564,18600420,   59,    0
   465, 35564,18600421,   21,    0
   465, 35564,18600422,   59,    0
   465, 35564,18600423,   27,    0
   465, 35564,18600424,   42,    0
   465, 35564,18600425,   42,    0
   465, 35564,18600426,   62,    0
   465, 35564,18600427,   58,    0
   465, 35564,18600428,   37,    0
   465, 35564,18600429,   60,    0
   465, 35564,18600430,   32,    0
   465, 35564,18600501,   58,    0
   465, 35564,18600502,   63,    0
   465, 35564,18600503,   26,    0
   465, 35564,18600504,   32,    0
   465, 35564,18600505,   18,    0
   465, 35564,18600506,   29,    0
   465, 35564,18600507,   33,    0
   465, 35564,18600508,   48,    0
   465, 35564,18600509,   49,    0
   465, 35564,18600510,   76,    0
   465, 35564,18600511,   89,    0
   465, 35564,18600512,   93,    0
   465, 35564,18600513,   77,    0
   465, 35564,18600514,   45,    0
   465, 35564,18600515,   44,    0
   465, 35564,18600516,   47,    0
   465, 35564,18600517,   42,    0
   465, 35564,18600518,   54,    0
   465, 35564,18600519,   97,    0
   465, 35564,18600520,  129,    0
   465, 35564,18600521,   84,    0
   465, 35564,18600522,  102,    0
   465, 35564,18600523,  101,    0
   465, 35564,18600524,  119,    0
   465, 35564,18600525,   84,    0
   465, 35564,18600526,  105,    0
   465, 35564,18600527,  112,    0
   465, 35564,18600528,   92,    0
   465, 35564,18600529,  104,    0
   465, 35564,18600530,  121,    0
   465, 35564,18600531,   78,    0
   465, 35564,18600601,  104,    0
   465, 35564,18600602,   76,    0
   465, 35564,18600603,  106,    0
   465, 35564,18600604,   94,    0
   465, 35564,18600605,   81,    0
   465, 35564,18600606,   80,    0
   465, 35564,18600607,   75,    0
   465, 35564,18600608,   87,    0
   465, 35564,18600609,  105,    0
   465, 35564,18600610,  139,    0
   465, 35564,18600611,  116,    0
   465, 35564,18600612,  114,    0
   465, 35564,18600613,  169,    0
   465, 35564,18600614,  186,    0
   465, 35564,18600615,  198,    0
   465, 35564,18600616,  196,    0
   465, 35564,18600617,  205,    0
   465, 35564,18600618,  161,    0
   465, 35564,18600619,  129,    0
