EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HARNOSAND, SWEDEN (STAID: 466)
Blended and updated with sources:36698 36701 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   466, 36698,18680101, -107,    0
   466, 36698,18680102,  -75,    0
   466, 36698,18680103,  -94,    0
   466, 36698,18680104, -126,    0
   466, 36698,18680105, -154,    0
   466, 36698,18680106, -119,    0
   466, 36698,18680107,  -22,    0
   466, 36698,18680108,  -22,    0
   466, 36698,18680109,   15,    0
   466, 36698,18680110,   29,    0
   466, 36698,18680111,   24,    0
   466, 36698,18680112,  -49,    0
   466, 36698,18680113,  -92,    0
   466, 36698,18680114,  -36,    0
   466, 36698,18680115,    3,    0
   466, 36698,18680116,  -23,    0
   466, 36698,18680117,  -45,    0
   466, 36698,18680118,  -43,    0
   466, 36698,18680119,  -31,    0
   466, 36698,18680120,  -29,    0
   466, 36698,18680121, -108,    0
   466, 36698,18680122, -177,    0
   466, 36698,18680123, -265,    0
   466, 36698,18680124, -293,    0
   466, 36698,18680125, -160,    0
   466, 36698,18680126,  -86,    0
   466, 36698,18680127,  -76,    0
   466, 36698,18680128,  -30,    0
   466, 36698,18680129,  -82,    0
   466, 36698,18680130,  -49,    0
   466, 36698,18680131,  -57,    0
   466, 36698,18680201, -103,    0
   466, 36698,18680202,  -63,    0
   466, 36698,18680203,  -82,    0
   466, 36698,18680204, -124,    0
   466, 36698,18680205, -128,    0
   466, 36698,18680206,  -62,    0
   466, 36698,18680207, -100,    0
   466, 36698,18680208,  -41,    0
   466, 36698,18680209,  -67,    0
   466, 36698,18680210, -146,    0
   466, 36698,18680211, -132,    0
   466, 36698,18680212, -124,    0
   466, 36698,18680213, -144,    0
   466, 36698,18680214, -124,    0
   466, 36698,18680215,  -48,    0
   466, 36698,18680216,  -47,    0
   466, 36698,18680217,  -13,    0
   466, 36698,18680218,  -34,    0
   466, 36698,18680219,  -10,    0
   466, 36698,18680220,  -44,    0
   466, 36698,18680221,    0,    0
   466, 36698,18680222,  -56,    0
   466, 36698,18680223,  -16,    0
   466, 36698,18680224,   -2,    0
   466, 36698,18680225,  -16,    0
   466, 36698,18680226,  -42,    0
   466, 36698,18680227,   10,    0
   466, 36698,18680228,  -58,    0
   466, 36698,18680229,  -21,    0
   466, 36698,18680301,    6,    0
   466, 36698,18680302,  -62,    0
   466, 36698,18680303,  -81,    0
   466, 36698,18680304,  -91,    0
   466, 36698,18680305,  -26,    0
   466, 36698,18680306, -104,    0
   466, 36698,18680307,  -99,    0
   466, 36698,18680308,  -73,    0
   466, 36698,18680309,  -69,    0
   466, 36698,18680310,  -36,    0
   466, 36698,18680311,  -66,    0
   466, 36698,18680312,  -70,    0
   466, 36698,18680313,    0,    0
   466, 36698,18680314,    5,    0
   466, 36698,18680315,    4,    0
   466, 36698,18680316,    0,    0
   466, 36698,18680317,    1,    0
   466, 36698,18680318,   10,    0
   466, 36698,18680319,   -4,    0
   466, 36698,18680320,   -6,    0
   466, 36698,18680321,   45,    0
   466, 36698,18680322,   42,    0
   466, 36698,18680323,   21,    0
   466, 36698,18680324,    9,    0
   466, 36698,18680325,    8,    0
   466, 36698,18680326,    2,    0
   466, 36698,18680327,   -9,    0
   466, 36698,18680328,   -4,    0
   466, 36698,18680329,   36,    0
   466, 36698,18680330,   42,    0
   466, 36698,18680331,   31,    0
   466, 36698,18680401,   -7,    0
   466, 36698,18680402,  -28,    0
   466, 36698,18680403,    1,    0
   466, 36698,18680404,   19,    0
   466, 36698,18680405,   26,    0
   466, 36698,18680406,  -14,    0
   466, 36698,18680407,   14,    0
   466, 36698,18680408,   -6,    0
   466, 36698,18680409,  -17,    0
   466, 36698,18680410,   -6,    0
   466, 36698,18680411,  -10,    0
   466, 36698,18680412,   -6,    0
   466, 36698,18680413,   -8,    0
   466, 36698,18680414,   16,    0
   466, 36698,18680415,    5,    0
   466, 36698,18680416,    6,    0
   466, 36698,18680417,   12,    0
   466, 36698,18680418,   17,    0
   466, 36698,18680419,    6,    0
   466, 36698,18680420,   13,    0
   466, 36698,18680421,   21,    0
   466, 36698,18680422,   23,    0
   466, 36698,18680423,   41,    0
   466, 36698,18680424,   14,    0
   466, 36698,18680425,    2,    0
   466, 36698,18680426,    1,    0
   466, 36698,18680427,   25,    0
   466, 36698,18680428,    8,    0
   466, 36698,18680429,   10,    0
   466, 36698,18680430,   14,    0
   466, 36698,18680501,   15,    0
   466, 36698,18680502,   16,    0
   466, 36698,18680503,   37,    0
   466, 36698,18680504,   18,    0
   466, 36698,18680505,   37,    0
   466, 36698,18680506,   27,    0
   466, 36698,18680507,   47,    0
   466, 36698,18680508,   54,    0
   466, 36698,18680509,   46,    0
   466, 36698,18680510,   43,    0
   466, 36698,18680511,   56,    0
   466, 36698,18680512,   78,    0
   466, 36698,18680513,   81,    0
   466, 36698,18680514,  111,    0
   466, 36698,18680515,   92,    0
   466, 36698,18680516,   65,    0
   466, 36698,18680517,   85,    0
   466, 36698,18680518,  104,    0
   466, 36698,18680519,   88,    0
   466, 36698,18680520,   58,    0
   466, 36698,18680521,   66,    0
   466, 36698,18680522,   59,    0
   466, 36698,18680523,   82,    0
   466, 36698,18680524,   67,    0
   466, 36698,18680525,   61,    0
   466, 36698,18680526,   73,    0
   466, 36698,18680527,   53,    0
   466, 36698,18680528,  105,    0
   466, 36698,18680529,  123,    0
   466, 36698,18680530,  132,    0
   466, 36698,18680531,  121,    0
   466, 36698,18680601,  128,    0
   466, 36698,18680602,   94,    0
   466, 36698,18680603,  103,    0
   466, 36698,18680604,  103,    0
   466, 36698,18680605,  145,    0
   466, 36698,18680606,  106,    0
   466, 36698,18680607,  115,    0
   466, 36698,18680608,  103,    0
   466, 36698,18680609,  102,    0
   466, 36698,18680610,  113,    0
   466, 36698,18680611,  131,    0
   466, 36698,18680612,  107,    0
   466, 36698,18680613,  121,    0
   466, 36698,18680614,  107,    0
   466, 36698,18680615,  173,    0
   466, 36698,18680616,  106,    0
   466, 36698,18680617,   82,    0
   466, 36698,18680618,   97,    0
   466, 36698,18680619,  137,    0
   466, 36698,18680620,  157,    0
   466, 36698,18680621,  167,    0
   466, 36698,18680622,  126,    0
   466, 36698,18680623,  113,    0
   466, 36698,18680624,  111,    0
   466, 36698,18680625,  126,    0
   466, 36698,18680626,  111,    0
   466, 36698,18680627,  116,    0
   466, 36698,18680628,  150,    0
   466, 36698,18680629,  127,    0
   466, 36698,18680630,  147,    0
   466, 36698,18680701,  180,    0
   466, 36698,18680702,  192,    0
   466, 36698,18680703,  186,    0
   466, 36698,18680704,  126,    0
   466, 36698,18680705,  106,    0
   466, 36698,18680706,  134,    0
   466, 36698,18680707,  111,    0
   466, 36698,18680708,  123,    0
   466, 36698,18680709,  176,    0
   466, 36698,18680710,  161,    0
   466, 36698,18680711,  136,    0
   466, 36698,18680712,  157,    0
   466, 36698,18680713,  178,    0
   466, 36698,18680714,  136,    0
   466, 36698,18680715,  154,    0
   466, 36698,18680716,  178,    0
   466, 36698,18680717,  201,    0
   466, 36698,18680718,  158,    0
   466, 36698,18680719,  148,    0
   466, 36698,18680720,  174,    0
   466, 36698,18680721,  158,    0
   466, 36698,18680722,  158,    0
   466, 36698,18680723,  124,    0
   466, 36698,18680724,  128,    0
   466, 36698,18680725,  147,    0
   466, 36698,18680726,  135,    0
   466, 36698,18680727,  146,    0
   466, 36698,18680728,  143,    0
   466, 36698,18680729,  143,    0
   466, 36698,18680730,  161,    0
   466, 36698,18680731,  164,    0
   466, 36698,18680801,  173,    0
   466, 36698,18680802,  171,    0
   466, 36698,18680803,  171,    0
   466, 36698,18680804,  144,    0
   466, 36698,18680805,  142,    0
   466, 36698,18680806,  144,    0
   466, 36698,18680807,  174,    0
   466, 36698,18680808,  171,    0
   466, 36698,18680809,  172,    0
   466, 36698,18680810,  148,    0
   466, 36698,18680811,  139,    0
   466, 36698,18680812,  145,    0
   466, 36698,18680813,  189,    0
   466, 36698,18680814,  165,    0
   466, 36698,18680815,  170,    0
   466, 36698,18680816,  180,    0
