EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UFS TW EMS, GERMANY (STAID: 467)
Blended and updated with sources:2171 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   467,  2171,20000701,  133,    0
   467,  2171,20000702,  144,    0
   467,  2171,20000703,  158,    0
   467,  2171,20000704,  156,    0
   467,  2171,20000705,  145,    0
   467,  2171,20000706,  134,    0
   467,  2171,20000707,  129,    0
   467,  2171,20000708,  140,    0
   467,  2171,20000709,-9999,    9
   467,  2171,20000710,-9999,    9
   467,  2171,20000711,  138,    0
   467,  2171,20000712,  130,    0
   467,  2171,20000713,  148,    0
   467,  2171,20000714,  136,    0
   467,  2171,20000715,  142,    0
   467,  2171,20000716,  138,    0
   467,  2171,20000717,  133,    0
   467,  2171,20000718,  135,    0
   467,  2171,20000719,-9999,    9
   467,  2171,20000720,  146,    0
   467,  2171,20000721,  144,    0
   467,  2171,20000722,  151,    0
   467,  2171,20000723,  138,    0
   467,  2171,20000724,  144,    0
   467,  2171,20000725,  167,    0
   467,  2171,20000726,  146,    0
   467,  2171,20000727,  160,    0
   467,  2171,20000728,  163,    0
   467,  2171,20000729,  165,    0
   467,  2171,20000730,  158,    0
   467,  2171,20000731,  168,    0
   467,  2171,20000801,  176,    0
   467,  2171,20000802,  172,    0
   467,  2171,20000803,  167,    0
   467,  2171,20000804,  170,    0
   467,  2171,20000805,  169,    0
   467,  2171,20000806,  169,    0
   467,  2171,20000807,  156,    0
   467,  2171,20000808,  151,    0
   467,  2171,20000809,  174,    0
   467,  2171,20000810,  174,    0
   467,  2171,20000811,  170,    0
   467,  2171,20000812,  170,    0
   467,  2171,20000813,  184,    0
   467,  2171,20000814,  193,    0
   467,  2171,20000815,  175,    0
   467,  2171,20000816,  176,    0
   467,  2171,20000817,  177,    0
   467,  2171,20000818,  180,    0
   467,  2171,20000819,  183,    0
   467,  2171,20000820,-9999,    9
   467,  2171,20000821,  162,    0
   467,  2171,20000822,  163,    0
   467,  2171,20000823,  159,    0
   467,  2171,20000824,  168,    0
   467,  2171,20000825,-9999,    9
   467,  2171,20000826,  189,    0
   467,  2171,20000827,  176,    0
   467,  2171,20000828,  176,    0
   467,  2171,20000829,  167,    0
   467,  2171,20000830,  156,    0
   467,  2171,20000831,  164,    0
   467,  2171,20000901,  168,    0
   467,  2171,20000902,  168,    0
   467,  2171,20000903,-9999,    9
   467,  2171,20000904,  154,    0
   467,  2171,20000905,  168,    0
   467,  2171,20000906,-9999,    9
   467,  2171,20000907,-9999,    9
   467,  2171,20000908,  171,    0
   467,  2171,20000909,  172,    0
   467,  2171,20000910,  163,    0
   467,  2171,20000911,-9999,    9
   467,  2171,20000912,  181,    0
   467,  2171,20000913,  163,    0
   467,  2171,20000914,  175,    0
   467,  2171,20000915,-9999,    9
   467,  2171,20000916,-9999,    9
   467,  2171,20000917,  158,    0
   467,  2171,20000918,  168,    0
   467,  2171,20000919,  144,    0
   467,  2171,20000920,  130,    0
   467,  2171,20000921,  138,    0
   467,  2171,20000922,  160,    0
   467,  2171,20000923,  161,    0
   467,  2171,20000924,  149,    0
   467,  2171,20000925,  150,    0
   467,  2171,20000926,  152,    0
   467,  2171,20000927,-9999,    9
   467,  2171,20000928,  164,    0
   467,  2171,20000929,  177,    0
   467,  2171,20000930,  162,    0
   467,  2171,20001001,  155,    0
   467,  2171,20001002,  154,    0
   467,  2171,20001003,  153,    0
   467,  2171,20001004,  149,    0
   467,  2171,20001005,  142,    0
   467,  2171,20001006,  128,    0
   467,  2171,20001007,-9999,    9
   467,  2171,20001008,  132,    0
   467,  2171,20001009,  129,    0
   467,  2171,20001010,  112,    0
   467,  2171,20001011,  121,    0
   467,  2171,20001012,-9999,    9
   467,  2171,20001013,-9999,    9
   467,  2171,20001014,  122,    0
   467,  2171,20001015,  140,    0
   467,  2171,20001016,  138,    0
   467,  2171,20001017,  129,    0
   467,  2171,20001018,  129,    0
   467,  2171,20001019,-9999,    9
   467,  2171,20001020,  129,    0
   467,  2171,20001021,-9999,    9
   467,  2171,20001022,  145,    0
   467,  2171,20001023,  146,    0
   467,  2171,20001024,  131,    0
   467,  2171,20001025,  130,    0
   467,  2171,20001026,  114,    0
   467,  2171,20001027,  131,    0
   467,  2171,20001028,  137,    0
   467,  2171,20001029,-9999,    9
   467,  2171,20001030,-9999,    9
   467,  2171,20001031,  112,    0
   467,  2171,20001101,  106,    0
   467,  2171,20001102,-9999,    9
   467,  2171,20001103,  102,    0
   467,  2171,20001104,  102,    0
   467,  2171,20001105,-9999,    9
   467,  2171,20001106,   90,    0
   467,  2171,20001107,-9999,    9
   467,  2171,20001108,   99,    0
   467,  2171,20001109,  106,    0
   467,  2171,20001110,  107,    0
   467,  2171,20001111,  103,    0
   467,  2171,20001112,  102,    0
   467,  2171,20001113,-9999,    9
   467,  2171,20001114,   90,    0
   467,  2171,20001115,   79,    0
   467,  2171,20001116,   92,    0
   467,  2171,20001117,   85,    0
   467,  2171,20001118,   88,    0
   467,  2171,20001119,-9999,    9
   467,  2171,20001120,   86,    0
   467,  2171,20001121,   81,    0
   467,  2171,20001122,-9999,    9
   467,  2171,20001123,   92,    0
   467,  2171,20001124,   93,    0
   467,  2171,20001125,-9999,    9
   467,  2171,20001126,   95,    0
   467,  2171,20001127,-9999,    9
   467,  2171,20001128,  107,    0
   467,  2171,20001129,  114,    0
   467,  2171,20001130,  102,    0
   467,  2171,20001201,  108,    0
   467,  2171,20001202,  106,    0
   467,  2171,20001203,   97,    0
   467,  2171,20001204,   91,    0
   467,  2171,20001205,  101,    0
   467,  2171,20001206,  105,    0
   467,  2171,20001207,   97,    0
   467,  2171,20001208,  113,    0
   467,  2171,20001209,  100,    0
   467,  2171,20001210,  100,    0
   467,  2171,20001211,-9999,    9
   467,  2171,20001212,  113,    0
