EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WESTERMARKELSDORF/FEHMARN, GERMANY (STAID: 471)
Blended and updated with sources:2203 910067 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   471,  2203,19480101,    0,    0
   471,  2203,19480102,   38,    0
   471,  2203,19480103,   60,    0
   471,  2203,19480104,   74,    0
   471,  2203,19480105,   68,    0
   471,  2203,19480106,   31,    0
   471,  2203,19480107,   21,    0
   471,  2203,19480108,   32,    0
   471,  2203,19480109,    2,    0
   471,  2203,19480110,    6,    0
   471,  2203,19480111,  -10,    0
   471,  2203,19480112,   22,    0
   471,  2203,19480113,   44,    0
   471,  2203,19480114,   30,    0
   471,  2203,19480115,   -8,    0
   471,  2203,19480116,   -3,    0
   471,  2203,19480117,    2,    0
   471,  2203,19480118,   16,    0
   471,  2203,19480119,   15,    0
   471,  2203,19480120,   10,    0
   471,  2203,19480121,   -2,    0
   471,  2203,19480122,   -6,    0
   471,  2203,19480123,   -4,    0
   471,  2203,19480124,    5,    0
   471,  2203,19480125,   14,    0
   471,  2203,19480126,   10,    0
   471,  2203,19480127,    5,    0
   471,  2203,19480128,   21,    0
   471,  2203,19480129,   28,    0
   471,  2203,19480130,   44,    0
   471,  2203,19480131,   69,    0
   471,  2203,19480201,   57,    0
   471,  2203,19480202,   70,    0
   471,  2203,19480203,   62,    0
   471,  2203,19480204,   47,    0
   471,  2203,19480205,   43,    0
   471,  2203,19480206,   40,    0
   471,  2203,19480207,   38,    0
   471,  2203,19480208,   34,    0
   471,  2203,19480209,   36,    0
   471,  2203,19480210,   24,    0
   471,  2203,19480211,   16,    0
   471,  2203,19480212,   36,    0
   471,  2203,19480213,   20,    0
   471,  2203,19480214,   24,    0
   471,  2203,19480215,    4,    0
   471,  2203,19480216,   -6,    0
   471,  2203,19480217,  -17,    0
   471,  2203,19480218,  -14,    0
   471,  2203,19480219,  -48,    0
   471,  2203,19480220,  -49,    0
   471,  2203,19480221,  -49,    0
   471,  2203,19480222,  -26,    0
   471,  2203,19480223,  -22,    0
   471,  2203,19480224,  -23,    0
   471,  2203,19480225,  -22,    0
   471,  2203,19480226,  -37,    0
   471,  2203,19480227,  -12,    0
   471,  2203,19480228,    0,    0
   471,  2203,19480229,    6,    0
   471,  2203,19480301,    5,    0
   471,  2203,19480302,   -2,    0
   471,  2203,19480303,   -7,    0
   471,  2203,19480304,  -20,    0
   471,  2203,19480305,  -26,    0
   471,  2203,19480306,  -23,    0
   471,  2203,19480307,    9,    0
   471,  2203,19480308,   43,    0
   471,  2203,19480309,   62,    0
   471,  2203,19480310,   54,    0
   471,  2203,19480311,   46,    0
   471,  2203,19480312,   42,    0
   471,  2203,19480313,   37,    0
   471,  2203,19480314,   44,    0
   471,  2203,19480315,   58,    0
   471,  2203,19480316,   48,    0
   471,  2203,19480317,   42,    0
   471,  2203,19480318,   28,    0
   471,  2203,19480319,   40,    0
   471,  2203,19480320,   76,    0
   471,  2203,19480321,   77,    0
   471,  2203,19480322,   38,    0
   471,  2203,19480323,   38,    0
   471,  2203,19480324,   46,    0
   471,  2203,19480325,   63,    0
   471,  2203,19480326,   46,    0
   471,  2203,19480327,   49,    0
   471,  2203,19480328,   59,    0
   471,  2203,19480329,   58,    0
   471,  2203,19480330,   67,    0
   471,  2203,19480331,   78,    0
   471,  2203,19480401,   76,    0
   471,  2203,19480402,   60,    0
   471,  2203,19480403,   64,    0
   471,  2203,19480404,   74,    0
   471,  2203,19480405,   50,    0
   471,  2203,19480406,   48,    0
   471,  2203,19480407,   50,    0
   471,  2203,19480408,   58,    0
   471,  2203,19480409,   65,    0
   471,  2203,19480410,   67,    0
   471,  2203,19480411,   70,    0
   471,  2203,19480412,   52,    0
   471,  2203,19480413,   80,    0
   471,  2203,19480414,   73,    0
   471,  2203,19480415,   72,    0
   471,  2203,19480416,   74,    0
   471,  2203,19480417,   81,    0
   471,  2203,19480418,   92,    0
   471,  2203,19480419,   95,    0
   471,  2203,19480420,   84,    0
   471,  2203,19480421,   71,    0
   471,  2203,19480422,   81,    0
   471,  2203,19480423,   82,    0
