EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EMDEN-FLUGPLATZ, GERMANY (STAID: 474)
Blended and updated with sources:2230 21728 21740 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   474, 21728,19470101,  -10,    0
   474, 21728,19470102,    8,    0
   474, 21728,19470103,  -10,    0
   474, 21728,19470104,  -60,    0
   474, 21728,19470105,  -98,    0
   474, 21728,19470106, -120,    0
   474, 21728,19470107, -138,    0
   474, 21728,19470108, -112,    0
   474, 21728,19470109,  -38,    0
   474, 21728,19470110,  -61,    0
   474, 21728,19470111,  -62,    0
   474, 21728,19470112,   16,    0
   474, 21728,19470113,   32,    0
   474, 21728,19470114,   30,    0
   474, 21728,19470115,   56,    0
   474, 21728,19470116,   46,    0
   474, 21728,19470117,   32,    0
   474, 21728,19470118,   33,    0
   474, 21728,19470119,   14,    0
   474, 21728,19470120,    5,    0
   474, 21728,19470121,  -13,    0
   474, 21728,19470122,  -24,    0
   474, 21728,19470123,  -36,    0
   474, 21728,19470124,  -40,    0
   474, 21728,19470125,  -29,    0
   474, 21728,19470126,  -48,    0
   474, 21728,19470127,  -46,    0
   474, 21728,19470128,  -80,    0
   474, 21728,19470129,  -84,    0
   474, 21728,19470130,  -87,    0
   474, 21728,19470131,  -94,    0
   474, 21728,19470201, -100,    0
   474, 21728,19470202,  -94,    0
   474, 21728,19470203,  -59,    0
   474, 21728,19470204,  -48,    0
   474, 21728,19470205,  -42,    0
   474, 21728,19470206,  -56,    0
   474, 21728,19470207,  -85,    0
   474, 21728,19470208,  -97,    0
   474, 21728,19470209,  -91,    0
   474, 21728,19470210,  -81,    0
   474, 21728,19470211,  -83,    0
   474, 21728,19470212,  -97,    0
   474, 21728,19470213,  -62,    0
   474, 21728,19470214,  -51,    0
   474, 21728,19470215,  -52,    0
   474, 21728,19470216,  -60,    0
   474, 21728,19470217,  -68,    0
   474, 21728,19470218,  -67,    0
   474, 21728,19470219,  -59,    0
   474, 21728,19470220,  -61,    0
   474, 21728,19470221,  -67,    0
   474, 21728,19470222,  -60,    0
   474, 21728,19470223,  -71,    0
   474, 21728,19470224,  -77,    0
   474, 21728,19470225,  -51,    0
   474, 21728,19470226,  -56,    0
   474, 21728,19470227,  -39,    0
   474, 21728,19470228,  -39,    0
   474, 21728,19470301,  -45,    0
   474, 21728,19470302,  -56,    0
   474, 21728,19470303,  -39,    0
   474, 21728,19470304,  -59,    0
   474, 21728,19470305,  -17,    0
   474, 21728,19470306,  -20,    0
   474, 21728,19470307,  -46,    0
   474, 21728,19470308,  -26,    0
   474, 21728,19470309,  -35,    0
   474, 21728,19470310,  -30,    0
   474, 21728,19470311,  -36,    0
   474, 21728,19470312,  -48,    0
   474, 21728,19470313,    1,    0
   474, 21728,19470314,  -14,    0
   474, 21728,19470315,  -17,    0
   474, 21728,19470316,   16,    0
   474, 21728,19470317,   14,    0
   474, 21728,19470318,   33,    0
   474, 21728,19470319,   48,    0
   474, 21728,19470320,   30,    0
   474, 21728,19470321,   58,    0
   474, 21728,19470322,   56,    0
   474, 21728,19470323,   56,    0
   474, 21728,19470324,   60,    0
   474, 21728,19470325,   32,    0
   474, 21728,19470326,   55,    0
   474, 21728,19470327,   29,    0
   474, 21728,19470328,   85,    0
   474, 21728,19470329,   94,    0
   474, 21728,19470330,   90,    0
   474, 21728,19470331,   80,    0
   474, 21728,19470401,   60,    0
   474, 21728,19470402,   40,    0
   474, 21728,19470403,   42,    0
   474, 21728,19470404,   40,    0
   474, 21728,19470405,   48,    0
   474, 21728,19470406,   82,    0
   474, 21728,19470407,   85,    0
   474, 21728,19470408,   68,    0
   474, 21728,19470409,   36,    0
   474, 21728,19470410,   49,    0
   474, 21728,19470411,   70,    0
   474, 21728,19470412,   84,    0
   474, 21728,19470413,   88,    0
   474, 21728,19470414,  100,    0
   474, 21728,19470415,  106,    0
   474, 21728,19470416,  108,    0
   474, 21728,19470417,   73,    0
   474, 21728,19470418,   64,    0
   474, 21728,19470419,   88,    0
   474, 21728,19470420,  124,    0
   474, 21728,19470421,  116,    0
   474, 21728,19470422,  115,    0
   474, 21728,19470423,  100,    0
   474, 21728,19470424,   97,    0
   474, 21728,19470425,  120,    0
   474, 21728,19470426,   77,    0
   474, 21728,19470427,  108,    0
   474, 21728,19470428,   94,    0
   474, 21728,19470429,   88,    0
   474, 21728,19470430,   64,    0
   474, 21728,19470501,   56,    0
   474, 21728,19470502,   55,    0
   474, 21728,19470503,   78,    0
   474, 21728,19470504,   82,    0
   474, 21728,19470505,  108,    0
   474, 21728,19470506,  132,    0
   474, 21728,19470507,  148,    0
   474, 21728,19470508,  165,    0
   474, 21728,19470509,  180,    0
   474, 21728,19470510,  182,    0
   474, 21728,19470511,  162,    0
   474, 21728,19470512,  178,    0
   474, 21728,19470513,  188,    0
   474, 21728,19470514,  200,    0
   474, 21728,19470515,  120,    0
   474, 21728,19470516,  124,    0
   474, 21728,19470517,  120,    0
   474, 21728,19470518,  114,    0
   474, 21728,19470519,  118,    0
   474, 21728,19470520,  108,    0
   474, 21728,19470521,  108,    0
   474, 21728,19470522,  150,    0
