EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ERFURT-BINDERSLEBEN, GERMANY (STAID: 487)
Blended and updated with sources:2342 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   487,  2342,19510101,    5,    0
   487,  2342,19510102,   11,    0
   487,  2342,19510103,    9,    0
   487,  2342,19510104,   15,    0
   487,  2342,19510105,   40,    0
   487,  2342,19510106,   56,    0
   487,  2342,19510107,   50,    0
   487,  2342,19510108,   36,    0
   487,  2342,19510109,   36,    0
   487,  2342,19510110,   29,    0
   487,  2342,19510111,   60,    0
   487,  2342,19510112,   54,    0
   487,  2342,19510113,   37,    0
   487,  2342,19510114,   46,    0
   487,  2342,19510115,   27,    0
   487,  2342,19510116,   22,    0
   487,  2342,19510117,   28,    0
   487,  2342,19510118,   47,    0
   487,  2342,19510119,   32,    0
   487,  2342,19510120,   29,    0
   487,  2342,19510121,    0,    0
   487,  2342,19510122,   12,    0
   487,  2342,19510123,   21,    0
   487,  2342,19510124,   10,    0
   487,  2342,19510125,  -13,    0
   487,  2342,19510126,  -10,    0
   487,  2342,19510127,   -2,    0
   487,  2342,19510128,   -2,    0
   487,  2342,19510129,  -11,    0
   487,  2342,19510130,  -16,    0
   487,  2342,19510131,  -23,    0
   487,  2342,19510201,   -6,    0
   487,  2342,19510202,  -19,    0
   487,  2342,19510203,  -56,    0
   487,  2342,19510204,    5,    0
   487,  2342,19510205,   16,    0
   487,  2342,19510206,   37,    0
   487,  2342,19510207,   35,    0
   487,  2342,19510208,   40,    0
   487,  2342,19510209,   72,    0
   487,  2342,19510210,   36,    0
   487,  2342,19510211,   35,    0
   487,  2342,19510212,   42,    0
   487,  2342,19510213,    3,    0
   487,  2342,19510214,   20,    0
   487,  2342,19510215,   40,    0
   487,  2342,19510216,   18,    0
   487,  2342,19510217,   49,    0
   487,  2342,19510218,   34,    0
   487,  2342,19510219,   30,    0
   487,  2342,19510220,   46,    0
   487,  2342,19510221,   40,    0
   487,  2342,19510222,   28,    0
   487,  2342,19510223,   26,    0
   487,  2342,19510224,   24,    0
   487,  2342,19510225,    8,    0
   487,  2342,19510226,    7,    0
   487,  2342,19510227,    2,    0
   487,  2342,19510228,  -12,    0
   487,  2342,19510301,   -8,    0
   487,  2342,19510302,  -26,    0
   487,  2342,19510303,  -56,    0
   487,  2342,19510304,  -52,    0
   487,  2342,19510305,  -32,    0
   487,  2342,19510306,  -22,    0
   487,  2342,19510307,  -10,    0
   487,  2342,19510308,  -19,    0
   487,  2342,19510309,  -32,    0
   487,  2342,19510310,  -24,    0
   487,  2342,19510311,   -9,    0
   487,  2342,19510312,   52,    0
   487,  2342,19510313,   91,    0
   487,  2342,19510314,   72,    0
   487,  2342,19510315,   56,    0
   487,  2342,19510316,   68,    0
   487,  2342,19510317,  114,    0
   487,  2342,19510318,   95,    0
   487,  2342,19510319,   54,    0
   487,  2342,19510320,    7,    0
   487,  2342,19510321,    3,    0
   487,  2342,19510322,   33,    0
   487,  2342,19510323,   96,    0
   487,  2342,19510324,   32,    0
   487,  2342,19510325,    2,    0
   487,  2342,19510326,   12,    0
   487,  2342,19510327,   38,    0
   487,  2342,19510328,    5,    0
   487,  2342,19510329,   13,    0
   487,  2342,19510330,   40,    0
   487,  2342,19510331,   44,    0
   487,  2342,19510401,   63,    0
   487,  2342,19510402,   78,    0
   487,  2342,19510403,   46,    0
   487,  2342,19510404,   69,    0
   487,  2342,19510405,   78,    0
   487,  2342,19510406,   94,    0
   487,  2342,19510407,  112,    0
   487,  2342,19510408,   65,    0
   487,  2342,19510409,   68,    0
   487,  2342,19510410,   67,    0
   487,  2342,19510411,   44,    0
   487,  2342,19510412,   47,    0
   487,  2342,19510413,   89,    0
   487,  2342,19510414,   34,    0
   487,  2342,19510415,   40,    0
   487,  2342,19510416,  113,    0
   487,  2342,19510417,   63,    0
   487,  2342,19510418,   99,    0
   487,  2342,19510419,   89,    0
   487,  2342,19510420,   41,    0
   487,  2342,19510421,   48,    0
   487,  2342,19510422,   68,    0
   487,  2342,19510423,   92,    0
   487,  2342,19510424,  130,    0
   487,  2342,19510425,  172,    0
   487,  2342,19510426,  177,    0
   487,  2342,19510427,  112,    0
   487,  2342,19510428,   79,    0
   487,  2342,19510429,   51,    0
   487,  2342,19510430,   57,    0
   487,  2342,19510501,   97,    0
   487,  2342,19510502,  113,    0
   487,  2342,19510503,  116,    0
   487,  2342,19510504,  122,    0
   487,  2342,19510505,  118,    0
   487,  2342,19510506,  122,    0
   487,  2342,19510507,  126,    0
   487,  2342,19510508,  127,    0
   487,  2342,19510509,  125,    0
   487,  2342,19510510,   96,    0
   487,  2342,19510511,   71,    0
   487,  2342,19510512,   86,    0
   487,  2342,19510513,  111,    0
   487,  2342,19510514,   86,    0
   487,  2342,19510515,   75,    0
   487,  2342,19510516,   67,    0
   487,  2342,19510517,   95,    0
   487,  2342,19510518,  126,    0
   487,  2342,19510519,  136,    0
   487,  2342,19510520,  168,    0
   487,  2342,19510521,  121,    0
   487,  2342,19510522,  140,    0
   487,  2342,19510523,  144,    0
   487,  2342,19510524,  172,    0
   487,  2342,19510525,  160,    0
   487,  2342,19510526,  159,    0
   487,  2342,19510527,  131,    0
   487,  2342,19510528,  121,    0
   487,  2342,19510529,   87,    0
   487,  2342,19510530,   99,    0
   487,  2342,19510531,  119,    0
   487,  2342,19510601,  150,    0
   487,  2342,19510602,  156,    0
