EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEMPTEN, GERMANY (STAID: 496)
Blended and updated with sources:2414 910946 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   496,  2414,19520101,   26,    0
   496,  2414,19520102,   10,    0
   496,  2414,19520103,   10,    0
   496,  2414,19520104,  -16,    0
   496,  2414,19520105,  -12,    0
   496,  2414,19520106,  -43,    0
   496,  2414,19520107,  -55,    0
   496,  2414,19520108,  -23,    0
   496,  2414,19520109,   28,    0
   496,  2414,19520110,   21,    0
   496,  2414,19520111,   42,    0
   496,  2414,19520112,  -17,    0
   496,  2414,19520113,  -25,    0
   496,  2414,19520114,   -6,    0
   496,  2414,19520115,   30,    0
   496,  2414,19520116,   40,    0
   496,  2414,19520117,   30,    0
   496,  2414,19520118,  -27,    0
   496,  2414,19520119,  -26,    0
   496,  2414,19520120,  -62,    0
   496,  2414,19520121,  -86,    0
   496,  2414,19520122,  -91,    0
   496,  2414,19520123, -132,    0
   496,  2414,19520124, -128,    0
   496,  2414,19520125,  -58,    0
   496,  2414,19520126,  -76,    0
   496,  2414,19520127,  -72,    0
   496,  2414,19520128,  -98,    0
   496,  2414,19520129,  -50,    0
   496,  2414,19520130,   -6,    0
   496,  2414,19520131,   -5,    0
   496,  2414,19520201,  -14,    0
   496,  2414,19520202,  -24,    0
   496,  2414,19520203,  -21,    0
   496,  2414,19520204,  -28,    0
   496,  2414,19520205,  -38,    0
   496,  2414,19520206,  -62,    0
   496,  2414,19520207,   -4,    0
   496,  2414,19520208,  -12,    0
   496,  2414,19520209,  -34,    0
   496,  2414,19520210,  -40,    0
