EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STAVOREN, NETHERLANDS (STAID: 596)
Blended and updated with sources:2135 906267 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   596,  2135,19900701,-9999,    9
   596,  2135,19900702,-9999,    9
   596,  2135,19900703,-9999,    9
   596,  2135,19900704,-9999,    9
   596,  2135,19900705,  151,    0
   596,  2135,19900706,  141,    0
   596,  2135,19900707,  146,    0
   596,  2135,19900708,  165,    0
   596,  2135,19900709,  155,    0
   596,  2135,19900710,  145,    0
   596,  2135,19900711,  167,    0
   596,  2135,19900712,  164,    0
   596,  2135,19900713,  150,    0
   596,  2135,19900714,  156,    0
   596,  2135,19900715,  183,    0
   596,  2135,19900716,  179,    0
   596,  2135,19900717,  156,    0
   596,  2135,19900718,  153,    0
   596,  2135,19900719,  174,    0
   596,  2135,19900720,  197,    0
   596,  2135,19900721,  175,    0
   596,  2135,19900722,  156,    0
   596,  2135,19900723,  158,    0
   596,  2135,19900724,  154,    0
   596,  2135,19900725,  151,    0
   596,  2135,19900726,  178,    0
   596,  2135,19900727,  213,    0
   596,  2135,19900728,  202,    0
   596,  2135,19900729,  196,    0
   596,  2135,19900730,  217,    0
   596,  2135,19900731,  206,    0
   596,  2135,19900801,  201,    0
   596,  2135,19900802,  219,    0
   596,  2135,19900803,  247,    0
   596,  2135,19900804,  240,    0
   596,  2135,19900805,  187,    0
   596,  2135,19900806,  164,    0
   596,  2135,19900807,  164,    0
   596,  2135,19900808,  172,    0
   596,  2135,19900809,  193,    0
   596,  2135,19900810,  187,    0
   596,  2135,19900811,  199,    0
   596,  2135,19900812,  198,    0
   596,  2135,19900813,  205,    0
   596,  2135,19900814,  202,    0
   596,  2135,19900815,  198,    0
   596,  2135,19900816,  175,    0
   596,  2135,19900817,  164,    0
   596,  2135,19900818,  148,    0
   596,  2135,19900819,  162,    0
   596,  2135,19900820,  163,    0
   596,  2135,19900821,  157,    0
   596,  2135,19900822,  168,    0
   596,  2135,19900823,  169,    0
   596,  2135,19900824,  181,    0
   596,  2135,19900825,  174,    0
   596,  2135,19900826,  177,    0
   596,  2135,19900827,  185,    0
   596,  2135,19900828,  195,    0
   596,  2135,19900829,  226,    0
   596,  2135,19900830,  184,    0
   596,  2135,19900831,  170,    0
   596,  2135,19900901,  169,    0
   596,  2135,19900902,  177,    0
   596,  2135,19900903,  186,    0
   596,  2135,19900904,  166,    0
   596,  2135,19900905,  156,    0
   596,  2135,19900906,  155,    0
   596,  2135,19900907,  147,    0
   596,  2135,19900908,  156,    0
   596,  2135,19900909,  155,    0
   596,  2135,19900910,  149,    0
   596,  2135,19900911,  155,    0
   596,  2135,19900912,  157,    0
   596,  2135,19900913,  149,    0
   596,  2135,19900914,  149,    0
   596,  2135,19900915,  140,    0
   596,  2135,19900916,  151,    0
   596,  2135,19900917,  142,    0
   596,  2135,19900918,  145,    0
   596,  2135,19900919,  144,    0
   596,  2135,19900920,  123,    0
   596,  2135,19900921,  116,    0
   596,  2135,19900922,  118,    0
   596,  2135,19900923,  117,    0
   596,  2135,19900924,  117,    0
   596,  2135,19900925,  120,    0
   596,  2135,19900926,  120,    0
   596,  2135,19900927,  121,    0
   596,  2135,19900928,  130,    0
   596,  2135,19900929,  131,    0
   596,  2135,19900930,  143,    0
   596,  2135,19901001,  138,    0
   596,  2135,19901002,  133,    0
   596,  2135,19901003,  141,    0
   596,  2135,19901004,  131,    0
   596,  2135,19901005,  138,    0
   596,  2135,19901006,  151,    0
   596,  2135,19901007,  118,    0
   596,  2135,19901008,  108,    0
   596,  2135,19901009,  119,    0
   596,  2135,19901010,  134,    0
   596,  2135,19901011,  133,    0
   596,  2135,19901012,  144,    0
   596,  2135,19901013,  160,    0
   596,  2135,19901014,  153,    0
   596,  2135,19901015,  170,    0
   596,  2135,19901016,  141,    0
   596,  2135,19901017,  127,    0
   596,  2135,19901018,  140,    0
   596,  2135,19901019,  134,    0
   596,  2135,19901020,  115,    0
   596,  2135,19901021,   83,    0
   596,  2135,19901022,   65,    0
   596,  2135,19901023,   62,    0
   596,  2135,19901024,   77,    0
   596,  2135,19901025,  111,    0
   596,  2135,19901026,  106,    0
   596,  2135,19901027,   94,    0
   596,  2135,19901028,   97,    0
   596,  2135,19901029,   88,    0
   596,  2135,19901030,   91,    0
   596,  2135,19901031,   94,    0
   596,  2135,19901101,   94,    0
   596,  2135,19901102,   86,    0
   596,  2135,19901103,   81,    0
   596,  2135,19901104,   71,    0
   596,  2135,19901105,   62,    0
   596,  2135,19901106,   73,    0
   596,  2135,19901107,   82,    0
   596,  2135,19901108,   72,    0
   596,  2135,19901109,   46,    0
   596,  2135,19901110,   60,    0
   596,  2135,19901111,   87,    0
   596,  2135,19901112,   81,    0
   596,  2135,19901113,   91,    0
   596,  2135,19901114,   92,    0
   596,  2135,19901115,   92,    0
   596,  2135,19901116,  108,    0
   596,  2135,19901117,   86,    0
   596,  2135,19901118,   89,    0
   596,  2135,19901119,   75,    0
   596,  2135,19901120,   65,    0
   596,  2135,19901121,   62,    0
   596,  2135,19901122,   27,    0
   596,  2135,19901123,   19,    0
   596,  2135,19901124,   35,    0
   596,  2135,19901125,   35,    0
   596,  2135,19901126,   13,    0
   596,  2135,19901127,   37,    0
   596,  2135,19901128,   32,    0
   596,  2135,19901129,   56,    0
   596,  2135,19901130,   34,    0
   596,  2135,19901201,   56,    0
   596,  2135,19901202,   59,    0
   596,  2135,19901203,   63,    0
   596,  2135,19901204,   64,    0
   596,  2135,19901205,   52,    0
   596,  2135,19901206,   51,    0
   596,  2135,19901207,   39,    0
   596,  2135,19901208,   17,    0
   596,  2135,19901209,    2,    0
   596,  2135,19901210,   25,    0
   596,  2135,19901211,   38,    0
   596,  2135,19901212,   52,    0
