EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LELYSTAD, NETHERLANDS (STAID: 597)
Blended and updated with sources:2418 906269 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   597,  2418,19900101,-9999,    9
   597,  2418,19900102,-9999,    9
   597,  2418,19900103,-9999,    9
   597,  2418,19900104,-9999,    9
   597,  2418,19900105,-9999,    9
   597,  2418,19900106,-9999,    9
   597,  2418,19900107,-9999,    9
   597,  2418,19900108,-9999,    9
   597,  2418,19900109,-9999,    9
   597,  2418,19900110,-9999,    9
   597,  2418,19900111,-9999,    9
   597,  2418,19900112,-9999,    9
   597,  2418,19900113,-9999,    9
   597,  2418,19900114,-9999,    9
   597,  2418,19900115,-9999,    9
   597,  2418,19900116,-9999,    9
   597,  2418,19900117,-9999,    9
   597,  2418,19900118,-9999,    9
   597,  2418,19900119,-9999,    9
   597,  2418,19900120,-9999,    9
   597,  2418,19900121,-9999,    9
   597,  2418,19900122,-9999,    9
   597,  2418,19900123,-9999,    9
   597,  2418,19900124,   48,    0
   597,  2418,19900125,-9999,    9
   597,  2418,19900126,-9999,    9
   597,  2418,19900127,   55,    0
   597,  2418,19900128,   64,    0
   597,  2418,19900129,-9999,    9
   597,  2418,19900130,   75,    0
   597,  2418,19900131,-9999,    9
   597,  2418,19900201,-9999,    9
   597,  2418,19900202,-9999,    9
   597,  2418,19900203,   65,    0
   597,  2418,19900204,   65,    0
   597,  2418,19900205,   75,    0
   597,  2418,19900206,   82,    0
   597,  2418,19900207,-9999,    9
   597,  2418,19900208,-9999,    9
   597,  2418,19900209,   59,    0
   597,  2418,19900210,   58,    0
   597,  2418,19900211,-9999,    9
   597,  2418,19900212,   48,    0
   597,  2418,19900213,-9999,    9
   597,  2418,19900214,   59,    0
   597,  2418,19900215,-9999,    9
   597,  2418,19900216,-9999,    9
   597,  2418,19900217,-9999,    9
   597,  2418,19900218,-9999,    9
   597,  2418,19900219,-9999,    9
   597,  2418,19900220,  133,    0
   597,  2418,19900221,   92,    0
   597,  2418,19900222,   74,    0
   597,  2418,19900223,   84,    0
   597,  2418,19900224,  116,    0
   597,  2418,19900225,   88,    0
   597,  2418,19900226,   82,    0
   597,  2418,19900227,   55,    0
   597,  2418,19900228,   55,    0
   597,  2418,19900301,   38,    0
   597,  2418,19900302,   27,    0
   597,  2418,19900303,   53,    0
   597,  2418,19900304,   74,    0
   597,  2418,19900305,   80,    0
   597,  2418,19900306,   84,    0
   597,  2418,19900307,   97,    0
   597,  2418,19900308,   80,    0
   597,  2418,19900309,   74,    0
   597,  2418,19900310,   91,    0
   597,  2418,19900311,   99,    0
   597,  2418,19900312,   68,    0
   597,  2418,19900313,   61,    0
   597,  2418,19900314,   84,    0
   597,  2418,19900315,   76,    0
   597,  2418,19900316,   91,    0
   597,  2418,19900317,  114,    0
   597,  2418,19900318,  129,    0
   597,  2418,19900319,  126,    0
   597,  2418,19900320,   97,    0
   597,  2418,19900321,  121,    0
   597,  2418,19900322,   98,    0
   597,  2418,19900323,   84,    0
   597,  2418,19900324,   84,    0
   597,  2418,19900325,   58,    0
   597,  2418,19900326,   68,    0
   597,  2418,19900327,   47,    0
   597,  2418,19900328,   49,    0
   597,  2418,19900329,   59,    0
   597,  2418,19900330,   85,    0
   597,  2418,19900331,   94,    0
   597,  2418,19900401,  121,    0
   597,  2418,19900402,  131,    0
   597,  2418,19900403,   66,    0
   597,  2418,19900404,   32,    0
   597,  2418,19900405,   31,    0
   597,  2418,19900406,   48,    0
   597,  2418,19900407,   65,    0
   597,  2418,19900408,   59,    0
   597,  2418,19900409,   35,    0
   597,  2418,19900410,   59,    0
   597,  2418,19900411,-9999,    9
   597,  2418,19900412,-9999,    9
   597,  2418,19900413,  106,    0
   597,  2418,19900414,   84,    0
   597,  2418,19900415,   68,    0
   597,  2418,19900416,   69,    0
   597,  2418,19900417,   60,    0
   597,  2418,19900418,   54,    0
   597,  2418,19900419,   61,    0
   597,  2418,19900420,   83,    0
   597,  2418,19900421,  122,    0
   597,  2418,19900422,  136,    0
   597,  2418,19900423,  122,    0
   597,  2418,19900424,  116,    0
   597,  2418,19900425,  126,    0
   597,  2418,19900426,  113,    0
   597,  2418,19900427,   82,    0
   597,  2418,19900428,   91,    0
   597,  2418,19900429,  124,    0
   597,  2418,19900430,  137,    0
   597,  2418,19900501,  147,    0
   597,  2418,19900502,  184,    0
   597,  2418,19900503,  179,    0
   597,  2418,19900504,  180,    0
   597,  2418,19900505,  191,    0
   597,  2418,19900506,  198,    0
   597,  2418,19900507,  151,    0
   597,  2418,19900508,  150,    0
   597,  2418,19900509,  146,    0
   597,  2418,19900510,  121,    0
   597,  2418,19900511,  103,    0
   597,  2418,19900512,  101,    0
   597,  2418,19900513,  115,    0
   597,  2418,19900514,  108,    0
   597,  2418,19900515,  134,    0
   597,  2418,19900516,  143,    0
   597,  2418,19900517,  124,    0
   597,  2418,19900518,  109,    0
   597,  2418,19900519,  124,    0
   597,  2418,19900520,  154,    0
   597,  2418,19900521,  141,    0
   597,  2418,19900522,  118,    0
   597,  2418,19900523,  119,    0
   597,  2418,19900524,  119,    0
   597,  2418,19900525,  107,    0
   597,  2418,19900526,  103,    0
   597,  2418,19900527,  106,    0
   597,  2418,19900528,  106,    0
   597,  2418,19900529,  110,    0
   597,  2418,19900530,  142,    0
   597,  2418,19900531,  149,    0
   597,  2418,19900601,  187,    0
   597,  2418,19900602,  144,    0
   597,  2418,19900603,  136,    0
   597,  2418,19900604,  124,    0
   597,  2418,19900605,  141,    0
   597,  2418,19900606,  136,    0
   597,  2418,19900607,  128,    0
   597,  2418,19900608,  119,    0
   597,  2418,19900609,  134,    0
   597,  2418,19900610,  134,    0
   597,  2418,19900611,  123,    0
   597,  2418,19900612,  115,    0
   597,  2418,19900613,  124,    0
   597,  2418,19900614,  122,    0
   597,  2418,19900615,  120,    0
