EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ELL, NETHERLANDS (STAID: 600)
Blended and updated with sources:2441 906377 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   600,  2441,19990701,-9999,    9
   600,  2441,19990702,-9999,    9
   600,  2441,19990703,-9999,    9
   600,  2441,19990704,-9999,    9
   600,  2441,19990705,-9999,    9
   600,  2441,19990706,-9999,    9
   600,  2441,19990707,-9999,    9
   600,  2441,19990708,-9999,    9
   600,  2441,19990709,-9999,    9
   600,  2441,19990710,-9999,    9
   600,  2441,19990711,-9999,    9
   600,  2441,19990712,-9999,    9
   600,  2441,19990713,-9999,    9
   600,  2441,19990714,-9999,    9
   600,  2441,19990715,  165,    0
   600,  2441,19990716,  175,    0
   600,  2441,19990717,  193,    0
   600,  2441,19990718,  225,    0
   600,  2441,19990719,  223,    0
   600,  2441,19990720,  211,    0
   600,  2441,19990721,  172,    0
   600,  2441,19990722,  148,    0
   600,  2441,19990723,  147,    0
   600,  2441,19990724,  192,    0
   600,  2441,19990725,  212,    0
   600,  2441,19990726,  183,    0
   600,  2441,19990727,  176,    0
   600,  2441,19990728,  191,    0
   600,  2441,19990729,  203,    0
   600,  2441,19990730,  212,    0
   600,  2441,19990731,  216,    0
   600,  2441,19990801,  225,    0
   600,  2441,19990802,  221,    0
   600,  2441,19990803,  212,    0
   600,  2441,19990804,  209,    0
   600,  2441,19990805,  213,    0
   600,  2441,19990806,  205,    0
   600,  2441,19990807,  197,    0
   600,  2441,19990808,  180,    0
   600,  2441,19990809,  180,    0
   600,  2441,19990810,  177,    0
   600,  2441,19990811,  151,    0
   600,  2441,19990812,  143,    0
   600,  2441,19990813,  156,    0
   600,  2441,19990814,  161,    0
   600,  2441,19990815,  159,    0
   600,  2441,19990816,  151,    0
   600,  2441,19990817,  143,    0
   600,  2441,19990818,  158,    0
   600,  2441,19990819,  158,    0
   600,  2441,19990820,  146,    0
   600,  2441,19990821,  133,    0
   600,  2441,19990822,  121,    0
   600,  2441,19990823,  149,    0
   600,  2441,19990824,  175,    0
   600,  2441,19990825,  219,    0
   600,  2441,19990826,  214,    0
   600,  2441,19990827,  172,    0
   600,  2441,19990828,  172,    0
   600,  2441,19990829,  163,    0
   600,  2441,19990830,  178,    0
   600,  2441,19990831,  164,    0
   600,  2441,19990901,  168,    0
   600,  2441,19990902,  180,    0
   600,  2441,19990903,  175,    0
   600,  2441,19990904,  181,    0
   600,  2441,19990905,  181,    0
   600,  2441,19990906,  178,    0
   600,  2441,19990907,  185,    0
   600,  2441,19990908,  188,    0
   600,  2441,19990909,  198,    0
   600,  2441,19990910,  207,    0
   600,  2441,19990911,  209,    0
   600,  2441,19990912,  218,    0
   600,  2441,19990913,  203,    0
   600,  2441,19990914,  192,    0
   600,  2441,19990915,  166,    0
   600,  2441,19990916,  149,    0
   600,  2441,19990917,  146,    0
   600,  2441,19990918,  139,    0
   600,  2441,19990919,  173,    0
   600,  2441,19990920,  169,    0
   600,  2441,19990921,  163,    0
   600,  2441,19990922,  179,    0
   600,  2441,19990923,  185,    0
   600,  2441,19990924,  180,    0
   600,  2441,19990925,  168,    0
   600,  2441,19990926,  151,    0
   600,  2441,19990927,  153,    0
   600,  2441,19990928,  156,    0
   600,  2441,19990929,  157,    0
   600,  2441,19990930,  147,    0
   600,  2441,19991001,  142,    0
   600,  2441,19991002,  129,    0
   600,  2441,19991003,  108,    0
   600,  2441,19991004,   99,    0
   600,  2441,19991005,   89,    0
   600,  2441,19991006,   94,    0
   600,  2441,19991007,  108,    0
   600,  2441,19991008,  125,    0
   600,  2441,19991009,  143,    0
   600,  2441,19991010,  147,    0
   600,  2441,19991011,  126,    0
   600,  2441,19991012,   94,    0
   600,  2441,19991013,   77,    0
   600,  2441,19991014,   85,    0
   600,  2441,19991015,  104,    0
   600,  2441,19991016,   77,    0
   600,  2441,19991017,   62,    0
   600,  2441,19991018,   57,    0
   600,  2441,19991019,   54,    0
   600,  2441,19991020,   62,    0
   600,  2441,19991021,   70,    0
   600,  2441,19991022,  102,    0
   600,  2441,19991023,  137,    0
   600,  2441,19991024,  117,    0
   600,  2441,19991025,  133,    0
   600,  2441,19991026,  130,    0
   600,  2441,19991027,  108,    0
   600,  2441,19991028,   88,    0
   600,  2441,19991029,  103,    0
   600,  2441,19991030,  149,    0
   600,  2441,19991031,  110,    0
   600,  2441,19991101,  131,    0
   600,  2441,19991102,  110,    0
   600,  2441,19991103,   69,    0
   600,  2441,19991104,   49,    0
   600,  2441,19991105,   83,    0
   600,  2441,19991106,   86,    0
   600,  2441,19991107,   83,    0
   600,  2441,19991108,   76,    0
   600,  2441,19991109,   94,    0
   600,  2441,19991110,   82,    0
   600,  2441,19991111,   59,    0
   600,  2441,19991112,   26,    0
   600,  2441,19991113,    2,    0
   600,  2441,19991114,   71,    0
   600,  2441,19991115,    1,    0
   600,  2441,19991116,   -8,    0
   600,  2441,19991117,   32,    0
   600,  2441,19991118,   18,    0
   600,  2441,19991119,   21,    0
   600,  2441,19991120,    9,    0
   600,  2441,19991121,  -10,    0
   600,  2441,19991122,   23,    0
   600,  2441,19991123,   64,    0
   600,  2441,19991124,   73,    0
   600,  2441,19991125,   81,    0
   600,  2441,19991126,   79,    0
   600,  2441,19991127,   70,    0
   600,  2441,19991128,   88,    0
   600,  2441,19991129,   78,    0
   600,  2441,19991130,   85,    0
   600,  2441,19991201,   91,    0
   600,  2441,19991202,   64,    0
   600,  2441,19991203,   79,    0
   600,  2441,19991204,   30,    0
   600,  2441,19991205,   23,    0
   600,  2441,19991206,   59,    0
   600,  2441,19991207,   79,    0
   600,  2441,19991208,   81,    0
   600,  2441,19991209,   79,    0
   600,  2441,19991210,   63,    0
   600,  2441,19991211,   85,    0
   600,  2441,19991212,   77,    0
   600,  2441,19991213,   56,    0
   600,  2441,19991214,   26,    0
   600,  2441,19991215,   -6,    0
   600,  2441,19991216,   -1,    0
   600,  2441,19991217,   47,    0
   600,  2441,19991218,   29,    0
   600,  2441,19991219,    5,    0
   600,  2441,19991220,    5,    0
   600,  2441,19991221,    4,    0
   600,  2441,19991222,   -2,    0
   600,  2441,19991223,   46,    0
   600,  2441,19991224,   77,    0
   600,  2441,19991225,   71,    0
   600,  2441,19991226,   52,    0
   600,  2441,19991227,   35,    0
   600,  2441,19991228,   22,    0
   600,  2441,19991229,   24,    0
   600,  2441,19991230,   27,    0
   600,  2441,19991231,   38,    0
   600,  2441,20000101,   57,    0
   600,  2441,20000102,   64,    0
   600,  2441,20000103,   75,    0
   600,  2441,20000104,   76,    0
   600,  2441,20000105,   43,    0
   600,  2441,20000106,   69,    0
   600,  2441,20000107,   65,    0
   600,  2441,20000108,   61,    0
   600,  2441,20000109,   28,    0
   600,  2441,20000110,   -7,    0
   600,  2441,20000111,    1,    0
   600,  2441,20000112,    7,    0
   600,  2441,20000113,   22,    0
   600,  2441,20000114,   28,    0
   600,  2441,20000115,   27,    0
   600,  2441,20000116,   40,    0
   600,  2441,20000117,   61,    0
   600,  2441,20000118,   63,    0
   600,  2441,20000119,   41,    0
   600,  2441,20000120,   37,    0
   600,  2441,20000121,   48,    0
   600,  2441,20000122,   38,    0
   600,  2441,20000123,   11,    0
   600,  2441,20000124,  -34,    0
   600,  2441,20000125,  -11,    0
   600,  2441,20000126,   13,    0
   600,  2441,20000127,    4,    0
   600,  2441,20000128,   17,    0
   600,  2441,20000129,   85,    0
   600,  2441,20000130,   97,    0
   600,  2441,20000131,  104,    0
   600,  2441,20000201,   89,    0
   600,  2441,20000202,   66,    0
   600,  2441,20000203,   56,    0
   600,  2441,20000204,   73,    0
   600,  2441,20000205,   83,    0
   600,  2441,20000206,   80,    0
   600,  2441,20000207,   83,    0
   600,  2441,20000208,   94,    0
   600,  2441,20000209,   57,    0
   600,  2441,20000210,   63,    0
   600,  2441,20000211,   30,    0
   600,  2441,20000212,   42,    0
   600,  2441,20000213,   53,    0
   600,  2441,20000214,   46,    0
   600,  2441,20000215,   72,    0
   600,  2441,20000216,   31,    0
   600,  2441,20000217,   29,    0
   600,  2441,20000218,   44,    0
   600,  2441,20000219,   48,    0
   600,  2441,20000220,   22,    0
   600,  2441,20000221,   25,    0
   600,  2441,20000222,   40,    0
   600,  2441,20000223,   57,    0
   600,  2441,20000224,   77,    0
   600,  2441,20000225,   56,    0
   600,  2441,20000226,   28,    0
   600,  2441,20000227,   74,    0
   600,  2441,20000228,   92,    0
   600,  2441,20000229,   68,    0
   600,  2441,20000301,   50,    0
   600,  2441,20000302,   45,    0
   600,  2441,20000303,   62,    0
   600,  2441,20000304,   15,    0
   600,  2441,20000305,   28,    0
   600,  2441,20000306,   66,    0
   600,  2441,20000307,   91,    0
   600,  2441,20000308,  109,    0
   600,  2441,20000309,  113,    0
   600,  2441,20000310,   80,    0
   600,  2441,20000311,   86,    0
   600,  2441,20000312,   76,    0
   600,  2441,20000313,   85,    0
   600,  2441,20000314,   83,    0
   600,  2441,20000315,   50,    0
   600,  2441,20000316,   80,    0
   600,  2441,20000317,   78,    0
   600,  2441,20000318,   65,    0
   600,  2441,20000319,   36,    0
   600,  2441,20000320,   36,    0
   600,  2441,20000321,   67,    0
   600,  2441,20000322,   82,    0
   600,  2441,20000323,   87,    0
   600,  2441,20000324,   98,    0
   600,  2441,20000325,   97,    0
   600,  2441,20000326,   66,    0
   600,  2441,20000327,   55,    0
   600,  2441,20000328,   36,    0
   600,  2441,20000329,   58,    0
   600,  2441,20000330,   65,    0
   600,  2441,20000331,   64,    0
   600,  2441,20000401,   59,    0
   600,  2441,20000402,  102,    0
   600,  2441,20000403,  107,    0
   600,  2441,20000404,  110,    0
   600,  2441,20000405,   46,    0
   600,  2441,20000406,   47,    0
   600,  2441,20000407,   67,    0
   600,  2441,20000408,   74,    0
   600,  2441,20000409,  104,    0
   600,  2441,20000410,   68,    0
   600,  2441,20000411,   69,    0
   600,  2441,20000412,   71,    0
   600,  2441,20000413,   61,    0
   600,  2441,20000414,   84,    0
   600,  2441,20000415,   95,    0
   600,  2441,20000416,  102,    0
   600,  2441,20000417,  107,    0
   600,  2441,20000418,  104,    0
   600,  2441,20000419,  113,    0
   600,  2441,20000420,  138,    0
   600,  2441,20000421,  138,    0
   600,  2441,20000422,  141,    0
   600,  2441,20000423,  123,    0
   600,  2441,20000424,  119,    0
   600,  2441,20000425,  143,    0
   600,  2441,20000426,  159,    0
   600,  2441,20000427,  165,    0
   600,  2441,20000428,  174,    0
   600,  2441,20000429,  128,    0
   600,  2441,20000430,  132,    0
   600,  2441,20000501,  148,    0
   600,  2441,20000502,  117,    0
   600,  2441,20000503,  120,    0
   600,  2441,20000504,  155,    0
   600,  2441,20000505,  184,    0
   600,  2441,20000506,  192,    0
   600,  2441,20000507,  173,    0
   600,  2441,20000508,  174,    0
   600,  2441,20000509,  196,    0
   600,  2441,20000510,  190,    0
   600,  2441,20000511,  204,    0
   600,  2441,20000512,  190,    0
   600,  2441,20000513,  191,    0
   600,  2441,20000514,  199,    0
   600,  2441,20000515,  211,    0
   600,  2441,20000516,  217,    0
   600,  2441,20000517,  151,    0
   600,  2441,20000518,  114,    0
   600,  2441,20000519,  102,    0
   600,  2441,20000520,  112,    0
   600,  2441,20000521,  105,    0
   600,  2441,20000522,  121,    0
   600,  2441,20000523,  151,    0
   600,  2441,20000524,  146,    0
   600,  2441,20000525,  139,    0
   600,  2441,20000526,  152,    0
   600,  2441,20000527,  134,    0
   600,  2441,20000528,  111,    0
   600,  2441,20000529,  108,    0
   600,  2441,20000530,  107,    0
   600,  2441,20000531,  138,    0
   600,  2441,20000601,  169,    0
   600,  2441,20000602,  179,    0
   600,  2441,20000603,  200,    0
   600,  2441,20000604,  186,    0
   600,  2441,20000605,  130,    0
   600,  2441,20000606,  137,    0
   600,  2441,20000607,  132,    0
   600,  2441,20000608,  162,    0
   600,  2441,20000609,  228,    0
   600,  2441,20000610,  180,    0
   600,  2441,20000611,  162,    0
   600,  2441,20000612,  170,    0
   600,  2441,20000613,  195,    0
   600,  2441,20000614,  176,    0
   600,  2441,20000615,  158,    0
   600,  2441,20000616,  136,    0
   600,  2441,20000617,  144,    0
   600,  2441,20000618,  204,    0
   600,  2441,20000619,  246,    0
   600,  2441,20000620,  258,    0
   600,  2441,20000621,  215,    0
   600,  2441,20000622,  174,    0
   600,  2441,20000623,  162,    0
   600,  2441,20000624,  125,    0
   600,  2441,20000625,  129,    0
   600,  2441,20000626,  123,    0
   600,  2441,20000627,  123,    0
   600,  2441,20000628,  125,    0
   600,  2441,20000629,  125,    0
   600,  2441,20000630,  152,    0
   600,  2441,20000701,  164,    0
   600,  2441,20000702,  201,    0
   600,  2441,20000703,  180,    0
   600,  2441,20000704,  174,    0
   600,  2441,20000705,  164,    0
   600,  2441,20000706,  169,    0
   600,  2441,20000707,  139,    0
   600,  2441,20000708,  124,    0
   600,  2441,20000709,  137,    0
   600,  2441,20000710,  150,    0
   600,  2441,20000711,  132,    0
   600,  2441,20000712,  115,    0
   600,  2441,20000713,  142,    0
   600,  2441,20000714,  137,    0
   600,  2441,20000715,  128,    0
   600,  2441,20000716,  143,    0
   600,  2441,20000717,  139,    0
   600,  2441,20000718,  144,    0
   600,  2441,20000719,  153,    0
   600,  2441,20000720,  171,    0
   600,  2441,20000721,  154,    0
   600,  2441,20000722,  142,    0
   600,  2441,20000723,  169,    0
   600,  2441,20000724,  169,    0
   600,  2441,20000725,  158,    0
   600,  2441,20000726,  150,    0
   600,  2441,20000727,  156,    0
   600,  2441,20000728,  167,    0
   600,  2441,20000729,  155,    0
   600,  2441,20000730,  156,    0
   600,  2441,20000731,  179,    0
   600,  2441,20000801,  216,    0
   600,  2441,20000802,  182,    0
   600,  2441,20000803,  168,    0
   600,  2441,20000804,  165,    0
   600,  2441,20000805,  163,    0
   600,  2441,20000806,  178,    0
   600,  2441,20000807,  185,    0
   600,  2441,20000808,  181,    0
   600,  2441,20000809,  177,    0
   600,  2441,20000810,  187,    0
   600,  2441,20000811,  187,    0
   600,  2441,20000812,  182,    0
   600,  2441,20000813,  207,    0
   600,  2441,20000814,  221,    0
   600,  2441,20000815,  190,    0
   600,  2441,20000816,  183,    0
   600,  2441,20000817,  181,    0
   600,  2441,20000818,  179,    0
   600,  2441,20000819,  189,    0
   600,  2441,20000820,  189,    0
   600,  2441,20000821,  159,    0
   600,  2441,20000822,  152,    0
   600,  2441,20000823,  159,    0
   600,  2441,20000824,  164,    0
   600,  2441,20000825,  157,    0
   600,  2441,20000826,  200,    0
   600,  2441,20000827,  167,    0
   600,  2441,20000828,  156,    0
   600,  2441,20000829,  154,    0
   600,  2441,20000830,  144,    0
   600,  2441,20000831,  140,    0
   600,  2441,20000901,  144,    0
   600,  2441,20000902,  138,    0
   600,  2441,20000903,  145,    0
   600,  2441,20000904,  137,    0
   600,  2441,20000905,  142,    0
   600,  2441,20000906,  140,    0
   600,  2441,20000907,  151,    0
   600,  2441,20000908,  180,    0
   600,  2441,20000909,  191,    0
   600,  2441,20000910,  190,    0
   600,  2441,20000911,  180,    0
   600,  2441,20000912,  185,    0
   600,  2441,20000913,  157,    0
   600,  2441,20000914,  158,    0
   600,  2441,20000915,  170,    0
   600,  2441,20000916,  141,    0
   600,  2441,20000917,  131,    0
   600,  2441,20000918,  147,    0
   600,  2441,20000919,  167,    0
   600,  2441,20000920,  145,    0
   600,  2441,20000921,  142,    0
   600,  2441,20000922,  147,    0
   600,  2441,20000923,  145,    0
   600,  2441,20000924,  149,    0
   600,  2441,20000925,  154,    0
   600,  2441,20000926,  174,    0
   600,  2441,20000927,  159,    0
   600,  2441,20000928,  163,    0
   600,  2441,20000929,  181,    0
   600,  2441,20000930,  149,    0
   600,  2441,20001001,  125,    0
   600,  2441,20001002,  130,    0
   600,  2441,20001003,  128,    0
   600,  2441,20001004,  126,    0
   600,  2441,20001005,  124,    0
   600,  2441,20001006,   87,    0
   600,  2441,20001007,   76,    0
   600,  2441,20001008,  100,    0
   600,  2441,20001009,   97,    0
   600,  2441,20001010,   92,    0
   600,  2441,20001011,  105,    0
   600,  2441,20001012,  120,    0
   600,  2441,20001013,  110,    0
   600,  2441,20001014,   85,    0
   600,  2441,20001015,  102,    0
   600,  2441,20001016,  125,    0
   600,  2441,20001017,  104,    0
   600,  2441,20001018,  102,    0
   600,  2441,20001019,  107,    0
   600,  2441,20001020,  111,    0
   600,  2441,20001021,  146,    0
   600,  2441,20001022,  139,    0
   600,  2441,20001023,  142,    0
   600,  2441,20001024,  121,    0
   600,  2441,20001025,  122,    0
   600,  2441,20001026,  102,    0
   600,  2441,20001027,  106,    0
   600,  2441,20001028,  127,    0
   600,  2441,20001029,  105,    0
   600,  2441,20001030,  107,    0
   600,  2441,20001031,   95,    0
   600,  2441,20001101,   79,    0
   600,  2441,20001102,   84,    0
   600,  2441,20001103,   82,    0
   600,  2441,20001104,   63,    0
   600,  2441,20001105,   67,    0
   600,  2441,20001106,   92,    0
   600,  2441,20001107,   88,    0
   600,  2441,20001108,   84,    0
   600,  2441,20001109,   82,    0
   600,  2441,20001110,   66,    0
   600,  2441,20001111,   80,    0
   600,  2441,20001112,   94,    0
   600,  2441,20001113,   82,    0
   600,  2441,20001114,   65,    0
   600,  2441,20001115,   65,    0
   600,  2441,20001116,   75,    0
   600,  2441,20001117,   44,    0
   600,  2441,20001118,   64,    0
   600,  2441,20001119,   88,    0
   600,  2441,20001120,   60,    0
   600,  2441,20001121,   59,    0
   600,  2441,20001122,   81,    0
   600,  2441,20001123,   89,    0
   600,  2441,20001124,   68,    0
   600,  2441,20001125,   70,    0
   600,  2441,20001126,   75,    0
   600,  2441,20001127,   64,    0
   600,  2441,20001128,  119,    0
   600,  2441,20001129,  105,    0
   600,  2441,20001130,   97,    0
   600,  2441,20001201,  120,    0
   600,  2441,20001202,  108,    0
   600,  2441,20001203,   80,    0
   600,  2441,20001204,   65,    0
   600,  2441,20001205,   98,    0
   600,  2441,20001206,  109,    0
   600,  2441,20001207,   99,    0
   600,  2441,20001208,  127,    0
   600,  2441,20001209,   98,    0
   600,  2441,20001210,   98,    0
   600,  2441,20001211,  121,    0
   600,  2441,20001212,  130,    0
   600,  2441,20001213,  110,    0
   600,  2441,20001214,   78,    0
   600,  2441,20001215,   49,    0
   600,  2441,20001216,   23,    0
   600,  2441,20001217,   13,    0
   600,  2441,20001218,   29,    0
   600,  2441,20001219,   49,    0
   600,  2441,20001220,   22,    0
   600,  2441,20001221,    3,    0
   600,  2441,20001222,  -22,    0
   600,  2441,20001223,  -16,    0
   600,  2441,20001224,   -1,    0
   600,  2441,20001225,    0,    0
   600,  2441,20001226,  -10,    0
   600,  2441,20001227,   -3,    0
   600,  2441,20001228,    9,    0
   600,  2441,20001229,    1,    0
   600,  2441,20001230,    8,    0
   600,  2441,20001231,    9,    0
   600,  2441,20010101,   47,    0
   600,  2441,20010102,   91,    0
   600,  2441,20010103,   69,    0
   600,  2441,20010104,   82,    0
   600,  2441,20010105,   81,    0
   600,  2441,20010106,   62,    0
   600,  2441,20010107,   48,    0
   600,  2441,20010108,   33,    0
   600,  2441,20010109,   34,    0
   600,  2441,20010110,   21,    0
   600,  2441,20010111,   22,    0
   600,  2441,20010112,    0,    0
   600,  2441,20010113,   -6,    0
   600,  2441,20010114,  -16,    0
   600,  2441,20010115,  -23,    0
   600,  2441,20010116,  -31,    0
   600,  2441,20010117,  -48,    0
   600,  2441,20010118,   -1,    0
   600,  2441,20010119,   10,    0
   600,  2441,20010120,   -4,    0
   600,  2441,20010121,   -8,    0
   600,  2441,20010122,   42,    0
   600,  2441,20010123,   83,    0
   600,  2441,20010124,   85,    0
   600,  2441,20010125,   54,    0
   600,  2441,20010126,   47,    0
