EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEEUWARDEN, NETHERLANDS (STAID: 603)
Blended and updated with sources:2458 906270 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   603,  2458,19510101,-9999,    9
   603,  2458,19510102,    9,    0
   603,  2458,19510103,    5,    0
   603,  2458,19510104,    5,    0
   603,  2458,19510105,   26,    0
   603,  2458,19510106,   34,    0
   603,  2458,19510107,   51,    0
   603,  2458,19510108,   49,    0
   603,  2458,19510109,   40,    0
   603,  2458,19510110,   20,    0
   603,  2458,19510111,   58,    0
   603,  2458,19510112,   31,    0
   603,  2458,19510113,   31,    0
   603,  2458,19510114,   29,    0
   603,  2458,19510115,   36,    0
   603,  2458,19510116,   36,    0
   603,  2458,19510117,   53,    0
   603,  2458,19510118,   57,    0
   603,  2458,19510119,   54,    0
   603,  2458,19510120,   43,    0
   603,  2458,19510121,   28,    0
   603,  2458,19510122,   45,    0
   603,  2458,19510123,   18,    0
   603,  2458,19510124,   19,    0
   603,  2458,19510125,    4,    0
   603,  2458,19510126,    7,    0
   603,  2458,19510127,   26,    0
   603,  2458,19510128,   19,    0
   603,  2458,19510129,   15,    0
   603,  2458,19510130,   16,    0
   603,  2458,19510131,  -10,    0
   603,  2458,19510201,    9,    0
   603,  2458,19510202,   13,    0
   603,  2458,19510203,   -8,    0
   603,  2458,19510204,   35,    0
   603,  2458,19510205,   53,    0
   603,  2458,19510206,   30,    0
   603,  2458,19510207,   23,    0
   603,  2458,19510208,   52,    0
   603,  2458,19510209,   74,    0
   603,  2458,19510210,   34,    0
   603,  2458,19510211,   20,    0
   603,  2458,19510212,   36,    0
   603,  2458,19510213,   16,    0
   603,  2458,19510214,    2,    0
   603,  2458,19510215,   22,    0
   603,  2458,19510216,   29,    0
   603,  2458,19510217,   45,    0
   603,  2458,19510218,   41,    0
   603,  2458,19510219,   37,    0
   603,  2458,19510220,   44,    0
   603,  2458,19510221,   35,    0
   603,  2458,19510222,   38,    0
   603,  2458,19510223,   41,    0
