EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BREST, BELARUS (STAID: 653)
Blended and updated with sources:6222 17442 912399 933008 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   653, 17442,19440101,-9999,    9
   653, 17442,19440102,-9999,    9
   653, 17442,19440103,-9999,    9
   653, 17442,19440104,-9999,    9
   653, 17442,19440105,-9999,    9
   653, 17442,19440106,-9999,    9
   653, 17442,19440107,-9999,    9
   653, 17442,19440108,-9999,    9
   653, 17442,19440109,-9999,    9
   653, 17442,19440110,-9999,    9
   653, 17442,19440111,-9999,    9
   653, 17442,19440112,-9999,    9
   653, 17442,19440113,-9999,    9
   653, 17442,19440114,-9999,    9
   653, 17442,19440115,-9999,    9
   653, 17442,19440116,-9999,    9
   653, 17442,19440117,-9999,    9
   653, 17442,19440118,-9999,    9
   653, 17442,19440119,-9999,    9
   653, 17442,19440120,-9999,    9
   653, 17442,19440121,-9999,    9
   653, 17442,19440122,-9999,    9
   653, 17442,19440123,-9999,    9
   653, 17442,19440124,-9999,    9
   653, 17442,19440125,-9999,    9
   653, 17442,19440126,-9999,    9
   653, 17442,19440127,-9999,    9
   653, 17442,19440128,-9999,    9
   653, 17442,19440129,-9999,    9
   653, 17442,19440130,-9999,    9
   653, 17442,19440131,-9999,    9
   653, 17442,19440201,-9999,    9
   653, 17442,19440202,-9999,    9
   653, 17442,19440203,-9999,    9
   653, 17442,19440204,-9999,    9
   653, 17442,19440205,-9999,    9
   653, 17442,19440206,-9999,    9
   653, 17442,19440207,-9999,    9
   653, 17442,19440208,-9999,    9
   653, 17442,19440209,-9999,    9
