EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PORI PORIN LENTOASEMA, FINLAND (STAID: 704)
Blended and updated with sources:42409 42504 902952 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   704, 42409,19590101,    8,    0
   704, 42409,19590102,  -14,    0
   704, 42409,19590103,    3,    0
   704, 42409,19590104,   11,    0
   704, 42409,19590105,   -4,    0
   704, 42409,19590106,  -36,    0
   704, 42409,19590107,  -33,    0
   704, 42409,19590108,  -54,    0
   704, 42409,19590109,  -59,    0
   704, 42409,19590110,   -7,    0
   704, 42409,19590111,   -6,    0
   704, 42409,19590112,  -38,    0
   704, 42409,19590113,  -53,    0
   704, 42409,19590114,  -65,    0
   704, 42409,19590115, -132,    0
   704, 42409,19590116, -202,    0
   704, 42409,19590117, -205,    0
   704, 42409,19590118, -142,    0
   704, 42409,19590119, -193,    0
   704, 42409,19590120, -128,    0
   704, 42409,19590121,  -80,    0
   704, 42409,19590122,  -95,    0
   704, 42409,19590123,  -46,    0
   704, 42409,19590124,  -26,    0
   704, 42409,19590125,  -87,    0
   704, 42409,19590126,  -99,    0
   704, 42409,19590127,    0,    0
   704, 42409,19590128,   -5,    0
   704, 42409,19590129,  -25,    0
   704, 42409,19590130,  -15,    0
