EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MIETOINEN SAARI, FINLAND (STAID: 705)
Blended and updated with sources:42419 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   705, 42419,19590101,    3,    0
   705, 42419,19590102,   -4,    0
   705, 42419,19590103,    3,    0
   705, 42419,19590104,    7,    0
   705, 42419,19590105,   -6,    0
   705, 42419,19590106,  -23,    0
   705, 42419,19590107,  -37,    0
   705, 42419,19590108,  -47,    0
   705, 42419,19590109,  -43,    0
   705, 42419,19590110,   -5,    0
   705, 42419,19590111,  -16,    0
   705, 42419,19590112,  -45,    0
   705, 42419,19590113,  -57,    0
   705, 42419,19590114,  -77,    0
   705, 42419,19590115, -132,    0
   705, 42419,19590116, -154,    0
   705, 42419,19590117, -132,    0
   705, 42419,19590118, -137,    0
   705, 42419,19590119, -132,    0
   705, 42419,19590120,  -89,    0
   705, 42419,19590121,  -43,    0
   705, 42419,19590122,  -26,    0
   705, 42419,19590123,  -13,    0
   705, 42419,19590124,  -26,    0
   705, 42419,19590125,  -93,    0
   705, 42419,19590126,  -78,    0
   705, 42419,19590127,    1,    0
   705, 42419,19590128,  -12,    0
   705, 42419,19590129,  -31,    0
   705, 42419,19590130,  -24,    0
   705, 42419,19590131,  -27,    0
   705, 42419,19590201,  -68,    0
   705, 42419,19590202,  -22,    0
   705, 42419,19590203,   -2,    0
   705, 42419,19590204,   13,    0
   705, 42419,19590205,   -3,    0
   705, 42419,19590206,  -33,    0
   705, 42419,19590207,  -21,    0
   705, 42419,19590208,  -36,    0
   705, 42419,19590209,  -50,    0
   705, 42419,19590210,  -45,    0
   705, 42419,19590211,  -35,    0
   705, 42419,19590212,  -50,    0
   705, 42419,19590213,  -42,    0
   705, 42419,19590214,  -31,    0
   705, 42419,19590215,  -26,    0
   705, 42419,19590216,  -18,    0
   705, 42419,19590217,   16,    0
   705, 42419,19590218,   20,    0
   705, 42419,19590219,    9,    0
   705, 42419,19590220,    2,    0
   705, 42419,19590221,  -24,    0
   705, 42419,19590222,  -44,    0
   705, 42419,19590223,  -33,    0
   705, 42419,19590224,    1,    0
   705, 42419,19590225,    7,    0
   705, 42419,19590226,   19,    0
   705, 42419,19590227,   12,    0
   705, 42419,19590228,    4,    0
   705, 42419,19590301,   22,    0
   705, 42419,19590302,  -14,    0
   705, 42419,19590303,    0,    0
   705, 42419,19590304,   10,    0
   705, 42419,19590305,   17,    0
   705, 42419,19590306,   12,    0
   705, 42419,19590307,   19,    0
   705, 42419,19590308,   -6,    0
   705, 42419,19590309,  -12,    0
   705, 42419,19590310,   -7,    0
   705, 42419,19590311,   -9,    0
   705, 42419,19590312,  -10,    0
   705, 42419,19590313,  -18,    0
   705, 42419,19590314,  -15,    0
   705, 42419,19590315,   -7,    0
   705, 42419,19590316,    2,    0
   705, 42419,19590317,    4,    0
   705, 42419,19590318,   13,    0
   705, 42419,19590319,   17,    0
   705, 42419,19590320,    0,    0
   705, 42419,19590321,    9,    0
   705, 42419,19590322,    3,    0
   705, 42419,19590323,   12,    0
   705, 42419,19590324,   20,    0
   705, 42419,19590325,   21,    0
   705, 42419,19590326,   20,    0
   705, 42419,19590327,   16,    0
   705, 42419,19590328,    3,    0
   705, 42419,19590329,   -6,    0
   705, 42419,19590330,   -6,    0
   705, 42419,19590331,   -9,    0
   705, 42419,19590401,    9,    0
   705, 42419,19590402,   25,    0
   705, 42419,19590403,   42,    0
   705, 42419,19590404,   23,    0
   705, 42419,19590405,   31,    0
   705, 42419,19590406,   46,    0
   705, 42419,19590407,   42,    0
   705, 42419,19590408,   19,    0
   705, 42419,19590409,   11,    0
   705, 42419,19590410,   23,    0
   705, 42419,19590411,   15,    0
   705, 42419,19590412,   22,    0
   705, 42419,19590413,   22,    0
   705, 42419,19590414,   39,    0
   705, 42419,19590415,   80,    0
   705, 42419,19590416,   94,    0
   705, 42419,19590417,   90,    0
   705, 42419,19590418,   37,    0
   705, 42419,19590419,   10,    0
   705, 42419,19590420,    8,    0
   705, 42419,19590421,   20,    0
   705, 42419,19590422,    6,    0
   705, 42419,19590423,    8,    0
   705, 42419,19590424,   45,    0
   705, 42419,19590425,   47,    0
   705, 42419,19590426,   75,    0
   705, 42419,19590427,  105,    0
   705, 42419,19590428,  107,    0
   705, 42419,19590429,  117,    0
   705, 42419,19590430,  126,    0
   705, 42419,19590501,  120,    0
   705, 42419,19590502,  139,    0
   705, 42419,19590503,  143,    0
   705, 42419,19590504,   96,    0
   705, 42419,19590505,   82,    0
   705, 42419,19590506,   76,    0
   705, 42419,19590507,   65,    0
   705, 42419,19590508,   59,    0
   705, 42419,19590509,   66,    0
   705, 42419,19590510,   89,    0
   705, 42419,19590511,  100,    0
   705, 42419,19590512,  104,    0
   705, 42419,19590513,  125,    0
   705, 42419,19590514,  153,    0
   705, 42419,19590515,  157,    0
   705, 42419,19590516,  137,    0
   705, 42419,19590517,   79,    0
   705, 42419,19590518,   67,    0
   705, 42419,19590519,   58,    0
   705, 42419,19590520,   73,    0
   705, 42419,19590521,   64,    0
   705, 42419,19590522,   60,    0
   705, 42419,19590523,   63,    0
   705, 42419,19590524,   96,    0
   705, 42419,19590525,   71,    0
   705, 42419,19590526,   78,    0
   705, 42419,19590527,   88,    0
   705, 42419,19590528,   82,    0
   705, 42419,19590529,   75,    0
   705, 42419,19590530,   69,    0
   705, 42419,19590531,  108,    0
