EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOKEMAKI PEIPOHJA HYRKOLA, FINLAND (STAID: 707)
Blended and updated with sources:42524 42629 902762 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   707, 42524,19590101,    3,    0
   707, 42524,19590102,   -6,    0
   707, 42524,19590103,    0,    0
   707, 42524,19590104,    6,    0
   707, 42524,19590105,  -15,    0
   707, 42524,19590106,  -36,    0
   707, 42524,19590107,  -39,    0
   707, 42524,19590108,  -57,    0
   707, 42524,19590109,  -48,    0
   707, 42524,19590110,  -11,    0
   707, 42524,19590111,  -15,    0
   707, 42524,19590112,  -44,    0
   707, 42524,19590113,  -54,    0
   707, 42524,19590114,  -80,    0
   707, 42524,19590115, -169,    0
   707, 42524,19590116, -225,    0
   707, 42524,19590117, -196,    0
   707, 42524,19590118, -188,    0
   707, 42524,19590119, -174,    0
   707, 42524,19590120, -138,    0
   707, 42524,19590121,  -88,    0
   707, 42524,19590122,  -67,    0
   707, 42524,19590123,  -38,    0
   707, 42524,19590124,  -34,    0
   707, 42524,19590125, -101,    0
   707, 42524,19590126,  -96,    0
   707, 42524,19590127,  -12,    0
   707, 42524,19590128,  -16,    0
   707, 42524,19590129,  -38,    0
   707, 42524,19590130,  -31,    0
   707, 42524,19590131,  -46,    0
   707, 42524,19590201,  -90,    0
   707, 42524,19590202,  -56,    0
   707, 42524,19590203,  -28,    0
   707, 42524,19590204,   18,    0
   707, 42524,19590205,  -13,    0
   707, 42524,19590206,  -40,    0
   707, 42524,19590207,  -16,    0
   707, 42524,19590208,  -32,    0
   707, 42524,19590209,  -47,    0
   707, 42524,19590210,  -57,    0
   707, 42524,19590211,  -45,    0
   707, 42524,19590212,  -51,    0
   707, 42524,19590213,  -40,    0
   707, 42524,19590214,  -35,    0
   707, 42524,19590215,  -30,    0
   707, 42524,19590216,  -14,    0
   707, 42524,19590217,   19,    0
   707, 42524,19590218,   22,    0
   707, 42524,19590219,    7,    0
   707, 42524,19590220,   -4,    0
   707, 42524,19590221,  -37,    0
   707, 42524,19590222,  -59,    0
   707, 42524,19590223,  -49,    0
   707, 42524,19590224,   -4,    0
   707, 42524,19590225,    1,    0
   707, 42524,19590226,   15,    0
   707, 42524,19590227,   19,    0
   707, 42524,19590228,   13,    0
   707, 42524,19590301,    2,    0
   707, 42524,19590302,    8,    0
   707, 42524,19590303,   13,    0
   707, 42524,19590304,   11,    0
   707, 42524,19590305,   13,    0
   707, 42524,19590306,   10,    0
   707, 42524,19590307,   20,    0
   707, 42524,19590308,   -8,    0
