EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JOKIOINEN JOKIOISTEN OBSERVATORIO, FINLAND (STAID: 708)
Blended and updated with sources:42634 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   708, 42634,19590101,    2,    0
   708, 42634,19590102,   -7,    0
   708, 42634,19590103,    3,    0
   708, 42634,19590104,    7,    0
   708, 42634,19590105,  -12,    0
   708, 42634,19590106,  -24,    0
   708, 42634,19590107,  -37,    0
   708, 42634,19590108,  -46,    0
   708, 42634,19590109,  -38,    0
   708, 42634,19590110,   -8,    0
   708, 42634,19590111,   -9,    0
   708, 42634,19590112,  -38,    0
   708, 42634,19590113,  -50,    0
   708, 42634,19590114,  -65,    0
   708, 42634,19590115, -148,    0
   708, 42634,19590116, -198,    0
   708, 42634,19590117, -180,    0
   708, 42634,19590118, -158,    0
   708, 42634,19590119, -199,    0
   708, 42634,19590120, -133,    0
   708, 42634,19590121,  -72,    0
   708, 42634,19590122,  -55,    0
   708, 42634,19590123,  -22,    0
   708, 42634,19590124,  -25,    0
   708, 42634,19590125,  -81,    0
   708, 42634,19590126, -116,    0
   708, 42634,19590127,  -15,    0
   708, 42634,19590128,  -13,    0
   708, 42634,19590129,  -38,    0
   708, 42634,19590130,  -25,    0
   708, 42634,19590131,  -23,    0
   708, 42634,19590201,  -89,    0
   708, 42634,19590202,  -66,    0
   708, 42634,19590203,  -51,    0
   708, 42634,19590204,    5,    0
   708, 42634,19590205,   12,    0
   708, 42634,19590206,  -70,    0
   708, 42634,19590207,  -27,    0
   708, 42634,19590208,  -38,    0
   708, 42634,19590209,  -48,    0
   708, 42634,19590210,  -61,    0
   708, 42634,19590211,  -49,    0
   708, 42634,19590212,  -48,    0
   708, 42634,19590213,  -46,    0
   708, 42634,19590214,  -47,    0
   708, 42634,19590215,  -24,    0
   708, 42634,19590216,  -36,    0
   708, 42634,19590217,   12,    0
   708, 42634,19590218,   23,    0
   708, 42634,19590219,   -1,    0
   708, 42634,19590220,    7,    0
   708, 42634,19590221,  -43,    0
   708, 42634,19590222,  -53,    0
   708, 42634,19590223,  -69,    0
   708, 42634,19590224,   -3,    0
   708, 42634,19590225,  -20,    0
   708, 42634,19590226,   14,    0
   708, 42634,19590227,   21,    0
   708, 42634,19590228,    8,    0
   708, 42634,19590301,   15,    0
   708, 42634,19590302,    3,    0
   708, 42634,19590303,    8,    0
   708, 42634,19590304,   11,    0
   708, 42634,19590305,   19,    0
   708, 42634,19590306,    7,    0
   708, 42634,19590307,   20,    0
   708, 42634,19590308,   -3,    0
   708, 42634,19590309,  -21,    0
   708, 42634,19590310,  -31,    0
   708, 42634,19590311,  -28,    0
   708, 42634,19590312,  -41,    0
   708, 42634,19590313,  -47,    0
   708, 42634,19590314,  -48,    0
   708, 42634,19590315,  -29,    0
   708, 42634,19590316,    2,    0
   708, 42634,19590317,   -7,    0
   708, 42634,19590318,   13,    0
   708, 42634,19590319,   13,    0
   708, 42634,19590320,  -12,    0
   708, 42634,19590321,    3,    0
   708, 42634,19590322,   16,    0
   708, 42634,19590323,    3,    0
   708, 42634,19590324,   21,    0
   708, 42634,19590325,   16,    0
   708, 42634,19590326,   24,    0
   708, 42634,19590327,   26,    0
   708, 42634,19590328,   -1,    0
   708, 42634,19590329,  -18,    0
   708, 42634,19590330,  -34,    0
   708, 42634,19590331,  -42,    0
   708, 42634,19590401,    1,    0
   708, 42634,19590402,   18,    0
   708, 42634,19590403,   21,    0
   708, 42634,19590404,   17,    0
   708, 42634,19590405,   16,    0
   708, 42634,19590406,   36,    0
   708, 42634,19590407,   30,    0
   708, 42634,19590408,   12,    0
   708, 42634,19590409,  -14,    0
   708, 42634,19590410,    9,    0
   708, 42634,19590411,    7,    0
   708, 42634,19590412,   18,    0
   708, 42634,19590413,   13,    0
   708, 42634,19590414,   31,    0
   708, 42634,19590415,   91,    0
   708, 42634,19590416,  104,    0
   708, 42634,19590417,   89,    0
   708, 42634,19590418,   29,    0
   708, 42634,19590419,   -4,    0
   708, 42634,19590420,    6,    0
   708, 42634,19590421,   12,    0
   708, 42634,19590422,   -3,    0
   708, 42634,19590423,    4,    0
   708, 42634,19590424,   36,    0
   708, 42634,19590425,   54,    0
   708, 42634,19590426,   69,    0
   708, 42634,19590427,  104,    0
   708, 42634,19590428,  110,    0
   708, 42634,19590429,  119,    0
   708, 42634,19590430,  123,    0
   708, 42634,19590501,  120,    0
   708, 42634,19590502,  147,    0
   708, 42634,19590503,  145,    0
   708, 42634,19590504,  108,    0
   708, 42634,19590505,   93,    0
   708, 42634,19590506,   65,    0
   708, 42634,19590507,   53,    0
   708, 42634,19590508,   52,    0
   708, 42634,19590509,   75,    0
   708, 42634,19590510,   96,    0
   708, 42634,19590511,  104,    0
   708, 42634,19590512,  113,    0
   708, 42634,19590513,  138,    0
   708, 42634,19590514,  155,    0
   708, 42634,19590515,  144,    0
   708, 42634,19590516,  155,    0
   708, 42634,19590517,   89,    0
   708, 42634,19590518,   81,    0
   708, 42634,19590519,   57,    0
   708, 42634,19590520,   57,    0
   708, 42634,19590521,   63,    0
   708, 42634,19590522,   46,    0
   708, 42634,19590523,   60,    0
   708, 42634,19590524,   74,    0
   708, 42634,19590525,   68,    0
   708, 42634,19590526,   72,    0
   708, 42634,19590527,   78,    0
   708, 42634,19590528,   66,    0
   708, 42634,19590529,   61,    0
   708, 42634,19590530,   84,    0
   708, 42634,19590531,   98,    0
   708, 42634,19590601,   99,    0
   708, 42634,19590602,  107,    0
   708, 42634,19590603,  120,    0
   708, 42634,19590604,  160,    0
   708, 42634,19590605,  145,    0
   708, 42634,19590606,  171,    0
   708, 42634,19590607,  182,    0
   708, 42634,19590608,  199,    0
   708, 42634,19590609,  199,    0
   708, 42634,19590610,  160,    0
   708, 42634,19590611,  135,    0
   708, 42634,19590612,  168,    0
   708, 42634,19590613,  164,    0
   708, 42634,19590614,  113,    0
   708, 42634,19590615,   96,    0
   708, 42634,19590616,   92,    0
   708, 42634,19590617,  108,    0
   708, 42634,19590618,  137,    0
   708, 42634,19590619,  125,    0
   708, 42634,19590620,  104,    0
   708, 42634,19590621,  107,    0
   708, 42634,19590622,  125,    0
   708, 42634,19590623,  144,    0
   708, 42634,19590624,  155,    0
   708, 42634,19590625,  191,    0
   708, 42634,19590626,  200,    0
   708, 42634,19590627,  186,    0
   708, 42634,19590628,  155,    0
   708, 42634,19590629,  122,    0
   708, 42634,19590630,  132,    0
   708, 42634,19590701,  131,    0
   708, 42634,19590702,  162,    0
   708, 42634,19590703,  127,    0
   708, 42634,19590704,  160,    0
   708, 42634,19590705,  167,    0
   708, 42634,19590706,  185,    0
   708, 42634,19590707,  197,    0
   708, 42634,19590708,  176,    0
   708, 42634,19590709,  187,    0
   708, 42634,19590710,  195,    0
   708, 42634,19590711,  159,    0
   708, 42634,19590712,  153,    0
   708, 42634,19590713,  202,    0
   708, 42634,19590714,  173,    0
   708, 42634,19590715,  151,    0
   708, 42634,19590716,  146,    0
   708, 42634,19590717,  160,    0
   708, 42634,19590718,  167,    0
   708, 42634,19590719,  170,    0
   708, 42634,19590720,  190,    0
   708, 42634,19590721,  201,    0
   708, 42634,19590722,  183,    0
   708, 42634,19590723,  211,    0
   708, 42634,19590724,  216,    0
   708, 42634,19590725,  221,    0
   708, 42634,19590726,  218,    0
   708, 42634,19590727,  189,    0
   708, 42634,19590728,  186,    0
   708, 42634,19590729,  191,    0
   708, 42634,19590730,  153,    0
