EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TOHMAJARVI KEMIE, FINLAND (STAID: 716)
Blended and updated with sources:44200 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   716, 44200,19590101,  -95,    0
   716, 44200,19590102,  -91,    0
   716, 44200,19590103,  -56,    0
   716, 44200,19590104,  -10,    0
   716, 44200,19590105,   -8,    0
   716, 44200,19590106,  -15,    0
   716, 44200,19590107,  -24,    0
   716, 44200,19590108,  -40,    0
   716, 44200,19590109,  -44,    0
   716, 44200,19590110,  -40,    0
   716, 44200,19590111,  -38,    0
   716, 44200,19590112,  -51,    0
   716, 44200,19590113,  -56,    0
   716, 44200,19590114,  -83,    0
   716, 44200,19590115, -117,    0
   716, 44200,19590116, -178,    0
   716, 44200,19590117, -238,    0
   716, 44200,19590118, -264,    0
   716, 44200,19590119, -282,    0
   716, 44200,19590120, -275,    0
   716, 44200,19590121, -172,    0
   716, 44200,19590122,  -95,    0
   716, 44200,19590123,  -95,    0
   716, 44200,19590124,  -32,    0
   716, 44200,19590125,  -87,    0
   716, 44200,19590126,  -99,    0
   716, 44200,19590127,  -68,    0
   716, 44200,19590128,  -28,    0
   716, 44200,19590129,  -41,    0
   716, 44200,19590130,  -42,    0
   716, 44200,19590131,  -48,    0
   716, 44200,19590201, -105,    0
   716, 44200,19590202,  -69,    0
   716, 44200,19590203,  -61,    0
   716, 44200,19590204,  -33,    0
   716, 44200,19590205,  -29,    0
   716, 44200,19590206,  -64,    0
   716, 44200,19590207,  -41,    0
   716, 44200,19590208,  -37,    0
   716, 44200,19590209,  -52,    0
   716, 44200,19590210, -102,    0
   716, 44200,19590211, -107,    0
   716, 44200,19590212,  -59,    0
   716, 44200,19590213,  -56,    0
   716, 44200,19590214,  -57,    0
   716, 44200,19590215,  -68,    0
   716, 44200,19590216,  -56,    0
   716, 44200,19590217,  -38,    0
   716, 44200,19590218,  -61,    0
   716, 44200,19590219,  -28,    0
   716, 44200,19590220,  -15,    0
   716, 44200,19590221,  -44,    0
   716, 44200,19590222,  -58,    0
   716, 44200,19590223, -106,    0
   716, 44200,19590224,  -97,    0
   716, 44200,19590225,  -84,    0
   716, 44200,19590226,  -70,    0
   716, 44200,19590227,  -19,    0
   716, 44200,19590228,  -30,    0
   716, 44200,19590301,    3,    0
   716, 44200,19590302,    4,    0
   716, 44200,19590303,   19,    0
   716, 44200,19590304,   13,    0
   716, 44200,19590305,    2,    0
   716, 44200,19590306,  -12,    0
   716, 44200,19590307,  -13,    0
   716, 44200,19590308,   -9,    0
   716, 44200,19590309,  -51,    0
   716, 44200,19590310,  -98,    0
   716, 44200,19590311,  -88,    0
   716, 44200,19590312,  -85,    0
   716, 44200,19590313,  -97,    0
   716, 44200,19590314, -106,    0
   716, 44200,19590315,  -84,    0
   716, 44200,19590316,  -39,    0
   716, 44200,19590317,   -1,    0
   716, 44200,19590318,   31,    0
   716, 44200,19590319,    7,    0
   716, 44200,19590320,  -18,    0
   716, 44200,19590321,   23,    0
   716, 44200,19590322,   33,    0
   716, 44200,19590323,  -20,    0
   716, 44200,19590324,   -3,    0
   716, 44200,19590325,    6,    0
   716, 44200,19590326,    7,    0
   716, 44200,19590327,    7,    0
   716, 44200,19590328,  -10,    0
   716, 44200,19590329,  -63,    0
   716, 44200,19590330,  -89,    0
   716, 44200,19590331,  -88,    0
   716, 44200,19590401,  -29,    0
   716, 44200,19590402,    7,    0
   716, 44200,19590403,   16,    0
   716, 44200,19590404,   13,    0
   716, 44200,19590405,    4,    0
   716, 44200,19590406,  -17,    0
   716, 44200,19590407,  -16,    0
   716, 44200,19590408,  -41,    0
   716, 44200,19590409,  -45,    0
   716, 44200,19590410,  -20,    0
   716, 44200,19590411,  -13,    0
   716, 44200,19590412,    1,    0
   716, 44200,19590413,    8,    0
   716, 44200,19590414,   10,    0
   716, 44200,19590415,   63,    0
   716, 44200,19590416,   74,    0
   716, 44200,19590417,   74,    0
   716, 44200,19590418,   26,    0
   716, 44200,19590419,  -11,    0
   716, 44200,19590420,  -23,    0
   716, 44200,19590421,  -41,    0
   716, 44200,19590422,  -34,    0
   716, 44200,19590423,  -40,    0
   716, 44200,19590424,  -24,    0
   716, 44200,19590425,   41,    0
   716, 44200,19590426,   64,    0
   716, 44200,19590427,   76,    0
   716, 44200,19590428,   77,    0
   716, 44200,19590429,   74,    0
   716, 44200,19590430,   82,    0
   716, 44200,19590501,   88,    0
   716, 44200,19590502,   94,    0
   716, 44200,19590503,  114,    0
   716, 44200,19590504,  118,    0
   716, 44200,19590505,  101,    0
   716, 44200,19590506,   76,    0
   716, 44200,19590507,   64,    0
   716, 44200,19590508,   55,    0
   716, 44200,19590509,   59,    0
   716, 44200,19590510,   58,    0
   716, 44200,19590511,   83,    0
   716, 44200,19590512,  121,    0
   716, 44200,19590513,  132,    0
   716, 44200,19590514,  136,    0
   716, 44200,19590515,  146,    0
   716, 44200,19590516,  136,    0
   716, 44200,19590517,   87,    0
   716, 44200,19590518,   50,    0
   716, 44200,19590519,   50,    0
   716, 44200,19590520,   50,    0
   716, 44200,19590521,   53,    0
   716, 44200,19590522,   27,    0
   716, 44200,19590523,   46,    0
   716, 44200,19590524,   58,    0
   716, 44200,19590525,   64,    0
   716, 44200,19590526,   61,    0
   716, 44200,19590527,   48,    0
   716, 44200,19590528,   42,    0
   716, 44200,19590529,   46,    0
   716, 44200,19590530,   69,    0
   716, 44200,19590531,   83,    0
   716, 44200,19590601,   99,    0
   716, 44200,19590602,  117,    0
   716, 44200,19590603,  134,    0
   716, 44200,19590604,  150,    0
   716, 44200,19590605,  173,    0
   716, 44200,19590606,  177,    0
   716, 44200,19590607,  175,    0
   716, 44200,19590608,  193,    0
   716, 44200,19590609,  205,    0
   716, 44200,19590610,  187,    0
   716, 44200,19590611,  188,    0
   716, 44200,19590612,  162,    0
   716, 44200,19590613,  170,    0
   716, 44200,19590614,  129,    0
   716, 44200,19590615,   99,    0
   716, 44200,19590616,  125,    0
   716, 44200,19590617,  127,    0
   716, 44200,19590618,  125,    0
   716, 44200,19590619,  152,    0
   716, 44200,19590620,  127,    0
   716, 44200,19590621,  125,    0
   716, 44200,19590622,  114,    0
   716, 44200,19590623,  138,    0
   716, 44200,19590624,  148,    0
   716, 44200,19590625,  176,    0
   716, 44200,19590626,  168,    0
   716, 44200,19590627,  164,    0
   716, 44200,19590628,  120,    0
   716, 44200,19590629,   95,    0
   716, 44200,19590630,  116,    0
   716, 44200,19590701,  129,    0
   716, 44200,19590702,  157,    0
   716, 44200,19590703,  144,    0
   716, 44200,19590704,  142,    0
   716, 44200,19590705,  153,    0
   716, 44200,19590706,  166,    0
   716, 44200,19590707,  175,    0
   716, 44200,19590708,  185,    0
   716, 44200,19590709,  179,    0
   716, 44200,19590710,  213,    0
   716, 44200,19590711,  159,    0
   716, 44200,19590712,  139,    0
   716, 44200,19590713,  189,    0
