EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TAIVALKOSKI KK, FINLAND (STAID: 731)
Blended and updated with sources:46025 46055 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   731, 46025,19590101, -105,    0
   731, 46025,19590102, -119,    0
   731, 46025,19590103, -114,    0
   731, 46025,19590104,  -86,    0
   731, 46025,19590105,  -51,    0
   731, 46025,19590106,  -35,    0
   731, 46025,19590107,  -39,    0
   731, 46025,19590108,  -65,    0
   731, 46025,19590109,  -88,    0
   731, 46025,19590110, -100,    0
   731, 46025,19590111,  -50,    0
   731, 46025,19590112,  -50,    0
   731, 46025,19590113,  -73,    0
   731, 46025,19590114,  -97,    0
   731, 46025,19590115, -151,    0
   731, 46025,19590116, -259,    0
   731, 46025,19590117, -275,    0
   731, 46025,19590118, -302,    0
   731, 46025,19590119, -287,    0
   731, 46025,19590120, -291,    0
   731, 46025,19590121, -253,    0
   731, 46025,19590122, -169,    0
   731, 46025,19590123, -172,    0
   731, 46025,19590124, -160,    0
   731, 46025,19590125, -190,    0
   731, 46025,19590126, -168,    0
   731, 46025,19590127,  -82,    0
   731, 46025,19590128,  -42,    0
   731, 46025,19590129,  -44,    0
   731, 46025,19590130,  -70,    0
   731, 46025,19590131, -106,    0
   731, 46025,19590201, -173,    0
   731, 46025,19590202,  -85,    0
   731, 46025,19590203,  -40,    0
   731, 46025,19590204,  -13,    0
   731, 46025,19590205,  -38,    0
   731, 46025,19590206,  -59,    0
   731, 46025,19590207,  -75,    0
   731, 46025,19590208,  -85,    0
   731, 46025,19590209,  -72,    0
   731, 46025,19590210,  -95,    0
   731, 46025,19590211,  -75,    0
   731, 46025,19590212,  -38,    0
   731, 46025,19590213,  -52,    0
   731, 46025,19590214,  -64,    0
   731, 46025,19590215,  -66,    0
   731, 46025,19590216,  -50,    0
   731, 46025,19590217,  -61,    0
   731, 46025,19590218,  -67,    0
   731, 46025,19590219,  -25,    0
   731, 46025,19590220,  -27,    0
   731, 46025,19590221,  -44,    0
   731, 46025,19590222,  -87,    0
   731, 46025,19590223, -113,    0
   731, 46025,19590224,  -87,    0
   731, 46025,19590225,  -87,    0
   731, 46025,19590226,  -69,    0
   731, 46025,19590227,  -39,    0
   731, 46025,19590228,  -17,    0
   731, 46025,19590301,    2,    0
   731, 46025,19590302,    3,    0
   731, 46025,19590303,    2,    0
   731, 46025,19590304,    7,    0
   731, 46025,19590305,    7,    0
   731, 46025,19590306,    1,    0
   731, 46025,19590307,   -7,    0
   731, 46025,19590308,  -10,    0
   731, 46025,19590309,  -55,    0
   731, 46025,19590310,  -27,    0
   731, 46025,19590311,  -55,    0
   731, 46025,19590312,  -78,    0
   731, 46025,19590313,  -79,    0
   731, 46025,19590314,  -25,    0
   731, 46025,19590315,  -89,    0
