EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KUUSAMO LENTOASEMA-1, FINLAND (STAID: 732)
Blended and updated with sources:46060 902869 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   732, 46060,19590101, -122,    0
   732, 46060,19590102, -125,    0
   732, 46060,19590103, -127,    0
   732, 46060,19590104,  -97,    0
   732, 46060,19590105,  -60,    0
   732, 46060,19590106,  -36,    0
   732, 46060,19590107,  -39,    0
   732, 46060,19590108,  -88,    0
   732, 46060,19590109,  -89,    0
   732, 46060,19590110,  -85,    0
   732, 46060,19590111,  -58,    0
   732, 46060,19590112,  -43,    0
   732, 46060,19590113,  -80,    0
   732, 46060,19590114, -106,    0
   732, 46060,19590115, -123,    0
   732, 46060,19590116, -252,    0
   732, 46060,19590117, -222,    0
   732, 46060,19590118, -248,    0
   732, 46060,19590119, -294,    0
   732, 46060,19590120, -184,    0
   732, 46060,19590121, -270,    0
   732, 46060,19590122, -157,    0
   732, 46060,19590123, -178,    0
   732, 46060,19590124, -155,    0
   732, 46060,19590125, -175,    0
   732, 46060,19590126, -204,    0
   732, 46060,19590127,  -79,    0
   732, 46060,19590128,  -49,    0
   732, 46060,19590129,  -44,    0
   732, 46060,19590130,  -42,    0
   732, 46060,19590131, -161,    0
   732, 46060,19590201, -160,    0
   732, 46060,19590202,  -58,    0
   732, 46060,19590203,  -60,    0
   732, 46060,19590204,  -11,    0
   732, 46060,19590205,  -36,    0
   732, 46060,19590206,  -59,    0
   732, 46060,19590207,  -63,    0
   732, 46060,19590208, -150,    0
   732, 46060,19590209,  -41,    0
   732, 46060,19590210,  -83,    0
   732, 46060,19590211, -108,    0
   732, 46060,19590212,  -34,    0
   732, 46060,19590213,  -65,    0
   732, 46060,19590214, -105,    0
   732, 46060,19590215,  -75,    0
   732, 46060,19590216,  -46,    0
   732, 46060,19590217,  -38,    0
   732, 46060,19590218,  -89,    0
   732, 46060,19590219,  -16,    0
   732, 46060,19590220,  -35,    0
   732, 46060,19590221,  -48,    0
   732, 46060,19590222,  -66,    0
   732, 46060,19590223, -148,    0
   732, 46060,19590224,  -86,    0
   732, 46060,19590225,  -68,    0
   732, 46060,19590226,  -81,    0
   732, 46060,19590227,  -53,    0
   732, 46060,19590228,  -30,    0
   732, 46060,19590301,   12,    0
   732, 46060,19590302,    2,    0
   732, 46060,19590303,    5,    0
   732, 46060,19590304,    4,    0
   732, 46060,19590305,    6,    0
   732, 46060,19590306,   -4,    0
   732, 46060,19590307,  -20,    0
   732, 46060,19590308,  -13,    0
   732, 46060,19590309,  -53,    0
   732, 46060,19590310,  -41,    0
   732, 46060,19590311,  -43,    0
   732, 46060,19590312, -111,    0
   732, 46060,19590313, -107,    0
   732, 46060,19590314,  -61,    0
   732, 46060,19590315, -103,    0
   732, 46060,19590316,  -21,    0
   732, 46060,19590317,   -1,    0
   732, 46060,19590318,   20,    0
   732, 46060,19590319,  -30,    0
   732, 46060,19590320,  -20,    0
   732, 46060,19590321,   27,    0
   732, 46060,19590322,    6,    0
   732, 46060,19590323,  -43,    0
   732, 46060,19590324,  -14,    0
