EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MUONIO ALAMUONIO, FINLAND (STAID: 734)
Blended and updated with sources:37436 46421 902823 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   734, 46421,19590101,  -87,    0
   734, 46421,19590102,  -98,    0
   734, 46421,19590103, -118,    0
   734, 46421,19590104, -104,    0
   734, 46421,19590105,  -79,    0
   734, 46421,19590106,  -58,    0
   734, 46421,19590107,  -65,    0
   734, 46421,19590108, -129,    0
   734, 46421,19590109, -199,    0
   734, 46421,19590110, -155,    0
   734, 46421,19590111,  -95,    0
   734, 46421,19590112,  -80,    0
   734, 46421,19590113,  -93,    0
   734, 46421,19590114, -111,    0
   734, 46421,19590115, -184,    0
   734, 46421,19590116, -222,    0
   734, 46421,19590117, -217,    0
   734, 46421,19590118, -266,    0
   734, 46421,19590119, -220,    0
   734, 46421,19590120, -258,    0
   734, 46421,19590121, -271,    0
   734, 46421,19590122, -168,    0
   734, 46421,19590123, -137,    0
   734, 46421,19590124, -127,    0
   734, 46421,19590125, -172,    0
   734, 46421,19590126, -142,    0
   734, 46421,19590127,  -66,    0
   734, 46421,19590128,  -33,    0
   734, 46421,19590129,  -40,    0
   734, 46421,19590130,  -63,    0
   734, 46421,19590131,  -83,    0
   734, 46421,19590201,  -98,    0
   734, 46421,19590202,  -27,    0
   734, 46421,19590203,  -14,    0
   734, 46421,19590204,  -15,    0
   734, 46421,19590205,  -33,    0
   734, 46421,19590206,  -37,    0
   734, 46421,19590207,  -20,    0
   734, 46421,19590208,  -30,    0
   734, 46421,19590209,  -34,    0
   734, 46421,19590210,  -74,    0
   734, 46421,19590211,  -67,    0
   734, 46421,19590212,  -18,    0
   734, 46421,19590213,  -22,    0
   734, 46421,19590214,  -61,    0
   734, 46421,19590215,  -43,    0
   734, 46421,19590216,  -25,    0
   734, 46421,19590217,  -60,    0
   734, 46421,19590218,  -55,    0
   734, 46421,19590219,  -25,    0
   734, 46421,19590220,  -54,    0
   734, 46421,19590221,  -68,    0
   734, 46421,19590222,  -92,    0
   734, 46421,19590223,  -94,    0
   734, 46421,19590224,  -60,    0
   734, 46421,19590225,  -62,    0
   734, 46421,19590226,  -45,    0
   734, 46421,19590227,   -9,    0
   734, 46421,19590228,   -3,    0
   734, 46421,19590301,   17,    0
   734, 46421,19590302,   13,    0
   734, 46421,19590303,  -11,    0
   734, 46421,19590304,  -14,    0
   734, 46421,19590305,  -17,    0
   734, 46421,19590306,  -18,    0
   734, 46421,19590307,  -14,    0
   734, 46421,19590308,  -22,    0
   734, 46421,19590309,  -51,    0
   734, 46421,19590310,    7,    0
   734, 46421,19590311,  -13,    0
   734, 46421,19590312,  -59,    0
   734, 46421,19590313, -108,    0
   734, 46421,19590314, -103,    0
   734, 46421,19590315,  -48,    0
   734, 46421,19590316,   -8,    0
