EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INARI IVALO LENTOASEMA, FINLAND (STAID: 735)
Blended and updated with sources:46686 902807 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   735, 46686,19590101,  -87,    0
   735, 46686,19590102,  -93,    0
   735, 46686,19590103, -171,    0
   735, 46686,19590104, -120,    0
   735, 46686,19590105, -106,    0
   735, 46686,19590106,  -45,    0
   735, 46686,19590107,  -49,    0
   735, 46686,19590108,  -92,    0
   735, 46686,19590109, -118,    0
   735, 46686,19590110, -143,    0
   735, 46686,19590111, -112,    0
   735, 46686,19590112,  -64,    0
   735, 46686,19590113,  -78,    0
   735, 46686,19590114,  -98,    0
   735, 46686,19590115, -171,    0
   735, 46686,19590116, -241,    0
   735, 46686,19590117, -233,    0
   735, 46686,19590118, -284,    0
   735, 46686,19590119, -158,    0
   735, 46686,19590120, -118,    0
   735, 46686,19590121, -253,    0
   735, 46686,19590122, -270,    0
   735, 46686,19590123, -182,    0
   735, 46686,19590124, -126,    0
   735, 46686,19590125, -237,    0
   735, 46686,19590126, -194,    0
   735, 46686,19590127,  -55,    0
   735, 46686,19590128,  -19,    0
   735, 46686,19590129,  -19,    0
   735, 46686,19590130,  -53,    0
   735, 46686,19590131, -110,    0
   735, 46686,19590201, -115,    0
   735, 46686,19590202,  -23,    0
   735, 46686,19590203,  -44,    0
   735, 46686,19590204,   -1,    0
   735, 46686,19590205,  -13,    0
   735, 46686,19590206,  -25,    0
   735, 46686,19590207,  -10,    0
   735, 46686,19590208,  -22,    0
   735, 46686,19590209,  -23,    0
   735, 46686,19590210,  -40,    0
   735, 46686,19590211,  -51,    0
   735, 46686,19590212,   -6,    0
   735, 46686,19590213,  -11,    0
   735, 46686,19590214,  -44,    0
   735, 46686,19590215,  -35,    0
   735, 46686,19590216,   -1,    0
   735, 46686,19590217,  -37,    0
   735, 46686,19590218,  -82,    0
   735, 46686,19590219,   -9,    0
   735, 46686,19590220,  -61,    0
   735, 46686,19590221,  -49,    0
   735, 46686,19590222,  -42,    0
   735, 46686,19590223, -126,    0
   735, 46686,19590224,  -68,    0
   735, 46686,19590225,  -91,    0
   735, 46686,19590226,  -70,    0
   735, 46686,19590227,  -38,    0
   735, 46686,19590228,  -33,    0
   735, 46686,19590301,   29,    0
   735, 46686,19590302,   23,    0
   735, 46686,19590303,   11,    0
   735, 46686,19590304,   13,    0
   735, 46686,19590305,   -4,    0
   735, 46686,19590306,  -26,    0
   735, 46686,19590307,   -2,    0
   735, 46686,19590308,   -7,    0
   735, 46686,19590309,  -35,    0
   735, 46686,19590310,   28,    0
   735, 46686,19590311,   16,    0
   735, 46686,19590312,  -45,    0
   735, 46686,19590313,  -97,    0
   735, 46686,19590314,  -90,    0
   735, 46686,19590315,  -50,    0
   735, 46686,19590316,    4,    0
   735, 46686,19590317,   28,    0
   735, 46686,19590318,   20,    0
   735, 46686,19590319,  -48,    0
   735, 46686,19590320,   11,    0
   735, 46686,19590321,   44,    0
   735, 46686,19590322,    9,    0
   735, 46686,19590323,   -5,    0
   735, 46686,19590324,   27,    0
   735, 46686,19590325,    3,    0
   735, 46686,19590326,  -57,    0
   735, 46686,19590327, -116,    0
   735, 46686,19590328, -144,    0
   735, 46686,19590329, -126,    0
   735, 46686,19590330,  -55,    0
   735, 46686,19590331,  -26,    0
   735, 46686,19590401,  -29,    0
   735, 46686,19590402,  -12,    0
   735, 46686,19590403,  -11,    0
   735, 46686,19590404,   -2,    0
   735, 46686,19590405,    6,    0
   735, 46686,19590406,  -14,    0
   735, 46686,19590407,  -73,    0
   735, 46686,19590408, -111,    0
   735, 46686,19590409, -103,    0
   735, 46686,19590410, -116,    0
   735, 46686,19590411, -123,    0
   735, 46686,19590412, -103,    0
   735, 46686,19590413,  -92,    0
   735, 46686,19590414,  -82,    0
   735, 46686,19590415,  -77,    0
   735, 46686,19590416,  -16,    0
   735, 46686,19590417,  -37,    0
   735, 46686,19590418,  -41,    0
   735, 46686,19590419,  -77,    0
   735, 46686,19590420,  -92,    0
   735, 46686,19590421, -110,    0
   735, 46686,19590422,  -73,    0
   735, 46686,19590423,  -79,    0
   735, 46686,19590424,  -42,    0
   735, 46686,19590425,   25,    0
   735, 46686,19590426,   52,    0
   735, 46686,19590427,   73,    0
   735, 46686,19590428,   88,    0
   735, 46686,19590429,   84,    0
   735, 46686,19590430,  100,    0
   735, 46686,19590501,   83,    0
   735, 46686,19590502,   68,    0
   735, 46686,19590503,  101,    0
