EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VY'TEGRA, RUSSIAN FEDERATION (STAID: 104)
Blended and updated with sources:405 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   104,   405,18810101,  -61,    0
   104,   405,18810102,  -32,    0
   104,   405,18810103,    6,    0
   104,   405,18810104,    7,    0
   104,   405,18810105,  -87,    0
   104,   405,18810106,  -79,    0
   104,   405,18810107,  -54,    0
   104,   405,18810108, -127,    0
   104,   405,18810109, -220,    0
   104,   405,18810110, -263,    0
   104,   405,18810111, -209,    0
   104,   405,18810112, -275,    0
   104,   405,18810113, -149,    0
   104,   405,18810114, -188,    0
   104,   405,18810115, -138,    0
   104,   405,18810116, -156,    0
   104,   405,18810117, -194,    0
   104,   405,18810118, -198,    0
   104,   405,18810119, -226,    0
   104,   405,18810120, -191,    0
   104,   405,18810121, -179,    0
   104,   405,18810122, -318,    0
   104,   405,18810123, -277,    0
   104,   405,18810124, -193,    0
   104,   405,18810125, -170,    0
   104,   405,18810126,  -36,    0
   104,   405,18810127,  -79,    0
   104,   405,18810128,  -96,    0
   104,   405,18810129, -130,    0
   104,   405,18810130,  -94,    0
   104,   405,18810131,  -91,    0
   104,   405,18810201,  -90,    0
   104,   405,18810202,  -45,    0
   104,   405,18810203,  -36,    0
   104,   405,18810204, -147,    0
   104,   405,18810205, -293,    0
   104,   405,18810206, -135,    0
   104,   405,18810207,  -65,    0
   104,   405,18810208, -190,    0
   104,   405,18810209, -176,    0
   104,   405,18810210,  -98,    0
   104,   405,18810211,  -17,    0
   104,   405,18810212,  -47,    0
   104,   405,18810213,  -69,    0
   104,   405,18810214, -175,    0
   104,   405,18810215, -118,    0
   104,   405,18810216,  -77,    0
   104,   405,18810217,  -51,    0
   104,   405,18810218,  -53,    0
   104,   405,18810219,  -49,    0
   104,   405,18810220,  -66,    0
   104,   405,18810221, -130,    0
   104,   405,18810222, -161,    0
   104,   405,18810223, -112,    0
   104,   405,18810224, -130,    0
   104,   405,18810225, -113,    0
   104,   405,18810226, -116,    0
   104,   405,18810227,  -78,    0
   104,   405,18810228, -141,    0
   104,   405,18810301, -124,    0
   104,   405,18810302, -109,    0
   104,   405,18810303, -127,    0
   104,   405,18810304,  -53,    0
   104,   405,18810305,  -74,    0
   104,   405,18810306,  -80,    0
   104,   405,18810307,  -74,    0
   104,   405,18810308,  -93,    0
   104,   405,18810309,  -11,    0
   104,   405,18810310,   22,    0
   104,   405,18810311,  -48,    0
   104,   405,18810312,  -65,    0
   104,   405,18810313,  -99,    0
   104,   405,18810314,  -95,    0
   104,   405,18810315, -146,    0
   104,   405,18810316,  -64,    0
   104,   405,18810317,  -25,    0
   104,   405,18810318,  -27,    0
   104,   405,18810319,   12,    0
   104,   405,18810320, -126,    0
   104,   405,18810321, -133,    0
   104,   405,18810322, -100,    0
   104,   405,18810323,  -69,    0
   104,   405,18810324,  -63,    0
   104,   405,18810325,  -47,    0
   104,   405,18810326,  -11,    0
   104,   405,18810327,  -13,    0
   104,   405,18810328,  -52,    0
   104,   405,18810329,  -10,    0
   104,   405,18810330,    9,    0
   104,   405,18810331,  -30,    0
   104,   405,18810401,  -45,    0
   104,   405,18810402,  -47,    0
   104,   405,18810403,  -99,    0
   104,   405,18810404,  -91,    0
   104,   405,18810405,  -41,    0
   104,   405,18810406,  -18,    0
   104,   405,18810407,  -43,    0
   104,   405,18810408,  -74,    0
   104,   405,18810409,  -17,    0
   104,   405,18810410,  -29,    0
   104,   405,18810411,    6,    0
   104,   405,18810412,   10,    0
   104,   405,18810413,   20,    0
   104,   405,18810414,   33,    0
   104,   405,18810415,   17,    0
   104,   405,18810416,   35,    0
   104,   405,18810417,   42,    0
   104,   405,18810418,   21,    0
   104,   405,18810419,   52,    0
   104,   405,18810420,   50,    0
   104,   405,18810421,   18,    0
   104,   405,18810422,   28,    0
   104,   405,18810423,   -1,    0
   104,   405,18810424,   -8,    0
   104,   405,18810425,   20,    0
   104,   405,18810426,   64,    0
   104,   405,18810427,   71,    0
   104,   405,18810428,  103,    0
   104,   405,18810429,   35,    0
   104,   405,18810430,   74,    0
   104,   405,18810501,   49,    0
   104,   405,18810502,   50,    0
   104,   405,18810503,   77,    0
   104,   405,18810504,   79,    0
   104,   405,18810505,   74,    0
   104,   405,18810506,   72,    0
   104,   405,18810507,   45,    0
   104,   405,18810508,   78,    0
   104,   405,18810509,   22,    0
   104,   405,18810510,    8,    0
   104,   405,18810511,   15,    0
   104,   405,18810512,   53,    0
   104,   405,18810513,   54,    0
   104,   405,18810514,   96,    0
   104,   405,18810515,  128,    0
   104,   405,18810516,   92,    0
   104,   405,18810517,  158,    0
   104,   405,18810518,  111,    0
   104,   405,18810519,  149,    0
   104,   405,18810520,  193,    0
   104,   405,18810521,   57,    0
   104,   405,18810522,   80,    0
   104,   405,18810523,  102,    0
   104,   405,18810524,  161,    0
   104,   405,18810525,  126,    0
   104,   405,18810526,   12,    0
   104,   405,18810527,   42,    0
   104,   405,18810528,    7,    0
   104,   405,18810529,   37,    0
   104,   405,18810530,   34,    0
   104,   405,18810531,   61,    0
   104,   405,18810601,   38,    0
   104,   405,18810602,   47,    0
   104,   405,18810603,   85,    0
   104,   405,18810604,   95,    0
   104,   405,18810605,  112,    0
   104,   405,18810606,  135,    0
   104,   405,18810607,  148,    0
   104,   405,18810608,  243,    0
   104,   405,18810609,  241,    0
   104,   405,18810610,  216,    0
   104,   405,18810611,  171,    0
   104,   405,18810612,  146,    0
   104,   405,18810613,  141,    0
   104,   405,18810614,  157,    0
   104,   405,18810615,  120,    0
   104,   405,18810616,  127,    0
   104,   405,18810617,  155,    0
   104,   405,18810618,  152,    0
   104,   405,18810619,  129,    0
   104,   405,18810620,  148,    0
   104,   405,18810621,  189,    0
   104,   405,18810622,  195,    0
   104,   405,18810623,  238,    0
   104,   405,18810624,  239,    0
   104,   405,18810625,  140,    0
   104,   405,18810626,  121,    0
   104,   405,18810627,  164,    0
   104,   405,18810628,  170,    0
   104,   405,18810629,  199,    0
