EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORDBY (FANO), DENMARK (STAID: 109)
Blended and updated with sources:832 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   109,   832,18740501,   56,    0
   109,   832,18740502,   44,    0
   109,   832,18740503,   42,    0
   109,   832,18740504,   44,    0
   109,   832,18740505,   44,    0
   109,   832,18740506,   66,    0
   109,   832,18740507,   74,    0
   109,   832,18740508,   90,    0
   109,   832,18740509,   88,    0
   109,   832,18740510,   83,    0
   109,   832,18740511,   90,    0
   109,   832,18740512,   97,    0
   109,   832,18740513,  102,    0
   109,   832,18740514,   78,    0
   109,   832,18740515,   63,    0
   109,   832,18740516,   59,    0
   109,   832,18740517,   76,    0
   109,   832,18740518,   90,    0
   109,   832,18740519,   90,    0
   109,   832,18740520,   86,    0
   109,   832,18740521,  119,    0
   109,   832,18740522,  116,    0
   109,   832,18740523,  106,    0
   109,   832,18740524,   94,    0
   109,   832,18740525,   78,    0
   109,   832,18740526,  106,    0
   109,   832,18740527,  120,    0
   109,   832,18740528,  118,    0
   109,   832,18740529,  121,    0
   109,   832,18740530,  122,    0
   109,   832,18740531,  139,    0
   109,   832,18740601,  143,    0
   109,   832,18740602,  162,    0
   109,   832,18740603,  186,    0
   109,   832,18740604,  128,    0
   109,   832,18740605,  145,    0
   109,   832,18740606,  148,    0
   109,   832,18740607,  118,    0
   109,   832,18740608,  128,    0
   109,   832,18740609,  150,    0
   109,   832,18740610,  142,    0
   109,   832,18740611,  108,    0
   109,   832,18740612,   94,    0
   109,   832,18740613,  102,    0
   109,   832,18740614,  114,    0
   109,   832,18740615,  127,    0
   109,   832,18740616,  144,    0
   109,   832,18740617,  164,    0
   109,   832,18740618,  148,    0
   109,   832,18740619,  123,    0
   109,   832,18740620,   98,    0
   109,   832,18740621,  108,    0
   109,   832,18740622,  118,    0
   109,   832,18740623,  132,    0
   109,   832,18740624,  182,    0
   109,   832,18740625,  156,    0
   109,   832,18740626,  152,    0
   109,   832,18740627,  166,    0
   109,   832,18740628,  164,    0
   109,   832,18740629,  140,    0
   109,   832,18740630,  138,    0
   109,   832,18740701,  145,    0
   109,   832,18740702,  168,    0
   109,   832,18740703,  165,    0
   109,   832,18740704,  170,    0
   109,   832,18740705,  156,    0
   109,   832,18740706,  143,    0
   109,   832,18740707,  142,    0
   109,   832,18740708,  154,    0
   109,   832,18740709,  180,    0
   109,   832,18740710,  191,    0
   109,   832,18740711,  192,    0
   109,   832,18740712,  184,    0
   109,   832,18740713,  146,    0
   109,   832,18740714,  162,    0
   109,   832,18740715,  176,    0
   109,   832,18740716,  148,    0
   109,   832,18740717,  151,    0
   109,   832,18740718,  146,    0
   109,   832,18740719,  166,    0
   109,   832,18740720,  183,    0
   109,   832,18740721,  193,    0
   109,   832,18740722,  166,    0
   109,   832,18740723,  173,    0
   109,   832,18740724,  171,    0
   109,   832,18740725,  158,    0
   109,   832,18740726,  162,    0
   109,   832,18740727,  177,    0
   109,   832,18740728,  187,    0
   109,   832,18740729,  195,    0
   109,   832,18740730,  182,    0
   109,   832,18740731,  180,    0
   109,   832,18740801,  178,    0
   109,   832,18740802,  170,    0
   109,   832,18740803,  170,    0
   109,   832,18740804,  150,    0
   109,   832,18740805,  146,    0
   109,   832,18740806,  146,    0
   109,   832,18740807,  150,    0
   109,   832,18740808,  158,    0
   109,   832,18740809,  164,    0
   109,   832,18740810,  158,    0
   109,   832,18740811,  145,    0
   109,   832,18740812,  148,    0
   109,   832,18740813,  162,    0
   109,   832,18740814,  154,    0
   109,   832,18740815,  164,    0
   109,   832,18740816,  154,    0
   109,   832,18740817,  160,    0
   109,   832,18740818,  145,    0
   109,   832,18740819,  153,    0
   109,   832,18740820,  156,    0
   109,   832,18740821,  146,    0
   109,   832,18740822,  142,    0
   109,   832,18740823,  148,    0
   109,   832,18740824,  132,    0
   109,   832,18740825,  122,    0
   109,   832,18740826,  116,    0
   109,   832,18740827,  122,    0
   109,   832,18740828,  140,    0
   109,   832,18740829,  142,    0
   109,   832,18740830,  137,    0
   109,   832,18740831,  142,    0
   109,   832,18740901,  159,    0
   109,   832,18740902,  175,    0
   109,   832,18740903,  168,    0
   109,   832,18740904,  158,    0
   109,   832,18740905,  132,    0
   109,   832,18740906,  118,    0
   109,   832,18740907,  114,    0
   109,   832,18740908,  114,    0
   109,   832,18740909,  120,    0
   109,   832,18740910,  139,    0
   109,   832,18740911,  130,    0
   109,   832,18740912,  121,    0
   109,   832,18740913,  117,    0
   109,   832,18740914,  122,    0
   109,   832,18740915,  130,    0
   109,   832,18740916,  154,    0
   109,   832,18740917,  141,    0
   109,   832,18740918,  132,    0
   109,   832,18740919,  147,    0
   109,   832,18740920,  148,    0
   109,   832,18740921,  150,    0
   109,   832,18740922,  152,    0
   109,   832,18740923,  149,    0
   109,   832,18740924,  146,    0
   109,   832,18740925,  148,    0
   109,   832,18740926,  148,    0
   109,   832,18740927,  134,    0
   109,   832,18740928,  138,    0
   109,   832,18740929,  128,    0
   109,   832,18740930,  160,    0
   109,   832,18741001,  160,    0
   109,   832,18741002,  138,    0
   109,   832,18741003,  122,    0
   109,   832,18741004,  105,    0
   109,   832,18741005,  104,    0
   109,   832,18741006,   96,    0
   109,   832,18741007,  116,    0
   109,   832,18741008,  121,    0
   109,   832,18741009,   92,    0
   109,   832,18741010,   98,    0
   109,   832,18741011,  110,    0
   109,   832,18741012,  126,    0
   109,   832,18741013,  126,    0
   109,   832,18741014,  116,    0
   109,   832,18741015,  128,    0
   109,   832,18741016,  130,    0
   109,   832,18741017,  128,    0
   109,   832,18741018,  138,    0
   109,   832,18741019,  137,    0
   109,   832,18741020,  124,    0
   109,   832,18741021,  110,    0
   109,   832,18741022,   80,    0
   109,   832,18741023,   90,    0
   109,   832,18741024,   90,    0
   109,   832,18741025,  100,    0
   109,   832,18741026,  104,    0
   109,   832,18741027,  115,    0
   109,   832,18741028,  104,    0
   109,   832,18741029,   94,    0
   109,   832,18741030,   72,    0
   109,   832,18741031,   64,    0
   109,   832,18741101,   50,    0
   109,   832,18741102,   64,    0
   109,   832,18741103,   68,    0
   109,   832,18741104,   68,    0
   109,   832,18741105,  107,    0
   109,   832,18741106,   84,    0
   109,   832,18741107,   83,    0
   109,   832,18741108,   80,    0
   109,   832,18741109,   90,    0
   109,   832,18741110,   88,    0
   109,   832,18741111,   32,    0
   109,   832,18741112,   14,    0
   109,   832,18741113,   12,    0
   109,   832,18741114,   20,    0
   109,   832,18741115,   30,    0
   109,   832,18741116,   50,    0
   109,   832,18741117,   30,    0
   109,   832,18741118,   12,    0
   109,   832,18741119,   -8,    0
   109,   832,18741120,  -10,    0
   109,   832,18741121,   -9,    0
   109,   832,18741122,   -4,    0
   109,   832,18741123,  -12,    0
   109,   832,18741124,  -16,    0
   109,   832,18741125,  -26,    0
   109,   832,18741126,  -24,    0
   109,   832,18741127,  -15,    0
   109,   832,18741128,   -6,    0
   109,   832,18741129,   18,    0
   109,   832,18741130,   14,    0
   109,   832,18741201,   39,    0
   109,   832,18741202,  -14,    0
   109,   832,18741203,    0,    0
   109,   832,18741204,   26,    0
   109,   832,18741205,   53,    0
   109,   832,18741206,-9999,    9
   109,   832,18741207,   24,    0
   109,   832,18741208,   22,    0
   109,   832,18741209,   12,    0
   109,   832,18741210,   -4,    0
   109,   832,18741211,  -16,    0
   109,   832,18741212,  -12,    0
   109,   832,18741213,   -2,    0
   109,   832,18741214,   -8,    0
   109,   832,18741215,  -30,    0
   109,   832,18741216,  -20,    0
   109,   832,18741217,  -24,    0
   109,   832,18741218,  -13,    0
   109,   832,18741219,  -20,    0
   109,   832,18741220,  -38,    0
   109,   832,18741221,  -25,    0
   109,   832,18741222,  -38,    0
   109,   832,18741223,  -24,    0
   109,   832,18741224,  -62,    0
   109,   832,18741225,  -46,    0
   109,   832,18741226,  -45,    0
   109,   832,18741227,  -67,    0
   109,   832,18741228,  -61,    0
   109,   832,18741229,  -49,    0
   109,   832,18741230,  -52,    0
   109,   832,18741231,  -42,    0
   109,   832,18750101,  -46,    0
   109,   832,18750102,  -49,    0
   109,   832,18750103,  -36,    0
   109,   832,18750104,    8,    0
   109,   832,18750105,   16,    0
   109,   832,18750106,    8,    0
   109,   832,18750107,    4,    0
   109,   832,18750108,  -18,    0
   109,   832,18750109,  -16,    0
   109,   832,18750110,   -6,    0
   109,   832,18750111,    7,    0
   109,   832,18750112,    8,    0
   109,   832,18750113,   11,    0
   109,   832,18750114,   18,    0
   109,   832,18750115,   22,    0
   109,   832,18750116,   26,    0
   109,   832,18750117,   24,    0
   109,   832,18750118,   32,    0
   109,   832,18750119,   42,    0
   109,   832,18750120,   52,    0
   109,   832,18750121,   41,    0
   109,   832,18750122,  -12,    0
   109,   832,18750123,  -40,    0
   109,   832,18750124,    9,    0
   109,   832,18750125,   22,    0
   109,   832,18750126,  -29,    0
   109,   832,18750127,  -35,    0
   109,   832,18750128,   -6,    0
   109,   832,18750129,    8,    0
   109,   832,18750130,   10,    0
   109,   832,18750131,    9,    0
   109,   832,18750201,   20,    0
   109,   832,18750202,   34,    0
   109,   832,18750203,   22,    0
   109,   832,18750204,   -6,    0
   109,   832,18750205,  -10,    0
   109,   832,18750206,  -38,    0
   109,   832,18750207,  -56,    0
   109,   832,18750208,  -42,    0
   109,   832,18750209,  -28,    0
   109,   832,18750210,  -22,    0
   109,   832,18750211,  -54,    0
   109,   832,18750212,  -50,    0
   109,   832,18750213,  -34,    0
   109,   832,18750214,  -36,    0
   109,   832,18750215,  -12,    0
   109,   832,18750216,    4,    0
   109,   832,18750217,   -2,    0
   109,   832,18750218,   -7,    0
   109,   832,18750219,  -18,    0
   109,   832,18750220,  -20,    0
   109,   832,18750221,  -47,    0
   109,   832,18750222,  -42,    0
   109,   832,18750223,  -54,    0
   109,   832,18750224,  -40,    0
   109,   832,18750225,-9999,    9
   109,   832,18750226,  -26,    0
   109,   832,18750227,  -48,    0
   109,   832,18750228,  -40,    0
   109,   832,18750301,  -38,    0
   109,   832,18750302,  -30,    0
   109,   832,18750303,  -24,    0
   109,   832,18750304,   -2,    0
   109,   832,18750305,  -12,    0
   109,   832,18750306,   -8,    0
   109,   832,18750307,  -12,    0
   109,   832,18750308,   10,    0
   109,   832,18750309,   22,    0
   109,   832,18750310,   25,    0
   109,   832,18750311,   17,    0
   109,   832,18750312,   -4,    0
   109,   832,18750313,   17,    0
   109,   832,18750314,   14,    0
   109,   832,18750315,   16,    0
   109,   832,18750316,    6,    0
   109,   832,18750317,   -3,    0
   109,   832,18750318,  -14,    0
   109,   832,18750319,    2,    0
   109,   832,18750320,  -17,    0
   109,   832,18750321,  -14,    0
   109,   832,18750322,   -2,    0
   109,   832,18750323,  -31,    0
   109,   832,18750324,   -4,    0
   109,   832,18750325,   30,    0
   109,   832,18750326,   18,    0
   109,   832,18750327,   30,    0
   109,   832,18750328,   30,    0
   109,   832,18750329,   28,    0
   109,   832,18750330,   35,    0
   109,   832,18750331,   41,    0
   109,   832,18750401,   56,    0
   109,   832,18750402,   40,    0
   109,   832,18750403,   38,    0
   109,   832,18750404,   46,    0
   109,   832,18750405,   72,    0
   109,   832,18750406,   60,    0
   109,   832,18750407,   88,    0
   109,   832,18750408,   56,    0
   109,   832,18750409,   55,    0
   109,   832,18750410,   75,    0
   109,   832,18750411,   66,    0
   109,   832,18750412,   66,    0
   109,   832,18750413,   34,    0
   109,   832,18750414,   36,    0
   109,   832,18750415,   66,    0
   109,   832,18750416,   52,    0
   109,   832,18750417,   54,    0
   109,   832,18750418,   52,    0
   109,   832,18750419,   60,    0
   109,   832,18750420,   60,    0
   109,   832,18750421,   63,    0
   109,   832,18750422,   28,    0
   109,   832,18750423,   20,    0
   109,   832,18750424,   13,    0
   109,   832,18750425,   53,    0
   109,   832,18750426,   62,    0
   109,   832,18750427,   52,    0
   109,   832,18750428,   54,    0
   109,   832,18750429,   68,    0
   109,   832,18750430,   78,    0
   109,   832,18750501,   81,    0
   109,   832,18750502,   76,    0
   109,   832,18750503,  100,    0
   109,   832,18750504,  124,    0
   109,   832,18750505,  134,    0
   109,   832,18750506,  142,    0
   109,   832,18750507,  144,    0
   109,   832,18750508,  120,    0
   109,   832,18750509,  110,    0
   109,   832,18750510,  102,    0
   109,   832,18750511,   94,    0
   109,   832,18750512,  105,    0
   109,   832,18750513,  102,    0
   109,   832,18750514,  105,    0
   109,   832,18750515,  112,    0
   109,   832,18750516,   98,    0
   109,   832,18750517,   86,    0
   109,   832,18750518,  106,    0
   109,   832,18750519,-9999,    9
   109,   832,18750520,-9999,    9
   109,   832,18750521,-9999,    9
   109,   832,18750522,  120,    0
   109,   832,18750523,  126,    0
   109,   832,18750524,  114,    0
   109,   832,18750525,  114,    0
   109,   832,18750526,  104,    0
   109,   832,18750527,  104,    0
   109,   832,18750528,  107,    0
   109,   832,18750529,  104,    0
   109,   832,18750530,   93,    0
   109,   832,18750531,  101,    0
   109,   832,18750601,  118,    0
   109,   832,18750602,  129,    0
   109,   832,18750603,  174,    0
   109,   832,18750604,  200,    0
   109,   832,18750605,  148,    0
   109,   832,18750606,  132,    0
   109,   832,18750607,  148,    0
   109,   832,18750608,  135,    0
   109,   832,18750609,  126,    0
   109,   832,18750610,  138,    0
   109,   832,18750611,  143,    0
   109,   832,18750612,  128,    0
   109,   832,18750613,  126,    0
   109,   832,18750614,  143,    0
   109,   832,18750615,  163,    0
   109,   832,18750616,  153,    0
   109,   832,18750617,  150,    0
   109,   832,18750618,  141,    0
   109,   832,18750619,  133,    0
   109,   832,18750620,  132,    0
   109,   832,18750621,  166,    0
   109,   832,18750622,  158,    0
   109,   832,18750623,  156,    0
   109,   832,18750624,  156,    0
   109,   832,18750625,  147,    0
   109,   832,18750626,  148,    0
   109,   832,18750627,  160,    0
   109,   832,18750628,  162,    0
   109,   832,18750629,  183,    0
   109,   832,18750630,  178,    0
   109,   832,18750701,  192,    0
   109,   832,18750702,  198,    0
   109,   832,18750703,  184,    0
   109,   832,18750704,  174,    0
   109,   832,18750705,  188,    0
   109,   832,18750706,  150,    0
   109,   832,18750707,  156,    0
   109,   832,18750708,  144,    0
   109,   832,18750709,  160,    0
   109,   832,18750710,  166,    0
   109,   832,18750711,  158,    0
   109,   832,18750712,  148,    0
   109,   832,18750713,  130,    0
   109,   832,18750714,  130,    0
   109,   832,18750715,  137,    0
   109,   832,18750716,  168,    0
   109,   832,18750717,  174,    0
   109,   832,18750718,  193,    0
   109,   832,18750719,  207,    0
   109,   832,18750720,  200,    0
   109,   832,18750721,  180,    0
   109,   832,18750722,  164,    0
   109,   832,18750723,  177,    0
   109,   832,18750724,  180,    0
   109,   832,18750725,  176,    0
   109,   832,18750726,  166,    0
   109,   832,18750727,  154,    0
   109,   832,18750728,  148,    0
   109,   832,18750729,  140,    0
   109,   832,18750730,  156,    0
   109,   832,18750731,  153,    0
   109,   832,18750801,  161,    0
   109,   832,18750802,  166,    0
   109,   832,18750803,  165,    0
   109,   832,18750804,  161,    0
   109,   832,18750805,  166,    0
   109,   832,18750806,  179,    0
   109,   832,18750807,  204,    0
   109,   832,18750808,  188,    0
   109,   832,18750809,  214,    0
   109,   832,18750810,  198,    0
   109,   832,18750811,  168,    0
   109,   832,18750812,  190,    0
   109,   832,18750813,  183,    0
   109,   832,18750814,  162,    0
   109,   832,18750815,  173,    0
   109,   832,18750816,  186,    0
   109,   832,18750817,  210,    0
   109,   832,18750818,  176,    0
   109,   832,18750819,  178,    0
   109,   832,18750820,  159,    0
   109,   832,18750821,  163,    0
   109,   832,18750822,  181,    0
   109,   832,18750823,  180,    0
   109,   832,18750824,  191,    0
   109,   832,18750825,  186,    0
   109,   832,18750826,  200,    0
   109,   832,18750827,  186,    0
   109,   832,18750828,  174,    0
   109,   832,18750829,  145,    0
   109,   832,18750830,  165,    0
   109,   832,18750831,  146,    0
   109,   832,18750901,  144,    0
   109,   832,18750902,  144,    0
   109,   832,18750903,  146,    0
   109,   832,18750904,  166,    0
   109,   832,18750905,  165,    0
   109,   832,18750906,  156,    0
   109,   832,18750907,  156,    0
   109,   832,18750908,  160,    0
   109,   832,18750909,  192,    0
   109,   832,18750910,  192,    0
   109,   832,18750911,  187,    0
   109,   832,18750912,  163,    0
   109,   832,18750913,  186,    0
   109,   832,18750914,  148,    0
   109,   832,18750915,  164,    0
   109,   832,18750916,  163,    0
   109,   832,18750917,  156,    0
   109,   832,18750918,  148,    0
   109,   832,18750919,  129,    0
   109,   832,18750920,  145,    0
   109,   832,18750921,  135,    0
   109,   832,18750922,  118,    0
   109,   832,18750923,   86,    0
   109,   832,18750924,   70,    0
   109,   832,18750925,   74,    0
   109,   832,18750926,  111,    0
   109,   832,18750927,  146,    0
   109,   832,18750928,  132,    0
   109,   832,18750929,  122,    0
   109,   832,18750930,  109,    0
   109,   832,18751001,  108,    0
   109,   832,18751002,  120,    0
   109,   832,18751003,  110,    0
   109,   832,18751004,  116,    0
   109,   832,18751005,  133,    0
   109,   832,18751006,  124,    0
   109,   832,18751007,  120,    0
   109,   832,18751008,  119,    0
   109,   832,18751009,  124,    0
   109,   832,18751010,  115,    0
   109,   832,18751011,   86,    0
   109,   832,18751012,   84,    0
   109,   832,18751013,   89,    0
   109,   832,18751014,   68,    0
   109,   832,18751015,   64,    0
   109,   832,18751016,-9999,    9
   109,   832,18751017,   64,    0
   109,   832,18751018,   50,    0
   109,   832,18751019,   28,    0
   109,   832,18751020,   26,    0
   109,   832,18751021,   32,    0
   109,   832,18751022,   38,    0
   109,   832,18751023,   48,    0
   109,   832,18751024,   20,    0
   109,   832,18751025,   26,    0
   109,   832,18751026,   16,    0
   109,   832,18751027,   28,    0
   109,   832,18751028,   26,    0
   109,   832,18751029,   28,    0
   109,   832,18751030,   22,    0
   109,   832,18751031,    9,    0
   109,   832,18751101,    4,    0
   109,   832,18751102,   24,    0
   109,   832,18751103,   28,    0
   109,   832,18751104,    2,    0
   109,   832,18751105,   20,    0
   109,   832,18751106,   34,    0
   109,   832,18751107,   72,    0
   109,   832,18751108,   52,    0
   109,   832,18751109,   38,    0
   109,   832,18751110,   19,    0
   109,   832,18751111,   12,    0
   109,   832,18751112,   26,    0
   109,   832,18751113,   36,    0
   109,   832,18751114,   38,    0
   109,   832,18751115,   36,    0
   109,   832,18751116,   27,    0
   109,   832,18751117,   27,    0
   109,   832,18751118,   36,    0
   109,   832,18751119,   49,    0
   109,   832,18751120,   14,    0
   109,   832,18751121,   14,    0
   109,   832,18751122,    8,    0
   109,   832,18751123,    3,    0
   109,   832,18751124,  -12,    0
   109,   832,18751125,  -10,    0
   109,   832,18751126,   -2,    0
   109,   832,18751127,   -4,    0
   109,   832,18751128,  -20,    0
   109,   832,18751129,  -26,    0
   109,   832,18751130,  -24,    0
   109,   832,18751201,  -24,    0
   109,   832,18751202,  -28,    0
   109,   832,18751203,  -30,    0
   109,   832,18751204,  -33,    0
   109,   832,18751205,  -46,    0
   109,   832,18751206,  -19,    0
   109,   832,18751207,  -36,    0
   109,   832,18751208,  -46,    0
   109,   832,18751209,  -37,    0
