EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALIN HEAD, IRELAND (STAID: 122)
Blended and updated with sources:456 903980 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   122,   456,19550101,-9999,    9
   122,   456,19550102,-9999,    9
   122,   456,19550103,-9999,    9
   122,   456,19550104,-9999,    9
   122,   456,19550105,-9999,    9
   122,   456,19550106,-9999,    9
   122,   456,19550107,-9999,    9
   122,   456,19550108,-9999,    9
   122,   456,19550109,-9999,    9
   122,   456,19550110,-9999,    9
   122,   456,19550111,-9999,    9
   122,   456,19550112,-9999,    9
   122,   456,19550113,-9999,    9
   122,   456,19550114,-9999,    9
   122,   456,19550115,-9999,    9
   122,   456,19550116,-9999,    9
   122,   456,19550117,-9999,    9
   122,   456,19550118,-9999,    9
   122,   456,19550119,-9999,    9
   122,   456,19550120,-9999,    9
   122,   456,19550121,-9999,    9
   122,   456,19550122,-9999,    9
   122,   456,19550123,-9999,    9
   122,   456,19550124,-9999,    9
   122,   456,19550125,-9999,    9
   122,   456,19550126,-9999,    9
   122,   456,19550127,-9999,    9
   122,   456,19550128,-9999,    9
   122,   456,19550129,-9999,    9
   122,   456,19550130,-9999,    9
   122,   456,19550131,-9999,    9
   122,   456,19550201,-9999,    9
   122,   456,19550202,-9999,    9
   122,   456,19550203,-9999,    9
   122,   456,19550204,-9999,    9
   122,   456,19550205,-9999,    9
   122,   456,19550206,-9999,    9
   122,   456,19550207,-9999,    9
   122,   456,19550208,-9999,    9
   122,   456,19550209,-9999,    9
   122,   456,19550210,-9999,    9
   122,   456,19550211,-9999,    9
   122,   456,19550212,-9999,    9
   122,   456,19550213,-9999,    9
   122,   456,19550214,-9999,    9
   122,   456,19550215,-9999,    9
   122,   456,19550216,-9999,    9
   122,   456,19550217,-9999,    9
   122,   456,19550218,-9999,    9
   122,   456,19550219,-9999,    9
   122,   456,19550220,-9999,    9
   122,   456,19550221,-9999,    9
   122,   456,19550222,-9999,    9
   122,   456,19550223,-9999,    9
   122,   456,19550224,-9999,    9
   122,   456,19550225,-9999,    9
   122,   456,19550226,-9999,    9
   122,   456,19550227,-9999,    9
   122,   456,19550228,-9999,    9
   122,   456,19550301,-9999,    9
   122,   456,19550302,-9999,    9
   122,   456,19550303,-9999,    9
   122,   456,19550304,-9999,    9
   122,   456,19550305,-9999,    9
   122,   456,19550306,-9999,    9
   122,   456,19550307,-9999,    9
   122,   456,19550308,-9999,    9
   122,   456,19550309,-9999,    9
   122,   456,19550310,-9999,    9
   122,   456,19550311,-9999,    9
   122,   456,19550312,-9999,    9
   122,   456,19550313,-9999,    9
   122,   456,19550314,-9999,    9
   122,   456,19550315,-9999,    9
   122,   456,19550316,-9999,    9
   122,   456,19550317,-9999,    9
   122,   456,19550318,-9999,    9
   122,   456,19550319,-9999,    9
   122,   456,19550320,-9999,    9
   122,   456,19550321,-9999,    9
   122,   456,19550322,-9999,    9
   122,   456,19550323,-9999,    9
   122,   456,19550324,-9999,    9
   122,   456,19550325,-9999,    9
   122,   456,19550326,-9999,    9
   122,   456,19550327,-9999,    9
   122,   456,19550328,-9999,    9
   122,   456,19550329,-9999,    9
   122,   456,19550330,-9999,    9
   122,   456,19550331,-9999,    9
   122,   456,19550401,-9999,    9
   122,   456,19550402,-9999,    9
   122,   456,19550403,-9999,    9
   122,   456,19550404,-9999,    9
   122,   456,19550405,-9999,    9
   122,   456,19550406,-9999,    9
   122,   456,19550407,-9999,    9
   122,   456,19550408,-9999,    9
   122,   456,19550409,-9999,    9
   122,   456,19550410,-9999,    9
   122,   456,19550411,-9999,    9
   122,   456,19550412,-9999,    9
   122,   456,19550413,-9999,    9
   122,   456,19550414,-9999,    9
   122,   456,19550415,-9999,    9
   122,   456,19550416,-9999,    9
   122,   456,19550417,-9999,    9
   122,   456,19550418,-9999,    9
   122,   456,19550419,-9999,    9
   122,   456,19550420,-9999,    9
   122,   456,19550421,-9999,    9
   122,   456,19550422,-9999,    9
   122,   456,19550423,-9999,    9
   122,   456,19550424,-9999,    9
   122,   456,19550425,-9999,    9
   122,   456,19550426,-9999,    9
   122,   456,19550427,-9999,    9
   122,   456,19550428,-9999,    9
   122,   456,19550429,-9999,    9
   122,   456,19550430,-9999,    9
   122,   456,19550501,   81,    0
   122,   456,19550502,   91,    0
   122,   456,19550503,   87,    0
   122,   456,19550504,  101,    0
   122,   456,19550505,  106,    0
   122,   456,19550506,   96,    0
   122,   456,19550507,  104,    0
   122,   456,19550508,  130,    0
   122,   456,19550509,  104,    0
   122,   456,19550510,   70,    0
   122,   456,19550511,   84,    0
   122,   456,19550512,   90,    0
   122,   456,19550513,   73,    0
   122,   456,19550514,   58,    0
   122,   456,19550515,   61,    0
   122,   456,19550516,   48,    0
   122,   456,19550517,   67,    0
   122,   456,19550518,   66,    0
   122,   456,19550519,   58,    0
