EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GLOMFJORD, NORWAY (STAID: 188)
Blended and updated with sources:586 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   188,   586,19160501,   20,    0
   188,   586,19160502,   15,    0
   188,   586,19160503,   11,    0
   188,   586,19160504,   30,    0
   188,   586,19160505,   43,    0
   188,   586,19160506,   72,    0
   188,   586,19160507,  124,    0
   188,   586,19160508,  145,    0
   188,   586,19160509,  150,    0
   188,   586,19160510,  104,    0
   188,   586,19160511,   43,    0
   188,   586,19160512,   35,    0
   188,   586,19160513,   56,    0
   188,   586,19160514,   75,    0
   188,   586,19160515,   57,    0
   188,   586,19160516,   69,    0
   188,   586,19160517,   43,    0
   188,   586,19160518,   46,    0
   188,   586,19160519,   48,    0
   188,   586,19160520,   40,    0
   188,   586,19160521,   54,    0
   188,   586,19160522,   73,    0
   188,   586,19160523,   83,    0
   188,   586,19160524,   96,    0
   188,   586,19160525,   93,    0
   188,   586,19160526,   88,    0
   188,   586,19160527,  107,    0
   188,   586,19160528,  111,    0
   188,   586,19160529,  127,    0
   188,   586,19160530,  112,    0
   188,   586,19160531,  119,    0
   188,   586,19160601,  110,    0
   188,   586,19160602,  112,    0
   188,   586,19160603,   61,    0
   188,   586,19160604,   59,    0
   188,   586,19160605,   75,    0
   188,   586,19160606,  136,    0
   188,   586,19160607,  124,    0
   188,   586,19160608,  125,    0
   188,   586,19160609,   88,    0
   188,   586,19160610,  132,    0
   188,   586,19160611,  144,    0
   188,   586,19160612,   78,    0
   188,   586,19160613,   59,    0
   188,   586,19160614,   50,    0
   188,   586,19160615,   52,    0
   188,   586,19160616,   66,    0
   188,   586,19160617,   69,    0
   188,   586,19160618,   68,    0
   188,   586,19160619,  104,    0
   188,   586,19160620,  123,    0
   188,   586,19160621,  125,    0
   188,   586,19160622,  102,    0
   188,   586,19160623,  121,    0
   188,   586,19160624,  170,    0
   188,   586,19160625,  179,    0
   188,   586,19160626,  189,    0
   188,   586,19160627,  135,    0
   188,   586,19160628,  139,    0
   188,   586,19160629,  173,    0
   188,   586,19160630,  204,    0
   188,   586,19160701,  193,    0
   188,   586,19160702,  171,    0
   188,   586,19160703,  106,    0
   188,   586,19160704,  119,    0
   188,   586,19160705,  129,    0
   188,   586,19160706,  158,    0
   188,   586,19160707,  207,    0
   188,   586,19160708,  229,    0
   188,   586,19160709,  219,    0
   188,   586,19160710,  179,    0
   188,   586,19160711,  165,    0
   188,   586,19160712,  197,    0
   188,   586,19160713,  198,    0
   188,   586,19160714,  171,    0
   188,   586,19160715,  178,    0
   188,   586,19160716,  194,    0
   188,   586,19160717,  181,    0
   188,   586,19160718,  140,    0
   188,   586,19160719,  106,    0
   188,   586,19160720,  125,    0
   188,   586,19160721,  118,    0
   188,   586,19160722,  125,    0
   188,   586,19160723,  125,    0
   188,   586,19160724,  119,    0
   188,   586,19160725,  118,    0
   188,   586,19160726,  123,    0
   188,   586,19160727,  128,    0
   188,   586,19160728,  127,    0
   188,   586,19160729,  127,    0
   188,   586,19160730,  114,    0
   188,   586,19160731,  100,    0
   188,   586,19160801,  106,    0
   188,   586,19160802,  133,    0
   188,   586,19160803,  121,    0
   188,   586,19160804,  112,    0
   188,   586,19160805,   94,    0
   188,   586,19160806,   99,    0
   188,   586,19160807,   95,    0
   188,   586,19160808,   92,    0
   188,   586,19160809,   77,    0
   188,   586,19160810,   82,    0
   188,   586,19160811,   88,    0
   188,   586,19160812,   94,    0
   188,   586,19160813,  103,    0
   188,   586,19160814,  118,    0
   188,   586,19160815,  118,    0
   188,   586,19160816,  115,    0
   188,   586,19160817,  109,    0
   188,   586,19160818,  108,    0
   188,   586,19160819,  113,    0
   188,   586,19160820,  120,    0
   188,   586,19160821,  107,    0
   188,   586,19160822,  128,    0
   188,   586,19160823,  111,    0
   188,   586,19160824,  109,    0
   188,   586,19160825,  137,    0
   188,   586,19160826,  143,    0
   188,   586,19160827,  153,    0
   188,   586,19160828,  155,    0
   188,   586,19160829,  161,    0
   188,   586,19160830,  153,    0
   188,   586,19160831,  160,    0
   188,   586,19160901,  159,    0
   188,   586,19160902,  144,    0
   188,   586,19160903,  109,    0
   188,   586,19160904,   96,    0
   188,   586,19160905,  111,    0
   188,   586,19160906,  112,    0
   188,   586,19160907,  101,    0
   188,   586,19160908,   96,    0
   188,   586,19160909,   94,    0
   188,   586,19160910,   65,    0
   188,   586,19160911,   64,    0
   188,   586,19160912,   69,    0
   188,   586,19160913,   82,    0
   188,   586,19160914,   58,    0
   188,   586,19160915,   52,    0
   188,   586,19160916,   47,    0
   188,   586,19160917,   67,    0
   188,   586,19160918,   92,    0
   188,   586,19160919,   74,    0
   188,   586,19160920,   47,    0
   188,   586,19160921,   29,    0
   188,   586,19160922,   48,    0
   188,   586,19160923,   59,    0
   188,   586,19160924,   47,    0
   188,   586,19160925,   55,    0
   188,   586,19160926,   43,    0
   188,   586,19160927,   47,    0
   188,   586,19160928,   35,    0
   188,   586,19160929,   14,    0
   188,   586,19160930,   11,    0
   188,   586,19161001,   10,    0
   188,   586,19161002,  -10,    0
   188,   586,19161003,   41,    0
   188,   586,19161004,   28,    0
   188,   586,19161005,    6,    0
   188,   586,19161006,  -16,    0
   188,   586,19161007,   -8,    0
   188,   586,19161008,   -6,    0
   188,   586,19161009,   45,    0
   188,   586,19161010,   58,    0
   188,   586,19161011,   44,    0
   188,   586,19161012,    7,    0
   188,   586,19161013,   15,    0
   188,   586,19161014,   25,    0
   188,   586,19161015,   11,    0
   188,   586,19161016,   -1,    0
   188,   586,19161017,    1,    0
   188,   586,19161018,   -2,    0
   188,   586,19161019,  -16,    0
   188,   586,19161020,   26,    0
   188,   586,19161021,    9,    0
   188,   586,19161022,    3,    0
   188,   586,19161023,    9,    0
