EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VARDOE, NORWAY (STAID: 195)
Blended and updated with sources:607 901098 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   195,   607,19000101,  -28,    0
   195,   607,19000102,  -34,    0
   195,   607,19000103,  -36,    0
   195,   607,19000104, -100,    0
   195,   607,19000105, -107,    0
   195,   607,19000106,  -71,    0
   195,   607,19000107,  -66,    0
   195,   607,19000108,  -85,    0
   195,   607,19000109,  -47,    0
   195,   607,19000110,  -72,    0
   195,   607,19000111,  -50,    0
   195,   607,19000112,  -10,    0
   195,   607,19000113,   -8,    0
   195,   607,19000114,  -48,    0
   195,   607,19000115,  -98,    0
   195,   607,19000116,  -56,    0
   195,   607,19000117,  -59,    0
   195,   607,19000118,  -67,    0
   195,   607,19000119,  -80,    0
   195,   607,19000120,  -94,    0
   195,   607,19000121,  -72,    0
   195,   607,19000122,  -54,    0
   195,   607,19000123,  -15,    0
   195,   607,19000124,  -22,    0
   195,   607,19000125,  -50,    0
   195,   607,19000126,  -40,    0
   195,   607,19000127,  -70,    0
   195,   607,19000128,  -74,    0
   195,   607,19000129,  -36,    0
   195,   607,19000130,  -40,    0
   195,   607,19000131,  -52,    0
   195,   607,19000201,  -61,    0
   195,   607,19000202,  -64,    0
   195,   607,19000203,  -64,    0
   195,   607,19000204,  -87,    0
   195,   607,19000205, -132,    0
   195,   607,19000206, -104,    0
   195,   607,19000207,  -55,    0
   195,   607,19000208,  -76,    0
   195,   607,19000209, -116,    0
   195,   607,19000210,  -51,    0
   195,   607,19000211,  -77,    0
   195,   607,19000212,  -55,    0
   195,   607,19000213, -102,    0
