EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIEPAJA, LATVIA (STAID: 199)
Blended and updated with sources:617 926406 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   199,   617,19010101, -115,    0
   199,   617,19010102,  -97,    0
   199,   617,19010103, -120,    0
   199,   617,19010104,  -64,    0
   199,   617,19010105,  -84,    0
   199,   617,19010106, -103,    0
   199,   617,19010107,  -53,    0
   199,   617,19010108,  -11,    0
   199,   617,19010109,  -63,    0
   199,   617,19010110,  -78,    0
   199,   617,19010111,  -53,    0
   199,   617,19010112,  -10,    0
   199,   617,19010113,    7,    0
   199,   617,19010114,    8,    0
   199,   617,19010115,  -10,    0
   199,   617,19010116,   12,    0
   199,   617,19010117,    7,    0
   199,   617,19010118,   -8,    0
   199,   617,19010119,  -38,    0
   199,   617,19010120,   -1,    0
   199,   617,19010121,   16,    0
   199,   617,19010122,   28,    0
   199,   617,19010123,   33,    0
   199,   617,19010124,   24,    0
   199,   617,19010125,   18,    0
   199,   617,19010126,   15,    0
   199,   617,19010127,   -8,    0
   199,   617,19010128,    7,    0
   199,   617,19010129,   -7,    0
   199,   617,19010130,   -6,    0
   199,   617,19010131,   -9,    0
   199,   617,19010201,   -6,    0
   199,   617,19010202,  -26,    0
   199,   617,19010203,  -15,    0
   199,   617,19010204,  -13,    0
   199,   617,19010205,   -9,    0
   199,   617,19010206,   -6,    0
   199,   617,19010207,  -10,    0
   199,   617,19010208,    5,    0
   199,   617,19010209,    9,    0
   199,   617,19010210,  -32,    0
   199,   617,19010211,  -69,    0
   199,   617,19010212,  -67,    0
   199,   617,19010213, -125,    0
   199,   617,19010214, -125,    0
   199,   617,19010215, -133,    0
   199,   617,19010216,  -91,    0
   199,   617,19010217,  -92,    0
   199,   617,19010218, -119,    0
   199,   617,19010219, -126,    0
   199,   617,19010220,  -69,    0
   199,   617,19010221,  -19,    0
   199,   617,19010222,   -8,    0
   199,   617,19010223,   -6,    0
   199,   617,19010224,  -41,    0
   199,   617,19010225,  -33,    0
   199,   617,19010226,  -32,    0
   199,   617,19010227,   -3,    0
   199,   617,19010228,    7,    0
   199,   617,19010301,    3,    0
   199,   617,19010302,    3,    0
   199,   617,19010303,    9,    0
