EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NAVACERRADA, SPAIN (STAID: 232)
Blended and updated with sources:881 908215 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   232,   881,19460101,   -5,    0
   232,   881,19460102,  -20,    0
   232,   881,19460103,   -5,    0
   232,   881,19460104,  -18,    0
   232,   881,19460105,  -40,    0
   232,   881,19460106,  -28,    0
   232,   881,19460107,  -11,    0
   232,   881,19460108,    8,    0
   232,   881,19460109,   10,    0
   232,   881,19460110,   35,    0
   232,   881,19460111,   68,    0
   232,   881,19460112,   42,    0
   232,   881,19460113,   32,    0
   232,   881,19460114,    5,    0
   232,   881,19460115,  -51,    0
   232,   881,19460116,  -89,    0
   232,   881,19460117, -100,    0
   232,   881,19460118,  -70,    0
   232,   881,19460119,  -64,    0
   232,   881,19460120,  -15,    0
   232,   881,19460121,  -32,    0
   232,   881,19460122,   -8,    0
   232,   881,19460123,  -38,    0
   232,   881,19460124,  -50,    0
   232,   881,19460125,  -21,    0
   232,   881,19460126,   -8,    0
   232,   881,19460127,  -28,    0
   232,   881,19460128,  -42,    0
   232,   881,19460129,   -8,    0
   232,   881,19460130,   26,    0
   232,   881,19460131,   26,    0
   232,   881,19460201,   15,    0
   232,   881,19460202,    5,    0
   232,   881,19460203,   20,    0
   232,   881,19460204,   58,    0
   232,   881,19460205,   49,    0
   232,   881,19460206,   67,    0
   232,   881,19460207,   91,    0
   232,   881,19460208,   80,    0
   232,   881,19460209,   -2,    0
   232,   881,19460210,  -22,    0
   232,   881,19460211,   42,    0
   232,   881,19460212,   55,    0
   232,   881,19460213,   67,    0
   232,   881,19460214,   56,    0
   232,   881,19460215,   65,    0
   232,   881,19460216,   68,    0
   232,   881,19460217,   62,    0
   232,   881,19460218,   65,    0
   232,   881,19460219,   82,    0
   232,   881,19460220,   60,    0
