EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALAMANCA AEROPUERTO, SPAIN (STAID: 233)
Blended and updated with sources:882 908202 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   233,   882,19450101,    8,    0
   233,   882,19450102,  -28,    0
   233,   882,19450103,  -46,    0
   233,   882,19450104,   -8,    0
   233,   882,19450105,  -30,    0
   233,   882,19450106,  -22,    0
   233,   882,19450107,   -2,    0
   233,   882,19450108,   16,    0
   233,   882,19450109,  -15,    0
   233,   882,19450110,    2,    0
   233,   882,19450111,    8,    0
   233,   882,19450112,  -28,    0
   233,   882,19450113,  -60,    0
   233,   882,19450114,  -38,    0
   233,   882,19450115,  -60,    0
   233,   882,19450116,  -55,    0
   233,   882,19450117,  -42,    0
   233,   882,19450118,  -10,    0
   233,   882,19450119,   40,    0
   233,   882,19450120,   30,    0
   233,   882,19450121,   45,    0
   233,   882,19450122,   58,    0
   233,   882,19450123,   52,    0
   233,   882,19450124,   55,    0
   233,   882,19450125,   52,    0
   233,   882,19450126,   33,    0
   233,   882,19450127,   15,    0
   233,   882,19450128,   71,    0
   233,   882,19450129,   67,    0
   233,   882,19450130,   53,    0
   233,   882,19450131,   72,    0
   233,   882,19450201,   86,    0
   233,   882,19450202,   74,    0
   233,   882,19450203,   75,    0
   233,   882,19450204,   70,    0
   233,   882,19450205,   58,    0
   233,   882,19450206,   85,    0
   233,   882,19450207,   85,    0
   233,   882,19450208,   56,    0
   233,   882,19450209,   44,    0
   233,   882,19450210,   55,    0
   233,   882,19450211,   44,    0
   233,   882,19450212,   57,    0
   233,   882,19450213,   53,    0
   233,   882,19450214,   68,    0
   233,   882,19450215,   52,    0
   233,   882,19450216,   75,    0
   233,   882,19450217,   61,    0
   233,   882,19450218,   64,    0
   233,   882,19450219,   67,    0
   233,   882,19450220,   80,    0
   233,   882,19450221,   78,    0
   233,   882,19450222,   58,    0
   233,   882,19450223,   55,    0
   233,   882,19450224,   52,    0
   233,   882,19450225,   53,    0
   233,   882,19450226,   68,    0
   233,   882,19450227,   66,    0
   233,   882,19450228,   71,    0
   233,   882,19450301,   70,    0
   233,   882,19450302,   62,    0
   233,   882,19450303,   70,    0
   233,   882,19450304,   50,    0
   233,   882,19450305,   46,    0
   233,   882,19450306,   50,    0
   233,   882,19450307,   46,    0
   233,   882,19450308,   45,    0
   233,   882,19450309,   62,    0
   233,   882,19450310,   86,    0
   233,   882,19450311,   96,    0
   233,   882,19450312,   99,    0
   233,   882,19450313,  102,    0
   233,   882,19450314,  106,    0
   233,   882,19450315,  110,    0
   233,   882,19450316,   95,    0
   233,   882,19450317,   90,    0
