EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESKDALEMUIR, UNITED KINGDOM (STAID: 272)
Blended and updated with sources:928 903162 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   272,   928,19540101,   22,    0
   272,   928,19540102,   44,    0
   272,   928,19540103,   30,    0
   272,   928,19540104,   28,    0
   272,   928,19540105,   16,    0
   272,   928,19540106,  -22,    0
   272,   928,19540107,  -31,    0
   272,   928,19540108,  -11,    0
   272,   928,19540109,   16,    0
   272,   928,19540110,   44,    0
   272,   928,19540111,   56,    0
   272,   928,19540112,   52,    1
   272,   928,19540113,    8,    0
   272,   928,19540114,   44,    0
   272,   928,19540115,   48,    1
   272,   928,19540116,   33,    0
   272,   928,19540117,   28,    0
   272,   928,19540118,   22,    0
   272,   928,19540119,   50,    0
   272,   928,19540120,   53,    1
   272,   928,19540121,   17,    0
   272,   928,19540122,   22,    1
   272,   928,19540123,   12,    1
   272,   928,19540124,   -8,    0
   272,   928,19540125,    0,    0
   272,   928,19540126,   -6,    1
   272,   928,19540127,  -20,    0
   272,   928,19540128,  -11,    0
   272,   928,19540129,   -2,    0
   272,   928,19540130,  -25,    0
   272,   928,19540131,  -44,    0
   272,   928,19540201,  -44,    0
   272,   928,19540202,  -64,    0
   272,   928,19540203,  -25,    0
   272,   928,19540204,    0,    0
   272,   928,19540205,   14,    1
   272,   928,19540206,  -52,    0
   272,   928,19540207,  -28,    0
   272,   928,19540208,  -20,    0
   272,   928,19540209,  -38,    0
   272,   928,19540210,   -6,    0
   272,   928,19540211,    6,    0
   272,   928,19540212,   20,    0
   272,   928,19540213,   14,    0
   272,   928,19540214,   22,    0
   272,   928,19540215,   36,    0
   272,   928,19540216,   11,    0
   272,   928,19540217,   42,    1
   272,   928,19540218,   -8,    0
   272,   928,19540219,    6,    0
   272,   928,19540220,    0,    0
   272,   928,19540221,   22,    0
   272,   928,19540222,   22,    0
   272,   928,19540223,   16,    0
   272,   928,19540224,   22,    0
   272,   928,19540225,   17,    0
   272,   928,19540226,    0,    0
   272,   928,19540227,  -36,    0
   272,   928,19540228,  -30,    0
   272,   928,19540301,  -44,    0
   272,   928,19540302,  -72,    0
   272,   928,19540303,   -6,    0
   272,   928,19540304,    0,    0
   272,   928,19540305,   14,    0
   272,   928,19540306,   25,    0
   272,   928,19540307,   30,    0
   272,   928,19540308,   42,    0
   272,   928,19540309,   33,    0
   272,   928,19540310,   50,    0
   272,   928,19540311,   80,    0
   272,   928,19540312,   72,    1
   272,   928,19540313,   36,    1
   272,   928,19540314,   14,    0
   272,   928,19540315,   20,    0
   272,   928,19540316,   14,    0
   272,   928,19540317,   36,    0
   272,   928,19540318,   36,    0
   272,   928,19540319,   28,    0
   272,   928,19540320,   53,    0
   272,   928,19540321,   66,    0
   272,   928,19540322,   78,    0
   272,   928,19540323,   72,    1
   272,   928,19540324,   36,    0
   272,   928,19540325,   34,    0
   272,   928,19540326,   61,    0
   272,   928,19540327,   36,    0
   272,   928,19540328,   67,    0
   272,   928,19540329,   42,    0
   272,   928,19540330,   61,    0
   272,   928,19540331,   50,    0
   272,   928,19540401,   58,    0
   272,   928,19540402,   72,    0
   272,   928,19540403,   66,    0
   272,   928,19540404,   58,    0
   272,   928,19540405,   33,    0
   272,   928,19540406,   38,    0
   272,   928,19540407,   25,    0
   272,   928,19540408,   72,    0
   272,   928,19540409,   78,    0
   272,   928,19540410,   47,    0
   272,   928,19540411,   64,    0
   272,   928,19540412,   58,    0
   272,   928,19540413,   64,    0
   272,   928,19540414,   81,    0
   272,   928,19540415,   94,    0
   272,   928,19540416,   56,    0
   272,   928,19540417,   92,    0
   272,   928,19540418,   42,    0
   272,   928,19540419,   36,    0
   272,   928,19540420,   42,    0
   272,   928,19540421,   42,    0
   272,   928,19540422,   53,    0
   272,   928,19540423,   42,    0
   272,   928,19540424,   44,    0
   272,   928,19540425,   70,    0
   272,   928,19540426,   47,    0
   272,   928,19540427,   50,    0
   272,   928,19540428,   70,    0
   272,   928,19540429,   58,    0
   272,   928,19540430,   42,    0
   272,   928,19540501,   36,    0
   272,   928,19540502,   53,    0
   272,   928,19540503,   52,    0
   272,   928,19540504,   70,    0
   272,   928,19540505,   58,    0
   272,   928,19540506,   50,    0
   272,   928,19540507,   52,    0
   272,   928,19540508,   80,    0
   272,   928,19540509,   94,    0
   272,   928,19540510,  139,    0
   272,   928,19540511,  148,    0
   272,   928,19540512,  136,    1
   272,   928,19540513,  122,    1
   272,   928,19540514,   86,    0
   272,   928,19540515,   84,    0
   272,   928,19540516,   86,    0
   272,   928,19540517,   92,    0
   272,   928,19540518,   86,    0
   272,   928,19540519,   94,    0
   272,   928,19540520,   97,    0
   272,   928,19540521,   80,    0
   272,   928,19540522,   70,    0
   272,   928,19540523,   83,    0
   272,   928,19540524,   84,    0
   272,   928,19540525,  111,    0
   272,   928,19540526,  117,    0
   272,   928,19540527,  153,    0
   272,   928,19540528,  136,    0
   272,   928,19540529,  136,    0
   272,   928,19540530,  142,    0
   272,   928,19540531,  122,    0
   272,   928,19540601,   94,    0
   272,   928,19540602,  108,    0
   272,   928,19540603,  130,    0
   272,   928,19540604,  128,    0
   272,   928,19540605,  128,    1
   272,   928,19540606,   92,    0
   272,   928,19540607,   80,    0
   272,   928,19540608,  108,    0
   272,   928,19540609,  114,    0
   272,   928,19540610,  122,    0
   272,   928,19540611,  103,    0
   272,   928,19540612,  106,    0
   272,   928,19540613,   86,    0
   272,   928,19540614,  108,    0
   272,   928,19540615,  100,    0
   272,   928,19540616,  122,    0
   272,   928,19540617,  144,    1
   272,   928,19540618,  128,    0
   272,   928,19540619,  125,    1
   272,   928,19540620,  108,    0
   272,   928,19540621,  116,    0
   272,   928,19540622,  116,    0
   272,   928,19540623,  114,    0
   272,   928,19540624,  111,    0
